species,stressor,vuln,iucn_sid,src,map_f
acanthastrea brevis,biomass_removal,0.73388,133557,iucn,species_ranges/iucn_spp_mol_133557.csv
acanthastrea brevis,bycatch,0.3414,133557,iucn,species_ranges/iucn_spp_mol_133557.csv
acanthastrea brevis,entanglement_macroplastic,0.09919,133557,iucn,species_ranges/iucn_spp_mol_133557.csv
acanthastrea brevis,eutrophication_nutrient_pollution,0.60789,133557,iucn,species_ranges/iucn_spp_mol_133557.csv
acanthastrea brevis,habitat_loss_degradation,0.39261,133557,iucn,species_ranges/iucn_spp_mol_133557.csv
acanthastrea brevis,inorganic_pollution,0.49006,133557,iucn,species_ranges/iucn_spp_mol_133557.csv
acanthastrea brevis,light_pollution,0.24218,133557,iucn,species_ranges/iucn_spp_mol_133557.csv
acanthastrea brevis,marine_heat_waves,0.59431,133557,iucn,species_ranges/iucn_spp_mol_133557.csv
acanthastrea brevis,ocean_acidification,0.48852,133557,iucn,species_ranges/iucn_spp_mol_133557.csv
acanthastrea brevis,oceanographic,0.48436,133557,iucn,species_ranges/iucn_spp_mol_133557.csv
acanthastrea brevis,organic_pollution,0.49014,133557,iucn,species_ranges/iucn_spp_mol_133557.csv
acanthastrea brevis,plastic_pollution_microplastic,0.21499,133557,iucn,species_ranges/iucn_spp_mol_133557.csv
acanthastrea brevis,poisons_toxins,0.45807,133557,iucn,species_ranges/iucn_spp_mol_133557.csv
acanthastrea brevis,salinity,0.64344,133557,iucn,species_ranges/iucn_spp_mol_133557.csv
acanthastrea brevis,sedimentation,0.35546,133557,iucn,species_ranges/iucn_spp_mol_133557.csv
acanthastrea brevis,sea_level_rise,0.24218,133557,iucn,species_ranges/iucn_spp_mol_133557.csv
acanthastrea brevis,sst_rise,0.73388,133557,iucn,species_ranges/iucn_spp_mol_133557.csv
acanthastrea brevis,storm_disturbance,0.19322,133557,iucn,species_ranges/iucn_spp_mol_133557.csv
acanthastrea brevis,uv_radiation,0.39105,133557,iucn,species_ranges/iucn_spp_mol_133557.csv
acanthastrea brevis,wildlife_strike,0.12283,133557,iucn,species_ranges/iucn_spp_mol_133557.csv
acanthastrea echinata,biomass_removal,0.73388,133246,iucn,species_ranges/iucn_spp_mol_133246.csv
acanthastrea echinata,bycatch,0.3414,133246,iucn,species_ranges/iucn_spp_mol_133246.csv
acanthastrea echinata,entanglement_macroplastic,0.09919,133246,iucn,species_ranges/iucn_spp_mol_133246.csv
acanthastrea echinata,eutrophication_nutrient_pollution,0.60789,133246,iucn,species_ranges/iucn_spp_mol_133246.csv
acanthastrea echinata,habitat_loss_degradation,0.39261,133246,iucn,species_ranges/iucn_spp_mol_133246.csv
acanthastrea echinata,inorganic_pollution,0.49006,133246,iucn,species_ranges/iucn_spp_mol_133246.csv
acanthastrea echinata,light_pollution,0.24218,133246,iucn,species_ranges/iucn_spp_mol_133246.csv
acanthastrea echinata,marine_heat_waves,0.59431,133246,iucn,species_ranges/iucn_spp_mol_133246.csv
acanthastrea echinata,ocean_acidification,0.48852,133246,iucn,species_ranges/iucn_spp_mol_133246.csv
acanthastrea echinata,oceanographic,0.48436,133246,iucn,species_ranges/iucn_spp_mol_133246.csv
acanthastrea echinata,organic_pollution,0.49014,133246,iucn,species_ranges/iucn_spp_mol_133246.csv
acanthastrea echinata,plastic_pollution_microplastic,0.21499,133246,iucn,species_ranges/iucn_spp_mol_133246.csv
acanthastrea echinata,poisons_toxins,0.45807,133246,iucn,species_ranges/iucn_spp_mol_133246.csv
acanthastrea echinata,salinity,0.64344,133246,iucn,species_ranges/iucn_spp_mol_133246.csv
acanthastrea echinata,sedimentation,0.35546,133246,iucn,species_ranges/iucn_spp_mol_133246.csv
acanthastrea echinata,sea_level_rise,0.24218,133246,iucn,species_ranges/iucn_spp_mol_133246.csv
acanthastrea echinata,sst_rise,0.73388,133246,iucn,species_ranges/iucn_spp_mol_133246.csv
acanthastrea echinata,storm_disturbance,0.19322,133246,iucn,species_ranges/iucn_spp_mol_133246.csv
acanthastrea echinata,uv_radiation,0.39105,133246,iucn,species_ranges/iucn_spp_mol_133246.csv
acanthastrea echinata,wildlife_strike,0.12283,133246,iucn,species_ranges/iucn_spp_mol_133246.csv
acanthastrea hemprichii,biomass_removal,0.73388,133642,iucn,species_ranges/iucn_spp_mol_133642.csv
acanthastrea hemprichii,bycatch,0.3414,133642,iucn,species_ranges/iucn_spp_mol_133642.csv
acanthastrea hemprichii,entanglement_macroplastic,0.09919,133642,iucn,species_ranges/iucn_spp_mol_133642.csv
acanthastrea hemprichii,eutrophication_nutrient_pollution,0.60789,133642,iucn,species_ranges/iucn_spp_mol_133642.csv
acanthastrea hemprichii,habitat_loss_degradation,0.39261,133642,iucn,species_ranges/iucn_spp_mol_133642.csv
acanthastrea hemprichii,inorganic_pollution,0.49006,133642,iucn,species_ranges/iucn_spp_mol_133642.csv
acanthastrea hemprichii,light_pollution,0.24218,133642,iucn,species_ranges/iucn_spp_mol_133642.csv
acanthastrea hemprichii,marine_heat_waves,0.59431,133642,iucn,species_ranges/iucn_spp_mol_133642.csv
acanthastrea hemprichii,ocean_acidification,0.48852,133642,iucn,species_ranges/iucn_spp_mol_133642.csv
acanthastrea hemprichii,oceanographic,0.48436,133642,iucn,species_ranges/iucn_spp_mol_133642.csv
acanthastrea hemprichii,organic_pollution,0.49014,133642,iucn,species_ranges/iucn_spp_mol_133642.csv
acanthastrea hemprichii,plastic_pollution_microplastic,0.21499,133642,iucn,species_ranges/iucn_spp_mol_133642.csv
acanthastrea hemprichii,poisons_toxins,0.45807,133642,iucn,species_ranges/iucn_spp_mol_133642.csv
acanthastrea hemprichii,salinity,0.64344,133642,iucn,species_ranges/iucn_spp_mol_133642.csv
acanthastrea hemprichii,sedimentation,0.35546,133642,iucn,species_ranges/iucn_spp_mol_133642.csv
acanthastrea hemprichii,sea_level_rise,0.24218,133642,iucn,species_ranges/iucn_spp_mol_133642.csv
acanthastrea hemprichii,sst_rise,0.73388,133642,iucn,species_ranges/iucn_spp_mol_133642.csv
acanthastrea hemprichii,storm_disturbance,0.19322,133642,iucn,species_ranges/iucn_spp_mol_133642.csv
acanthastrea hemprichii,uv_radiation,0.39105,133642,iucn,species_ranges/iucn_spp_mol_133642.csv
acanthastrea hemprichii,wildlife_strike,0.12283,133642,iucn,species_ranges/iucn_spp_mol_133642.csv
acanthastrea minuta,biomass_removal,0.73388,133670,iucn,species_ranges/iucn_spp_mol_133670.csv
acanthastrea minuta,bycatch,0.3414,133670,iucn,species_ranges/iucn_spp_mol_133670.csv
acanthastrea minuta,entanglement_macroplastic,0.09919,133670,iucn,species_ranges/iucn_spp_mol_133670.csv
acanthastrea minuta,eutrophication_nutrient_pollution,0.60789,133670,iucn,species_ranges/iucn_spp_mol_133670.csv
acanthastrea minuta,habitat_loss_degradation,0.39261,133670,iucn,species_ranges/iucn_spp_mol_133670.csv
acanthastrea minuta,inorganic_pollution,0.49006,133670,iucn,species_ranges/iucn_spp_mol_133670.csv
acanthastrea minuta,light_pollution,0.24218,133670,iucn,species_ranges/iucn_spp_mol_133670.csv
acanthastrea minuta,marine_heat_waves,0.59431,133670,iucn,species_ranges/iucn_spp_mol_133670.csv
acanthastrea minuta,ocean_acidification,0.48852,133670,iucn,species_ranges/iucn_spp_mol_133670.csv
acanthastrea minuta,oceanographic,0.48436,133670,iucn,species_ranges/iucn_spp_mol_133670.csv
acanthastrea minuta,organic_pollution,0.49014,133670,iucn,species_ranges/iucn_spp_mol_133670.csv
acanthastrea minuta,plastic_pollution_microplastic,0.21499,133670,iucn,species_ranges/iucn_spp_mol_133670.csv
acanthastrea minuta,poisons_toxins,0.45807,133670,iucn,species_ranges/iucn_spp_mol_133670.csv
acanthastrea minuta,salinity,0.64344,133670,iucn,species_ranges/iucn_spp_mol_133670.csv
acanthastrea minuta,sedimentation,0.35546,133670,iucn,species_ranges/iucn_spp_mol_133670.csv
acanthastrea minuta,sea_level_rise,0.24218,133670,iucn,species_ranges/iucn_spp_mol_133670.csv
acanthastrea minuta,sst_rise,0.73388,133670,iucn,species_ranges/iucn_spp_mol_133670.csv
acanthastrea minuta,storm_disturbance,0.19322,133670,iucn,species_ranges/iucn_spp_mol_133670.csv
acanthastrea minuta,uv_radiation,0.39105,133670,iucn,species_ranges/iucn_spp_mol_133670.csv
acanthastrea minuta,wildlife_strike,0.12283,133670,iucn,species_ranges/iucn_spp_mol_133670.csv
acanthastrea pachysepta,biomass_removal,0.73388,133152,iucn,species_ranges/iucn_spp_mol_133152.csv
acanthastrea pachysepta,bycatch,0.3414,133152,iucn,species_ranges/iucn_spp_mol_133152.csv
acanthastrea pachysepta,entanglement_macroplastic,0.09919,133152,iucn,species_ranges/iucn_spp_mol_133152.csv
acanthastrea pachysepta,eutrophication_nutrient_pollution,0.60789,133152,iucn,species_ranges/iucn_spp_mol_133152.csv
acanthastrea pachysepta,habitat_loss_degradation,0.39261,133152,iucn,species_ranges/iucn_spp_mol_133152.csv
acanthastrea pachysepta,inorganic_pollution,0.49006,133152,iucn,species_ranges/iucn_spp_mol_133152.csv
acanthastrea pachysepta,light_pollution,0.24218,133152,iucn,species_ranges/iucn_spp_mol_133152.csv
acanthastrea pachysepta,marine_heat_waves,0.59431,133152,iucn,species_ranges/iucn_spp_mol_133152.csv
acanthastrea pachysepta,ocean_acidification,0.48852,133152,iucn,species_ranges/iucn_spp_mol_133152.csv
acanthastrea pachysepta,oceanographic,0.48436,133152,iucn,species_ranges/iucn_spp_mol_133152.csv
acanthastrea pachysepta,organic_pollution,0.49014,133152,iucn,species_ranges/iucn_spp_mol_133152.csv
acanthastrea pachysepta,plastic_pollution_microplastic,0.21499,133152,iucn,species_ranges/iucn_spp_mol_133152.csv
acanthastrea pachysepta,poisons_toxins,0.45807,133152,iucn,species_ranges/iucn_spp_mol_133152.csv
acanthastrea pachysepta,salinity,0.64344,133152,iucn,species_ranges/iucn_spp_mol_133152.csv
acanthastrea pachysepta,sedimentation,0.35546,133152,iucn,species_ranges/iucn_spp_mol_133152.csv
acanthastrea pachysepta,sea_level_rise,0.24218,133152,iucn,species_ranges/iucn_spp_mol_133152.csv
