prob,cell_id
0.84,1733691
0.84,1737307
0.24,1755381
0.24,1755382
0.24,1755383
0.24,1755384
0.24,1755385
0.24,1758998
0.24,1758999
0.24,1759000
0.24,1759001
0.24,1762614
0.24,1762615
0.24,1762616
0.24,1762617
0.24,1762618
0.24,1766231
0.24,1766232
0.24,1766233
0.24,1769847
0.24,1769848
0.24,1769849
0.45,1773460
0.45,1773461
0.45,1773462
0.45,1773463
0.45,1777076
0.45,1777077
0.45,1777078
0.45,1777079
0.45,1777080
0.45,1780693
0.45,1780694
0.45,1780695
0.45,1780696
0.45,1784309
0.45,1784310
0.45,1784311
0.45,1784312
0.45,1784313
0.45,1787926
0.45,1787927
0.45,1787928
0.45,1791542
0.45,1791543
0.45,1791544
1,1773464
1,1780697
0.93,1795154
0.93,1795155
0.93,1795156
0.93,1795157
0.93,1795158
0.93,1798771
0.93,1798772
0.93,1798773
0.93,1798774
0.93,1802388
0.93,1802389
0.93,1802390
0.93,1806004
0.93,1806005
0.93,1806006
0.93,1806007
0.93,1809621
0.93,1809622
0.93,1813237
1,1795159
1,1795160
1,1798775
0.21,1816845
0.21,1816846
0.21,1816847
0.21,1816848
0.21,1820461
0.21,1820462
0.21,1820463
0.21,1820464
0.21,1820465
0.21,1824078
0.21,1824079
0.21,1824080
0.21,1824081
0.21,1824082
0.21,1827695
0.21,1827696
0.21,1827697
0.21,1827698
0.21,1831311
0.21,1831312
0.21,1834928
1,1816849
1,1816850
1,1816851
1,1816852
1,1816853
1,1820466
1,1820467
1,1820468
1,1824083
1,1824084
1,1827699
1,1816854
0.17,1838535
0.17,1838536
0.17,1838537
0.17,1838538
0.17,1838539
0.17,1842152
0.17,1842153
0.17,1842154
0.17,1842155
0.17,1845768
0.17,1845769
0.17,1845770
0.17,1845771
0.17,1845772
0.17,1849385
0.17,1849386
0.17,1849387
0.17,1849388
0.17,1853002
0.17,1853003
0.17,1853004
0.17,1853005
0.91,1838540
0.91,1838541
0.91,1838542
0.91,1838543
0.91,1842156
0.91,1842157
0.91,1842158
0.91,1845773
0.91,1845774
1,1838544
0.73,1856614
0.73,1856615
0.73,1856616
0.73,1856617
0.73,1860230
0.73,1860231
0.73,1860232
0.73,1860233
0.73,1860234
0.73,1863847
0.73,1863848
0.73,1863849
0.73,1863850
0.73,1867463
0.73,1867464
0.73,1867465
0.73,1867466
0.73,1871080
0.73,1871081
0.73,1871082
0.73,1871083
0.73,1874697
1,1856618
1,1856619
1,1856620
1,1860235
1,1860236
1,1863851
0.91,1878309
0.91,1878310
0.91,1878311
0.91,1878312
0.91,1881925
0.91,1881926
0.91,1881927
0.91,1881928
0.91,1881929
0.91,1885542
0.91,1885543
0.91,1885544
0.91,1885545
0.91,1889158
0.91,1889159
0.91,1889160
0.91,1889161
0.91,1892775
0.91,1892776
0.91,1892777
0.91,1896392
0.91,1896393
1,1878313
1,1900008
1,1900009
1,1900010
1,1903625
1,1907241
1,1907242
1,1910858
1,1910859
1,1914474
1,1914475
1,1918091
1,1921703
1,1921704
1,1921705
1,1921706
1,1921707
1,1925320
1,1925321
1,1925322
1,1925323
1,1928936
1,1928937
1,1928938
1,1928939
1,1928940
1,1932553
1,1932554
1,1932555
1,1936169
1,1936170
1,1936171
1,1936172
1,1939786
1,1939787
1,1939788
1,1939789
1,1943403
1,1943404
1,1943405
1,1947019
1,1947020
1,1947021
1,1950636
1,1950637
1,1950638
1,1954252
1,1954253
1,1954254
1,1957869
1,1957870
1,1957871
1,1961486
1,1961487
0.39,1965046
0.44,1965047
0.44,1965048
0.44,1965049
0.44,1965050
0.44,1965051
0.44,1968666
0.44,1968667
0.44,1972282
0.44,1972283
0.44,1972284
0.44,1975899
0.44,1975900
0.44,1975901
0.44,1979517
1,1965102
1,1965103
1,1965104
1,1968719
1,1968720
1,1968721
1,1972335
1,1972336
1,1972337
1,1975952
1,1975953
1,1975954
1,1979569
1,1979570
0.04,1983116
0.04,1983117
0.04,1983118
0.04,1983119
0.04,1983120
0.04,1986733
0.04,1986734
0.04,1986735
0.04,1986736
0.59,1983121
0.59,1986737
0.72,1983135
0.72,1983136
0.72,1983137
0.72,1983138
0.72,1986751
0.72,1986752
0.72,1986753
0.72,1986754
0.72,1986755
0.72,1990368
0.72,1990369
0.72,1990370
0.72,1990371
0.72,1993987
0.72,1993988
0.24,1983139
0.24,1983140
0.24,1983141
0.24,1983142
0.24,1983143
0.24,1986756
0.24,1986757
0.24,1986758
0.24,1986759
0.24,1986760
0.24,1990372
0.24,1990373
0.24,1990374
0.24,1990375
0.24,1990376
0.24,1993989
0.24,1993990
0.24,1993991
0.24,1993992
0.24,1993993
0.24,1997606
0.24,1997607
0.24,1997608
0.24,1997609
0.24,2001222
0.24,2001223
0.24,2001224
0.24,2001225
0.24,2001226
0.23,1983181
0.23,1983182
0.23,1983183
0.23,1983184
0.23,1986797
0.23,1986798
0.23,1986799
0.23,1986800
0.23,1986801
0.23,1990414
0.23,1990415
0.23,1990416
0.23,1990417
0.23,1990418
0.23,1994031
0.23,1994032
0.23,1994033
0.23,1994034
0.23,1997647
0.23,1997648
0.23,1997649
0.23,1997650
0.23,1997651
0.23,2001264
0.23,2001265
0.23,2001266
0.23,2001267
1,1983185
1,1983186
1,1983187
1,1986802
1,1986803
1,1986804
1,1990419
1,1990420
1,1994035
1,1994036
1,1994037
1,1997652
1,1997653
1,2001268
1,2001269
1,2001270
1,2001271
0.07,2004765
0.07,2004766
0.07,2004767
0.07,2004768
0.07,2004769
0.07,2008382
0.07,2008383
0.07,2008384
0.07,2008385
0.07,2011998
0.07,2011999
0.07,2012000
0.07,2012001
0.07,2012002
0.07,2015615
0.07,2015616
