prob,cell_id
0.43,2069986
0.43,2069987
0.43,2069988
0.43,2073603
0.43,2073604
0.43,2073605
0.43,2077220
0.43,2077221
0.43,2080836
0.43,2080837
0.43,2080838
0.43,2084454
0.43,2084455
0.43,2088071
1,2088072
1,2073613
1,2073614
1,2077230
1,2077231
1,2080846
1,2080847
1,2084463
1,2084464
1,2088080
1,2088081
0.85,2073615
0.85,2073616
0.85,2073617
0.85,2073618
0.85,2073619
0.85,2077232
0.85,2077233
0.85,2077234
0.85,2077235
0.85,2080848
0.85,2080849
0.85,2080850
0.85,2080851
0.85,2080852
0.85,2084465
0.85,2084466
0.85,2084467
0.85,2084468
0.85,2084469
0.85,2088082
0.85,2088083
0.85,2088084
0.85,2088085
0.63,2077236
0.63,2077237
0.63,2077238
0.63,2080853
0.63,2080854
0.63,2080855
0.63,2080856
0.63,2080857
0.63,2084470
0.63,2084471
0.63,2084472
0.63,2084473
0.63,2088086
0.63,2088087
0.63,2088088
0.63,2088089
0.63,2088090
0.5,2084474
0.5,2088091
0.5,2088092
0.5,2088093
0.5,2088094
1,2091687
1,2091688
1,2095305
1,2098921
1,2102538
1,2106155
1,2109771
1,2091689
1,2098922
1,2102539
1,2109772
0.93,2091698
0.93,2091699
0.93,2091700
0.93,2091701
0.93,2091702
0.93,2095315
0.93,2095316
0.93,2095317
0.93,2095318
0.93,2095319
0.93,2098932
0.93,2098933
0.93,2098934
0.93,2098935
0.93,2102548
0.93,2102549
0.93,2102550
0.93,2102551
0.93,2102552
0.93,2106165
0.93,2106166
0.93,2106167
0.93,2106168
0.93,2106169
0.93,2109782
0.93,2109783
0.93,2109784
0.93,2109785
0.78,2091703
0.78,2091704
0.78,2091705
0.78,2091706
0.78,2091707
0.78,2095320
0.78,2095321
0.78,2095322
0.78,2095323
0.78,2098936
0.78,2098937
0.78,2098938
0.78,2098939
0.78,2098940
0.78,2102553
0.78,2102554
0.78,2102555
0.78,2102556
0.78,2102557
0.78,2106170
0.78,2106171
0.78,2106172
0.78,2106173
0.78,2109786
0.78,2109787
0.78,2109788
0.53,2091708
0.53,2091709
0.53,2091710
0.53,2091711
0.53,2095324
0.53,2095325
0.53,2095326
0.53,2095327
0.53,2095328
0.53,2098941
0.53,2098942
0.53,2098943
0.53,2098944
0.53,2098945
0.53,2102558
0.53,2102559
0.53,2102560
0.53,2102561
0.53,2106174
0.53,2106175
0.53,2106176
0.53,2106177
0.53,2106178
0.53,2109791
0.53,2109792
0.53,2109793
0.53,2109794
0.53,2109795
0.49,2091712
0.49,2095329
0.49,2095330
0.49,2098946
0.49,2098947
0.49,2098948
0.49,2102562
0.49,2102563
0.49,2102564
0.49,2102565
0.49,2102566
0.49,2106179
0.49,2106180
0.49,2106181
0.49,2106182
0.49,2106183
0.49,2109796
0.49,2109797
0.49,2109798
0.49,2109799
0.49,2102567
0.49,2109800
0.49,2109801
1,2113388
1,2117004
1,2117005
1,2120621
1,2124237
1,2124238
1,2127854
1,2131470
1,2131471
1,2127863
1,2127864
1,2131480
1,2131481
1,2113400
1,2113401
