prob,cell_id
0.68,435966
0.66,435967
0.66,435968
0.66,435969
0.65,432353
0.65,432354
0.65,435970
0.65,435971
0.65,435972
0.65,435973
0.65,435974
0.64,432357
0.64,432358
0.64,432359
0.64,435975
0.64,435976
0.64,432360
0.64,435977
0.64,435978
0.64,435979
0.64,435983
0.64,435984
0.63,432367
0.63,432368
0.63,435985
0.63,435986
0.62,435987
0.62,435988
0.62,435989
0.62,435990
0.72,450419
0.72,450420
0.69,446809
0.69,450426
0.68,446810
0.68,446811
0.68,450427
0.68,450428
0.68,450429
0.59,439577
0.59,439578
0.59,439579
0.59,443195
0.59,443196
0.59,446812
0.59,446813
0.59,446814
0.59,450430
0.59,450431
0.6,439580
0.6,439581
0.6,443197
0.6,443198
0.6,443199
0.6,446815
0.6,446816
0.6,450432
0.6,450433
0.6,450434
0.61,439582
0.61,439583
0.61,439584
0.61,443200
0.61,443201
0.61,446817
0.61,446818
0.61,446819
0.61,450435
0.61,450436
0.2,439585
0.2,439586
0.2,443202
0.2,443203
0.2,443204
0.2,446820
0.2,446821
0.2,450437
0.2,450438
0.2,450439
0.04,439587
0.04,439588
0.04,439589
0.04,443205
0.04,443206
0.04,446822
0.04,446823
0.04,450440
0.23,439590
0.23,439591
0.23,443207
0.23,443208
0.23,443209
0.23,450443
0.23,450444
0.46,439592
0.46,439593
0.46,439594
0.46,443210
0.46,443211
0.46,446827
0.46,446828
0.46,446829
0.46,450445
0.46,450446
0.6,439595
0.6,439596
0.6,443212
0.6,443213
0.6,443214
0.6,446830
0.6,450447
0.6,450448
0.6,450449
0.61,439597
0.61,439598
0.61,439599
0.61,443215
0.61,443216
0.61,446832
0.61,446833
0.61,446834
0.61,450450
0.61,450451
0.57,439600
0.57,439601
0.57,443217
0.57,443218
0.57,443219
0.57,446835
0.57,446836
0.57,450452
0.57,450453
0.45,439605
0.45,439606
0.45,443222
0.45,443223
0.45,443224
0.45,446840
0.45,446841
0.45,450457
0.45,450458
0.45,450459
0.42,439607
0.42,439608
0.42,443225
0.42,443226
0.42,446842
0.6,439609
0.6,439610
0.6,439611
0.6,443227
0.6,443228
0.6,443229
0.6,446846
0.6,450463
0.6,443230
0.6,443231
0.6,446847
0.6,446848
0.6,446849
0.6,450465
0.6,450466
0.6,446850
0.6,446851
0.6,450467
0.6,450468
0.6,450469
0.6,450470
0.6,450471
0.74,468493
0.72,468494
0.72,468496
0.7,464879
0.7,464880
0.7,464881
0.7,468497
0.7,468498
0.68,457648
0.68,457649
0.68,461264
0.68,461265
0.68,461266
0.68,464882
0.68,464883
0.68,468499
0.68,468500
0.68,468501
0.69,454034
0.69,457650
0.69,457651
0.69,461267
0.69,461268
0.69,464884
0.69,464885
0.69,464886
0.69,468502
0.69,468503
0.69,454035
0.69,454036
0.69,457653
0.69,461269
0.69,461270
0.69,461271
0.69,464887
0.69,464888
0.69,468504
0.69,468505
0.69,468506
0.68,461272
0.68,461273
0.68,461274
0.68,464889
0.68,464890
0.68,464891
0.68,468507
0.68,468508
0.67,457659
0.67,461275
0.67,461276
0.67,464892
0.67,464893
0.67,468509
0.67,468510
0.67,468511
0.65,454043
0.65,454044
0.65,457660
0.65,457661
0.65,461277
0.65,461278
0.65,461279
0.65,464894
0.65,464895
0.65,464896
0.65,468512
0.65,468513
0.63,454045
0.63,454046
0.63,457662
0.63,457663
0.63,457664
0.63,461280
0.63,461281
0.63,464897
0.63,464898
0.63,464899
0.63,468514
0.63,468515
0.63,468516
0.53,454047
0.53,454048
0.53,454049
0.53,457665
0.53,457666
0.53,461282
0.53,461283
0.53,461284
0.53,464900
0.53,464901
0.11,454050
0.11,454051
0.11,457667
0.11,457668
0.11,457669
0.11,461285
0.11,461286
0.11,464902
0.11,464903
0.11,468519
0.11,468520
0.11,468521
0.26,454060
0.26,454061
0.26,457677
0.26,457678
0.26,457679
0.26,461295
0.26,461296
0.26,464912
0.26,464913
0.14,464932
0.14,464933
0.14,464934
0.14,468550
0.14,468551
0.14,468552
0.56,454084
0.56,464935
0.56,464936
0.56,468553
0.56,468554
0.57,454085
0.57,454086
0.57,464937
0.57,464938
0.57,464939
0.57,468555
0.57,468556
0.58,454087
0.58,454088
0.58,454089
0.58,457706
0.58,461322
0.58,461323
0.58,461324
0.58,464940
0.58,454090
0.58,457707
0.58,457708
0.58,461325
0.58,468562
0.58,468564
0.58,468565
0.58,468566
0.58,468567
0.77,479340
0.77,482957
0.74,479341
0.74,479342
0.74,479343
0.74,482958
0.74,482959
0.74,482960
0.71,479344
0.71,479345
0.71,482961
0.71,482962
0.52,472112
0.52,472113
0.52,475729
0.52,475730
0.52,479346
0.52,479347
0.52,479348
0.52,482963
0.52,482964
0.52,482965
0.08,472114
0.08,472115
0.08,472116
0.08,475731
0.08,475732
0.08,475733
0.08,479349
0.08,479350
0.08,482966
0.08,482967
0.08,482968
0.07,472118
0.07,475734
0.07,475735
0.07,479351
0.07,482969
0.33,472119
0.33,472120
0.33,472121
0.33,475736
0.33,475737
0.33,475738
0.33,479354
0.33,479355
0.33,482971
0.33,482972
0.33,482973
0.4,472122
0.4,472123
0.4,475739
0.4,475740
0.4,475741
0.4,479356
0.4,479357
0.4,479358
0.4,482975
0.14,472124
0.14,472125
0.14,472126
0.14,475742
0.14,475743
0.14,479359
0.14,482976
0.14,482977
0.14,482978
0.52,472170
0.52,472171
0.52,472172
0.52,475788
0.52,475789
0.52,479405
0.55,472175
0.55,472176
0.55,472177
0.55,475793
0.55,475794
0.56,472178
0.56,472179
0.56,475795
0.56,475796
0.56,475797
0.56,479414
0.47,472180
0.47,472181
0.47,472182
0.47,475798
0.47,475799
0.47,479415
0.47,479416
0.47,479417
0.47,483035
0.41,472183
0.41,472184
0.41,475800
0.41,475801
0.41,475802
0.41,479418
0.41,479419
0.41,479420
0.41,483036
0.41,483037
0.56,472185
0.56,472186
0.56,472187
0.56,475803
0.56,475804
0.56,475805
0.56,479421
0.56,479422
0.56,483038
0.56,483039
0.56,483040
0.56,472188
0.56,475806
0.56,475807
0.56,479423
0.56,479424
0.56,483041
0.56,483042
0.56,483043
0.56,483044
0.8,497416
0.78,493801
0.78,497417
0.78,497418
0.78,497419
0.76,490185
0.76,490186
0.76,490187
0.76,493802
0.76,493803
0.76,493804
0.76,497420
0.76,497421
0.74,486570
0.74,486571
0.74,490188
0.74,490189
0.74,493805
0.74,497422
0.74,497423
0.74,497424
0.72,486574
0.72,486575
0.72,490191
0.72,490192
0.72,493808
0.72,493809
0.72,497425
0.72,497426
0.72,497427
0.28,486576
0.28,486577
0.28,490193
0.28,493810
0.28,493811
0.28,493812
0.28,497428
0.28,497429
0.04,486578
0.04,486579
0.04,486580
0.04,490197
0.04,493813
0.04,493814
0.04,497430
0.07,486581
0.07,486582
0.07,490198
0.07,490200
0.07,493815
0.07,493816
0.07,486583
0.07,486584
0.07,486585
0.07,490201
0.07,490202
0.03,486586
0.03,486587
0.03,486588
0.03,490203
0.03,490204
0.03,490205
0.03,493822
0.01,486657
0.01,490274
0.01,490275
0.53,486658
0.53,486659
0.53,486660
0.53,490277
0.53,490278
0.53,493895
0.53,497511
0.53,497512
0.53,497513
0.54,486661
0.54,486662
0.54,486663
0.54,490279
0.54,490280
0.54,493896
