prob,cell_id
0.09,1757295
0.07,1775377
0.07,1775378
0.07,1775379
0.07,1778995
0.07,1778996
0.07,1782612
0.07,1782613
0.07,1786230
0.07,1789847
0.07,1789850
0.07,1793467
0.07,1793468
0.15,1789851
0.15,1789852
0.15,1793469
0.27,1797087
0.27,1797088
0.27,1800704
0.27,1800705
0.27,1800706
0.27,1804322
0.27,1804323
0.16,1818757
0.16,1818758
0.16,1818759
0.16,1818760
0.16,1818761
0.16,1822376
0.16,1822377
0.35,1829647
0.35,1829648
0.35,1829649
0.35,1829650
0.35,1833265
0.35,1833266
0.35,1833267
0.35,1833268
0.35,1836883
0.35,1836884
0.35,1836885
0.4,1858590
0.4,1858591
0.4,1858592
0.4,1862207
0.4,1862208
0.4,1862209
0.54,1941803
0.54,1941804
0.02,1959797
0.02,1963414
0.02,1945327
0.02,1945328
0.02,1945329
0.02,1945330
0.02,1945331
0.02,1948945
0.02,1948946
0.02,1948947
0.02,1948948
0.02,1952565
0.02,1952566
0.02,1956183
0.02,1956184
0.02,1963415
0.01,1945332
0.01,1945333
0.01,1945334
0.01,1945335
0.01,1948950
0.01,1948951
0.01,1948952
0.01,1948953
0.01,1952567
0.01,1952568
0.01,1952569
0.01,1952570
0.01,1952571
0.01,1956185
0.01,1956187
0.01,1956188
0.07,1945336
0.07,1948954
0.12,1967028
0.12,1967029
0.12,1967031
0.12,1967032
0.12,1970646
0.12,1970648
0.12,1970649
0.12,1970650
0.12,1974266
0.12,1974267
0.12,1977881
0.12,1977882
0.12,1977883
0.12,1977884
0.12,1981500
0.12,1981501
0.2,1999583
0.2,1999584
0.19,1985117
0.19,1985118
0.19,1988734
0.19,1988735
0.26,2010435
0.26,2014053
0.26,2017677
0.26,2024911
0.26,2024912
0.26,2024913
0.31,2028527
0.31,2032143
0.31,2032144
0.31,2032145
0.31,2035759
0.31,2035760
0.31,2035761
0.31,2035762
0.31,2039376
0.31,2039377
0.31,2039378
0.31,2039379
0.31,2039380
0.31,2042994
0.31,2042995
0.31,2042996
0.31,2042997
0.31,2046612
0.31,2046613
0.31,2046614
0.31,2028528
0.31,2028529
0.31,2028530
0.31,2032146
0.31,2032147
0.31,2032149
0.31,2035763
0.31,2035764
0.31,2035766
0.31,2035767
0.31,2039381
0.31,2039383
0.31,2039384
0.32,2032150
0.32,2032151
0.32,2035768
0.32,2039385
0.25,2053838
0.25,2053839
0.25,2053840
0.25,2057456
0.25,2057457
0.29,2050228
0.29,2053844
0.29,2053845
0.29,2057462
0.29,2057463
0.29,2061079
0.29,2061080
0.29,2061081
0.29,2064697
0.29,2064698
0.3,2050229
0.3,2050230
0.3,2050231
0.3,2053846
0.3,2053847
0.3,2057464
0.3,2057465
0.3,2061082
0.3,2064699
0.34,2057585
0.34,2057586
0.34,2061202
0.34,2061203
0.34,2064820
0.34,2064821
0.34,2064822
0.34,2068438
0.34,2068439
0.21,2086394
0.21,2090011
0.21,2090012
0.24,2071929
0.24,2075546
0.24,2079164
0.24,2086395
0.24,2086396
0.24,2086399
0.24,2090013
0.24,2090015
0.24,2090016
0.25,2071930
0.25,2071931
0.25,2071932
0.25,2075547
0.25,2075548
0.25,2075549
0.25,2079165
0.25,2086400
0.25,2090017
0.21,2079279
0.21,2079280
0.21,2082896
0.21,2082897
0.21,2082898
0.28,2072057
0.28,2082909
0.28,2082910
0.28,2086526
0.28,2086527
0.28,2086528
0.28,2090144
0.28,2090145
0.28,2090146
0.18,2108092
0.18,2108093
0.18,2108094
0.18,2111709
0.18,2111710
0.18,2111711
0.22,2093628
0.22,2093629
0.22,2097247
0.22,2100863
0.22,2100864
0.22,2104480
0.22,2104481
0.22,2104482
0.22,2108098
0.22,2108099
0.22,2108100
0.22,2111716
0.22,2111717
0.23,2093630
0.23,2093632
0.23,2093633
0.23,2093634
0.23,2097249
0.23,2097250
0.23,2097251
0.23,2100865
0.23,2100866
0.23,2100867
0.23,2100868
0.23,2100869
0.23,2104483
0.23,2104484
0.23,2104485
0.23,2104486
0.23,2108102
0.23,2108103
0.23,2111718
0.23,2111719
0.23,2111720
0.19,2100997
0.19,2100998
0.19,2104614
0.19,2104615
0.19,2104616
0.19,2108232
0.19,2108233
0.19,2111850
0.19,2111851
0.14,2115323
0.14,2115324
0.14,2115325
0.14,2118940
0.14,2118941
0.14,2118942
0.14,2118943
0.14,2122557
0.14,2122558
0.14,2122559
0.19,2118944
0.19,2118945
0.19,2122563
0.19,2122564
0.19,2122565
0.19,2126181
0.19,2126182
0.19,2126183
0.19,2129798
0.19,2129799
0.19,2133417
0.21,2115332
0.21,2115333
0.21,2115334
0.21,2115335
0.21,2118949
0.21,2118950
0.21,2118951
0.21,2118952
0.21,2122566
0.21,2122567
0.21,2122568
0.21,2122569
0.21,2122570
0.21,2126184
0.21,2126185
0.21,2126186
0.21,2126187
0.21,2129801
0.21,2129802
0.21,2129803
0.21,2129804
0.21,2133419
0.21,2133420
0.21,2133421
