prob,cell_id
0.11,189936
0.09,189937
0.09,189938
0.09,193554
0.09,193555
0.04,189939
0.04,193556
0.04,193557
0.06,189940
0.06,189941
0.06,193558
0.08,189942
0.08,193559
0.24,193562
0.31,193563
0.34,186329
0.34,186330
0.34,193564
0.34,193565
0.55,186331
0.55,189949
0.55,193566
0.54,186332
0.54,186333
0.54,189950
0.54,193567
0.54,193568
0.08,186334
0.08,189951
0.08,189952
0.08,193569
0.08,193570
0.08,186335
0.08,186336
0.08,189953
0.08,189954
0.08,193571
0.06,186337
0.06,186338
0.06,189955
0.06,193572
0.06,193573
0.02,186339
0.02,189956
0.02,189957
0.01,186342
0.01,189959
0.01,189960
0.01,186343
0.01,186344
0.01,189961
0.01,189962
0.04,186345
0.04,186346
0.04,189963
0.04,193580
0.04,193581
0.06,186347
0.06,189964
0.06,189965
0.06,193582
0.06,193583
0.01,186348
0.01,186349
0.01,189966
0.01,193584
0.81,204396
0.81,208013
0.7,200779
0.7,200780
0.7,204397
0.7,208014
0.7,208015
0.31,200781
0.31,200782
0.31,204398
0.31,204399
0.31,208016
0.18,197165
0.18,197166
0.18,200783
0.18,204401
0.12,197167
0.12,197168
0.12,200784
0.12,200785
0.12,204402
0.12,208020
0.16,197169
0.16,200786
0.16,200787
0.16,204403
0.16,204404
0.16,208021
0.29,197170
0.29,197171
0.29,200788
0.29,204405
0.29,204406
0.29,208023
0.28,197172
0.28,200789
0.28,200790
0.28,204407
0.28,208024
0.28,208025
0.27,197173
0.27,197174
0.27,200791
0.27,200792
0.27,204408
0.27,204409
0.27,208026
0.22,197175
0.22,200793
0.22,204411
0.29,200794
0.29,200795
0.29,204412
0.29,208029
0.29,208030
0.3,197178
0.3,197179
0.3,200796
0.3,200797
0.3,204413
0.3,204414
0.3,208031
0.3,208032
0.17,197182
0.17,200800
0.47,197183
0.47,197184
0.47,208037
0.56,197185
0.56,197186
0.56,200802
0.56,200803
0.56,204421
0.56,208038
0.26,197187
0.26,200804
0.26,200805
0.26,204422
0.26,208039
0.26,197188
0.26,197189
0.26,200806
0.26,204423
0.26,204424
0.26,208041
0.26,208042
0.27,204425
0.27,204426
0.27,208043
0.18,200810
0.18,204427
0.18,208044
0.18,208045
0.18,200811
0.18,204428
0.18,204429
0.18,208046
0.18,208047
0.05,200812
0.05,200813
0.05,204430
0.05,204431
0.05,208048
0.03,200814
0.03,200815
0.03,204432
0.03,208049
0.01,208065
0.01,204448
0.01,204449
0.01,208066
0.01,200832
0.01,200833
0.01,204450
0.04,197216
0.04,197217
0.04,200834
0.04,200835
0.09,197281
0.09,197282
0.07,197283
0.07,197284
0.06,197285
0.03,197288
0.03,197289
0.02,197290
0.02,200909
0.02,197291
0.02,197292
0.02,200910
0.02,200911
0.01,197293
0.01,197294
0.01,200912
0.01,197295
0.01,200913
0.01,200914
0.01,197296
0.01,197297
0.01,200915
0.02,197301
0.02,197302
0.01,197308
0.01,197309
0.01,197310
0.3,218863
0.35,218864
0.35,218865
0.38,211631
0.38,211632
0.38,215249
0.38,218866
0.38,218867
0.51,211633
0.51,215250
0.51,215251
0.51,218868
0.42,211635
0.42,215252
0.42,215253
0.42,218869
0.42,218870
0.06,211636
0.06,215254
0.06,218871
0.06,218872
0.03,211642
0.03,215260
0.02,211647
0.07,211648
0.07,211649
0.07,215266
0.07,215267
0.07,218883
0.07,218884
0.1,211650
0.1,215268
0.1,218885
0.1,218886
0.08,211655
0.08,211656
0.08,211659
0.08,215276
0.08,215277
0.16,211660
0.16,211661
0.16,215278
0.16,215279
0.14,211662
0.14,211663
0.14,215280
0.14,218897
0.14,218898
0.16,211664
0.16,215281
0.16,215282
0.16,218899
0.16,218900
0.1,211665
0.1,211666
0.1,215283
0.1,215284
0.1,218901
0.06,211667
0.06,211668
0.06,215285
0.06,218902
0.06,218903
0.04,211669
0.04,215286
0.04,215287
0.04,218904
0.04,218905
0.05,211670
0.05,211671
0.05,215288
0.05,215289
0.05,218906
0.05,218907
0.04,211672
0.04,211673
0.04,215290
0.04,215291
0.04,218908
0.03,215292
0.03,218909
0.03,218910
0.03,215293
0.03,215294
0.03,218911
0.03,218912
0.06,211678
0.06,215295
0.06,215296
0.11,211679
0.11,211680
0.11,215297
0.09,211681
0.09,215298
0.09,215299
0.09,211682
0.09,211683
0.08,211752
0.08,211753
0.08,215370
0.08,215371
0.3,222482
0.3,226099
0.3,226100
0.3,229717
0.22,222483
0.22,222484
0.22,226101
0.22,229718
0.22,229719
0.22,222485
0.22,222486
0.22,226102
0.22,226103
0.22,229720
0.31,222487
0.31,222488
0.31,226104
0.31,226105
0.31,229721
0.31,229722
0.33,222489
0.33,229723
0.33,229724
0.02,229731
0.28,226115
0.28,229732
0.28,229733
0.32,226116
0.32,226117
0.32,229734
0.32,229735
0.07,226118
0.1,222502
0.1,222503
0.1,226121
0.1,229738
0.05,222504
0.05,226122
0.05,229739
0.05,229740
0.06,229750
0.06,229751
0.06,222517
0.06,229752
0.08,222518
0.08,222519
0.08,229753
0.08,229754
0.07,222520
0.07,222521
0.07,229755
0.07,229756
0.04,222522
0.04,226139
0.04,226140
0.04,229757
0.04,229758
0.04,222523
0.04,229759
0.04,229760
0.03,226155
0.03,226156
0.03,229773
0.03,229774
0.04,222539
0.04,222540
0.04,226157
0.04,226158
0.04,229775
0.02,226159
0.02,229776
0.02,222543
0.02,226160
0.02,226161
0.02,222544
0.02,222545
0.02,226162
0.02,226163
0.02,222546
0.02,222547
0.02,226164
0.02,226165
0.01,222548
0.01,222549
0.01,226166
0.01,226167
0.01,222550
0.01,222551
0.01,222552
0.41,233336
0.41,236953
0.46,233337
0.46,233338
0.46,236954
0.46,236955
0.38,233339
0.38,233340
0.38,236956
0.38,236957
0.38,240573
0.38,240574
0.43,233341
0.43,236958
0.43,236959
0.43,240575
0.43,240576
0.48,233342
0.48,233343
0.48,236960
0.48,236961
0.48,240577
0.48,240578
0.57,233344
0.57,240579
0.57,240580
0.57,244197
0.65,240581
0.65,240582
0.65,244198
0.65,244199
0.56,233349
0.56,236965
0.56,236966
0.56,240583
0.56,244200
0.56,244201
0.34,233350
0.34,236967
0.34,236968
0.34,240584
0.34,240585
0.34,244202
0.34,244203
0.49,233351
0.49,233352
0.49,236969
0.49,236970
0.49,240586
0.49,240587
0.3,233353
0.3,233354
0.3,236971
0.3,240588
0.27,233355
0.27,233356
0.27,236972
0.27,236973
0.12,233357
0.12,236974
0.12,236975
0.15,233365
0.15,240600
0.15,244216
0.15,244217
0.18,233366
0.18,236983
0.18,236984
0.18,240601
0.18,244218
0.18,233367
0.18,233368
0.18,236986
0.18,240603
0.18,244221
0.14,233369
0.14,233370
0.14,236987
0.14,236988
0.14,240604
0.14,240605
0.14,244222
0.14,244223
0.11,233371
0.11,233372
0.11,236989
0.11,240606
0.11,240607
0.11,244224
0.11,244225
0.04,240608
0.04,240609
0.04,244226
0.04,240610
0.04,240611
0.02,233376
0.02,233377
0.02,236994
0.02,236995
0.02,240612
0.03,233378
0.03,233379
0.03,236996
0.03,236997
0.03,240613
0.03,240614
0.02,233380
0.02,233381
0.02,236998
0.02,240615
0.02,240616
0.02,244233
0.02,244234
0.03,233382
0.03,236999
0.03,237000
0.03,240617
0.03,240618
0.03,244235
0.03,244236
0.03,240619
0.03,240620
0.03,244237
0.04,244238
0.11,233392
0.31,247497
0.25,247498
0.25,247499
0.19,247500
0.19,247501
0.19,251116
0.1,247502
0.1,251117
0.1,254732
0.04,247504
0.04,251118
0.04,251119
0.04,254733
0.04,254734
0.03,247505
0.03,247506
0.03,251120
0.03,251121
0.03,254735
0.03,254736
0.05,251122
0.05,251123
0.05,254737
0.05,254738
0.05,254739
0.06,254741
0.06,254742
0.3,247812
0.3,247813
0.3,251430
0.29,247814
0.29,251431
0.29,251432
0.29,255048
0.29,255049
0.3,247815
0.3,247816
0.3,251433
0.3,251434
0.3,255050
0.3,255051
0.28,247818
0.28,251435
0.28,251436
0.28,255052
0.28,255053
0.25,251437
0.25,255054
0.25,255055
0.15,247822
0.15,251438
0.15,251439
0.15,255056
0.15,255057
0.15,247823
0.15,251440
0.15,251441
0.15,255058
0.15,255059
0.08,247825
0.08,247826
0.08,251442
0.08,251443
0.07,247827
0.07,251444
0.07,251445
0.14,247833
0.14,255068
0.29,247834
0.29,247835
0.29,251451
0.29,255069
0.27,251455
0.23,251458
0.15,247841
0.15,247842
0.15,251459
0.15,251460
0.15,255076
0.15,255077
0.07,247843
0.07,247844
0.07,251461
0.07,251462
0.07,255078
0.07,255079
0.03,247845
0.03,255083
0.03,255084
0.02,247851
0.06,247852
0.06,247853
0.06,255089
0.08,247854
0.08,247855
0.08,251472
0.08,251473
0.08,255090
0.15,247856
0.15,251474
0.15,251475
0.15,255091
0.15,255092
0.2,251476
0.87,258341
0.87,258342
0.87,261957
1,258343
1,258344
1,261958
1,261959
1,258345
1,258346
1,261960
1,261961
1,265575
1,265576
1,269190
1,269191
0.92,258347
0.92,261962
0.92,261963
0.92,265577
0.92,265578
0.92,269192
0.92,269193
0.96,258348
0.96,258349
0.96,261964
0.96,265579
0.96,265580
1,258350
1,258351
1,261965
1,261966
1,265581
1,269197
0.94,258352
0.94,258353
0.94,261967
0.94,261968
0.94,265582
0.94,265583
0.94,269198
0.74,258354
0.74,258355
0.74,261969
0.74,261970
0.74,265584
0.74,265585
0.44,258356
0.44,258357
0.44,261971
0.44,261972
0.44,265586
0.44,265587
0.15,258358
0.15,258359
0.15,261973
0.15,261974
0.15,265588
0.15,265589
0.57,258668
0.57,258669
0.57,262285
0.57,262286
0.57,265903
0.18,262287
0.18,262288
0.18,265904
0.18,265905
0.18,269522
0.18,269523
0.23,258671
0.23,258672
0.23,265906
0.23,265907
0.23,269524
0.27,258673
0.27,258674
0.27,265908
0.27,269525
0.27,269526
0.15,258675
0.15,258676
0.15,269527
0.15,269528
0.08,258677
0.08,258678
0.08,269529
0.08,269530
0.12,265917
0.12,269533
0.12,269534
0.23,258683
0.23,258684
0.23,262300
0.23,262301
0.23,265918
0.23,269535
0.25,258685
0.25,258686
0.25,262303
0.25,265921
0.29,269539
0.25,262311
0.17,258694
0.17,258695
0.17,262312
0.17,262313
0.17,265930
0.17,269547
0.17,269548
0.14,258696
0.14,258697
0.14,262314
0.14,265931
0.14,265932
0.14,269549
0.14,269550
0.08,258698
0.08,258699
0.08,262315
0.08,262316
0.08,265933
0.08,265934
0.08,269551
0.09,258700
0.09,258701
0.09,262317
0.09,262318
0.09,265935
0.09,265936
0.09,269552
0.09,269553
0.16,258702
0.16,262319
0.16,265937
0.16,265938
0.16,269554
0.16,269555
0.19,262322
0.19,265939
0.2,258705
0.2,258706
0.2,262323
0.2,262324
0.17,258707
0.17,258708
0.17,262325
0.17,262326
0.17,265943
0.17,269561
0.14,258709
0.14,262327
0.14,265944
0.14,269562
0.14,269563
0.19,269564
0.19,269565
0.26,269566
0.57,269727
0.75,269728
0.75,269729
0.81,269730
0.81,269731
0.61,276416
0.61,276417
0.61,280031
0.61,280032
0.71,280033
1,272807
1,272808
0.72,272809
0.72,272810
0.72,276424
0.72,276425
0.23,272811
0.23,272812
0.23,276426
0.23,276427
0.23,280041
0.23,280042
0.23,283657
0.26,272813
0.26,272814
0.26,276428
0.26,280043
0.26,280044
0.26,283658
0.26,283659
0.29,272815
0.29,280045
0.29,280046
0.29,283660
0.29,283661
0.23,280047
0.23,280048
0.23,283662
0.23,283663
0.1,280049
0.1,280050
0.39,273142
0.39,276758
0.38,273143
0.38,273144
0.38,276761
0.38,280378
0.38,280379
0.22,273145
0.22,273146
0.22,276762
0.22,276763
0.22,280380
0.22,280381
0.22,283997
0.22,283998
0.08,273147
0.08,273148
0.08,276764
0.08,280382
0.08,280383
0.08,283999
0.08,284000
0.15,276767
0.15,280385
0.15,284001
0.15,284002
0.26,273151
0.26,273152
0.26,276768
0.26,276769
0.26,280386
0.26,284003
0.26,284004
0.31,273156
0.31,273157
0.31,276774
0.31,276775
0.31,280392
0.41,273165
0.41,276782
0.41,276783
0.41,280399
0.41,280400
0.41,284017
0.41,273166
0.41,273167
0.41,276784
0.41,276785
0.41,280401
0.41,280402
0.43,273168
0.43,273169
0.43,276786
0.43,276787
0.44,273170
0.44,273171
0.24,273177
0.24,276794
0.24,280412
0.24,284030
0.17,273178
0.17,273179
0.17,276795
0.17,276796
0.17,280413
0.17,280414
0.17,284031
0.17,284032
0.09,273180
0.09,273181
0.09,276797
0.09,276798
0.09,280415
0.09,280416
0.09,284033
0.09,284034
0.1,273182
0.1,273183
0.1,276799
0.1,276800
0.1,280417
0.1,280418
0.1,284035
0.1,284036
0.13,276801
0.13,276802
0.13,280419
0.13,280420
0.13,284037
0.13,284038
0.18,276803
0.18,280421
0.39,280570
0.39,284187
0.39,284188
0.36,280571
0.36,280572
0.36,284189
0.36,284190
0.41,276955
0.41,280573
0.41,280574
0.41,284191
0.41,284192
0.41,276956
0.41,280575
0.41,284193
0.41,284194
0.43,276959
0.43,280576
0.43,280577
0.43,284195
0.43,284196
0.4,276960
0.4,280578
0.27,273343
0.27,273344
0.15,273345
0.54,287273
0.54,287274
0.39,287275
0.39,290891
0.39,290892
0.22,290893
0.22,294508
0.22,294509
0.11,294510
0.11,294511
0.08,290898
0.02,290899
0.02,290900
0.02,294515
0.05,290901
0.05,290902
0.05,294516
0.05,294517
0.05,290903
0.05,290904
0.05,294518
0.05,294519
0.03,290905
0.03,290906
0.03,294520
0.03,294521
0.01,290919
0.01,290920
0.01,294534
0.01,294535
0.01,290921
0.01,290922
0.01,294536
0.01,294537
0.01,294540
0.01,294541
0.62,287616
0.62,287617
0.57,287618
0.57,287619
0.53,287620
0.42,294872
0.44,294873
0.44,294874
0.43,294875
0.43,294876
0.43,294877
0.4,291260
0.4,291261
0.4,294878
0.4,294879
0.29,287645
0.29,291262
0.29,291263
0.29,294880
0.29,294881
0.16,287647
0.16,291264
0.16,291265
0.16,294882
0.16,294883
0.14,287648
0.14,287649
0.14,291266
0.14,291267
0.17,287650
0.17,287651
0.17,291268
0.17,291269
0.17,287652
0.17,287653
0.16,287779
0.16,291396
0.16,291397
0.16,295016
0.18,287780
0.18,291398
0.18,291399
0.18,295017
0.21,291400
0.33,295023
0.33,295024
0.36,295025
0.36,295026
0.31,295027
0.31,295028
0.19,287793
0.19,291410
0.19,291411
0.19,295029
0.19,295030
0.13,287794
0.13,287795
0.13,291412
0.13,291413
0.13,295031
0.13,295032
0.14,287796
0.14,287797
0.14,291414
0.14,291415
0.14,295033
0.17,287798
0.17,287799
0.17,291416
0.17,291417
0.25,287800
0.25,287801
0.25,291418
0.25,291419
0.29,287802
0.29,287803
0.29,291420
0.29,291421
0.29,291422
0.32,287804
0.32,287805
0.32,291423
0.26,287806
0.26,287807
0.24,287808
0.24,287809
0.17,287810
0.25,298126
0.23,298127
0.23,298128
0.24,298129
0.24,298130
0.33,298131
0.33,298132
0.33,301748
0.28,298133
0.28,298134
0.28,301749
0.28,301750
0.22,298135
0.22,298136
0.19,298137
0.19,298138
0.16,298139
0.1,298152
0.1,298153
0.12,298154
0.12,298155
0.1,298156
0.1,298157
0.1,301772
0.05,298158
0.05,298159
0.05,301773
0.05,301774
0.04,298160
0.04,301775
0.04,301776
0.04,305392
0.04,301777
0.04,301778
0.04,305393
0.04,305394
0.03,305395
0.03,305396
0.03,309010
0.03,309011
0.03,309012
0.23,302098
0.23,302099
0.23,305717
0.23,309333
0.23,309334
0.18,298484
0.18,302100
0.18,302101
0.18,305718
0.18,305719
0.18,309335
0.18,309336
0.17,298485
0.17,302102
0.17,302103
0.17,305720
0.17,305721
0.17,309337
0.17,309338
0.17,298487
0.17,298488
0.17,302104
0.17,302105
0.17,302106
0.17,305722
0.17,305723
0.17,309339
0.17,309340
0.17,309341
0.09,298489
0.09,298490
0.09,302107
0.09,302108
0.09,305724
0.09,305725
0.09,309342
0.09,309343
0.12,298491
0.12,298492
0.12,302109
0.12,302110
0.12,305726
0.12,305727
0.12,309344
0.12,309345
0.11,298493
0.11,298494
0.11,302111
0.11,302112
0.11,305728
0.11,305729
0.11,309346
0.11,309347
0.13,298495
0.13,302113
0.13,305730
0.13,305731
0.16,298497
0.16,298498
0.18,298499
0.26,309492
0.2,305875
0.2,309493
0.2,309494
0.18,302258
0.18,302259
0.18,305876
0.18,305877
0.18,309495
0.09,298641
0.09,298642
0.09,302260
0.09,302261
0.09,305878
0.06,298643
0.06,298644
0.06,302262
0.08,298645
0.08,298646
0.16,312625
0.1,312626
0.1,312627
0.1,316242
0.1,316243
0.12,312628
0.12,312629
0.12,316244
0.12,319859
0.12,319860
0.12,323476
0.01,312630
0.01,319861
0.01,323477
0.01,323478
0.26,316564
0.26,316565
0.26,320182
0.26,320183
0.26,323800
0.17,312949
0.17,312950
0.17,316566
0.17,316567
0.17,320184
0.17,320185
0.17,323801
0.17,323802
0.15,312951
0.15,312952
0.15,316568
0.15,316569
0.15,320186
0.15,320187
0.15,323803
0.15,323804
0.11,312953
0.11,312954
0.11,316570
0.11,316571
0.11,320188
0.11,320189
0.11,323805
0.11,323806
0.1,312955
0.1,312956
0.1,316572
0.1,316573
0.1,320190
0.1,320191
0.1,323807
0.1,323808
0.09,312957
0.09,312958
0.09,316574
0.09,316575
0.09,316576
0.09,320192
0.09,320193
0.09,323809
0.09,323810
0.09,323811
0.11,312959
0.11,312960
0.11,316577
0.11,316578
0.11,320194
0.11,320195
0.11,323812
0.11,323813
0.14,312961
0.14,312962
0.14,316579
0.14,316580
0.14,320196
0.14,320197
0.14,323814
0.14,323815
0.15,312963
0.15,312964
0.15,316581
0.15,316582
0.15,320198
0.15,320199
0.16,312965
0.16,316583
0.36,323957
0.34,316722
0.34,320340
0.34,323958
0.34,323959
0.36,316723
0.36,316724
0.36,320341
0.36,320342
0.36,320343
0.36,323960
0.36,323961
0.32,313108
0.32,316725
0.32,316726
0.32,320344
0.2,313109
0.2,313110
0.2,316727
0.2,316728
0.08,313111
0.08,313112
0.08,316729
0.14,327091
0.14,327092
0.14,330707
0.14,334323
0.09,327093
0.09,327094
0.09,330708
0.09,330709
0.09,334324
0.09,334325
0.09,337940
0.09,337941
0.06,327095
0.06,327096
0.06,330710
0.06,330711
0.06,330712
0.06,334326
0.06,334327
0.06,337942
0.06,337943
0.04,330713
0.04,334328
0.04,334329
0.04,337944
0.04,337945
0.46,338270
0.29,338271
0.29,338272
0.24,327422
0.24,331038
0.24,331039
0.24,334655
0.24,334656
0.24,334657
0.24,338273
0.24,338274
0.13,327423
0.13,327424
0.13,331040
0.13,331041
0.13,334658
0.13,334659
0.13,338275
0.22,327425
0.22,327426
0.22,331042
0.22,331043
