prob,cell_id
0.05,4706881
0.05,4710499
0.05,4714116
0.05,4717733
0.05,4721350
0.05,4721351
0.11,4724966
0.11,4724967
0.11,4724968
0.11,4728583
0.11,4728584
0.11,4732201
0.11,4732202
0.11,4735818
0.11,4735819
0.11,4739436
0.11,4739437
0.11,4743053
0.11,4743054
0.14,4746671
0.14,4746672
0.14,4750288
0.14,4750289
0.14,4753905
0.14,4753906
0.14,4757521
0.14,4757522
0.14,4757523
0.14,4761139
0.14,4761140
0.14,4764756
0.14,4764757
0.11,4771990
0.11,4775607
0.11,4779225
0.11,4782842
0.11,4786459
0.11,4786460
0.16,4768373
0.16,4775608
0.22,4790076
0.22,4790077
0.22,4793694
0.22,4797311
0.22,4800928
0.22,4804545
0.22,4804546
0.26,4815395
0.26,4819012
0.26,4822629
0.26,4826246
0.26,4826247
0.24,4808162
0.24,4808163
0.24,4811778
0.24,4811779
0.24,4811780
0.24,4815396
0.24,4815397
0.24,4819013
0.24,4822630
0.25,4829863
0.25,4829864
0.25,4833480
0.25,4833481
0.25,4837098
0.25,4837099
0.25,4840715
0.25,4840716
0.25,4844332
0.25,4844333
0.25,4847949
0.25,4847950
0.57,4866034
0.37,4851566
0.37,4851567
0.37,4855183
0.37,4855184
0.37,4858801
0.37,4858802
0.37,4862418
0.37,4862419
0.37,4866035
0.37,4866036
0.7,4887735
0.14,4869651
0.14,4869652
0.14,4873268
0.14,4873269
0.14,4876885
0.14,4876886
0.14,4876887
0.14,4880502
0.14,4880503
0.14,4884120
0.14,4884121
0.14,4887736
0.14,4887737
0.14,4887738
0.44,4869653
0.44,4873270
0.71,4891351
0.71,4891352
0.71,4894969
0.71,4894970
0.71,4898586
0.71,4898587
0.71,4902203
0.71,4902204
0.71,4905820
0.71,4905821
0.71,4905822
0.71,4909438
0.71,4909439
0.42,4891353
0.42,4891354
0.42,4891355
0.42,4891356
0.42,4894971
0.42,4894972
0.42,4894973
0.42,4898588
0.42,4898589
0.42,4898590
0.79,4913055
0.79,4913056
0.79,4916673
0.79,4916674
0.79,4920290
0.79,4920291
0.79,4920292
0.79,4923908
0.79,4923909
0.79,4927526
0.79,4927527
0.57,4923910
0.57,4927528
0.58,4945610
0.78,4931144
0.78,4934762
0.78,4938379
0.78,4941993
0.78,4941994
0.78,4941995
0.78,4941996
0.78,4941997
0.78,4945611
0.78,4945612
0.78,4945613
0.78,4945614
0.78,4949228
0.78,4949229
0.78,4949230
0.78,4949231
0.78,4949232
0.7,4931145
0.7,4934763
0.7,4938380
0.7,4945615
0.64,4952846
0.64,4952847
0.64,4952848
0.64,4952849
0.64,4956465
0.64,4956466
0.64,4956467
0.64,4960083
0.64,4960084
0.64,4963702
0.64,4967319
0.64,4970937
0.81,4952850
0.81,4956468
0.81,4960085
0.81,4960086
0.81,4963703
0.81,4967320
0.81,4967321
0.81,4970938
0.81,4970939
0.78,4974555
0.78,4974556
0.78,4974557
0.78,4978173
0.78,4978174
0.78,4978175
0.78,4981790
0.78,4981791
0.78,4981792
0.78,4985408
0.78,4985409
0.78,4985410
0.78,4989025
0.78,4989026
0.78,4989027
0.86,4992642
0.86,4996259
0.86,4999876
0.86,4999877
0.86,5003493
0.86,5003494
0.86,5007111
0.86,5007112
0.86,5010727
0.86,5010728
0.86,5010729
0.63,5014345
0.63,5014346
0.63,5017962
0.63,5017963
0.63,5021579
0.63,5021580
0.63,5025197
0.63,5025198
0.63,5028814
0.63,5028815
0.63,5032432
0.63,5032433
1,5050518
0.99,5036049
0.99,5036050
0.99,5039666
0.99,5039667
0.99,5043284
0.99,5046901
0.99,5046902
0.99,5050519
1,5054135
1,5057753
0.16,5054136
0.16,5057754
0.16,5061371
0.16,5061372
0.16,5064989
0.16,5064990
0.16,5068606
0.16,5068607
0.16,5072224
0.16,5072225
1,5083075
1,5083076
1,5086692
1,5086693
1,5090310
1,5090311
1,5075842
1,5075843
1,5075844
1,5075845
1,5079459
1,5079460
1,5079461
1,5083077
1,5083078
1,5083079
1,5083080
1,5086694
1,5086695
1,5086696
1,5086697
1,5090315
1,5093927
1,5093928
1,5097544
1,5097545
1,5097546
1,5101162
1,5101163
1,5104779
1,5104780
1,5108397
1,5108398
1,5112014
1,5112015
0.29,5093932
0.29,5097550
0.29,5104785
0.29,5108401
0.29,5108402
0.29,5108403
0.29,5112018
0.29,5112019
0.29,5112020
1,5115632
1,5115633
1,5119250
1,5119251
1,5122866
1,5122867
1,5122868
1,5126484
1,5126485
1,5130101
1,5130102
1,5130103
1,5140952
1,5144570
