prob,cell_id
0.04,1318502
0.04,1318503
0.04,1318504
0.04,1318505
0.04,1322119
0.04,1322120
0.04,1322121
0.04,1322122
0.04,1325736
0.04,1325737
0.04,1325738
0.04,1325739
0.04,1329353
0.04,1329354
0.04,1329355
0.04,1329356
0.12,1318506
0.12,1318507
0.12,1322123
0.12,1322124
0.12,1325740
0.12,1325741
0.12,1325742
0.12,1329357
0.12,1329358
0.93,1332974
0.93,1336591
0.93,1336592
0.93,1340208
0.93,1340209
0.93,1343826
0.93,1343827
0.93,1347443
0.93,1347444
0.44,1336597
0.44,1336598
0.44,1340214
0.44,1340215
0.44,1343831
0.44,1343832
0.44,1343833
0.44,1347447
0.44,1347448
0.44,1347449
0.44,1347450
0.47,1336599
0.47,1340216
0.47,1340217
0.47,1343834
0.47,1343835
0.47,1343836
0.47,1347451
0.47,1347452
0.47,1347453
0.99,1351060
0.99,1351061
0.99,1351062
0.99,1354677
0.99,1354678
0.99,1354679
0.99,1354680
0.99,1358294
0.99,1358295
0.99,1358296
0.99,1358297
0.99,1361911
0.99,1361912
0.99,1361913
0.99,1361914
0.99,1365528
0.99,1365529
0.99,1365530
0.99,1365531
1,1351064
1,1351065
1,1351066
1,1351067
1,1354681
1,1354682
1,1354683
1,1354684
1,1358298
1,1358299
1,1358300
1,1358301
1,1361915
1,1361916
1,1361917
1,1361918
1,1365532
1,1365533
1,1365534
1,1365535
0.99,1351068
0.99,1351069
0.99,1351070
0.99,1351071
0.99,1354685
0.99,1354686
0.99,1354687
0.99,1354688
0.99,1358302
0.99,1358303
0.99,1358304
0.99,1358305
0.99,1361919
0.99,1361920
0.99,1361921
0.99,1361922
0.99,1365536
0.99,1365537
0.99,1365538
0.99,1365539
1,1376338
1,1379954
1,1379955
1,1383570
1,1383571
1,1383572
1,1387187
1,1387188
0.81,1372722
0.81,1372723
0.81,1372724
0.81,1372725
0.81,1376339
0.81,1376340
0.81,1376341
0.81,1376342
0.81,1379956
0.82,1372726
0.82,1376343
0.82,1376344
0.82,1376345
0.82,1376346
0.82,1379961
0.82,1379962
0.82,1379963
0.82,1383580
0.99,1379964
0.99,1383581
0.99,1383582
0.99,1383583
0.99,1383584
0.99,1387199
0.99,1387200
0.99,1387201
0.36,1387202
0.36,1387203
0.48,1369141
0.48,1369142
0.48,1369143
0.48,1369144
0.48,1372758
0.48,1372759
0.48,1372760
0.48,1372761
0.48,1376375
0.48,1376376
0.48,1376377
0.48,1376378
0.48,1379993
0.48,1379994
0.48,1379995
0.48,1379996
0.48,1383610
0.48,1383611
0.48,1383612
0.48,1387227
0.48,1387228
0.48,1387229
1,1369149
1,1369150
1,1369151
1,1369152
1,1372766
1,1372767
1,1372768
1,1372769
1,1372770
1,1376384
1,1376385
1,1376386
1,1376387
1,1369153
1,1369154
1,1369155
1,1369156
1,1372771
1,1372772
1,1372773
1,1372774
1,1376388
1,1376389
1,1376390
1,1376391
1,1380005
1,1380006
1,1380007
1,1380008
1,1383623
1,1383624
1,1383625
1,1387241
1,1387242
1,1369157
1,1369158
1,1372775
1,1372776
1,1372777
1,1376392
1,1376393
1,1376394
1,1376395
1,1380009
1,1380010
1,1380011
1,1383626
1,1383627
1,1383628
1,1387243
1,1387244
1,1387245
1,1387246
1,1405262
1,1398031
1,1398032
1,1401647
1,1401648
1,1401649
1,1405263
1,1405264
1,1405265
1,1394418
1,1394419
1,1398033
1,1398034
1,1398035
1,1398036
1,1390803
1,1390804
1,1394420
1,1394421
1,1390819
1,1390820
1,1390821
1,1394436
1,1394437
1,1394438
1,1398053
1,1398054
1,1398055
1,1401671
1,1401672
1,1405288
1,1405289
1,1405290
0.14,1390844
0.14,1390845
0.14,1390846
0.14,1390847
0.14,1394461
0.14,1394462
0.14,1394463
0.14,1394464
0.14,1398078
0.14,1398079
0.14,1398080
0.14,1398081
0.14,1401697
0.14,1401698
0.9,1394465
0.9,1394466
0.9,1398082
0.9,1398083
0.9,1398084
0.9,1401699
0.9,1401700
0.9,1401701
0.9,1401702
0.9,1405316
0.9,1405317
0.9,1405318
0.9,1405319
1,1390859
1,1390860
1,1390861
1,1390862
1,1390863
1,1394477
1,1394478
1,1394479
1,1394480
1,1398096
1,1398097
1,1401715
1,1390864
1,1394481
1,1394482
1,1398098
1,1398099
1,1398100
1,1398101
1,1401716
1,1401717
1,1401718
1,1401719
1,1405333
1,1405334
1,1405335
1,1405336
1,1405339
