prob,cell_id
0.58,435966
0.57,435967
0.57,435968
0.57,435969
0.56,432353
0.56,432354
0.56,435970
0.56,435971
0.55,435972
0.55,435973
0.55,435974
0.55,432357
0.55,432358
0.55,432359
0.55,435975
0.55,435976
0.55,432360
0.55,435977
0.55,435978
0.55,435979
0.54,435983
0.54,435984
0.53,432367
0.53,432368
0.53,435985
0.53,435986
0.52,435987
0.52,435988
0.52,435989
0.52,435990
0.63,450419
0.63,450420
0.6,446809
0.6,450426
0.58,446810
0.58,446811
0.58,450427
0.58,450428
0.58,450429
0.56,439577
0.56,439578
0.56,439579
0.56,443195
0.56,443196
0.56,446812
0.56,446813
0.56,446814
0.56,450430
0.56,450431
0.54,439580
0.54,439581
0.54,443197
0.54,443198
0.54,443199
0.54,446815
0.54,446816
0.54,450432
0.54,450433
0.54,450434
0.51,439582
0.51,439583
0.51,439584
0.51,443200
0.51,443201
0.51,446817
0.51,446818
0.51,446819
0.51,450435
0.51,450436
0.49,439585
0.49,439586
0.49,443202
0.49,443203
0.49,443204
0.49,446820
0.49,446821
0.49,450437
0.49,450438
0.49,450439
0.35,439587
0.35,439588
0.35,439589
0.35,443205
0.35,443206
0.35,446822
0.35,446823
0.35,450440
0.48,439590
0.48,439591
0.48,443207
0.48,443208
0.48,443209
0.48,450443
0.48,450444
0.49,439592
0.49,439593
0.49,439594
0.49,443210
0.49,443211
0.49,446827
0.49,446828
0.49,446829
0.49,450445
0.49,450446
0.5,439595
0.5,439596
0.5,443212
0.5,443213
0.5,443214
0.5,446830
0.5,450447
0.5,450448
0.5,450449
0.51,439597
0.51,439598
0.51,439599
0.51,443215
0.51,443216
0.51,446832
0.51,446833
0.51,446834
0.51,450450
0.51,450451
0.51,439600
0.51,439601
0.51,443217
0.51,443218
0.51,443219
0.51,446835
0.51,446836
0.51,450452
0.51,450453
0.49,439605
0.49,439606
0.49,443222
0.49,443223
0.49,443224
0.49,446840
0.49,446841
0.49,450457
0.49,450458
0.49,450459
0.5,439607
0.5,439608
0.5,443225
0.5,443226
0.5,446842
0.5,439609
0.5,439610
0.5,439611
0.5,443227
0.5,443228
0.5,443229
0.5,446846
0.5,450463
0.5,443230
0.5,443231
0.5,446847
0.5,446848
0.5,446849
0.5,450465
0.5,450466
0.5,446850
0.5,446851
0.5,450467
0.5,450468
0.5,450469
0.5,450470
0.5,450471
0.66,468493
0.63,468494
0.63,468496
0.61,464879
0.61,464880
0.61,464881
0.61,468497
0.61,468498
0.6,457648
0.6,457649
0.6,461264
0.6,461265
0.6,461266
0.6,464882
0.6,464883
0.6,468499
0.6,468500
0.6,468501
0.6,454034
0.6,457650
0.6,457651
0.6,461267
0.6,461268
0.6,464884
0.6,464885
0.6,464886
0.6,468502
0.6,468503
0.59,454035
0.59,454036
0.59,457653
0.59,461269
0.59,461270
0.59,461271
0.59,464887
0.59,464888
0.59,468504
0.59,468505
0.59,468506
0.59,461272
0.59,461273
0.59,461274
0.59,464889
0.59,464890
0.59,464891
0.59,468507
0.59,468508
0.57,457659
0.57,461275
0.57,461276
0.57,464892
0.57,464893
0.57,468509
0.57,468510
0.57,468511
0.55,454043
0.55,454044
0.55,457660
0.55,457661
0.55,461277
0.55,461278
0.55,461279
0.55,464894
0.55,464895
0.55,464896
0.55,468512
0.55,468513
0.53,454045
0.53,454046
0.53,457662
0.53,457663
0.53,457664
0.53,461280
0.53,461281
0.53,464897
0.53,464898
0.53,464899
0.53,468514
0.53,468515
0.53,468516
0.5,454047
0.5,454048
0.5,454049
0.5,457665
0.5,457666
0.5,461282
0.5,461283
0.5,461284
0.5,464900
0.5,464901
0.48,454050
0.48,454051
0.48,457667
0.48,457668
0.48,457669
0.48,461285
0.48,461286
0.48,464902
0.48,464903
0.48,468519
0.48,468520
0.48,468521
0.42,454060
0.42,454061
0.42,457677
0.42,457678
0.42,457679
0.42,461295
0.42,461296
0.42,464912
0.42,464913
0.46,464932
0.46,464933
0.46,464934
0.46,468550
0.46,468551
0.46,468552
0.46,454084
0.46,464935
0.46,464936
0.46,468553
0.46,468554
0.47,454085
0.47,454086
0.47,464937
0.47,464938
0.47,464939
0.47,468555
0.47,468556
0.48,454087
0.48,454088
0.48,454089
0.48,457706
0.48,461322
0.48,461323
0.48,461324
0.48,464940
0.48,454090
0.48,457707
0.48,457708
0.48,461325
0.48,468562
0.48,468564
0.48,468565
0.48,468566
0.48,468567
0.68,479340
0.68,482957
0.65,479341
0.65,479342
0.65,479343
0.65,482958
0.65,482959
0.65,482960
0.62,479344
0.62,479345
0.62,482961
0.62,482962
0.57,472112
0.57,472113
