prob,cell_id
0.02,338270
0.04,345505
0.01,341888
0.01,341889
0.01,345506
0.01,345507
0.01,349123
0.01,349124
0.06,421601
0.04,421606
0.04,421607
0.04,421608
0.04,421609
0.04,421610
0.03,414376
0.03,417993
0.27,435966
0.26,435967
0.26,435968
0.26,435969
0.25,432353
0.25,432354
0.25,435970
0.25,435971
0.25,435972
0.25,435973
0.25,435974
0.25,432357
0.25,432358
0.25,432359
0.25,435975
0.25,435976
0.25,432360
0.25,435977
0.25,435978
0.25,435979
0.24,435983
0.24,435984
0.24,432367
0.24,432368
0.24,435985
0.24,435986
0.24,435987
0.24,435988
0.23,435989
0.23,435990
0.06,425219
0.05,425223
0.04,425224
0.04,425225
0.03,425226
0.03,425227
0.03,428844
0.01,439425
0.01,439426
0.01,443042
0.03,439427
0.29,450419
0.29,450420
0.28,446809
0.28,450426
0.27,446810
0.27,446811
0.27,450427
0.27,450428
0.27,450429
0.26,439577
0.26,439578
0.26,439579
0.26,443195
0.26,443196
0.26,446812
0.26,446813
0.26,446814
0.26,450430
0.26,450431
0.24,439580
0.24,439581
0.24,443197
0.24,443198
0.24,443199
0.24,446815
0.24,446816
0.24,450432
0.24,450433
0.24,450434
0.23,439582
0.23,439583
0.23,439584
0.23,443200
0.23,443201
0.23,446817
0.23,446818
0.23,446819
0.23,450435
0.23,450436
0.11,439585
0.11,439586
0.11,443202
0.11,443203
0.11,443204
0.11,446820
0.11,446821
0.11,450437
0.11,450438
0.11,450439
0.14,439590
0.14,439591
0.14,443207
0.14,443208
0.14,443209
0.14,450443
0.14,450444
0.22,439592
0.22,439593
0.22,439594
0.22,443210
0.22,443211
0.22,446827
0.22,446828
0.22,446829
0.22,450445
0.22,450446
0.22,439595
0.22,439596
0.22,443212
0.22,443213
0.22,443214
0.22,446830
0.22,450447
0.22,450448
0.22,450449
0.23,439597
0.23,439598
0.23,439599
0.23,443215
0.23,443216
0.23,446832
0.23,446833
0.23,446834
0.23,450450
0.23,450451
0.23,439600
0.23,439601
0.23,443217
0.23,443218
0.23,443219
0.23,446835
0.23,446836
0.23,450452
0.23,450453
0.22,439605
0.22,439606
0.22,443222
0.22,443223
0.22,443224
0.22,446840
0.22,446841
0.22,450457
0.22,450458
0.22,450459
0.22,439607
0.22,439608
0.22,443225
0.22,443226
0.22,446842
0.23,439609
0.23,439610
0.23,439611
0.23,443227
0.23,443228
0.23,443229
0.23,446846
0.23,450463
0.23,443230
0.23,443231
0.23,446847
0.23,446848
0.23,446849
0.23,450465
0.23,450466
0.23,446850
0.23,446851
0.23,450467
0.23,450468
0.23,450469
0.22,450470
0.22,450471
0.3,468493
0.29,468494
0.29,468496
0.28,464879
0.28,464880
0.28,464881
0.28,468497
0.28,468498
0.27,457648
0.27,457649
0.27,461264
0.27,461265
0.27,461266
0.27,464882
0.27,464883
0.27,468499
0.27,468500
0.27,468501
0.27,454034
0.27,457650
0.27,457651
0.27,461267
0.27,461268
0.27,464884
0.27,464885
0.27,464886
0.27,468502
0.27,468503
0.27,454035
0.27,454036
0.27,457653
0.27,461269
0.27,461270
0.27,461271
0.27,464887
0.27,464888
0.27,468504
0.27,468505
0.27,468506
0.27,461272
0.27,461273
0.27,461274
0.27,464889
0.27,464890
0.27,464891
0.27,468507
0.27,468508
0.26,457659
0.26,461275
0.26,461276
0.26,464892
0.26,464893
0.26,468509
0.26,468510
0.26,468511
0.25,454043
0.25,454044
0.25,457660
0.25,457661
0.25,461277
0.25,461278
0.25,461279
0.25,464894
0.25,464895
0.25,464896
0.25,468512
0.25,468513
0.24,454045
0.24,454046
0.24,457662
0.24,457663
0.24,457664
0.24,461280
0.24,461281
0.24,464897
0.24,464898
0.24,464899
0.24,468514
0.24,468515
0.24,468516
0.23,454047
0.23,454048
0.23,454049
0.23,457665
0.23,457666
0.23,461282
0.23,461283
0.23,461284
0.23,464900
0.23,464901
0.01,454050
0.01,454051
0.01,457667
0.01,457668
0.01,457669
0.01,461285
0.01,461286
0.01,464902
0.01,464903
0.01,468519
0.01,468520
0.01,468521
0.17,454060
0.17,454061
0.17,457677
0.17,457678
0.17,457679
0.17,461295
0.17,461296
0.17,464912
0.17,464913
0.14,454062
0.14,454063
0.14,457680
0.14,461297
0.12,454077
0.12,464930
0.12,464931
0.12,468549
0.05,464932
0.05,464933
0.05,464934
0.05,468550
0.05,468551
0.05,468552
0.2,454084
0.2,464935
0.2,464936
0.2,468553
0.2,468554
0.21,454085
0.21,454086
0.21,464937
0.21,464938
0.21,464939
0.21,468555
0.21,468556
0.21,454087
0.21,454088
0.21,454089
0.21,457706
0.21,461322
0.21,461323
0.21,461324
0.21,464940
0.22,454090
0.22,457707
0.22,457708
0.22,461325
0.22,468562
0.22,468564
0.21,468565
0.21,468566
0.21,468567
0.07,454145
0.07,454146
0.07,457764
0.06,454147
0.06,454148
0.06,457765
0.06,457766
0.02,468646
0.01,461412
0.01,465030
0.01,468647
0.01,468648
0.01,457795
0.01,457796
0.01,457797
0.01,461413
0.01,461414
0.01,461415
0.01,465031
0.01,465032
0.01,465033
0.01,468649
0.01,468650
0.01,468651
0.32,479340
0.32,482957
0.3,479341
0.3,479342
0.3,479343
0.3,482958
0.3,482959
0.3,482960
0.28,479344
0.28,479345
0.28,482961
0.28,482962
0.26,472112
0.26,472113
0.26,475729
0.26,475730
0.26,479346
0.26,479347
0.26,479348
0.26,482963
0.26,482964
0.26,482965
0.23,472119
0.23,472120
0.23,472121
0.23,475736
0.23,475737
0.23,475738
0.23,479354
0.23,479355
0.23,482971
0.23,482972
0.23,482973
0.23,472122
0.23,472123
0.23,475739
0.23,475740
0.23,475741
0.23,479356
0.23,479357
0.23,479358
0.23,482975
0.03,472124
0.03,472125
0.03,472126
0.03,475742
0.03,475743
0.03,479359
0.03,482976
0.03,482977
0.03,482978
0.16,472170
0.16,472171
0.16,472172
0.16,475788
0.16,475789
0.16,479405
0.17,472173
0.17,472174
0.17,475790
0.17,475791
0.17,475792
0.17,479408
0.17,479409
0.19,472175
0.19,472176
0.19,472177
0.19,475793
0.19,475794
0.2,472178
0.2,472179
0.2,475795
0.2,475796
0.2,475797
0.2,479414
0.2,472180
0.2,472181
0.2,472182
0.2,475798
0.2,475799
0.2,479415
0.2,479416
0.2,479417
0.2,483035
0.2,472183
0.2,472184
0.2,475800
0.2,475801
0.2,475802
0.2,479418
0.2,479419
0.2,479420
0.2,483036
0.2,483037
0.2,472185
0.2,472186
0.2,472187
0.2,475803
0.2,475804
0.2,475805
0.2,479421
0.2,479422
0.2,483038
0.2,483039
0.2,483040
0.2,472188
0.2,475806
0.2,475807
0.2,479423
0.2,479424
0.2,483041
0.2,483042
0.2,483043
0.2,483044
0.07,479476
0.07,483092
0.07,483093
0.07,483094
0.06,479477
0.06,483095
0.01,479494
0.01,483110
0.01,483111
0.01,483112
0.01,472261
0.01,475877
0.01,475878
0.01,475879
0.01,479495
0.01,479496
0.01,479497
0.01,483113
0.01,483114
0.01,483115
0.34,497416
0.33,493801
0.33,497417
0.33,497418
0.33,497419
0.31,490185
0.31,490186
0.31,490187
0.31,493802
0.31,493803
0.31,493804
0.31,497420
0.31,497421
0.3,486570
0.3,486571
0.3,490188
0.3,490189
0.3,493805
0.3,497422
0.3,497423
0.3,497424
0.29,486574
0.29,486575
0.29,490191
0.29,490192
0.29,493808
0.29,493809
0.29,497425
0.29,497426
0.29,497427
0.18,486576
0.18,486577
0.18,490193
0.18,493810
0.18,493811
0.18,493812
0.18,497428
0.18,497429
0.03,486591
0.03,486592
0.03,490208
0.19,486658
0.19,486659
0.19,486660
0.19,490277
0.19,490278
0.19,493895
0.19,497511
0.19,497512
0.19,497513
0.19,486661
0.19,486662
0.19,486663
0.19,490279
0.19,490280
0.19,493896
0.19,486664
0.19,486665
0.19,490281
0.19,490282
0.19,490283
0.19,486666
0.19,490284
0.19,490285
0.19,493903
0.19,490286
0.19,490287
0.19,490288
0.19,493904
0.19,493905
0.19,490289
0.19,490290
0.19,490291
0.19,493907
0.19,493908
0.18,490292
0.18,493909
0.18,493910
0.18,493911
0.18,497527
0.18,497528
0.18,497529
0.18,497530
0.18,497531
0.17,497532
0.04,486709
0.02,486710
0.02,486711
0.02,486712
0.02,490328
0.02,490329
0.02,490330
0.02,493947
0.02,497563
0.02,497564
0.02,497565
0.02,486713
0.02,486714
0.02,490331
0.02,490332
0.02,493948
0.02,493949
0.02,493950
0.02,497566
0.02,497567
0.02,497568
0.02,490333
0.02,490334
0.02,490335
0.02,493951
0.02,493952
0.02,493953
0.02,497569
0.02,497570
0.02,490336
0.02,490337
0.02,493954
0.02,493955
0.02,497571
0.02,497572
0.02,497573
0.01,493956
0.01,493957
0.01,497574
0.01,497575
0.01,497576
0.32,504648
0.32,508265
0.32,511882
0.3,501032
0.3,501033
0.3,504649
0.3,504650
0.3,504651
0.3,508266
0.3,508267
0.3,508268
0.3,511883
0.3,511884
0.3,511885
0.16,501034
0.16,501035
0.16,501036
0.16,504652
0.16,504653
0.16,508269
0.16,508270
0.16,508271
0.16,511886
0.16,511887
0.16,511888
0.09,501037
0.09,501038
0.09,501039
0.09,504654
0.09,504656
0.09,508272
0.09,508273
0.09,511889
0.09,511890
0.29,501040
0.29,501041
0.29,504657
0.29,504658
0.29,504659
0.29,508274
0.29,508275
0.29,508276
0.29,511891
0.29,511892
0.29,511893
0.09,501042
0.09,501043
0.09,501044
0.09,504660
0.09,504661
0.09,508277
0.09,508278
0.09,511894
0.08,501045
0.08,501046
0.08,504662
0.08,504663
0.08,504664
0.08,508279
0.08,508280
0.08,508281
0.08,511897
0.06,501147
0.06,501148
0.06,501149
0.17,501150
0.17,501151
0.17,504767
0.17,504768
0.17,504769
0.17,508387
0.16,504770
0.16,504771
0.16,508388
0.16,508389
0.16,512007
0.16,508390
0.16,508391
0.16,512008
0.16,512009
0.16,512010
0.05,508408
0.05,512024
0.05,512025
0.05,512026
0.03,508409
0.03,508410
0.03,508411
0.03,512027
0.03,512028
0.02,504794
0.02,504795
0.02,508412
0.02,508413
0.02,512029
0.02,512030
0.02,512031
0.01,501179
0.01,501180
0.01,504796
0.01,504797
0.01,504798
0.01,508414
0.01,508415
0.01,508416
0.01,512032
0.01,512033
0.01,512034
0.33,529960
0.33,529961
0.32,519112
0.32,522728
0.32,522729
0.32,526344
0.32,526345
0.32,526346
0.32,529962
0.32,529963
0.32,519113
0.32,519114
0.32,522730
0.32,522731
0.32,522732
0.32,526347
0.32,526348
0.32,526349
0.32,529964
0.32,529965
0.32,529966
0.31,515498
0.31,515499
0.31,515500
0.31,519115
0.31,519116
0.31,519117
0.31,522733
0.31,522734
0.31,526350
0.31,526351
0.31,526352
0.3,515501
0.3,515502
0.3,519118
0.3,519119
0.3,519120
0.3,522735
0.3,522736
0.3,522737
0.3,526353
0.3,526354
0.3,529971
0.28,515503
0.28,515504
0.28,515505
0.28,519121
0.28,519122
0.28,522738
0.28,522739
0.28,522740
0.28,526356
0.28,526357
0.28,529972
0.28,529973
0.28,529974
0.27,515506
0.27,515507
0.27,515508
0.27,519123
0.27,519124
0.27,519125
0.27,522741
0.27,522742
0.27,526358
0.27,526359
0.27,526360
0.27,529975
0.27,529976
0.27,529977
0.1,515509
0.1,515510
0.1,519126
0.1,519127
0.1,519128
0.1,522743
0.1,522744
0.1,522745
0.1,526361
0.1,526362
0.1,529978
0.1,529979
0.1,529980
0.17,515514
0.17,515515
0.17,515516
0.17,519131
0.17,519132
0.17,519133
0.17,522749
0.17,522750
0.17,526367
0.04,515626
0.04,515627
0.04,519245
0.11,515628
0.11,515629
0.11,515630
0.11,519246
0.11,519247
0.11,519248
0.11,522865
0.1,519249
0.1,522866
0.1,522867
0.1,522868
0.1,526485
0.1,526486
0.09,522869
0.09,522870
0.09,522871
0.09,526487
0.09,526488
0.09,530105
0.09,530106
0.08,522872
0.08,526489
0.08,526490
0.08,526491
0.08,530107
0.08,530108
0.08,530109
0.06,515641
0.06,526492
0.06,526493
0.06,526494
0.06,530110
0.06,530111
0.06,530112
0.02,515642
0.02,515643
0.02,519259
0.02,519260
0.02,519261
0.02,522877
0.02,522878
0.02,522879
0.02,526495
0.02,526496
0.02,526497
0.02,530113
0.02,530114
0.01,515644
0.01,515645
0.01,515646
0.01,519262
0.01,519263
0.01,519264
0.01,522880
0.01,522881
0.01,522882
0.01,526498
0.01,526499
0.01,530115
0.01,530116
0.01,530117
0.35,544424
0.34,540810
0.34,544425
0.34,544426
0.33,533577
0.33,533578
0.33,537193
0.33,537194
0.33,537195
0.33,540811
0.33,540812
0.33,533579
0.33,533580
0.33,537196
0.32,540821
0.32,544437
0.32,544438
0.3,533587
0.3,533588
0.3,533589
0.3,537204
0.3,537205
0.3,537206
0.3,540822
0.3,540823
0.3,544439
0.3,544440
0.3,544441
0.01,533725
0.01,533726
0.01,533727
0.01,537344
0.01,533728
0.01,533729
0.01,537345
0.01,537346
0.01,537347
0.01,540965
0.01,533730
0.01,533731
0.01,533732
0.01,537348
0.01,537349
0.01,537350
0.01,540966
0.01,540967
0.01,544583
0.01,544584
0.01,544585
0.37,548041
0.37,551658
0.36,548042
0.36,548043
0.35,551667
0.35,558901
0.34,548052
0.34,551669
0.34,551670
0.34,555286
0.34,555287
0.34,558902
0.34,558903
0.34,558904
0.32,548053
0.32,548054
0.32,548055
0.32,551671
0.32,551672
0.32,555288
0.32,555289
0.32,555290
0.32,558905
0.32,558906
0.32,558907
0.22,548056
0.22,548057
0.22,548058
0.22,551673
0.22,551674
0.22,551675
0.22,555291
0.22,555292
0.22,558908
0.22,558910
0.18,573166
0.18,576782
0.18,576783
0.17,573167
0.17,573168
0.17,573169
0.17,576784
0.17,576785
0.17,576786
0.17,576787
0.16,576789
0.16,573194
0.16,576810
0.16,576811
0.17,573195
0.17,576812
0.17,576819
0.16,573203
0.16,573204
0.16,573205
0.16,576820
0.16,576821
0.16,576822
0.16,573206
0.16,576823
0.16,576824
0.39,576979
0.37,573363
0.37,573364
0.37,573365
0.37,576980
0.37,576981
0.37,576982
0.35,566132
0.35,566133
0.35,569748
0.35,569749
0.35,569750
0.35,573366
0.35,573367
0.35,576983
0.35,576984
0.35,576985
0.33,562517
0.33,562518
0.33,566134
0.33,566135
0.33,566136
0.33,569751
0.33,569752
0.33,569753
0.33,573368
0.33,573369
0.33,573370
0.33,576986
0.33,576987
0.22,587627
0.22,591243
0.2,584011
0.2,584012
0.2,584013
0.2,587628
0.2,587629
0.2,587630
0.2,591244
0.2,591245
0.2,591246
0.17,580398
0.17,580399
0.17,584014
0.17,584015
0.17,584016
0.17,587631
0.17,587632
0.17,591247
0.17,591249
0.15,580400
0.15,580401
0.15,580402
0.15,584017
0.15,584018
0.15,584019
0.15,587633
0.15,587634
0.15,587635
0.15,591250
0.15,591251
0.15,591252
0.09,580403
0.09,580404
0.09,580405
0.09,584021
0.09,584022
0.09,591253
0.14,580406
0.14,580407
0.14,584023
0.14,584024
0.14,587639
0.14,587640
0.14,587641
0.14,591257
0.14,591258
0.17,584025
0.17,587642
0.17,591259
0.17,587647
0.17,587648
0.17,587649
0.17,591264
0.17,591265
0.17,591266
0.17,587650
0.17,591267
0.17,591269
0.17,584038
0.17,587653
0.17,587654
0.17,587655
0.17,591270
0.17,591271
0.17,591272
0.18,584039
0.18,584040
0.18,587656
0.18,587657
0.18,587658
0.18,591274
0.18,591275
0.18,584042
0.18,584043
0.18,587659
0.18,587660
0.18,587661
0.18,591276
0.18,580428
0.18,584045
0.18,587662
0.18,587663
0.18,587664
0.18,591279
0.18,591280
0.18,584048
0.18,584049
0.18,584050
0.18,587665
0.18,587666
0.18,591281
0.18,591282
0.17,580436
0.17,584052
0.17,584053
0.17,587667
0.17,587668
0.17,587669
0.17,591286
0.16,580440
0.16,580441
0.16,584057
0.16,584058
0.16,587675
0.16,580443
0.16,580444
0.16,584059
0.16,584060
0.16,584061
0.16,587676
0.16,587677
0.16,587678
0.16,591294
0.16,591295
0.16,580445
0.16,580446
0.16,580447
0.16,584062
0.16,584063
0.16,584064
0.16,587679
0.16,587680
0.16,591296
0.16,591297
0.16,580448
0.16,591298
0.38,587829
0.38,587830
0.38,587831
0.38,591446
0.38,591447
0.38,591448
