prob,cell_id
0.09,1571319
0.09,1571320
0.09,1571321
0.09,1571322
0.09,1574936
0.09,1574937
0.09,1574938
0.09,1574939
0.02,1600276
0.02,1600277
0.02,1603892
0.02,1603893
0.02,1603894
0.02,1603895
0.02,1607509
0.02,1607510
0.02,1607511
0.11,1611126
0.11,1611127
0.11,1611128
0.11,1614745
0.14,1611129
0.14,1611130
0.14,1611131
0.14,1611132
0.14,1611133
0.14,1614746
0.14,1614747
0.14,1614748
0.14,1614749
0.08,1614750
0.11,1632852
0.11,1632853
0.11,1632854
0.11,1632855
0.11,1636469
0.11,1636470
0.11,1636471
0.11,1636472
0.11,1640086
0.11,1640087
0.11,1640088
0.11,1640089
0.11,1643704
0.11,1643705
0.11,1643706
0.11,1632856
0.11,1632857
0.11,1632858
0.11,1632859
0.11,1636473
0.11,1636474
0.11,1636475
0.11,1636476
0.11,1640090
0.11,1640091
0.11,1640092
0.11,1640093
0.11,1643707
0.11,1643708
0.11,1643709
0.25,1669026
0.25,1669027
0.25,1669028
0.23,1658180
0.23,1661797
0.38,1672643
0.38,1672644
0.38,1672645
0.38,1676261
0.2,1672646
0.2,1676262
0.6,1693909
0.6,1697525
0.6,1697526
0.6,1701142
0.6,1701143
0.6,1704758
0.6,1708375
0.23,1711976
0.23,1711977
0.23,1730059
0.23,1730060
0.42,1711978
0.42,1711979
0.42,1711980
0.42,1711981
0.42,1711982
0.42,1715596
0.42,1715597
0.42,1715598
0.42,1719214
0.42,1719215
0.42,1722831
0.42,1726448
0.42,1730061
0.35,1711983
0.35,1711984
0.35,1711985
0.35,1711986
0.35,1715599
0.35,1715600
0.35,1715601
0.35,1715602
0.35,1715603
0.35,1719217
0.35,1719218
0.35,1719219
0.35,1722832
0.35,1722834
0.35,1722835
0.35,1722836
0.35,1726449
0.35,1726450
0.35,1726451
0.35,1726452
0.35,1730065
0.35,1730066
0.35,1730067
0.35,1730068
0.35,1730069
0.79,1711987
0.79,1711988
0.79,1711989
0.79,1711990
0.79,1715604
0.79,1715605
0.79,1715606
0.79,1715607
0.79,1719220
0.79,1719221
0.79,1719222
0.79,1719223
0.79,1719224
0.79,1722837
0.79,1722838
0.79,1722839
0.79,1722840
0.79,1726453
0.79,1726454
0.79,1726455
0.79,1726456
0.79,1726457
0.79,1730070
0.79,1730071
0.79,1730072
0.79,1730073
1,1711991
1,1715608
1,1722841
1,1726458
1,1730074
1,1730075
1,1733678
1,1733681
1,1737294
1,1737295
1,1737296
1,1737297
1,1740911
1,1740912
1,1740913
1,1740914
1,1744527
1,1744528
1,1744529
1,1744530
1,1744531
1,1748144
1,1748145
1,1748146
1,1748147
1,1751760
1,1751761
1,1751762
1,1751763
1,1751764
0.5,1733682
0.5,1733683
0.5,1733684
0.5,1733685
0.5,1737298
0.5,1737299
0.5,1737300
0.5,1737301
0.5,1737302
0.5,1740915
0.5,1740916
0.5,1740917
0.5,1740918
0.5,1744532
0.5,1744533
0.5,1744534
0.5,1744535
0.5,1748148
0.5,1748149
0.5,1748150
0.5,1748151
0.5,1748152
0.5,1751765
0.5,1751766
0.5,1751767
0.5,1751768
1,1733686
1,1733687
1,1733688
1,1733689
1,1733690
1,1737303
1,1737304
1,1737305
1,1737306
1,1740919
1,1740920
1,1740921
1,1740922
1,1740923
1,1744536
1,1744537
1,1744538
1,1748153
1,1748154
1,1751769
1,1751770
1,1751771
1,1733691
1,1737307
0.51,1762601
0.51,1762604
0.51,1766218
0.51,1766219
0.51,1766220
0.51,1766221
0.51,1769834
0.51,1769835
0.51,1769836
0.51,1769837
0.51,1769838
0.15,1755373
0.15,1755374
0.15,1755375
0.15,1755376
0.15,1758992
0.15,1762605
0.15,1762606
0.15,1762607
0.15,1762608
0.15,1762609
0.15,1766222
0.15,1766223
0.15,1766224
0.15,1766225
0.15,1769839
0.15,1769840
0.15,1769841
0.15,1769842
0.79,1755377
0.79,1755378
0.79,1755379
0.79,1755380
0.79,1758993
0.79,1758994
0.79,1758995
0.79,1758996
0.79,1758997
0.79,1762610
0.79,1762611
0.79,1762612
0.79,1762613
0.79,1766226
0.79,1766227
0.79,1766228
0.79,1766229
0.79,1766230
0.79,1769843
0.79,1769844
0.79,1769845
0.79,1769846
1,1755381
1,1755382
1,1755383
1,1755384
1,1755385
1,1758998
1,1758999
1,1759000
1,1759001
1,1762614
1,1762615
1,1762616
1,1762617
1,1762618
1,1766231
1,1766232
1,1766233
1,1769847
1,1769848
1,1769849
0.24,1773451
0.24,1773452
0.24,1773453
0.24,1773454
0.24,1777067
0.24,1777068
0.24,1777069
0.24,1777070
0.24,1777071
0.24,1780684
0.24,1780685
0.24,1780686
0.24,1780687
0.24,1784300
0.24,1784301
0.24,1784302
0.24,1784303
0.24,1784304
0.24,1787917
0.24,1787918
0.24,1787919
0.24,1787920
0.24,1791533
0.24,1791534
0.24,1791535
0.24,1791536
0.24,1791537
0.47,1773455
0.47,1773456
0.47,1773457
0.47,1773458
0.47,1773459
0.47,1777072
0.47,1777073
0.47,1777074
0.47,1777075
0.47,1780688
0.47,1780689
0.47,1780690
0.47,1780691
0.47,1780692
0.47,1784305
0.47,1784306
0.47,1784307
0.47,1784308
0.47,1787921
0.47,1787922
0.47,1787923
0.47,1787924
0.47,1787925
0.47,1791538
0.47,1791539
0.47,1791540
0.47,1791541
1,1773460
1,1773461
1,1773462
1,1773463
1,1777076
1,1777077
1,1777078
1,1777079
1,1777080
1,1780693
1,1780694
1,1780695
1,1780696
1,1784309
1,1784310
1,1784311
1,1784312
1,1784313
1,1787926
1,1787927
1,1787928
1,1791542
1,1791543
1,1791544
1,1773464
1,1780697
1,1798756
1,1798757
1,1802371
1,1802372
1,1802373
1,1805986
1,1805987
1,1805988
1,1805989
1,1805990
1,1809603
1,1809604
1,1809605
1,1809606
1,1813219
1,1813220
1,1813221
1,1813222
1,1813223
1,1795141
1,1795142
1,1795145
1,1798758
1,1798759
1,1798760
1,1798761
1,1802374
1,1802375
1,1802376
1,1802377
1,1802378
1,1805991
1,1805992
1,1805993
1,1805994
1,1809607
1,1809608
1,1809609
1,1809610
1,1809611
1,1813224
1,1813225
1,1813226
1,1813227
0.47,1795150
0.47,1795151
0.47,1795152
0.47,1795153
0.47,1798767
0.47,1798768
0.47,1798769
0.47,1798770
0.47,1802383
0.47,1802384
0.47,1802385
0.47,1802386
0.47,1802387
0.47,1806000
0.47,1806001
0.47,1806002
0.47,1806003
0.47,1809616
0.47,1809617
0.47,1809618
0.47,1809619
0.47,1809620
0.47,1813233
0.47,1813234
0.47,1813235
0.47,1813236
1,1795154
1,1795155
1,1795156
1,1795157
1,1795158
1,1798771
1,1798772
1,1798773
1,1798774
1,1802388
1,1802389
1,1802390
1,1806004
1,1806005
1,1806006
1,1806007
1,1809621
1,1809622
1,1813237
1,1795159
1,1795160
1,1798775
0.03,1816836
0.03,1816837
0.03,1816838
0.03,1816839
0.03,1820453
0.03,1820454
0.03,1820455
0.03,1820456
0.03,1824069
0.03,1824070
0.03,1824071
0.03,1824072
0.03,1824073
0.03,1827686
0.03,1827687
0.03,1827688
0.03,1827689
0.03,1831302
0.03,1831303
0.03,1831304
0.03,1831305
0.03,1831306
0.03,1834919
0.03,1834920
0.03,1834921
0.03,1834922
0.44,1816840
0.44,1816841
0.44,1816842
0.44,1816843
0.44,1816844
0.44,1820457
0.44,1820458
0.44,1820459
0.44,1820460
0.44,1824074
0.44,1824075
0.44,1824076
0.44,1824077
0.44,1827690
0.44,1827691
0.44,1827692
0.44,1827693
0.44,1827694
0.44,1831307
0.44,1831308
0.44,1831309
0.44,1831310
0.44,1834923
0.44,1834924
0.44,1834925
0.44,1834926
0.44,1834927
1,1816845
1,1816846
1,1816847
1,1816848
1,1820461
1,1820462
1,1820463
1,1820464
1,1820465
1,1824078
1,1824079
1,1824080
1,1824081
1,1824082
1,1827695
1,1827696
1,1827697
1,1827698
1,1831311
1,1831312
1,1834928
1,1816849
1,1816850
1,1816851
1,1816852
1,1816853
1,1820466
1,1820467
1,1820468
1,1824083
1,1824084
1,1827699
1,1816854
0.45,1828247
0.45,1828248
0.45,1831863
0.45,1831864
0.45,1831865
0.45,1835480
0.45,1835481
0.45,1835482
1,1838529
1,1838530
1,1842143
1,1842145
1,1842146
1,1845759
1,1845760
1,1845761
1,1845762
1,1845763
1,1849376
1,1849377
1,1849378
1,1849379
1,1849380
1,1852993
1,1852994
1,1852995
1,1852996
0.26,1838531
0.26,1838532
0.26,1838533
0.26,1838534
0.26,1842147
0.26,1842148
0.26,1842149
0.26,1842150
0.26,1842151
0.26,1845764
0.26,1845765
0.26,1845766
0.26,1845767
0.26,1849381
0.26,1849382
0.26,1849383
0.26,1849384
0.26,1852997
0.26,1852998
0.26,1852999
0.26,1853000
0.26,1853001
1,1838535
1,1838536
1,1838537
1,1838538
1,1838539
1,1842152
1,1842153
1,1842154
1,1842155
1,1845768
1,1845769
1,1845770
1,1845771
1,1845772
1,1849385
1,1849386
1,1849387
1,1849388
1,1853002
1,1853003
1,1853004
1,1853005
1,1838540
1,1838541
1,1838542
1,1838543
1,1842156
1,1842157
1,1842158
1,1845773
1,1845774
1,1838544
0.55,1839090
0.55,1839091
0.55,1842706
0.55,1842707
0.55,1842708
0.55,1842709
0.55,1846323
0.55,1846324
0.55,1849941
0.55,1849942
0.55,1849943
0.55,1853559
0.51,1842710
0.51,1842711
0.51,1842712
0.51,1846328
0.51,1846329
0.51,1846330
0.51,1849944
0.51,1849945
0.51,1849946
0.51,1853560
0.51,1853561
0.51,1853562
0.51,1853564
0.48,1839098
0.48,1853565
0.59,1856601
0.59,1856602
0.59,1856603
0.59,1856604
0.59,1860218
0.59,1860219
0.59,1860220
0.59,1863835
0.59,1863836
0.59,1863837
0.59,1867451
0.59,1867452
0.59,1867453
0.59,1871067
0.59,1871068
0.59,1871069
0.59,1871070
0.59,1874683
0.59,1874684
0.59,1874685
0.59,1874686
0.59,1874687
0.44,1856609
0.44,1856610
0.44,1856611
0.44,1856612
0.44,1856613
0.44,1860226
0.44,1860227
0.44,1860228
0.44,1860229
0.44,1863842
0.44,1863843
0.44,1863844
0.44,1863845
0.44,1863846
0.44,1867459
0.44,1867460
0.44,1867461
0.44,1867462
0.44,1871075
0.44,1871076
0.44,1871077
0.44,1871078
0.44,1871079
0.44,1874692
0.44,1874693
0.44,1874694
0.44,1874695
0.44,1874696
1,1856614
1,1856615
1,1856616
1,1856617
1,1860230
1,1860231
1,1860232
1,1860233
1,1860234
1,1863847
1,1863848
1,1863849
1,1863850
1,1867463
1,1867464
1,1867465
1,1867466
1,1871080
1,1871081
1,1871082
1,1871083
1,1874697
1,1856618
1,1856619
1,1856620
1,1860235
