prob,cell_id
0.02,2970590
0.02,2970591
0.02,2974207
0.02,2974208
0.02,2974209
0.02,2977825
0.02,2977826
0.02,2981443
0.02,2985060
0.01,2995911
0.01,2999528
0.01,3003145
0.01,3006762
0.01,3010379
0.01,2992295
0.01,2992296
0.01,2995912
0.01,2995913
0.01,2999529
0.01,3006763
0.01,3010380
0.01,3010381
0.01,3024846
0.01,3028463
0.01,3032080
0.02,3013997
0.02,3013998
0.02,3017614
0.02,3017615
0.02,3021231
0.02,3021232
0.02,3024847
0.02,3024848
0.02,3024849
0.02,3028464
0.02,3028465
0.02,3032081
0.03,3035698
0.03,3035699
0.03,3039315
0.03,3039316
0.03,3042932
0.03,3042933
0.03,3046549
0.03,3046550
0.03,3050166
0.03,3050167
0.03,3053783
0.03,3053784
0.03,3057400
0.03,3057401
0.03,3061017
0.03,3061018
0.03,3064634
0.03,3064635
0.03,3068251
0.03,3068252
0.03,3071867
0.03,3071868
0.03,3071869
0.03,3075484
0.03,3075485
0.03,3075486
0.08,3100761
0.08,3100762
0.04,3079100
0.04,3082717
0.04,3086334
0.04,3089951
0.04,3093568
0.04,3097185
0.04,3100802
0.04,3079101
0.04,3079102
0.04,3079103
0.04,3082718
0.04,3082719
0.04,3086335
0.04,3086336
0.04,3089952
0.04,3089953
0.04,3089954
0.04,3093569
0.04,3093570
0.04,3093571
0.04,3097186
0.04,3097187
0.04,3097188
0.04,3097189
0.04,3100803
0.04,3100804
0.04,3100805
0.04,3100806
0.06,3104419
0.06,3108036
0.06,3111653
0.06,3115270
0.06,3118886
0.06,3118887
0.06,3122503
0.06,3122504
0.05,3104420
0.05,3104421
0.05,3104422
0.05,3104423
0.05,3104424
0.05,3108037
0.05,3108038
0.05,3108039
0.05,3108040
0.05,3108041
0.05,3111654
0.05,3111655
0.05,3111656
0.05,3111657
0.05,3115271
0.05,3115272
0.05,3115273
0.05,3115274
0.05,3118888
0.05,3118889
0.05,3118890
0.05,3122505
0.05,3122506
0.05,3122507
0.08,3136967
0.08,3140584
0.08,3144199
0.08,3144200
0.08,3144201
0.06,3126120
0.06,3126121
0.06,3129736
0.06,3129737
0.06,3129738
0.06,3133352
0.06,3133353
0.06,3133354
0.06,3133355
0.06,3136968
0.06,3136969
0.06,3136970
0.06,3136971
0.06,3136972
0.06,3140585
0.06,3140586
0.06,3140587
0.06,3140588
0.06,3144202
0.06,3144203
0.06,3144204
0.06,3144205
0.08,3126122
0.08,3126123
0.08,3129739
0.08,3129740
0.09,3162280
0.09,3165896
0.09,3165897
0.08,3147815
0.08,3147816
0.08,3147817
0.08,3147818
0.08,3151431
0.08,3151432
0.08,3151433
0.08,3151434
0.08,3155047
0.08,3155048
0.08,3155049
0.08,3155050
0.08,3155051
0.08,3158664
0.08,3158665
0.08,3158666
0.08,3158667
0.08,3158668
0.08,3162281
0.08,3162282
0.08,3162283
0.08,3162284
0.08,3162285
0.08,3165898
0.08,3165900
0.08,3165901
0.08,3165902
