prob,cell_id
0.51,764046
0.51,764047
0.51,764048
0.51,767661
0.51,767662
0.51,767663
0.51,771278
0.51,774891
0.51,774892
0.51,774893
0.73,760434
0.73,760435
0.73,760436
0.73,764049
0.73,764050
0.73,764051
0.73,767664
0.73,767665
0.73,767666
0.73,771279
0.73,771280
0.73,771281
0.73,774894
0.73,774895
0.73,774896
0.72,760437
0.72,760438
0.72,760439
0.72,764052
0.72,764053
0.72,764054
0.72,767667
0.72,767668
0.72,767669
0.72,771282
0.72,771283
0.72,771284
0.72,774897
0.72,774898
0.72,774899
0.8,760440
0.8,760441
0.8,760442
0.8,764055
0.8,764056
0.8,764057
0.8,764058
0.8,767670
0.8,767671
0.8,771285
0.8,771286
0.8,771287
0.8,771288
0.8,774900
0.8,774901
0.8,774902
0.8,774903
0.98,760443
0.98,760444
0.98,760445
0.98,760446
0.98,764059
0.98,764060
0.98,764061
0.98,767674
0.98,767675
0.98,767676
0.98,771290
0.98,771291
0.98,774904
0.98,774905
0.98,774906
0.07,760447
0.07,764062
0.07,764063
0.07,764064
0.07,767677
0.07,767678
0.07,767679
0.07,771292
0.07,771293
0.07,771294
0.07,774907
0.07,774908
0.07,774909
0.41,789348
0.41,789349
0.33,789353
0.97,778509
0.97,778510
0.97,778511
0.97,782124
0.97,782125
0.97,782126
0.97,785739
0.97,785740
0.97,785741
0.97,789354
0.97,789355
0.97,789356
0.79,778512
0.79,778513
0.79,778514
0.79,782127
0.79,782128
0.79,782129
0.79,785742
0.79,785743
0.79,785744
0.79,785745
0.79,789357
0.79,789358
0.79,789359
0.79,789360
0.85,778515
0.85,778516
0.85,778517
0.85,778518
0.85,782130
0.85,782131
0.85,782132
0.85,782133
0.85,785746
0.85,785747
0.85,785748
0.85,789361
0.85,789362
0.85,789363
0.94,778519
0.94,778520
0.94,778521
0.94,782134
0.94,782135
0.94,782136
0.94,785749
0.94,785750
0.94,785751
0.94,789364
0.94,789365
1,778522
1,778523
1,778524
1,782137
1,782138
1,782139
1,785752
1,785753
1,778525
1,778526
1,778527
1,782140
1,782141
1,782142
1,778528
1,778529
1,778530
1,778531
1,782143
1,782144
1,782145
1,782146
1,785760
1,785761
1,778532
1,778533
1,782147
1,782148
1,785762
1,785763
1,785764
