prob,cell_id
0.23,764046
0.23,764047
0.23,764048
0.23,767661
0.23,767662
0.23,767663
0.23,771278
0.23,774891
0.23,774892
0.23,774893
0.21,760434
0.21,760435
0.21,760436
0.21,764049
0.21,764050
0.21,764051
0.21,767664
0.21,767665
0.21,767666
0.21,771279
0.21,771280
0.21,771281
0.21,774894
0.21,774895
0.21,774896
0.22,760437
0.22,760438
0.22,760439
0.22,764052
0.22,764053
0.22,764054
0.22,767667
0.22,767668
0.22,767669
0.22,771282
0.22,771283
0.22,771284
0.22,774897
0.22,774898
0.22,774899
0.34,760440
0.34,760441
0.34,760442
0.34,764055
0.34,764056
0.34,764057
0.34,764058
0.34,767670
0.34,767671
0.34,771285
0.34,771286
0.34,771287
0.34,771288
0.34,774900
0.34,774901
0.34,774902
0.34,774903
0.65,760443
0.65,760444
0.65,760445
0.65,760446
0.65,764059
0.65,764060
0.65,764061
0.65,767674
0.65,767675
0.65,767676
0.65,771290
0.65,771291
0.65,774904
0.65,774905
0.65,774906
0.28,789353
0.54,778509
0.54,778510
0.54,778511
0.54,782124
0.54,782125
0.54,782126
0.54,785739
0.54,785740
0.54,785741
0.54,789354
0.54,789355
0.54,789356
0.32,778512
0.32,778513
0.32,778514
0.32,782127
0.32,782128
0.32,782129
0.32,785742
0.32,785743
0.32,785744
0.32,785745
0.32,789357
0.32,789358
0.32,789359
0.32,789360
0.44,778515
0.44,778516
0.44,778517
0.44,778518
0.44,782130
0.44,782131
0.44,782132
0.44,782133
0.44,785746
0.44,785747
0.44,785748
0.44,789361
0.44,789362
0.44,789363
0.61,778519
0.61,778520
0.61,778521
0.61,782134
0.61,782135
0.61,782136
0.61,785749
0.61,785750
0.61,785751
0.61,789364
0.61,789365
0.73,778522
0.73,778523
0.73,778524
0.73,782137
0.73,782138
0.73,782139
0.73,785752
0.73,785753
0.71,778525
0.71,778526
0.71,778527
0.71,782140
0.71,782141
0.71,782142
0.7,778528
0.7,778529
0.7,778530
0.7,778531
0.7,782143
0.7,782144
0.7,782145
0.7,782146
0.7,785760
0.7,785761
0.69,778532
0.69,778533
0.69,782147
0.69,782148
0.69,785762
0.69,785763
0.69,785764
0.69,789379
0.6,792960
0.6,792961
0.6,792962
0.6,796574
0.6,796575
0.6,796576
0.6,796577
0.6,800190
0.6,800191
0.6,800192
0.6,803805
0.6,803806
0.6,803807
0.6,807420
0.6,807421
0.6,807422
0.63,792963
0.63,792964
0.63,792965
0.63,796578
0.63,796579
0.63,796580
0.63,800193
0.63,800194
0.63,800195
0.63,803808
0.63,803809
0.63,807423
0.65,792966
0.65,792967
0.65,792968
0.65,796581
0.65,796582
0.65,796583
0.65,800196
0.66,792969
0.66,792970
0.66,792971
0.66,796584
0.66,796585
0.66,796586
0.66,800202
0.65,792972
0.65,792973
0.65,792974
0.65,792975
0.65,796587
0.65,796588
0.65,796589
0.65,796590
0.65,800203
0.65,800204
0.65,800205
0.66,792976
0.66,792977
0.66,792978
0.66,796591
0.66,796592
0.66,796593
0.66,800206
0.66,800207
0.66,800208
0.25,807443
0.76,792992
0.76,792993
0.76,792994
0.76,796607
0.76,796608
0.76,796609
0.76,800224
0.77,792995
0.77,792996
0.77,792997
0.77,796610
0.77,796611
0.77,796612
0.77,800225
0.77,800226
0.77,800227
0.8,792998
0.8,792999
0.8,793000
0.8,793001
0.8,796613
0.79,793011
0.79,793012
0.79,793013
0.79,793014
0.79,796626
0.79,796627
0.79,796628
0.79,796629
0.79,800243
0.79,800244
0.79,793015
0.79,793016
0.79,796630
0.79,796631
0.79,800245
0.79,800246
0.79,800247
0.74,800252
0.74,800253
0.74,800254
0.74,803867
0.74,803868
0.74,803869
0.74,807484
0.71,793025
0.71,793026
0.71,793027
0.71,796639
0.71,796640
0.71,796641
0.71,796642
0.71,800255
0.71,800256
0.71,800257
0.71,803870
0.71,803871
0.71,803872
0.71,807485
0.71,807486
0.71,807487
0.51,811025
0.51,811026
0.51,814640
0.51,814642
0.51,818255
0.51,818256
0.51,818257
0.51,821870
0.51,821871
0.51,821872
0.51,825485
0.51,825486
0.51,825487
0.59,811029
0.59,811030
0.59,814643
0.59,814644
0.59,814645
0.59,814646
0.59,818258
0.59,818259
0.59,818260
0.59,818261
0.59,821873
0.59,821874
0.59,821875
0.62,811031
0.62,811032
0.62,811033
0.62,811034
0.62,814647
0.62,814648
0.62,814649
0.62,818262
0.77,811058
0.77,811059
0.77,814673
0.77,814674
0.77,814675
0.85,811102
0.85,811103
0.85,814718
0.83,814719
0.83,814720
0.83,818335
0.83,818336
0.83,821951
0.38,829187
0.38,829188
0.38,829189
0.38,832803
0.38,832804
0.38,836419
0.77,832805
0.77,836420
0.77,836421
0.77,840035
0.77,840036
0.77,840037
0.77,840038
0.77,843652
0.77,843653
