prob,cell_id
0.67,435966
0.66,435967
0.66,435968
0.66,435969
0.65,432353
0.65,432354
0.65,435970
0.65,435971
0.65,435972
0.65,435973
0.65,435974
0.64,432357
0.64,432358
0.64,432359
0.64,435975
0.64,435976
0.64,432360
0.64,435977
0.64,435978
0.64,435979
0.64,435983
0.64,435984
0.63,432367
0.63,432368
0.63,435985
0.63,435986
0.63,435987
0.63,435988
0.62,435989
0.62,435990
0.06,450419
0.35,450420
0.68,446809
0.68,450426
0.67,446810
0.67,446811
0.67,450427
0.67,450428
0.67,450429
0.65,439577
0.65,439578
0.65,439579
0.65,443195
0.65,443196
0.65,446812
0.65,446813
0.65,446814
0.65,450430
0.65,450431
0.64,439580
0.64,439581
0.64,443197
0.64,443198
0.64,443199
0.64,446815
0.64,446816
0.64,450432
0.64,450433
0.64,450434
0.62,439582
0.62,439583
0.62,439584
0.62,443200
0.62,443201
0.62,446817
0.62,446818
0.62,446819
0.62,450435
0.62,450436
0.6,439585
0.6,439586
0.6,443202
0.6,443203
0.6,443204
0.6,446820
0.6,446821
0.6,450437
0.6,450438
0.6,450439
0.6,439587
0.6,439588
0.6,439589
0.6,443205
0.6,443206
0.6,446822
0.6,446823
0.6,450440
0.6,439590
0.6,439591
0.6,443207
0.6,443208
0.6,443209
0.6,450443
0.6,450444
0.6,439592
0.6,439593
0.6,439594
0.6,443210
0.6,443211
0.6,446827
0.6,446828
0.6,446829
0.6,450445
0.6,450446
0.61,439595
0.61,439596
0.61,443212
0.61,443213
0.61,443214
0.61,446830
0.61,450447
0.61,450448
0.61,450449
0.62,439597
0.62,439598
0.62,439599
0.62,443215
0.62,443216
0.62,446832
0.62,446833
0.62,446834
0.62,450450
0.62,450451
0.62,439600
0.62,439601
0.62,443217
0.62,443218
0.62,443219
0.62,446835
0.62,446836
0.62,450452
0.62,450453
0.61,439605
0.61,439606
0.61,443222
0.61,443223
0.61,443224
0.61,446840
0.61,446841
0.61,450457
0.61,450458
0.61,450459
0.61,439607
0.61,439608
0.61,443225
0.61,443226
0.61,446842
0.61,439609
0.61,439610
0.61,439611
0.61,443227
0.61,443228
0.61,443229
0.61,446846
0.61,450463
0.61,443230
0.61,443231
0.61,446847
0.61,446848
0.61,446849
0.61,450465
0.61,450466
0.61,446850
0.61,446851
0.61,450467
0.61,450468
0.61,450469
0.61,450470
0.61,450471
0.7,468494
0.7,468496
0.68,464879
0.68,464880
0.68,464881
0.68,468497
0.68,468498
0.68,457648
0.68,457649
0.68,461264
0.68,461265
0.68,461266
0.68,464882
0.68,464883
0.68,468499
0.68,468500
0.68,468501
0.68,454034
0.68,457650
0.68,457651
0.68,461267
0.68,461268
0.68,464884
0.68,464885
0.68,464886
0.68,468502
0.68,468503
0.67,454035
0.67,454036
0.67,457653
0.67,461269
0.67,461270
0.67,461271
0.67,464887
0.67,464888
0.67,468504
0.67,468505
0.67,468506
0.67,461272
0.67,461273
0.67,461274
0.67,464889
0.67,464890
0.67,464891
0.67,468507
0.67,468508
0.66,457659
0.66,461275
0.66,461276
0.66,464892
0.66,464893
0.66,468509
0.66,468510
0.66,468511
0.65,454043
0.65,454044
0.65,457660
0.65,457661
0.65,461277
0.65,461278
0.65,461279
0.65,464894
0.65,464895
0.65,464896
0.65,468512
0.65,468513
0.63,454045
0.63,454046
0.63,457662
0.63,457663
0.63,457664
0.63,461280
0.63,461281
0.63,464897
0.63,464898
0.63,464899
0.63,468514
0.63,468515
0.63,468516
0.61,454047
0.61,454048
0.61,454049
0.61,457665
0.61,457666
0.61,461282
0.61,461283
0.61,461284
0.61,464900
0.61,464901
0.6,454050
0.6,454051
0.6,457667
0.6,457668
0.6,457669
0.6,461285
0.6,461286
0.6,464902
0.6,464903
0.6,468519
0.6,468520
0.6,468521
0.56,454060
0.56,454061
0.56,457677
0.56,457678
0.56,457679
0.56,461295
0.56,461296
0.56,464912
0.56,464913
0.58,464932
0.58,464933
0.58,464934
0.58,468550
0.58,468551
0.58,468552
0.59,454084
0.59,464935
0.59,464936
0.59,468553
0.59,468554
0.59,454085
0.59,454086
0.59,464937
0.59,464938
0.59,464939
0.59,468555
0.59,468556
0.6,454087
0.6,454088
0.6,454089
0.6,457706
0.6,461322
0.6,461323
0.6,461324
0.6,464940
0.6,454090
0.6,457707
0.6,457708
0.6,461325
0.6,468562
0.43,468564
0.37,468565
0.37,468566
0.37,468567
0.03,479340
0.03,482957
0.72,479341
0.72,479342
0.72,479343
0.72,482958
0.72,482959
0.72,482960
0.69,479344
0.69,479345
0.69,482961
0.69,482962
0.66,472112
0.66,472113
0.66,475729
0.66,475730
0.66,479346
0.66,479347
0.66,479348
0.66,482963
0.66,482964
0.66,482965
0.63,472114
0.63,472115
0.63,472116
0.63,475731
0.63,475732
0.63,475733
0.63,479349
0.63,479350
0.63,482966
0.63,482967
0.63,482968
0.58,472118
0.58,475734
0.58,475735
0.58,479351
0.58,482969
0.62,472119
0.62,472120
0.62,472121
0.62,475736
0.62,475737
0.62,475738
0.62,479354
0.62,479355
0.62,482971
0.62,482972
0.62,482973
0.62,472122
0.62,472123
0.62,475739
0.62,475740
0.62,475741
0.62,479356
0.62,479357
0.62,479358
0.62,482975
0.62,472124
0.62,472125
0.62,472126
0.62,475742
0.62,475743
0.62,479359
0.62,482976
0.62,482977
0.62,482978
0.39,472170
0.39,472171
0.39,472172
0.39,475788
0.39,475789
0.39,479405
0.58,472175
0.58,472176
0.58,472177
0.58,475793
0.58,475794
0.58,472178
0.58,472179
0.58,475795
0.58,475796
0.58,475797
0.58,479414
0.58,472180
0.58,472181
0.58,472182
0.58,475798
0.58,475799
0.58,479415
0.58,479416
0.58,479417
0.58,483035
0.58,472183
0.58,472184
0.58,475800
0.58,475801
0.58,475802
0.58,479418
0.58,479419
0.58,479420
0.58,483036
0.58,483037
0.58,472185
0.58,472186
0.58,472187
0.58,475803
0.58,475804
0.58,475805
0.58,479421
0.58,479422
0.58,483038
0.58,483039
0.58,483040
0.58,472188
0.58,475806
0.58,475807
0.58,479423
0.58,479424
0.58,483041
0.58,483042
0.74,493801
0.74,497417
0.74,497418
0.74,497419
0.73,490185
0.73,490186
0.73,490187
0.73,493802
0.73,493803
0.73,493804
0.73,497420
0.73,497421
0.71,486570
0.71,486571
0.71,490188
0.71,490189
0.71,493805
0.71,497422
0.71,497423
0.71,497424
0.7,486574
0.7,486575
0.7,490191
0.7,490192
0.7,493808
0.7,493809
0.7,497425
0.7,497426
0.7,497427
0.69,486576
0.69,486577
0.69,490193
0.69,493810
0.69,493811
0.69,493812
0.69,497428
0.69,497429
0.67,486578
0.67,486579
0.67,486580
0.67,490197
0.67,493813
0.67,493814
0.67,497430
0.65,486581
0.65,486582
0.65,490198
0.65,490200
0.65,493815
0.65,493816
0.62,486583
0.62,486584
0.62,486585
0.62,490201
0.62,490202
0.6,486586
0.6,486587
0.6,486588
0.6,490203
0.6,490204
0.6,490205
0.6,493822
0.56,486657
0.56,490274
0.56,490275
0.56,486658
0.56,486659
0.56,486660
0.56,490277
0.56,490278
0.56,493895
0.56,497511
0.56,497512
0.56,497513
0.57,486661
0.57,486662
0.57,486663
0.57,490279
0.57,490280
0.57,493896
0.57,486664
0.57,486665
0.57,490281
0.57,490282
0.57,490283
0.56,486666
0.56,490284
0.56,490285
0.56,493903
0.57,490286
0.57,490287
0.57,490288
0.57,493904
0.57,493905
0.74,504648
0.74,508265
0.74,511882
0.71,501032
0.71,501033
0.71,504649
0.71,504650
0.71,504651
0.71,508266
0.71,508267
0.71,508268
0.71,511883
0.71,511884
0.71,511885
0.7,501034
0.7,501035
0.7,501036
0.7,504652
0.7,504653
0.7,508269
0.7,508270
0.7,508271
0.7,511886
0.7,511887
0.7,511888
0.69,501037
0.69,501038
0.69,501039
0.69,504654
0.69,504656
0.69,508272
0.69,508273
0.69,511889
0.69,511890
0.69,501040
0.69,501041
0.69,504657
0.69,504658
0.69,504659
0.69,508274
0.69,508275
0.69,508276
0.69,511891
0.69,511892
0.69,511893
0.64,501042
0.64,501043
0.64,501044
0.64,504660
0.64,504661
0.64,508277
0.64,508278
0.64,511894
0.65,501045
0.65,501046
0.65,504662
0.65,504663
0.65,504664
0.65,508279
0.65,508280
0.65,508281
0.65,511897
0.75,529960
0.75,529961
0.74,519112
0.74,522728
0.74,522729
0.74,526344
0.74,526345
0.74,526346
0.74,529962
0.74,529963
0.73,519113
0.73,519114
0.73,522730
0.73,522731
0.73,522732
0.73,526347
0.73,526348
0.73,526349
0.73,529964
0.73,529965
0.73,529966
0.72,515498
0.72,515499
0.72,515500
0.72,519115
0.72,519116
0.72,519117
0.72,522733
0.72,522734
0.72,526350
0.72,526351
0.72,526352
0.71,515501
0.71,515502
0.71,519118
0.71,519119
0.71,519120
0.71,522735
0.71,522736
0.71,522737
0.71,526353
0.71,526354
0.71,529971
0.66,515503
0.66,515504
0.66,515505
0.66,519121
0.66,519122
0.66,522738
0.66,522739
0.66,522740
0.66,526356
0.66,526357
0.66,529972
0.66,529973
0.66,529974
0.65,515506
0.65,515507
0.65,515508
0.65,519123
0.65,519124
0.65,519125
0.65,522741
0.65,522742
0.65,526358
0.65,526359
0.65,526360
0.65,529975
0.65,529976
0.65,529977
0.62,515509
0.62,515510
0.62,519126
0.62,519127
0.62,519128
0.62,522743
0.62,522744
0.62,522745
0.62,526361
0.62,526362
0.62,529978
0.62,529979
0.62,529980
0.63,515511
0.63,515512
0.63,515513
0.63,519129
0.63,519130
0.63,522746
0.63,522747
0.63,526363
0.63,526364
0.63,529981
0.62,515514
0.62,515515
0.62,515516
0.62,519131
0.62,519132
0.62,519133
0.62,522749
0.62,522750
0.62,526367
0.77,544424
0.76,540810
0.76,544425
0.76,544426
0.75,533577
0.75,533578
0.75,537193
0.75,537194
0.75,537195
0.75,540811
0.75,540812
0.75,533579
0.75,533580
0.75,537196
0.75,540821
0.75,544437
0.75,544438
0.73,533587
0.73,533588
0.73,533589
0.73,537204
0.73,537205
0.73,537206
0.73,540822
0.73,540823
0.73,544439
0.73,544440
0.73,544441
0.7,533590
0.7,533591
0.7,537207
0.7,537208
0.7,537209
0.7,540824
0.7,540825
0.7,540826
0.7,544442
0.7,544443
0.67,533592
0.67,533593
0.67,533594
0.67,537210
0.67,537211
0.67,540827
0.67,540828
0.67,544444
0.67,544445
0.67,544446
0.8,548041
0.8,551658
0.79,548042
0.79,548043
0.78,551667
0.78,558901
0.76,548052
0.76,551669
0.76,551670
0.76,555286
0.76,555287
0.76,558902
0.76,558903
0.76,558904
0.74,548053
0.74,548054
0.74,548055
0.74,551671
0.74,551672
0.74,555288
0.74,555289
0.74,555290
0.74,558905
0.74,558906
0.74,558907
0.67,548056
0.67,548057
0.67,548058
0.67,551673
0.67,551674
0.67,551675
0.67,555291
0.67,555292
0.67,558908
0.67,558910
0.68,548059
0.68,551676
0.68,551678
0.68,555293
0.68,555294
0.68,555295
0.68,558912
0.83,576979
0.81,573363
0.81,573364
0.81,573365
0.81,576980
0.81,576981
0.81,576982
0.78,566132
0.78,566133
0.78,569748
0.78,569749
0.78,569750
0.78,573366
0.78,573367
0.78,576983
0.78,576984
0.78,576985
0.75,562517
0.75,562518
0.75,566134
0.75,566135
0.75,566136
0.75,569751
0.75,569752
0.75,569753
0.75,573368
0.75,573369
0.75,573370
0.75,576986
0.75,576987
0.75,562519
0.75,562520
0.75,562521
0.75,566137
0.75,566138
0.75,569754
0.75,569755
0.75,573371
0.75,573372
0.75,576988
0.75,576989
0.82,587829
0.82,587830
0.82,587831
0.82,591446
0.82,591447
0.82,591448
0.78,580598
0.78,580599
0.78,584214
0.78,584215
0.78,584216
0.78,587832
0.78,587833
0.78,591449
0.78,591450
0.78,591451
0.75,580600
0.75,580601
0.75,580602
0.75,584217
0.75,584218
0.75,584219
0.75,587834
0.75,587835
0.75,587836
0.75,591452
0.75,591453
0.73,580603
0.73,580604
0.73,584220
0.73,584221
0.73,584222
0.73,587837
