prob,cell_id
0.01,341888
0.01,341889
0.01,345506
0.01,345507
0.01,349123
0.01,349124
0.01,421601
0.2,435966
0.19,435967
0.19,435968
0.19,435969
0.19,432353
0.19,432354
0.19,435970
0.19,435971
0.18,435972
0.18,435973
0.18,435974
0.18,432357
0.18,432358
0.18,432359
0.18,435975
0.18,435976
0.18,432360
0.18,435977
0.18,435978
0.18,435979
0.18,435983
0.18,435984
0.18,432367
0.18,432368
0.18,435985
0.18,435986
0.17,435987
0.17,435988
0.17,435989
0.17,435990
0.01,439425
0.01,439426
0.01,443042
0.03,450419
0.11,450420
0.2,446809
0.2,450426
0.2,446810
0.2,446811
0.2,450427
0.2,450428
0.2,450429
0.19,439577
0.19,439578
0.19,439579
0.19,443195
0.19,443196
0.19,446812
0.19,446813
0.19,446814
0.19,450430
0.19,450431
0.18,439580
0.18,439581
0.18,443197
0.18,443198
0.18,443199
0.18,446815
0.18,446816
0.18,450432
0.18,450433
0.18,450434
0.17,439582
0.17,439583
0.17,439584
0.17,443200
0.17,443201
0.17,446817
0.17,446818
0.17,446819
0.17,450435
0.17,450436
0.16,439585
0.16,439586
0.16,443202
0.16,443203
0.16,443204
0.16,446820
0.16,446821
0.16,450437
0.16,450438
0.16,450439
0.16,439587
0.16,439588
0.16,439589
0.16,443205
0.16,443206
0.16,446822
0.16,446823
0.16,450440
0.16,439590
0.16,439591
0.16,443207
0.16,443208
0.16,443209
0.16,450443
0.16,450444
0.16,439592
0.16,439593
0.16,439594
0.16,443210
0.16,443211
0.16,446827
0.16,446828
0.16,446829
0.16,450445
0.16,450446
0.16,439595
0.16,439596
0.16,443212
0.16,443213
0.16,443214
0.16,446830
0.16,450447
0.16,450448
0.16,450449
0.17,439597
0.17,439598
0.17,439599
0.17,443215
0.17,443216
0.17,446832
0.17,446833
0.17,446834
0.17,450450
0.17,450451
0.17,439600
0.17,439601
0.17,443217
0.17,443218
0.17,443219
0.17,446835
0.17,446836
0.17,450452
0.17,450453
0.16,439605
0.16,439606
0.16,443222
0.16,443223
0.16,443224
0.16,446840
0.16,446841
0.16,450457
0.16,450458
0.16,450459
0.16,439607
0.16,439608
0.16,443225
0.16,443226
0.16,446842
0.17,439609
0.17,439610
0.17,439611
0.17,443227
0.17,443228
0.17,443229
0.17,446846
0.17,450463
0.17,443230
0.17,443231
0.17,446847
0.17,446848
0.17,446849
0.17,450465
0.17,450466
0.17,446850
0.17,446851
0.17,450467
0.17,450468
0.17,450469
0.16,450470
0.16,450471
0.21,468494
0.21,468496
0.21,464879
0.21,464880
0.21,464881
0.21,468497
0.21,468498
0.2,457648
0.2,457649
0.2,461264
0.2,461265
0.2,461266
0.2,464882
0.2,464883
0.2,468499
0.2,468500
0.2,468501
0.2,454034
0.2,457650
0.2,457651
0.2,461267
0.2,461268
0.2,464884
0.2,464885
0.2,464886
0.2,468502
0.2,468503
0.2,454035
0.2,454036
0.2,457653
0.2,461269
0.2,461270
0.2,461271
0.2,464887
0.2,464888
0.2,468504
0.2,468505
0.2,468506
0.2,461272
0.2,461273
0.2,461274
0.2,464889
0.2,464890
0.2,464891
0.2,468507
0.2,468508
0.19,457659
0.19,461275
0.19,461276
0.19,464892
0.19,464893
0.19,468509
0.19,468510
0.19,468511
0.19,454043
0.19,454044
0.19,457660
0.19,457661
0.19,461277
0.19,461278
0.19,461279
0.19,464894
0.19,464895
0.19,464896
0.19,468512
0.19,468513
0.17,454045
0.17,454046
0.17,457662
0.17,457663
0.17,457664
0.17,461280
0.17,461281
0.17,464897
0.17,464898
0.17,464899
0.17,468514
0.17,468515
0.17,468516
0.16,454047
0.16,454048
0.16,454049
0.16,457665
0.16,457666
0.16,461282
0.16,461283
0.16,461284
0.16,464900
0.16,464901
0.16,454050
0.16,454051
0.16,457667
0.16,457668
0.16,457669
0.16,461285
0.16,461286
0.16,464902
0.16,464903
0.16,468519
0.16,468520
0.16,468521
0.02,461294
0.02,464911
0.13,454060
0.13,454061
0.13,457677
0.13,457678
0.13,457679
0.13,461295
0.13,461296
0.13,464912
0.13,464913
0.1,454062
0.1,454063
0.1,457680
0.1,461297
0.08,454067
0.08,454068
0.08,454069
0.08,457685
0.13,454077
0.13,464930
0.13,464931
0.13,468549
0.14,464932
0.14,464933
0.14,464934
0.14,468550
0.14,468551
0.14,468552
0.15,454084
0.15,464935
0.15,464936
0.15,468553
0.15,468554
0.15,454085
0.15,454086
0.15,464937
0.15,464938
0.15,464939
0.15,468555
0.15,468556
0.16,454087
0.16,454088
0.16,454089
0.16,457706
0.16,461322
0.16,461323
0.16,461324
0.16,464940
0.16,454090
0.16,457707
0.16,457708
0.16,461325
0.16,468562
0.11,468564
0.1,468565
0.1,468566
0.1,468567
0.02,479340
0.02,482957
0.22,479341
0.22,479342
0.22,479343
0.22,482958
0.22,482959
0.22,482960
0.21,479344
0.21,479345
0.21,482961
0.21,482962
0.19,472112
0.19,472113
0.19,475729
0.19,475730
0.19,479346
0.19,479347
0.19,479348
0.19,482963
0.19,482964
0.19,482965
0.18,472114
0.18,472115
0.18,472116
0.18,475731
0.18,475732
0.18,475733
0.18,479349
0.18,479350
0.18,482966
0.18,482967
0.18,482968
0.17,472118
0.17,475734
0.17,475735
0.17,479351
0.17,482969
0.17,472119
0.17,472120
0.17,472121
0.17,475736
0.17,475737
0.17,475738
0.17,479354
0.17,479355
0.17,482971
0.17,482972
0.17,482973
0.17,472122
0.17,472123
0.17,475739
0.17,475740
0.17,475741
0.17,479356
0.17,479357
0.17,479358
0.17,482975
0.17,472124
0.17,472125
0.17,472126
0.17,475742
0.17,475743
0.17,479359
0.17,482976
0.17,482977
0.17,482978
0.12,472127
0.12,472128
0.12,475744
0.08,472129
0.08,472130
0.08,472131
0.08,475748
0.11,472170
0.11,472171
0.11,472172
0.11,475788
0.11,475789
0.11,479405
0.12,472173
0.12,472174
0.12,475790
0.12,475791
0.12,475792
0.12,479408
0.12,479409
0.14,472175
0.14,472176
0.14,472177
0.14,475793
0.14,475794
0.14,472178
0.14,472179
0.14,475795
0.14,475796
0.14,475797
0.14,479414
0.14,472180
0.14,472181
0.14,472182
0.14,475798
0.14,475799
0.14,479415
0.14,479416
0.14,479417
0.14,483035
0.15,472183
0.15,472184
0.15,475800
0.15,475801
0.15,475802
0.15,479418
0.15,479419
0.15,479420
0.15,483036
0.15,483037
0.15,472185
0.15,472186
0.15,472187
0.15,475803
0.15,475804
0.15,475805
0.15,479421
0.15,479422
0.15,483038
0.15,483039
0.15,483040
0.15,472188
0.15,475806
0.15,475807
0.15,479423
0.15,479424
0.15,483041
0.15,483042
0.24,493801
0.24,497417
0.24,497418
0.24,497419
0.23,490185
0.23,490186
0.23,490187
0.23,493802
0.23,493803
0.23,493804
0.23,497420
0.23,497421
0.22,486570
0.22,486571
0.22,490188
0.22,490189
0.22,493805
0.22,497422
0.22,497423
0.22,497424
0.22,486574
0.22,486575
0.22,490191
0.22,490192
0.22,493808
0.22,493809
0.22,497425
0.22,497426
0.22,497427
0.21,486576
0.21,486577
0.21,490193
0.21,493810
0.21,493811
0.21,493812
0.21,497428
0.21,497429
0.2,486578
0.2,486579
0.2,486580
0.2,490197
0.2,493813
0.2,493814
0.2,497430
0.19,486581
0.19,486582
0.19,490198
0.19,490200
0.19,493815
0.19,493816
0.17,486583
0.17,486584
0.17,486585
0.17,490201
0.17,490202
0.16,486586
0.16,486587
0.16,486588
0.16,490203
0.16,490204
0.16,490205
0.16,493822
0.08,486591
0.08,486592
0.08,490208
0.13,486657
0.13,490274
0.13,490275
0.13,486658
0.13,486659
0.13,486660
0.13,490277
0.13,490278
0.13,493895
0.13,497511
0.13,497512
0.13,497513
0.14,486661
0.14,486662
0.14,486663
0.14,490279
0.14,490280
0.14,493896
0.14,486664
0.14,486665
0.14,490281
0.14,490282
0.14,490283
0.14,486666
0.14,490284
0.14,490285
0.14,493903
0.13,490286
0.13,490287
0.13,490288
0.13,493904
0.13,493905
0.13,490289
0.13,490290
0.13,490291
0.13,493907
0.13,493908
0.13,490292
0.13,493909
0.13,493910
0.13,493911
0.13,497527
0.13,497528
0.13,497529
0.13,497530
0.13,497531
0.02,486710
0.02,486711
0.02,486712
0.02,490328
0.02,490329
0.02,490330
0.02,493947
0.02,497563
0.02,497564
0.02,497565
0.23,504648
0.23,508265
0.23,511882
0.22,501032
0.22,501033
0.22,504649
0.22,504650
0.22,504651
0.22,508266
0.22,508267
0.22,508268
0.22,511883
0.22,511884
0.22,511885
0.21,501034
0.21,501035
0.21,501036
0.21,504652
0.21,504653
0.21,508269
0.21,508270
0.21,508271
0.21,511886
0.21,511887
0.21,511888
0.21,501037
0.21,501038
0.21,501039
0.21,504654
0.21,504656
0.21,508272
0.21,508273
0.21,511889
0.21,511890
0.21,501040
0.21,501041
0.21,504657
0.21,504658
0.21,504659
0.21,508274
0.21,508275
0.21,508276
0.21,511891
0.21,511892
0.21,511893
0.19,501042
0.19,501043
0.19,501044
0.19,504660
0.19,504661
0.19,508277
0.19,508278
0.19,511894
0.19,501045
0.19,501046
0.19,504662
0.19,504663
0.19,504664
0.19,508279
0.19,508280
0.19,508281
0.19,511897
0.11,501147
0.11,501148
0.11,501149
0.12,501150
0.12,501151
0.12,504767
0.12,504768
0.12,504769
0.12,508387
0.12,504770
0.12,504771
0.12,508388
0.12,508389
0.12,512007
0.12,508390
0.12,508391
0.12,512008
0.12,512009
0.12,512010
0.01,501181
0.01,501182
0.01,501183
0.01,504799
0.01,504800
0.01,504801
0.01,508417
0.01,508418
0.01,512035
0.01,512036
0.01,501184
0.01,501185
0.01,501186
0.01,504802
0.01,504803
0.01,508419
0.01,508420
0.01,508421
0.01,512037
0.01,512038
0.01,512039
0.01,501187
0.01,501188
0.01,504804
0.01,504805
0.01,504806
0.01,508422
0.01,508423
0.01,508424
0.01,512040
0.01,512041
0.01,512042
0.01,501189
0.01,501190
0.01,501191
0.01,504807
0.01,504808
0.01,504809
0.01,508425
0.01,508426
0.01,512043
0.01,512044
0.24,529960
0.24,529961
0.24,519112
0.24,522728
0.24,522729
0.24,526344
0.24,526345
0.24,526346
0.24,529962
0.24,529963
0.23,519113
0.23,519114
0.23,522730
0.23,522731
0.23,522732
0.23,526347
0.23,526348
0.23,526349
0.23,529964
0.23,529965
0.23,529966
0.23,515498
0.23,515499
0.23,515500
0.23,519115
0.23,519116
0.23,519117
0.23,522733
0.23,522734
0.23,526350
0.23,526351
0.23,526352
0.22,515501
0.22,515502
0.22,519118
0.22,519119
0.22,519120
0.22,522735
0.22,522736
0.22,522737
0.22,526353
0.22,526354
0.22,529971
0.2,515503
0.2,515504
0.2,515505
0.2,519121
0.2,519122
0.2,522738
0.2,522739
0.2,522740
0.2,526356
0.2,526357
0.2,529972
0.2,529973
0.2,529974
0.19,515506
0.19,515507
0.19,515508
0.19,519123
0.19,519124
0.19,519125
0.19,522741
0.19,522742
0.19,526358
0.19,526359
0.19,526360
0.19,529975
0.19,529976
0.19,529977
0.19,515509
0.19,515510
0.19,519126
0.19,519127
0.19,519128
0.19,522743
0.19,522744
0.19,522745
0.19,526361
0.19,526362
0.19,529978
0.19,529979
0.19,529980
0.18,515511
0.18,515512
0.18,515513
0.18,519129
0.18,519130
0.18,522746
0.18,522747
0.18,526363
0.18,526364
0.18,529981
0.18,515514
0.18,515515
0.18,515516
0.18,519131
0.18,519132
0.18,519133
0.18,522749
0.18,522750
0.18,526367
0.1,515626
0.1,515627
0.1,519245
0.09,515628
0.09,515629
0.09,515630
0.09,519246
0.09,519247
0.09,519248
0.09,522865
0.08,519249
0.08,522866
0.08,522867
0.08,522868
0.08,526485
0.08,526486
0.07,522869
0.07,522870
0.07,522871
0.07,526487
0.07,526488
0.07,530105
0.07,530106
0.06,522872
0.06,526489
0.06,526490
0.06,526491
0.06,530107
0.06,530108
0.06,530109
0.01,515641
0.01,526492
0.01,526493
0.01,526494
0.01,530110
0.01,530111
0.01,530112
0.26,544424
0.25,540810
0.25,544425
0.25,544426
0.24,533577
0.24,533578
0.24,537193
0.24,537194
0.24,537195
0.24,540811
0.24,540812
0.24,533579
0.24,533580
0.24,537196
