prob,cell_id
0.1,548041
0.1,551658
0.07,548042
0.07,548043
0.01,551667
0.01,558901
0.28,576979
0.16,573363
0.16,573364
0.16,573365
0.16,576980
0.16,576981
0.16,576982
0.2,587829
0.2,587830
0.2,587831
0.2,591446
0.2,591447
0.2,591448
0.01,580598
0.01,580599
0.01,584214
0.01,584215
0.01,584216
0.01,587832
0.01,587833
0.01,591449
0.01,591450
0.01,591451
0.22,605913
0.22,605914
0.34,620379
0.34,623996
0.34,623997
0.2,609530
0.2,609531
0.2,613146
0.2,613147
0.2,613148
0.2,616763
0.2,616764
0.2,616765
0.2,620380
0.2,620381
0.2,620382
0.2,623998
0.2,623999
0.2,624000
0.06,609532
0.06,609533
0.06,609534
0.06,613149
0.06,613150
0.06,613151
0.06,616766
0.06,616767
0.06,616768
0.06,620383
0.06,620384
0.06,620385
0.06,624001
0.06,624002
0.24,631228
0.21,627612
0.21,627613
0.21,627614
0.21,631229
0.21,631230
0.21,631231
0.21,634846
0.21,634847
0.21,634848
0.21,638464
0.21,638465
0.1,627615
0.1,627616
0.1,627617
0.1,631232
0.1,631233
0.1,631234
0.1,634849
0.1,634850
0.1,634851
0.1,638466
0.1,638467
0.1,638468
0.08,627618
0.08,627619
0.08,627620
0.08,631235
0.08,631236
0.08,634852
0.08,638469
0.08,638470
0.42,652924
0.42,656540
0.42,656541
0.35,652928
0.35,656544
0.35,656545
0.28,642079
0.28,642080
0.28,645696
0.28,645697
0.28,649312
0.28,649313
0.28,649314
0.28,652929
0.28,652930
0.28,652931
0.28,656546
0.28,656547
0.18,642081
0.18,642082
0.18,645698
0.18,645699
0.09,642083
0.09,642084
0.09,642085
0.09,645702
0.09,652937
0.09,656553
0.09,656554
0.06,659967
0.06,659968
0.06,663584
0.06,663585
0.06,667201
0.06,667202
0.09,659969
0.09,659970
0.09,663586
0.09,663587
0.09,663588
0.09,667203
0.11,663589
0.11,663590
0.11,663591
0.11,667207
0.11,667208
0.06,659976
0.06,659977
0.06,663592
0.06,663593
0.06,663594
0.06,667209
0.06,667210
0.06,667211
0.04,663595
0.04,663596
0.04,663597
0.04,667212
0.04,667213
0.04,667214
0.04,670829
0.04,670830
0.04,674447
0.02,663598
0.02,667215
0.02,670831
0.02,670832
0.02,674448
0.02,674449
0.02,674450
0.02,674451
0.02,674452
0.02,674453
0.05,667229
0.05,674461
0.05,674462
0.07,667230
0.07,667231
0.07,667232
0.07,670846
0.07,670847
0.07,670848
0.07,674463
0.07,674464
0.09,663616
0.09,663617
0.09,663618
0.09,667233
0.09,667234
0.09,667235
0.11,660002
0.11,660004
0.11,663619
0.11,663620
0.11,663621
0.11,667236
0.11,667237
0.11,667238
0.13,660005
0.13,660006
0.13,660007
0.13,663622
0.48,674618
0.48,674619
0.38,663770
0.38,663771
0.38,667386
0.38,667387
0.38,667388
0.38,671003
0.38,671004
0.38,671005
0.38,674620
0.38,674621
0.38,674622
0.29,660154
0.29,660155
0.29,660156
0.29,663772
0.29,663773
0.29,667389
0.29,667390
0.29,667391
0.29,671006
0.29,671007
0.29,671008
0.29,674623
0.29,674624
0.29,674625
0.21,660157
0.21,660158
0.21,663774
0.21,667392
