prob,cell_id
0.4,4553546
0.4,4557162
0.02,4564823
0.02,4568441
1,4560776
1,4560777
1,4560778
1,4564392
1,4564393
1,4564394
1,4568009
1,4568010
1,4571625
1,4571626
1,4575242
0.99,4560779
0.99,4564395
0.99,4568011
0.99,4571627
0.83,4661950
1,4705418
1,4705419
0.99,4709034
0.99,4709035
0.99,4712651
1,4774166
1,4785023
1,4788639
1,4788640
0.51,4803107
0.51,4806723
0.51,4806724
0.51,4806725
0.51,4806726
1,4810334
0.56,4828428
0.56,4828429
1,4832032
1,4832033
1,4832034
1,4835649
1,4835650
1,4839266
1,4842882
1,4846498
0.21,4839267
0.21,4842883
0.21,4846499
0.21,4846500
0.21,4846501
0.21,4846502
0.21,4850115
0.21,4850116
0.21,4850117
0.21,4850118
0.59,4850129
0.59,4850130
1,4853732
1,4853733
1,4853734
1,4857348
1,4857349
1,4857350
1,4860965
1,4860966
1,4864581
1,4864582
1,4868198
0.67,4878890
0.67,4878891
1,4875429
0.22,4871814
0.22,4871815
0.22,4871816
0.22,4871817
0.22,4871818
0.22,4875430
0.22,4875431
0.22,4875432
0.22,4875433
0.22,4875434
0.22,4879046
0.22,4879047
0.22,4879048
0.22,4879049
0.22,4879050
0.22,4882663
0.22,4882664
0.22,4882665
0.22,4882666
0.22,4886280
0.22,4886281
0.22,4886282
0.22,4889897
0.67,4889912
1,4893513
1,4897128
1,4897129
1,4900745
1,4904358
1,4904361
1,4907974
1,4907977
1,4911622
1,4911623
0.65,4911624
0.65,4911625
0.51,4915244
0.51,4915247
0.51,4918860
0.51,4918861
0.51,4918863
0.51,4922476
0.51,4922477
0.51,4926092
0.51,4926093
0.51,4929708
0.35,4976709
0.35,4976710
0.35,4980325
0.35,4983941
0.35,4987556
0.35,4987557
0.38,5016474
0.38,5020090
0.17,5150240
0.17,5150241
0.17,5153856
0.02,5172677
0.02,5172678
0.02,5176294
0.02,5176295
0.02,5176296
0.35,5255022
0.35,5258637
0.84,5273103
0.4,5273128
0.4,5273129
0.4,5276744
0.04,5294800
0.04,5294801
0.04,5298415
0.04,5298416
0.04,5302031
0.04,5302032
0.9,5327332
0.9,5327333
0.51,5327334
0.94,5330948
0.43,5424946
0.17,5457482
0.17,5461097
0.72,5576736
0.72,5576737
0.72,5576738
0.72,5580351
0.72,5580352
0.72,5580353
0.72,5580354
0.72,5583967
0.72,5583968
0.72,5583969
0.03,6052571
0.03,6056188
0.03,6056189
0.03,6056190
0.03,6059809
