prob,cell_id
0.17,1733691
0.17,1737307
0.52,1773464
0.52,1780697
0.22,1795154
0.22,1795155
0.22,1795156
0.22,1795157
0.22,1795158
0.22,1798771
0.22,1798772
0.22,1798773
0.22,1798774
0.22,1802388
0.22,1802389
0.22,1802390
0.22,1806004
0.22,1806005
0.22,1806006
0.22,1806007
0.22,1809621
0.22,1809622
0.22,1813237
0.64,1795159
0.64,1795160
0.64,1798775
0.32,1816849
0.32,1816850
0.32,1816851
0.32,1816852
0.32,1816853
0.32,1820466
0.32,1820467
0.32,1820468
0.32,1824083
0.32,1824084
0.32,1827699
0.72,1816854
0.21,1838540
0.21,1838541
0.21,1838542
0.21,1838543
0.21,1842156
0.21,1842157
0.21,1842158
0.21,1845773
0.21,1845774
0.5,1838544
0.11,1856614
0.11,1856615
0.11,1856616
0.11,1856617
0.11,1860230
0.11,1860231
0.11,1860232
0.11,1860233
0.11,1860234
0.11,1863847
0.11,1863848
0.11,1863849
0.11,1863850
0.11,1867463
0.11,1867464
0.11,1867465
0.11,1867466
0.11,1871080
0.11,1871081
0.11,1871082
0.11,1871083
0.11,1874697
0.59,1856618
0.59,1856619
0.59,1856620
0.59,1860235
0.59,1860236
0.59,1863851
0.21,1878309
0.21,1878310
0.21,1878311
0.21,1878312
0.21,1881925
0.21,1881926
0.21,1881927
0.21,1881928
0.21,1881929
0.21,1885542
0.21,1885543
0.21,1885544
0.21,1885545
0.21,1889158
0.21,1889159
0.21,1889160
0.21,1889161
0.21,1892775
0.21,1892776
0.21,1892777
0.21,1896392
0.21,1896393
0.92,1878313
0.89,1900008
0.89,1900009
0.89,1900010
0.89,1903625
0.89,1907241
0.89,1907242
0.89,1910858
0.89,1910859
0.89,1914474
0.89,1914475
0.89,1918091
0.53,1921703
0.53,1921704
0.53,1921705
0.53,1921706
0.53,1921707
0.53,1925320
0.53,1925321
0.53,1925322
0.53,1925323
0.53,1928936
0.53,1928937
0.53,1928938
0.53,1928939
0.53,1928940
0.53,1932553
0.53,1932554
0.53,1932555
0.53,1936169
0.53,1936170
0.53,1936171
0.53,1936172
0.53,1939786
0.53,1939787
0.53,1939788
0.53,1939789
0.85,1943403
0.85,1943404
0.85,1943405
0.85,1947019
0.85,1947020
0.85,1947021
0.85,1950636
0.85,1950637
0.85,1950638
0.85,1954252
0.85,1954253
0.85,1954254
0.85,1957869
0.85,1957870
0.85,1957871
0.85,1961486
0.85,1961487
0.1,1965046
0.91,1965102
0.91,1965103
0.91,1965104
0.91,1968719
0.91,1968720
0.91,1968721
0.91,1972335
0.91,1972336
0.91,1972337
0.91,1975952
0.91,1975953
0.91,1975954
0.91,1979569
0.91,1979570
0.11,1983116
0.11,1983117
0.11,1983118
0.11,1983119
0.11,1983120
0.11,1986733
0.11,1986734
0.11,1986735
0.11,1986736
0.28,1983121
0.28,1986737
0.1,1983135
0.1,1983136
0.1,1983137
0.1,1983138
0.1,1986751
0.1,1986752
0.1,1986753
0.1,1986754
0.1,1986755
0.1,1990368
0.1,1990369
0.1,1990370
0.1,1990371
0.1,1993987
0.1,1993988
0.83,1983185
0.83,1983186
0.83,1983187
0.83,1986802
0.83,1986803
0.83,1986804
0.83,1990419
0.83,1990420
0.83,1994035
0.83,1994036
0.83,1994037
0.83,1997652
0.83,1997653
0.83,2001268
0.83,2001269
0.83,2001270
0.83,2001271
0.02,2004765
0.02,2004766
0.02,2004767
0.02,2004768
0.02,2004769
0.02,2008382
0.02,2008383
0.02,2008384
0.02,2008385
0.02,2011998
0.02,2011999
0.02,2012000
0.02,2012001
0.02,2012002
0.02,2015615
0.02,2015616
0.02,2015617
0.02,2015618
0.02,2019231
0.02,2019232
0.02,2019233
0.02,2019234
0.02,2019235
0.02,2022848
0.02,2022849
0.02,2022850
0.02,2022851
0.02,2022852
0.01,2004770
0.01,2004771
0.01,2004772
0.01,2004773
0.01,2008386
0.01,2008387
0.01,2008388
0.01,2008389
0.01,2008390
0.01,2012003
0.01,2012004
0.01,2012005
0.01,2012006
0.01,2015619
0.01,2015620
0.01,2015621
0.01,2015622
0.01,2015623
0.01,2019236
0.01,2019237
0.01,2019238
0.01,2019239
0.01,2019240
0.01,2022853
0.01,2022854
0.01,2022855
0.01,2022856
0.01,2004774
0.01,2004775
0.01,2004776
0.01,2004777
0.01,2004778
0.01,2008391
0.01,2008392
0.01,2008393
0.01,2008394
0.01,2012007
0.01,2012008
0.01,2012009
0.01,2012010
0.01,2012011
0.01,2015624
