prob,cell_id
0.02,1390333
0.02,1390334
0.02,1393950
0.02,1397566
0.02,1397567
0.02,1401183
0.32,1408406
0.32,1408407
0.02,1408412
0.02,1412029
0.02,1412030
0.02,1412031
0.02,1415646
0.02,1415647
0.02,1419263
0.02,1422879
0.02,1422880
0.47,1462495
0.47,1466111
0.47,1466112
0.78,1466132
0.78,1466133
0.78,1466134
0.78,1466135
0.04,1484198
0.02,1487840
0.02,1487843
0.02,1491456
0.02,1491457
0.02,1495073
0.02,1498689
0.03,1509526
0.03,1509527
0.03,1509528
0.03,1513143
0.03,1513144
0.08,1773464
0.08,1780697
0.38,1795159
0.38,1795160
0.38,1798775
0.48,1816854
0.23,1838544
0.12,1856618
0.12,1856619
0.12,1856620
0.12,1860235
0.12,1860236
0.12,1863851
0.09,1878309
0.09,1878310
0.09,1878311
0.09,1878312
0.09,1881925
0.09,1881926
0.09,1881927
0.09,1881928
0.09,1881929
0.09,1885542
0.09,1885543
0.09,1885544
0.09,1885545
0.09,1889158
0.09,1889159
0.09,1889160
0.09,1889161
0.09,1892775
0.09,1892776
0.09,1892777
0.09,1896392
0.09,1896393
0.29,1878313
0.38,1900008
0.38,1900009
0.38,1900010
0.38,1903625
0.38,1907241
0.38,1907242
0.38,1910858
0.38,1910859
0.38,1914474
0.38,1914475
0.38,1918091
0.1,1921703
0.1,1921704
0.1,1921705
0.1,1921706
0.1,1921707
0.1,1925320
0.1,1925321
0.1,1925322
0.1,1925323
0.1,1928936
0.1,1928937
0.1,1928938
0.1,1928939
0.1,1928940
0.1,1932553
0.1,1932554
0.1,1932555
0.1,1936169
0.1,1936170
0.1,1936171
0.1,1936172
0.1,1939786
0.1,1939787
0.1,1939788
0.1,1939789
0.11,1943403
0.11,1943404
0.11,1943405
0.11,1947019
0.11,1947020
0.11,1947021
0.11,1950636
0.11,1950637
0.11,1950638
0.11,1954252
0.11,1954253
0.11,1954254
0.11,1957869
0.11,1957870
0.11,1957871
0.11,1961486
0.11,1961487
0.84,1965038
0.84,1965039
0.84,1965040
0.84,1965041
0.84,1965042
0.84,1968655
0.84,1968656
0.84,1972271
0.84,1972272
0.84,1975888
0.71,1965046
0.11,1965047
0.11,1965048
0.11,1965049
0.11,1965050
0.11,1965051
0.11,1968666
0.11,1968667
0.11,1972282
0.11,1972283
0.11,1972284
0.11,1975899
0.11,1975900
0.11,1975901
0.11,1979517
0.13,1965102
0.13,1965103
0.13,1965104
0.13,1968719
0.13,1968720
0.13,1968721
0.13,1972335
0.13,1972336
0.13,1972337
0.13,1975952
0.13,1975953
0.13,1975954
0.13,1979569
0.13,1979570
0.21,1983112
0.21,1983113
0.21,1983114
0.21,1983115
0.21,1986728
0.21,1986729
0.21,1986730
0.21,1986731
0.21,1986732
0.21,1990345
0.21,1990346
0.21,1990347
0.98,1983116
0.98,1983117
0.98,1983118
0.98,1983119
0.98,1983120
0.98,1986733
0.98,1986734
0.98,1986735
0.98,1986736
0.97,1983121
0.97,1986737
0.23,1983135
0.23,1983136
0.23,1983137
0.23,1983138
0.23,1986751
0.23,1986752
0.23,1986753
0.23,1986754
0.23,1986755
0.23,1990368
0.23,1990369
0.23,1990370
0.23,1990371
0.23,1993987
0.23,1993988
0.11,1983185
0.11,1983186
0.11,1983187
0.11,1986802
0.11,1986803
0.11,1986804
0.11,1990419
0.11,1990420
0.11,1994035
0.11,1994036
0.11,1994037
0.11,1997652
0.11,1997653
0.11,2001268
0.11,2001269
0.11,2001270
0.11,2001271
0.04,2026483
0.04,2026484
0.04,2026485
0.04,2026486
0.04,2026487
0.04,2030100
0.04,2030101
0.04,2030102
0.04,2030103
0.47,2026488
0.47,2026489
0.47,2026490
0.47,2026491
0.47,2030104
0.47,2030105
0.47,2030106
0.47,2030107
0.47,2030108
0.47,2033721
0.47,2033722
0.47,2033723
0.47,2033724
0.47,2037337
0.47,2037338
0.47,2037339
0.47,2037340
0.47,2037341
0.66,2026492
0.66,2026493
0.66,2026494
0.66,2026495
0.66,2030109
0.66,2030110
0.66,2033725
0.66,2037342
0.26,2026544
0.26,2026545
0.26,2026546
0.26,2026547
0.26,2030163
0.26,2037397
0.64,2048141
0.64,2048142
0.64,2048143
0.64,2048144
0.64,2051757
0.64,2051758
0.64,2051759
0.64,2051760
0.83,2048145
0.83,2048146
0.65,2048163
1,2088072
0.64,2073613
0.64,2073614
0.64,2077230
0.64,2077231
0.64,2080846
0.64,2080847
0.64,2084463
0.64,2084464
0.64,2088080
0.64,2088081
0.04,2073615
0.04,2073616
0.04,2073617
0.04,2073618
0.04,2073619
0.04,2077232
0.04,2077233
0.04,2077234
0.04,2077235
0.04,2080848
0.04,2080849
0.04,2080850
0.04,2080851
0.04,2080852
0.04,2084465
0.04,2084466
