prob,cell_id
0.99,5528278
0.99,5528279
0.99,5528280
0.99,5531896
0.99,5531897
0.99,5531898
0.71,5535513
0.71,5535514
0.71,5539131
0.71,5539132
0.29,5535515
0.29,5535517
0.29,5535518
0.29,5539133
0.29,5539134
0.29,5539135
0.73,5550012
0.73,5550013
0.73,5553629
0.73,5553630
0.1,5550014
0.1,5550015
0.1,5550016
0.1,5550017
0.1,5553631
0.1,5553632
0.1,5553633
0.1,5553634
0.26,5550018
0.26,5550019
0.26,5553635
0.26,5553636
0.26,5553637
0.26,5553638
0.71,5553639
0.71,5553640
0.71,5553641
0.94,5560858
0.94,5564475
0.94,5564476
0.94,5568092
0.94,5568093
0.94,5571710
0.68,5560859
0.68,5564477
0.68,5564478
0.68,5568094
0.68,5568095
0.68,5568096
0.68,5571711
0.68,5571712
0.68,5571713
0.68,5571714
0.47,5557247
0.47,5557248
0.47,5560865
0.47,5571715
0.05,5557252
0.05,5557253
0.05,5557254
0.05,5557255
0.05,5560870
0.05,5560871
0.05,5564487
0.05,5564488
0.05,5564489
0.05,5564490
0.05,5568106
0.05,5568107
0.05,5571724
0.05,5571725
0.11,5557260
0.11,5560877
0.11,5560878
0.11,5560879
0.11,5564494
0.11,5564495
0.11,5564496
0.11,5564497
0.11,5568112
0.11,5568113
0.11,5568114
0.11,5571729
0.11,5571731
0.11,5571732
0.35,5568115
0.35,5571733
0.35,5571734
0.62,5564779
0.62,5564780
0.62,5568396
0.62,5568397
0.62,5572013
0.62,5572014
0.64,5568398
1,5575327
1,5575328
1,5578945
0.91,5575329
0.91,5575330
0.91,5575331
0.91,5578946
0.91,5578948
0.91,5578949
1,5575332
0.9,5575341
0.9,5575342
0.61,5575343
0.61,5575344
0.61,5575345
0.61,5575346
0.61,5578962
0.61,5578963
0.67,5575347
0.67,5575349
0.67,5578964
0.67,5578965
0.67,5578967
0.67,5582582
0.67,5582583
0.67,5582584
0.67,5586199
0.67,5586200
0.67,5586201
0.67,5589818
0.67,5589819
0.83,5586211
0.83,5586212
0.83,5589828
0.83,5589829
0.78,5589830
0.65,5593445
0.65,5593446
0.65,5593447
0.61,5633287
0.61,5636903
0.61,5636904
0.61,5640521
0.68,5636905
0.68,5640522
0.4,5651368
0.4,5651369
0.4,5651370
0.4,5654986
0.4,5654987
0.63,5647759
0.63,5651375
0.63,5651376
0.63,5651377
0.63,5654992
0.63,5654993
0.63,5654994
0.72,5647760
0.72,5662231
0.72,5662232
0.7,5665848
0.7,5665849
0.62,5687553
0.62,5691170
0.62,5691171
0.62,5694788
0.66,5687554
0.66,5687555
0.66,5691172
0.66,5691173
0.66,5694789
0.43,5712875
0.4,5709258
0.4,5709259
0.4,5709260
0.4,5712876
0.4,5712877
0.4,5712878
0.28,5716492
0.28,5730961
0.31,5716493
0.31,5716494
0.31,5716495
0.31,5730962
0.16,5745425
0.16,5745426
0.16,5745427
0.16,5749042
0.16,5749043
0.16,5749044
0.16,5749045
0.2,5734578
0.2,5734579
0.2,5738195
0.2,5738196
0.2,5745428
0.18,5734580
0.07,5752660
0.07,5752661
0.07,5752662
0.88,5781478
0.97,5799506
0.96,5799507
0.77,5788710
0.72,5785095
0.72,5785096
0.72,5788713
0.72,5788714
0.72,5792331
0.02,5785097
0.02,5785098
0.02,5785099
0.02,5788715
0.02,5788716
0.02,5788717
0.02,5792332
0.02,5792333
0.02,5792334
0.02,5792335
0.51,5788724
0.51,5788725
0.51,5792342
0.03,5803124
0.03,5806742
0.03,5817593
0.03,5817595
0.19,5803128
0.19,5803129
0.19,5803130
0.19,5806746
0.19,5806747
0.19,5806748
0.19,5810364
0.06,5803131
0.06,5806751
0.06,5810368
0.06,5810369
0.06,5813985
0.06,5813986
0.06,5813987
1,5803134
1,5803135
1,5806752
1,5810370
0.58,5835662
0.37,5835663
0.37,5835664
0.37,5835665
0.21,5832048
0.21,5832049
0.21,5832050
0.21,5835666
0.21,5835667
0.23,5832051
0.23,5832052
0.23,5832053
0.23,5832054
0.23,5835670
0.23,5835671
0.37,5835672
0.17,5850122
0.17,5850123
0.17,5850124
0.43,5868201
0.26,5864584
0.26,5864585
0.26,5864586
0.26,5868202
0.26,5868203
0.01,5857354
0.01,5860971
0.01,5860972
0.01,5864589
0.04,5853749
0.17,5868239
0.17,5868240
0.17,5868241
0.13,5871818
0.13,5871819
0.13,5875435
0.13,5875436
0.01,5871820
0.01,5875439
0.01,5875440
0.01,5879056
0.01,5879057
0.01,5879058
0.01,5882674
0.01,5882675
0.01,5882676
0.13,5875441
0.13,5875442
0.13,5879059
0.13,5879060
0.05,5871829
0.05,5871830
0.05,5871831
0.01,5882690
0.07,5918843
0.7,5951394
0.09,5947778
0.09,5947779
0.09,5951395
0.09,5951396
0.09,5951397
0.06,5940545
0.06,5940546
0.06,5944162
0.06,5944163
0.06,5944164
0.06,5947780
0.06,5947781
0.06,5947782
0.06,5951398
0.06,5951399
0.06,5951400
0.08,5973097
0.08,5976714
0.08,5976715
0.08,5980331
0.08,5980332
0.08,5980333
0.18,5994797
0.18,5998414
0.18,5998415
0.06,5991180
0.06,5991181
0.06,5994798
0.06,5994800
0.06,5998418
0.01,5987567
0.01,5987568
0.01,5991185
0.01,5991186
0.01,5991187
0.01,5994803
0.01,5994804
0.01,5994805
0.01,5998421
0.01,5998422
0.01,5998423
0.24,6009267
0.24,6012884
0.24,6012885
0.15,6020118
0.09,6016501
0.09,6016502
0.09,6016503
0.09,6020119
0.09,6020120
0.09,6020121
0.09,6023738
0.09,6023739
0.09,6020122
0.09,6020123
0.09,6020124
0.09,6023740
0.09,6023741
0.09,6023742
0.09,6027360
0.06,6034595
0.06,6041831
0.06,6041836
0.06,6045454
0.06,6030984
0.05,6030985
0.05,6030986
0.05,6030987
0.05,6034603
0.05,6034604
0.05,6034605
0.05,6038221
0.05,6038222
0.05,6038223
0.05,6041840
0.05,6041841
0.05,6045459
0.01,6049076
0.01,6049077
0.01,6052694
0.01,6052695
0.01,6052696
0.01,6056312
0.01,6056313
0.01,6056314
0.01,6059930
0.01,6059931
0.01,6059932
0.03,6103670
0.03,6107287
0.03,6100054
0.03,6100055
0.03,6103671
0.03,6103672
0.03,6107288
0.03,6107289
0.03,6107290
0.01,6096443
0.01,6096444
0.01,6100060
0.01,6100061
0.01,6103678
0.01,6107294
0.01,6107295
0.01,6096445
0.01,6100062
0.01,6103679
0.01,6107296
0.01,6110882
0.01,6118116
0.01,6121733
0.02,6110883
0.02,6114500
0.02,6114501
0.02,6118117
0.02,6118118
0.02,6121734
0.02,6121735
0.04,6114502
0.04,6114503
0.04,6114504
0.04,6118120
0.04,6118121
0.03,6114505
0.03,6114506
0.03,6118122
0.03,6118123
0.03,6121740
0.03,6110890
0.03,6110891
0.03,6110892
0.03,6114507
0.03,6114508
0.03,6114509
0.03,6118124
0.02,6110893
0.02,6110894
0.02,6114510
0.02,6114511
0.02,6118128
0.02,6121745
0.02,6121746
0.01,6114512
0.01,6118129
0.01,6128951
0.01,6132569
0.01,6132570
0.01,6136186
0.01,6136187
0.03,6125338
0.03,6128955
0.03,6132571
0.03,6132572
0.03,6132573
0.03,6136188
0.03,6136189
0.03,6136190
0.03,6125339
0.03,6125340
0.03,6125341
0.03,6128956
0.03,6128957
0.03,6128958
0.01,6125342
0.01,6125343
0.02,6125344
0.02,6125345
0.02,6128962
0.02,6128963
0.02,6132580
0.02,6136197
0.02,6125346
0.02,6128964
0.02,6132581
0.02,6132582
0.02,6136198
0.02,6136199
0.02,6139798
0.02,6139799
0.02,6139800
0.02,6143416
0.02,6143417
0.01,6143418
0.01,6143419
0.01,6147036
0.01,6147037
0.01,6150654
0.01,6139804
0.01,6139805
0.01,6143420
0.01,6143421
0.01,6143422
0.01,6147038
0.01,6147039
0.01,6150655
0.01,6150656
0.01,6139806
0.01,6139807
0.01,6143423
0.01,6147040
0.01,6150657
