prob,cell_id
0.03,1711991
0.03,1715608
0.03,1722841
0.03,1726458
0.03,1730074
0.03,1730075
0.2,1733686
0.2,1733687
0.2,1733688
0.2,1733689
0.2,1733690
0.2,1737303
0.2,1737304
0.2,1737305
0.2,1737306
0.2,1740919
0.2,1740920
0.2,1740921
0.2,1740922
0.2,1740923
0.2,1744536
0.2,1744537
0.2,1744538
0.2,1748153
0.2,1748154
0.2,1751769
0.2,1751770
0.2,1751771
0.64,1733691
0.64,1737307
0.47,1755381
0.47,1755382
0.47,1755383
0.47,1755384
0.47,1755385
0.47,1758998
0.47,1758999
0.47,1759000
0.47,1759001
0.47,1762614
0.47,1762615
0.47,1762616
0.47,1762617
0.47,1762618
0.47,1766231
0.47,1766232
0.47,1766233
0.47,1769847
0.47,1769848
0.47,1769849
0.55,1773460
0.55,1773461
0.55,1773462
0.55,1773463
0.55,1777076
0.55,1777077
0.55,1777078
0.55,1777079
0.55,1777080
0.55,1780693
0.55,1780694
0.55,1780695
0.55,1780696
0.55,1784309
0.55,1784310
0.55,1784311
0.55,1784312
0.55,1784313
0.55,1787926
0.55,1787927
0.55,1787928
0.55,1791542
0.55,1791543
0.55,1791544
0.85,1773464
0.85,1780697
0.7,1795154
0.7,1795155
0.7,1795156
0.7,1795157
0.7,1795158
0.7,1798771
0.7,1798772
0.7,1798773
0.7,1798774
0.7,1802388
0.7,1802389
0.7,1802390
0.7,1806004
0.7,1806005
0.7,1806006
0.7,1806007
0.7,1809621
0.7,1809622
0.7,1813237
0.86,1795159
0.86,1795160
0.86,1798775
0.47,1816845
0.47,1816846
0.47,1816847
0.47,1816848
0.47,1820461
0.47,1820462
0.47,1820463
0.47,1820464
0.47,1820465
0.47,1824078
0.47,1824079
0.47,1824080
0.47,1824081
0.47,1824082
0.47,1827695
0.47,1827696
0.47,1827697
0.47,1827698
0.47,1831311
0.47,1831312
0.47,1834928
0.77,1816849
0.77,1816850
0.77,1816851
0.77,1816852
0.77,1816853
0.77,1820466
0.77,1820467
0.77,1820468
0.77,1824083
0.77,1824084
0.77,1827699
0.89,1816854
0.01,1838529
0.01,1838530
0.01,1842143
0.01,1842145
0.01,1842146
0.01,1845759
0.01,1845760
0.01,1845761
0.01,1845762
0.01,1845763
0.01,1849376
0.01,1849377
0.01,1849378
0.01,1849379
0.01,1849380
0.01,1852993
0.01,1852994
0.01,1852995
0.01,1852996
0.46,1838535
0.46,1838536
0.46,1838537
0.46,1838538
0.46,1838539
0.46,1842152
0.46,1842153
0.46,1842154
0.46,1842155
0.46,1845768
0.46,1845769
0.46,1845770
0.46,1845771
0.46,1845772
0.46,1849385
0.46,1849386
0.46,1849387
0.46,1849388
0.46,1853002
0.46,1853003
0.46,1853004
0.46,1853005
0.68,1838540
0.68,1838541
0.68,1838542
0.68,1838543
0.68,1842156
0.68,1842157
0.68,1842158
0.68,1845773
0.68,1845774
0.85,1838544
0.66,1856614
0.66,1856615
0.66,1856616
0.66,1856617
0.66,1860230
0.66,1860231
0.66,1860232
0.66,1860233
0.66,1860234
0.66,1863847
0.66,1863848
0.66,1863849
0.66,1863850
0.66,1867463
0.66,1867464
0.66,1867465
0.66,1867466
0.66,1871080
0.66,1871081
0.66,1871082
0.66,1871083
0.66,1874697
0.83,1856618
0.83,1856619
0.83,1856620
0.83,1860235
0.83,1860236
0.83,1863851
0.32,1860362
0.32,1860363
0.32,1860364
0.32,1863978
0.32,1863979
0.32,1863980
0.32,1863981
0.32,1867595
0.32,1867596
0.32,1867597
0.75,1878309
0.75,1878310
0.75,1878311
0.75,1878312
0.75,1881925
0.75,1881926
0.75,1881927
0.75,1881928
0.75,1881929
0.75,1885542
0.75,1885543
0.75,1885544
0.75,1885545
0.75,1889158
0.75,1889159
0.75,1889160
0.75,1889161
0.75,1892775
0.75,1892776
0.75,1892777
0.75,1896392
0.75,1896393
0.85,1878313
0.88,1900008
0.88,1900009
0.88,1900010
0.88,1903625
0.88,1907241
0.88,1907242
0.88,1910858
0.88,1910859
0.88,1914474
0.88,1914475
0.88,1918091
0.02,1921694
0.02,1921695
0.02,1921696
0.02,1921697
0.02,1921698
0.02,1925311
0.02,1925312
0.02,1925313
0.02,1925314
0.02,1928927
0.02,1928928
0.02,1928929
0.02,1928930
0.02,1928931
0.02,1932544
0.02,1932545
0.02,1932546
0.02,1932547
0.02,1936160
0.02,1936161
0.02,1936162
0.02,1936163
0.02,1936164
0.02,1939777
0.02,1939778
0.02,1939779
0.02,1939780
0.86,1921703
0.86,1921704
0.86,1921705
0.86,1921706
0.86,1921707
0.86,1925320
0.86,1925321
0.86,1925322
0.86,1925323
0.86,1928936
0.86,1928937
0.86,1928938
0.86,1928939
0.86,1928940
0.86,1932553
0.86,1932554
0.86,1932555
0.86,1936169
0.86,1936170
0.86,1936171
0.86,1936172
0.86,1939786
0.86,1939787
0.86,1939788
0.86,1939789
0.22,1943339
0.22,1943340
0.22,1943341
0.22,1943342
0.22,1946955
0.22,1946956
0.22,1946957
0.22,1946958
0.22,1946959
0.22,1950572
0.22,1950573
0.22,1950574
0.22,1950575
0.22,1954188
0.22,1954189
0.22,1954190
0.22,1954191
0.22,1954192
0.22,1957805
0.22,1957806
0.22,1957807
0.22,1957808
0.22,1961421
0.22,1961422
0.22,1961423
0.22,1961424
0.22,1961425
0.54,1943343
0.54,1943344
0.54,1943345
0.54,1943346
0.54,1943347
0.54,1946960
0.54,1946961
0.54,1946962
0.54,1946963
0.54,1950576
0.54,1950577
0.54,1950578
0.54,1950579
0.54,1950580
0.54,1954193
0.54,1954194
0.54,1954195
0.54,1954196
0.54,1957809
0.54,1957811
0.54,1957812
0.54,1957813
0.54,1961426
0.54,1961428
0.54,1961429
0.54,1961430
0.04,1957833
0.04,1957834
0.04,1957835
0.04,1957836
0.04,1961449
0.04,1961450
0.04,1961451
0.04,1961452
0.04,1961453
0.85,1943403
0.85,1943404
0.85,1943405
0.85,1947019
0.85,1947020
0.85,1947021
0.85,1950636
0.85,1950637
0.85,1950638
0.85,1954252
0.85,1954253
0.85,1954254
0.85,1957869
0.85,1957870
0.85,1957871
0.85,1961486
0.85,1961487
0.41,1965033
0.41,1965034
0.41,1965035
0.41,1965036
0.41,1965037
0.41,1968650
0.41,1968651
0.41,1968652
0.41,1968653
0.41,1968654
0.41,1972267
0.41,1972268
0.41,1972269
0.41,1972270
0.41,1975883
0.41,1975884
0.41,1975885
0.41,1975886
0.41,1975887
0.41,1979500
0.41,1979501
0.41,1979502
0.41,1979503
0.74,1965038
0.74,1965039
0.74,1965040
0.74,1965041
0.74,1965042
0.74,1968655
0.74,1968656
0.74,1972271
0.74,1972272
0.74,1975888
0.85,1965046
0.73,1965047
0.73,1965048
0.73,1965049
0.73,1965050
0.73,1965051
0.73,1968666
0.73,1968667
0.73,1972282
0.73,1972283
0.73,1972284
0.73,1975899
0.73,1975900
0.73,1975901
0.73,1979517
0.02,1965052
0.02,1965053
0.02,1965054
0.02,1965055
0.02,1968668
0.02,1968669
0.02,1968670
0.02,1968671
0.02,1968672
0.02,1972285
0.02,1972286
0.02,1972287
0.02,1972288
0.02,1972289
0.02,1975902
0.02,1975903
0.02,1975904
0.02,1975905
0.02,1979518
0.02,1979519
0.02,1979520
0.02,1979521
0.02,1979522
0.34,1965066
0.34,1965067
0.34,1965068
0.34,1965069
0.34,1968682
0.34,1968683
0.34,1968684
0.34,1968685
0.34,1968686
0.34,1972299
0.34,1972300
0.34,1972301
0.34,1972302
0.34,1975915
0.34,1975916
0.34,1975917
0.34,1975918
0.34,1975919
0.34,1979532
0.34,1979533
0.34,1979534
0.34,1979535
0.34,1979536
0.85,1965102
0.85,1965103
0.85,1965104
0.85,1968719
0.85,1968720
0.85,1968721
0.85,1972335
0.85,1972336
0.85,1972337
0.85,1975952
0.85,1975953
0.85,1975954
0.85,1979569
0.85,1979570
0.64,1983112
0.64,1983113
0.64,1983114
0.64,1983115
0.64,1986728
0.64,1986729
0.64,1986730
0.64,1986731
0.64,1986732
0.64,1990345
0.64,1990346
0.64,1990347
1,1983116
1,1983117
1,1983118
1,1983119
1,1983120
1,1986733
1,1986734
1,1986735
1,1986736
1,1983121
1,1986737
0.81,1983135
0.81,1983136
0.81,1983137
0.81,1983138
0.81,1986751
0.81,1986752
0.81,1986753
0.81,1986754
0.81,1986755
0.81,1990368
0.81,1990369
0.81,1990370
0.81,1990371
0.81,1993987
0.81,1993988
0.67,1983139
0.67,1983140
0.67,1983141
0.67,1983142
0.67,1983143
0.67,1986756
0.67,1986757
0.67,1986758
0.67,1986759
0.67,1986760
0.67,1990372
0.67,1990373
0.67,1990374
0.67,1990375
0.67,1990376
0.67,1993989
0.67,1993990
0.67,1993991
0.67,1993992
0.67,1993993
0.67,1997606
0.67,1997607
0.67,1997608
0.67,1997609
0.67,2001222
0.67,2001223
0.67,2001224
0.67,2001225
0.67,2001226
0.55,1983181
0.55,1983182
0.55,1983183
0.55,1983184
0.55,1986797
0.55,1986798
0.55,1986799
0.55,1986800
0.55,1986801
0.55,1990414
0.55,1990415
0.55,1990416
0.55,1990417
0.55,1990418
0.55,1994031
0.55,1994032
0.55,1994033
0.55,1994034
0.55,1997647
0.55,1997648
0.55,1997649
0.55,1997650
0.55,1997651
0.55,2001264
0.55,2001265
0.55,2001266
0.55,2001267
0.84,1983185
0.84,1983186
0.84,1983187
0.84,1986802
0.84,1986803
0.84,1986804
0.84,1990419
0.84,1990420
0.84,1994035
0.84,1994036
0.84,1994037
0.84,1997652
0.84,1997653
0.84,2001268
0.84,2001269
0.84,2001270
0.84,2001271
0.1,2004765
0.1,2004766
0.1,2004767
0.1,2004768
0.1,2004769
0.1,2008382
0.1,2008383
0.1,2008384
0.1,2008385
0.1,2011998
0.1,2011999
0.1,2012000
0.1,2012001
0.1,2012002
0.1,2015615
0.1,2015616
0.1,2015617
0.1,2015618
0.1,2019231
0.1,2019232
0.1,2019233
0.1,2019234
0.1,2019235
0.1,2022848
0.1,2022849
0.1,2022850
0.1,2022851
0.1,2022852
0.18,2004793
0.18,2004794
0.18,2004795
0.18,2004796
0.18,2008409
0.18,2008410
0.18,2008411
0.18,2008412
0.18,2008413
0.18,2012026
0.18,2012027
0.18,2012028
0.18,2012029
0.18,2012030
0.18,2015642
0.18,2015643
0.18,2015644
0.18,2015645
0.18,2015646
0.18,2019259
0.18,2019260
0.18,2019261
0.18,2019262
0.18,2019263
0.18,2022876
0.18,2022877
