prob,cell_id
0.4,1041148
0.4,1044764
0.4,1044765
0.4,1044766
0.4,1044767
0.42,1041149
0.42,1044768
0.42,1044769
0.42,1044770
0.02,1078366
0.02,1078367
0.02,1078368
0.36,1088222
0.09,1616184
0.09,1619801
0.09,1619802
0.09,1623418
0.09,1623419
0.09,1623420
0.09,1627036
0.09,1627038
0.09,1630653
0.09,1630654
0.09,1630655
0.01,1616185
0.01,1616186
0.01,1619803
0.01,1619804
0.01,1623421
0.01,1627039
0.01,1627040
0.01,1630657
0.01,1630658
0.01,1630660
0.11,1637879
0.11,1641496
0.11,1645114
0.11,1648731
0.11,1648732
0.14,1645115
0.14,1645119
0.14,1648733
0.14,1648734
0.14,1648735
0.14,1648736
0.14,1648737
0.06,1706583
0.06,1710200
0.06,1710201
0.14,1702970
0.22,1829647
0.22,1829648
0.22,1829649
0.22,1829650
0.22,1833265
0.22,1833266
0.22,1833267
0.22,1833268
0.22,1836883
0.22,1836884
0.22,1836885
0.23,1854871
0.03,1840403
0.03,1840404
0.03,1844020
0.03,1844021
0.03,1844022
0.03,1847636
0.03,1847637
0.03,1847638
0.03,1847639
0.03,1847640
0.03,1851254
0.03,1851255
0.03,1851256
0.03,1851257
0.03,1851258
0.03,1854872
0.03,1854873
0.03,1854874
0.03,1854875
0.29,1876576
0.29,1876577
0.11,1858490
0.11,1858491
0.24,1880194
0.13,1916380
0.22,1905529
0.22,1905530
0.22,1909146
0.22,1909147
0.22,1912764
0.22,1916381
0.06,1927233
0.06,1930850
0.06,1930851
0.16,1927234
0.16,1927237
0.16,1927238
0.16,1930854
0.16,1930855
0.16,1930856
0.24,1927239
0.24,1927242
0.24,1930858
0.24,1930859
0.24,1930860
0.24,1941710
0.24,1941711
0.24,1941712
0.24,1941713
0.13,1959797
0.13,1963414
0.25,1945327
0.25,1945328
0.25,1945329
0.25,1945330
0.25,1945331
0.25,1948945
0.25,1948946
0.25,1948947
0.25,1948948
0.25,1952565
0.25,1952566
0.25,1956183
0.25,1956184
0.25,1963415
0.26,1945332
0.26,1945333
0.26,1945334
0.26,1945335
0.26,1948950
0.26,1948951
0.26,1948952
0.26,1948953
0.26,1952567
0.26,1952568
0.26,1952569
0.26,1952570
0.26,1952571
0.26,1956185
0.26,1956187
0.26,1956188
0.37,1945336
0.37,1948954
0.35,1945420
0.35,1945421
0.73,1964790
0.73,1964791
0.73,1964792
0.73,1968407
0.73,1968408
0.73,1968409
0.73,1972024
0.73,1972025
0.73,1972026
0.73,1975642
0.73,1975643
0.73,1979260
0.94,1964805
0.94,1964806
0.94,1968422
0.94,1968423
0.94,1972040
0.94,1975656
0.94,1975657
0.94,1979274
0.22,1966978
0.22,1966979
0.22,1966980
0.22,1966981
0.22,1966982
0.22,1970596
0.22,1970597
0.22,1970598
0.22,1970599
0.22,1974213
0.22,1974214
0.22,1974215
0.22,1974216
0.22,1974217
0.22,1977831
0.22,1977832
0.22,1977833
0.22,1977834
0.22,1981448
0.22,1981449
0.22,1981450
0.22,1981451
0.22,1981452
0.35,1966983
0.35,1966984
0.35,1966985
0.35,1966986
0.35,1970600
0.35,1970601
0.35,1970602
0.35,1970603
0.35,1970604
0.35,1974218
0.35,1974219
0.35,1974220
0.35,1974221
0.35,1977835
0.35,1977836
0.35,1977837
0.35,1977838
0.35,1977839
0.35,1981453
0.35,1981454
0.35,1981455
0.35,1981456
0.35,1981457
0.31,1970645
0.26,1967028
