prob,cell_id
0.01,4384948
0.01,4388565
0.01,4392182
0.01,4395800
0.01,4399417
0.01,4403033
0.01,4403034
0.03,4384949
0.03,4388566
0.03,4392183
0.03,4392184
0.03,4395801
0.03,4399418
0.02,4406650
0.02,4406651
0.02,4410267
0.02,4410268
0.02,4413884
0.02,4413885
0.02,4417501
0.02,4417502
0.02,4421118
0.02,4421119
0.02,4424736
0.02,4424737
0.02,4428354
0.02,4428355
0.02,4431971
0.02,4431972
0.02,4435588
0.02,4435589
0.02,4439206
0.02,4442823
0.02,4442824
0.02,4446440
0.02,4446441
0.11,4450057
0.11,4450058
0.11,4453674
0.11,4453675
0.11,4457291
0.11,4457292
0.11,4460908
0.11,4460909
0.11,4464525
0.11,4464526
0.11,4468142
0.11,4468143
0.19,4471759
0.19,4471760
0.19,4475377
0.19,4478994
0.19,4482611
0.19,4486228
0.19,4486229
0.19,4489846
0.07,4497079
0.07,4500696
0.07,4500697
0.07,4504313
0.07,4504314
0.07,4507930
0.07,4507931
0.07,4511547
0.07,4511548
0.22,4493463
0.22,4497080
0.22,4497081
0.08,4515165
0.08,4518782
0.08,4522399
0.08,4522400
0.08,4526016
0.08,4526017
0.08,4529633
0.08,4529634
0.08,4533250
0.08,4533251
0.24,4536867
0.24,4536868
0.24,4540484
0.24,4540485
0.24,4544101
0.24,4544102
0.24,4547718
0.24,4547719
0.24,4554953
0.16,4558569
0.16,4562187
0.16,4565804
0.16,4569421
0.16,4576656
0.35,4558570
0.35,4565805
0.35,4565806
0.35,4569422
0.35,4569423
0.35,4573040
0.35,4573041
0.35,4576658
0.36,4580275
0.36,4580276
0.36,4583892
0.36,4583893
0.36,4587509
0.36,4587510
0.36,4591127
0.36,4591128
0.36,4594744
0.36,4594745
0.2,4601978
0.2,4605594
0.2,4605595
0.2,4609211
0.2,4609212
0.2,4612828
0.2,4612829
0.2,4616445
0.2,4616446
0.37,4598361
0.37,4598362
0.37,4601979
0.37,4605596
0.37,4609213
