prob,cell_id
0.02,1733691
0.02,1737307
0.63,1773464
0.63,1780697
0.12,1795154
0.12,1795155
0.12,1795156
0.12,1795157
0.12,1795158
0.12,1798771
0.12,1798772
0.12,1798773
0.12,1798774
0.12,1802388
0.12,1802389
0.12,1802390
0.12,1806004
0.12,1806005
0.12,1806006
0.12,1806007
0.12,1809621
0.12,1809622
0.12,1813237
0.74,1795159
0.74,1795160
0.74,1798775
0.23,1816849
0.23,1816850
0.23,1816851
0.23,1816852
0.23,1816853
0.23,1820466
0.23,1820467
0.23,1820468
0.23,1824083
0.23,1824084
0.23,1827699
0.87,1816854
0.08,1838540
0.08,1838541
0.08,1838542
0.08,1838543
0.08,1842156
0.08,1842157
0.08,1842158
0.08,1845773
0.08,1845774
0.65,1838544
0.1,1856614
0.1,1856615
0.1,1856616
0.1,1856617
0.1,1860230
0.1,1860231
0.1,1860232
0.1,1860233
0.1,1860234
0.1,1863847
0.1,1863848
0.1,1863849
0.1,1863850
0.1,1867463
0.1,1867464
0.1,1867465
0.1,1867466
0.1,1871080
0.1,1871081
0.1,1871082
0.1,1871083
0.1,1874697
0.52,1856618
0.52,1856619
0.52,1856620
0.52,1860235
0.52,1860236
0.52,1863851
0.29,1878309
0.29,1878310
0.29,1878311
0.29,1878312
0.29,1881925
0.29,1881926
0.29,1881927
0.29,1881928
0.29,1881929
0.29,1885542
0.29,1885543
0.29,1885544
0.29,1885545
0.29,1889158
0.29,1889159
0.29,1889160
0.29,1889161
0.29,1892775
0.29,1892776
0.29,1892777
0.29,1896392
0.29,1896393
0.66,1878313
0.82,1900008
0.82,1900009
0.82,1900010
0.82,1903625
0.82,1907241
0.82,1907242
0.82,1910858
0.82,1910859
0.82,1914474
0.82,1914475
0.82,1918091
0.72,1921703
0.72,1921704
0.72,1921705
0.72,1921706
0.72,1921707
0.72,1925320
0.72,1925321
0.72,1925322
0.72,1925323
0.72,1928936
0.72,1928937
0.72,1928938
0.72,1928939
0.72,1928940
0.72,1932553
0.72,1932554
0.72,1932555
0.72,1936169
0.72,1936170
0.72,1936171
0.72,1936172
0.72,1939786
0.72,1939787
0.72,1939788
0.72,1939789
0.63,1943403
0.63,1943404
0.63,1943405
0.63,1947019
0.63,1947020
0.63,1947021
0.63,1950636
0.63,1950637
0.63,1950638
0.63,1954252
0.63,1954253
0.63,1954254
0.63,1957869
0.63,1957870
0.63,1957871
0.63,1961486
0.63,1961487
0.07,1965038
0.07,1965039
0.07,1965040
0.07,1965041
0.07,1965042
0.07,1968655
0.07,1968656
0.07,1972271
0.07,1972272
0.07,1975888
0.25,1965046
0.01,1965047
0.01,1965048
0.01,1965049
0.01,1965050
0.01,1965051
0.01,1968666
0.01,1968667
0.01,1972282
0.01,1972283
0.01,1972284
0.01,1975899
0.01,1975900
0.01,1975901
0.01,1979517
0.66,1965102
0.66,1965103
0.66,1965104
0.66,1968719
0.66,1968720
0.66,1968721
0.66,1972335
0.66,1972336
0.66,1972337
0.66,1975952
0.66,1975953
0.66,1975954
0.66,1979569
0.66,1979570
0.36,1983116
0.36,1983117
0.36,1983118
0.36,1983119
0.36,1983120
0.36,1986733
0.36,1986734
0.36,1986735
0.36,1986736
0.63,1983121
0.63,1986737
0.25,1983135
0.25,1983136
0.25,1983137
0.25,1983138
0.25,1986751
0.25,1986752
0.25,1986753
0.25,1986754
0.25,1986755
0.25,1990368
0.25,1990369
0.25,1990370
0.25,1990371
0.25,1993987
0.25,1993988
0.58,1983185
0.58,1983186
0.58,1983187
0.58,1986802
0.58,1986803
0.58,1986804
0.58,1990419
0.58,1990420
0.58,1994035
0.58,1994036
0.58,1994037
0.58,1997652
0.58,1997653
0.58,2001268
0.58,2001269
0.58,2001270
0.58,2001271
0.42,2004839
0.42,2004840
0.42,2004841
0.42,2004842
0.42,2008458
0.42,2008459
0.42,2012075
0.42,2012076
0.42,2015692
0.09,2004885
0.09,2004886
0.09,2004887
0.09,2004888
0.09,2008502
0.09,2008503
