prob,cell_id
0.26,479340
0.26,482957
0.1,497416
0.1,493801
0.1,497417
0.1,497418
0.1,497419
0.01,1020584
0.01,1024199
0.41,1041148
0.41,1044764
0.41,1044765
0.41,1044766
0.41,1044767
0.41,1041149
0.41,1044768
0.41,1044769
0.41,1044770
0.04,1060330
0.02,1053104
0.02,1053105
0.02,1053106
0.02,1056719
0.02,1056720
0.02,1056721
0.02,1056722
0.02,1060335
0.02,1060336
0.02,1060337
0.27,1052014
0.27,1052015
0.27,1055631
0.27,1055632
0.27,1055633
0.27,1059250
0.27,1059251
0.27,1059252
0.27,1062869
0.27,1062870
0.38,1078365
0.36,1078366
0.36,1078367
0.36,1078368
0.27,1074755
0.27,1074756
0.27,1074757
0.27,1078370
0.27,1078371
0.27,1078372
0.27,1078373
0.3,1074758
0.3,1074759
0.3,1074760
0.3,1074761
0.3,1078374
0.3,1078375
0.3,1078376
0.1,1063924
0.1,1063925
0.1,1063926
0.1,1067539
0.1,1067540
0.1,1067541
0.1,1067542
0.1,1071154
0.1,1071155
0.1,1071156
0.1,1071157
0.1,1074769
0.1,1074770
0.1,1074771
0.1,1074772
0.1,1078385
0.1,1078386
0.1,1078387
0.01,1063947
0.01,1063948
0.01,1063949
0.01,1066482
0.01,1066483
0.01,1070100
0.01,1070101
0.01,1070102
0.07,1066503
0.07,1066504
0.07,1070121
0.07,1085582
0.07,1085583
0.07,1089197
0.07,1089198
0.07,1089199
0.07,1089200
0.07,1092814
0.07,1092815
0.07,1096427
0.07,1096428
0.07,1096429
0.07,1096430
0.02,1081996
0.02,1081997
0.02,1081998
0.02,1081999
0.09,1082006
0.3,1082007
0.3,1082008
0.3,1082009
0.11,1082321
0.05,1082322
0.05,1082323
0.54,1088222
0.14,1100046
0.14,1100047
0.01,1102716
0.01,1102717
0.01,1102718
0.01,1106335
0.1,1208888
1,1387059
1,1387060
1,1387061
0.57,1397922
0.57,1401535
0.57,1401536
0.57,1401537
0.57,1401538
0.57,1405152
0.57,1405153
0.57,1405154
0.57,1405155
0.61,1401548
0.61,1405165
0.61,1405166
1,1405172
0.63,1401557
0.63,1405173
0.63,1405174
0.63,1405175
0.63,1405176
0.39,1405177
0.39,1405178
0.39,1405179
0.39,1405180
0.39,1405181
0.39,1405182
0.39,1405183
0.1,1413592
0.1,1413593
0.1,1417210
0.1,1417211
0.1,1420827
0.1,1420828
0.1,1420829
0.1,1424445
0.1,1424446
0.1,1424447
0.1,1428064
0.1,1428065
0.15,1430447
0.15,1430448
0.15,1430449
0.15,1434064
0.15,1434065
0.15,1434066
0.15,1437682
0.15,1437683
0.15,1441299
0.15,1441300
0.15,1444916
0.15,1444917
0.13,1449768
0.13,1449769
0.13,1453386
0.13,1453387
0.13,1457003
0.13,1457004
0.13,1457005
0.13,1460621
0.13,1460622
0.13,1460623
0.13,1460624
0.13,1464239
0.13,1464240
0.13,1464241
0.13,1464242
0.13,1467859
0.13,1467860
0.24,1529364
0.24,1529365
0.24,1529366
0.24,1532983
0.24,1532984
0.24,1536600
0.24,1536601
0.24,1536602
0.24,1540218
0.24,1540219
0.24,1540220
0.24,1543836
0.24,1543837
0.24,1543838
0.24,1547454
0.24,1547455
0.24,1547456
1,1556853
1,1556854
1,1556855
1,1560470
1,1560471
1,1560472
1,1564086
1,1564087
1,1564088
1,1567703
1,1567704
1,1567705
1,1564089
0.01,1549808
0.01,1553425
0.01,1557040
0.01,1557041
0.01,1557042
0.01,1560657
0.01,1560658
0.01,1560659
0.01,1564273
0.01,1564274
0.01,1564275
0.01,1564276
0.01,1567890
0.01,1567891
0.01,1567892
0.48,1551071
0.48,1551072
0.48,1551073
0.48,1554689
0.48,1554690
0.48,1554691
0.48,1554692
0.48,1558307
0.48,1558308
0.48,1558309
0.48,1558310
0.48,1561928
0.48,1565546
0.48,1569164
1,1571319
1,1571320
1,1571321
1,1571322
1,1574936
1,1574937
1,1574938
1,1574939
1,1582197
1,1582198
1,1585814
1,1585815
1,1582199
1,1585816
0.81,1600276
0.81,1600277
0.81,1603892
0.81,1603893
0.81,1603894
0.81,1603895
0.81,1607509
0.81,1607510
0.81,1607511
0.65,1589431
0.65,1589432
0.65,1596662
0.65,1596663
0.65,1596664
0.65,1600279
0.65,1600280
0.65,1600281
0.65,1600282
0.65,1603896
0.65,1603897
0.65,1603898
0.65,1603899
0.65,1607512
0.65,1607513
0.65,1607514
0.65,1607515
0.65,1607516
1,1589433
1,1596670
1,1600283
1,1603900
1,1603901
1,1603902
1,1607517
1,1607518
1,1607519
1,1593055
1,1596671
1,1596672
