prob,cell_id
0.01,819210
0.01,819211
0.01,822827
0.01,822828
0.01,826443
0.01,826444
0.01,826445
0.05,844521
0.05,844522
0.02,844524
0.03,848137
0.03,851752
0.03,851753
0.03,855369
0.03,855370
0.03,858986
0.03,858987
0.03,862602
0.03,862603
0.03,862604
0.01,873413
0.01,873414
0.01,877030
0.01,877031
0.01,880647
0.01,880648
0.1,866214
0.1,869830
0.1,869831
0.1,873448
0.06,866215
0.06,866217
0.06,866218
0.06,869832
0.06,869834
0.06,869835
0.06,873452
0.06,880685
0.01,866219
0.01,866221
0.01,869836
0.01,869838
0.01,873453
0.01,873454
0.01,873455
0.01,877069
0.01,877070
0.01,877071
0.01,877072
0.01,880686
0.01,880687
0.01,880688
0.01,880689
0.08,891536
0.01,884304
0.01,884305
0.01,884306
0.01,887920
0.01,887921
0.01,887922
0.01,887923
0.01,891537
0.01,891538
0.01,891539
0.01,895154
0.01,895155
0.01,895156
0.09,909621
0.04,898771
0.04,898772
0.04,898773
0.04,902388
0.04,902389
0.04,902390
0.04,906005
0.04,906006
0.04,906007
0.04,909622
0.04,909623
0.04,913238
0.04,913239
0.04,898774
0.04,898775
0.04,902391
0.04,902392
0.04,902393
0.04,902394
0.04,906008
0.04,913243
0.04,913244
0.01,898778
0.01,898779
0.01,898780
0.01,902395
0.01,902396
0.01,902397
0.01,906012
0.01,906013
0.01,906014
0.01,909628
0.01,909629
0.01,909630
0.01,909631
0.01,913245
0.01,913246
0.01,913247
0.01,913248
0.14,920471
0.14,931322
0.12,924089
0.12,924090
0.12,927706
0.12,927707
0.12,931323
0.08,916859
0.08,916860
0.08,916861
0.08,920476
0.08,920477
0.08,920478
0.08,924093
0.08,924094
0.08,924095
0.08,927711
0.08,927712
0.08,931328
0.08,931329
0.02,916862
0.02,916863
0.02,916864
0.02,916865
0.02,920479
0.02,920480
0.02,920481
0.02,920482
0.02,924096
0.02,924097
0.02,924098
0.02,924099
0.02,927713
0.02,927714
0.02,927715
0.02,931330
0.02,931331
0.02,931332
0.01,916952
0.01,916953
0.01,916954
0.01,916955
0.01,920569
0.01,920570
0.01,920571
0.01,920572
0.01,924186
0.01,924187
0.01,924188
0.01,924189
0.01,927803
0.01,927804
0.01,927805
0.01,927806
0.01,931420
0.01,931421
0.01,931422
0.01,931423
0.01,916956
0.01,916957
0.01,916958
0.01,920573
0.01,920574
0.01,920575
0.01,924190
0.01,924191
0.01,924192
0.01,927807
0.01,927808
0.01,927809
0.01,931424
0.01,931425
0.01,931426
0.16,942176
0.16,945793
0.16,949410
0.07,934946
0.07,938560
0.07,938561
0.07,938562
0.07,938563
0.07,942177
0.07,942178
0.07,942179
0.07,942180
0.07,945794
0.07,945795
0.07,945796
0.07,945797
0.07,949411
0.07,949412
0.07,949413
0.07,949414
0.02,935034
0.02,935035
0.02,935036
0.02,938651
0.02,938652
0.02,938653
0.02,942268
0.02,942269
0.02,942270
0.02,942271
0.02,945885
0.02,945886
0.02,945887
0.02,945888
0.02,949502
0.02,949503
0.02,949504
0.02,949505
0.04,935037
0.04,935038
0.04,935039
0.04,935040
0.04,938654
0.04,938655
0.04,938656
0.04,938657
0.04,942272
0.04,942273
0.04,942274
0.04,945889
0.04,945890
0.04,945891
0.04,949506
0.04,949507
0.04,949508
0.02,935041
0.02,935042
0.02,935043
0.02,938658
0.02,938659
0.02,938660
0.02,942275
0.02,942276
0.02,942277
0.02,942278
0.02,945892
0.02,945893
0.02,945894
0.02,945895
0.02,949509
0.02,949510
0.02,949511
0.02,949512
0.2,967484
0.18,960253
0.18,960254
0.18,963870
0.18,963871
0.18,967485
0.18,967486
0.18,967487
0.18,967488
0.12,956639
0.12,956640
0.12,960255
0.12,960256
0.12,960257
0.12,963872
0.12,963873
0.12,963874
0.12,967489
0.12,967491
0.06,953024
0.06,953025
0.06,953026
0.06,953027
0.06,956641
0.06,956642
0.06,956643
0.06,956644
0.06,960258
0.06,960259
0.06,960260
0.06,960261
0.06,963875
0.06,963876
0.06,963877
0.06,963878
0.06,967494
0.06,967495
0.02,953028
0.02,953029
0.02,953030
0.02,956645
0.02,956646
0.02,956647
0.02,960262
0.02,960263
0.02,960264
0.02,963880
0.02,963881
0.02,967497
0.02,967498
0.01,953031
0.01,953032
0.01,953033
0.01,953034
0.01,956648
0.01,956649
0.01,956650
0.01,960265
0.01,960266
0.01,960267
0.01,960268
0.01,963882
0.01,963883
0.01,963884
0.01,963885
0.01,967499
0.01,963932
0.01,967549
0.01,953086
0.01,953087
0.01,956703
0.01,956704
0.01,960320
0.01,960321
0.01,963937
0.01,963938
0.01,967554
0.01,967555
0.01,953112
0.01,953113
0.01,953114
0.01,953115
0.01,956729
0.01,956730
0.01,956731
0.01,956732
0.01,960346
0.01,960347
0.01,960348
0.01,960349
0.01,963963
0.01,963964
0.01,963965
0.01,963966
0.01,967580
0.01,967581
0.01,967582
0.01,967583
0.02,953116
0.02,953117
0.02,953118
0.02,956733
0.02,956734
0.02,956735
0.02,960350
0.02,960351
0.02,960352
0.02,963967
0.02,963968
0.02,963969
0.02,967584
0.02,967585
0.02,967586
0.02,967587
0.04,953119
0.04,953120
0.04,953121
0.04,953122
0.04,956736
0.04,956737
0.04,956738
0.04,956739
0.04,960353
0.04,960354
0.04,960355
0.04,960356
0.04,963970
0.04,963971
0.04,963972
0.04,963973
0.04,967588
0.04,967589
0.04,967590
0.05,953123
0.05,953124
0.05,953125
0.05,956740
0.05,956741
0.05,956742
0.05,960357
0.05,960358
0.05,960359
0.05,963974
0.05,963975
0.05,963976
0.05,967591
0.05,967592
0.05,967593
0.05,967594
0.03,953126
0.03,953127
0.03,953128
0.03,953129
0.03,956743
0.03,956744
0.03,956745
0.03,956746
0.03,960360
0.03,960361
0.03,960362
0.03,960363
0.03,963977
0.03,963978
0.03,963979
0.03,963980
0.03,967595
0.03,967596
0.03,967597
0.01,953130
0.01,953131
0.01,953132
0.01,956747
0.01,956748
0.01,956749
0.01,960364
0.01,960365
0.01,960366
0.01,963981
0.01,963982
0.01,963983
0.01,963984
0.01,967598
0.01,967599
0.01,967600
0.01,967601
0.15,971103
0.15,971104
0.15,974719
0.15,974720
0.15,974721
0.15,978336
0.15,978337
0.15,978338
0.15,981953
0.15,981954
0.15,985570
0.15,985571
0.15,985572
0.08,971105
0.08,971106
0.08,974722
0.08,974723
0.08,978339
0.08,981958
0.08,985573
0.08,985574
0.08,985575
0.02,971130
0.02,974747
0.02,974748
0.02,978364
0.02,978365
0.02,978366
0.02,978367
0.02,981981
0.02,981982
0.02,981983
0.02,981984
0.02,985598
0.02,985599
0.02,985600
0.02,985601
0.02,971180
0.02,971181
0.02,971182
0.02,974797
0.02,974798
0.02,974799
0.02,978414
0.02,978415
0.02,978416
0.02,982031
0.02,982032
0.02,982033
0.02,985648
0.02,985649
0.02,985650
0.02,971183
0.02,971184
0.02,971185
0.02,971186
0.02,974800
0.02,974801
0.02,974802
0.02,974803
0.02,978417
0.02,978418
0.02,978419
0.02,978420
0.02,982034
0.02,982035
0.02,982036
0.02,982037
0.02,985651
0.02,985652
0.02,985653
0.02,985654
0.03,971187
0.03,971188
0.03,971189
0.03,974804
0.03,974805
0.03,974806
0.03,978421
0.03,978422
0.03,978423
0.03,982038
0.03,982039
0.03,982040
0.03,982041
0.03,985655
0.03,985656
0.03,985657
0.03,985658
0.04,971190
0.04,971191
0.04,971192
0.04,971193
0.04,974807
0.04,974808
0.04,974809
0.04,974810
0.04,978424
0.04,978425
0.04,978426
0.04,978427
0.04,982042
0.04,982043
0.04,982044
0.04,985659
0.04,985660
0.04,985661
0.06,971194
0.06,971195
0.06,971196
0.06,974811
0.06,974812
0.06,974813
0.06,974814
0.06,978428
0.06,978429
0.06,978430
0.06,978431
0.06,982045
0.06,982046
0.06,982047
0.06,982048
0.06,985662
0.06,985663
0.06,985664
0.06,985665
0.07,971197
0.07,971198
0.07,971199
0.07,971200
0.07,974815
0.07,974816
0.07,974817
0.07,978432
0.07,978433
0.07,978434
0.07,982049
0.07,982050
0.07,982051
0.07,985666
0.07,985667
0.07,985668
0.08,971201
0.08,971202
0.08,971203
0.08,971204
0.08,974818
0.08,974819
0.08,974820
0.08,974821
0.08,978435
0.08,978436
0.08,978437
0.08,978438
0.08,982052
0.08,982053
0.08,982054
0.08,982055
0.08,985669
0.08,985670
0.08,985671
0.08,985672
0.08,971205
0.08,971206
0.08,971207
0.08,974822
0.08,974823
0.08,974824
0.08,978439
0.08,978440
0.08,978441
0.08,982056
0.08,982057
0.08,982058
0.08,985673
0.08,985674
0.08,985675
0.08,971208
0.08,971209
0.08,971210
0.08,971211
0.08,974825
0.08,974826
0.08,974827
0.08,974828
0.08,978442
0.08,978443
0.08,978444
0.08,978445
0.08,982059
0.08,982060
0.08,982061
0.08,982062
0.08,985676
0.08,985677
0.08,985678
0.08,985679
0.04,971212
0.04,971213
0.04,971214
0.04,974829
0.04,974830
0.04,974831
0.04,978446
0.04,978447
0.04,978448
0.04,982063
0.04,982064
0.04,982065
0.04,985680
0.04,985681
0.04,985682
0.01,971215
0.01,971216
0.01,971217
0.01,971218
0.01,974832
0.01,974833
0.01,974834
0.01,974835
0.01,978449
0.01,978450
0.01,978451
0.01,978452
0.01,982066
0.01,982067
0.01,982068
0.01,982069
0.01,985683
0.01,985684
0.01,985685
0.01,985686
0.16,992795
0.16,996411
0.16,996412
0.16,1000026
0.16,1000027
0.16,1000028
0.16,1000029
0.16,1003643
0.16,1003644
0.16,1003645
0.16,1003646
0.13,992796
0.13,992797
0.13,992798
0.13,992799
0.13,996413
0.13,996414
0.13,996415
0.13,996416
0.13,1000030
0.13,1003647
0.11,989185
0.11,992800
0.11,992801
0.11,992802
0.11,996417
0.11,996418
0.11,996419
0.11,1000035
0.11,1000036
0.08,989186
0.08,989187
0.08,989188
0.08,989189
0.08,992803
0.08,992804
0.08,992805
0.08,992806
0.08,996420
0.08,996421
0.08,996422
0.08,996423
0.08,1000039
0.08,1000040
0.08,989190
0.08,989191
0.08,989192
0.08,992807
0.03,1003673
0.03,1003674
0.03,1003675
0.04,989210
0.04,992826
0.04,992827
0.04,996443
0.04,996444
0.04,1000059
0.04,1000060
0.04,1000061
0.04,1003676
0.04,1003677
0.04,1003678
0.04,989211
0.04,989212
0.04,989213
0.04,992828
0.04,992829
0.04,996445
0.04,996446
0.04,1000062
0.04,1000063
0.04,1000065
0.04,1003679
0.04,1003682
0.04,989216
0.04,989217
0.04,989218
0.04,992833
0.04,992834
0.04,996450
0.04,996451
0.04,1000066
0.04,1000067
0.04,1000068
0.04,1003683
0.04,1003684
0.04,1003685
0.04,989219
0.04,989220
0.04,989221
0.04,992835
0.04,992836
0.04,992837
0.04,992838
0.04,996453
0.04,996454
0.04,996455
0.04,1000069
0.04,1000070
0.04,1000071
0.04,1000072
0.04,1003686
0.04,1003687
0.04,1003688
0.04,1003689
0.03,989222
0.03,989223
0.03,989224
0.03,989225
0.03,992839
0.03,992840
0.03,992841
0.03,992842
0.03,996456
0.03,996457
0.03,996458
0.03,996459
0.03,1000073
0.03,1000074
0.03,1000075
0.03,1000076
0.03,1003690
0.03,1003691
0.03,1003692
0.03,1003693
0.01,992843
0.01,996460
0.01,996461
0.01,1000077
0.01,1000078
0.01,1000079
0.01,1003694
0.01,1003695
0.01,1003696
0.02,989265
0.02,989266
0.02,989267
0.02,992882
0.02,992883
0.02,992884
0.02,996499
0.02,996500
0.02,996501
0.02,996502
0.02,1000116
0.02,1000117
0.02,1000118
0.02,1000119
0.02,1003733
0.02,1003734
0.02,1003735
0.02,1003736
0.05,989268
0.05,989269
0.05,989270
0.05,989271
0.05,992885
0.05,992886
0.05,992887
0.05,992888
0.05,996503
0.05,996504
0.05,996505
0.05,1000120
0.05,1000121
0.05,1000122
0.05,1003737
0.05,1003738
0.05,1003739
0.07,989272
0.07,989273
0.07,989274
0.07,989275
0.07,992889
0.07,992890
0.07,992891
0.07,992892
0.07,996506
0.07,996507
0.07,996508
0.07,996509
0.07,1000123
0.07,1000124
0.07,1000125
0.07,1000126
0.07,1003740
0.07,1003741
0.07,1003742
0.07,1003743
0.08,989276
0.08,989277
0.08,989278
0.08,992893
0.08,992894
0.08,992895
0.08,996510
0.08,996511
0.08,996512
0.08,1000127
0.08,1000128
0.08,1000129
0.08,1003744
0.08,1003745
0.08,1003746
0.1,989279
0.1,989280
0.1,989281
0.1,989282
0.1,992896
0.1,992897
0.1,992898
0.1,992899
0.1,996513
0.1,996514
0.1,996515
0.1,996516
0.1,1000130
0.1,1000131
0.1,1000132
0.1,1000133
0.1,1003747
0.1,1003748
0.1,1003749
0.1,1003750
0.11,989283
0.11,989284
0.11,989285
0.11,992900
0.11,992901
0.11,992902
0.11,996517
0.11,996518
0.11,996519
0.11,1000134
0.11,1000135
0.11,1000136
0.11,1003751
0.11,1003752
0.11,1003753
0.11,1003754
0.11,989286
0.11,989287
0.11,989288
0.11,989289
0.11,992903
0.11,992904
0.11,992905
0.11,992906
0.11,996520
0.11,996521
0.11,996522
0.11,996523
0.11,1000137
0.11,1000138
0.11,1000139
0.11,1000140
0.11,1003755
0.11,1003756
0.11,1003757
0.1,989290
0.1,989291
0.1,989292
0.1,992907
0.1,992908
0.1,992909
0.1,992910
0.1,996524
0.1,996525
0.1,996526
0.1,996527
0.1,1000141
0.1,1000142
0.1,1000143
0.1,1000144
0.1,1003758
0.1,1003759
0.1,1003760
0.1,1003761
0.08,989293
0.08,989294
0.08,989295
0.08,989296
0.08,992911
0.08,992912
0.08,992913
0.08,996528
0.08,996529
0.08,996530
0.08,1000145
0.08,1000146
0.08,1000147
0.08,1003762
0.08,1003763
0.08,1003764
0.05,989297
