prob,cell_id
0.01,189936
0.01,189937
0.01,189938
0.01,193554
0.01,193555
0.01,189939
0.01,193556
0.01,193557
0.07,204396
0.07,208013
0.04,200779
0.04,200780
0.04,204397
0.04,208014
0.04,208015
0.03,200781
0.03,200782
0.03,204398
0.03,204399
0.03,208016
0.01,197165
0.01,197166
0.01,200783
0.01,204401
0.01,197169
0.01,200786
0.01,200787
0.01,204403
0.01,204404
0.01,208021
0.02,197170
0.02,197171
0.02,200788
0.02,204405
0.02,204406
0.02,208023
0.02,197172
0.02,200789
0.02,200790
0.02,204407
0.02,208024
0.02,208025
0.02,197173
0.02,197174
0.02,200791
0.02,200792
0.02,204408
0.02,204409
0.02,208026
0.02,197175
0.02,200793
0.02,204411
0.02,200794
0.02,200795
0.02,204412
0.02,208029
0.02,208030
0.01,197178
0.01,197179
0.01,200796
0.01,200797
0.01,204413
0.01,204414
0.01,208031
0.01,208032
0.11,218863
0.1,218864
0.1,218865
0.09,211631
0.09,211632
0.09,215249
0.09,218866
0.09,218867
0.06,211633
0.06,215250
0.06,215251
0.06,218868
0.04,211635
0.04,215252
0.04,215253
0.04,218869
0.04,218870
0.11,222482
0.11,226099
0.11,226100
0.11,229717
0.1,222483
0.1,222484
0.1,226101
0.1,229718
0.1,229719
0.09,222485
0.09,222486
0.09,226102
0.09,226103
0.09,229720
0.07,222487
0.07,222488
0.07,226104
0.07,226105
0.07,229721
0.07,229722
0.06,222489
0.06,229723
0.06,229724
0.05,226115
0.05,229732
0.05,229733
0.04,226116
0.04,226117
0.04,229734
0.04,229735
0.12,233336
0.12,236953
0.1,233337
0.1,233338
0.1,236954
0.1,236955
0.1,233339
0.1,233340
0.1,236956
0.1,236957
0.1,240573
0.1,240574
0.09,233341
0.09,236958
0.09,236959
0.09,240575
0.09,240576
0.07,233342
0.07,233343
0.07,236960
0.07,236961
0.07,240577
0.07,240578
0.07,233344
0.07,240579
0.07,240580
0.07,244197
0.06,240581
0.06,240582
0.06,244198
0.06,244199
0.06,233349
0.06,236965
0.06,236966
0.06,240583
0.06,244200
0.06,244201
0.07,233350
0.07,236967
0.07,236968
0.07,240584
0.07,240585
0.07,244202
0.07,244203
0.06,233351
0.06,233352
0.06,236969
0.06,236970
0.06,240586
0.06,240587
0.03,233353
0.03,233354
0.03,236971
0.03,240588
0.01,233355
0.01,233356
0.01,236972
0.01,236973
0.09,247812
0.09,247813
0.09,251430
0.08,247814
0.08,251431
0.08,251432
0.08,255048
0.08,255049
0.08,247815
0.08,247816
0.08,251433
0.08,251434
0.08,255050
0.08,255051
0.08,247818
0.08,251435
0.08,251436
0.08,255052
0.08,255053
0.07,251437
0.07,255054
0.07,255055
0.02,247822
0.02,251438
0.02,251439
0.02,255056
0.02,255057
0.01,247823
0.01,251440
0.01,251441
0.01,255058
0.01,255059
0.08,258668
0.08,258669
0.08,262285
0.08,262286
0.08,265903
0.04,262287
0.04,262288
0.04,265904
0.04,265905
0.04,269522
0.04,269523
0.07,258671
0.07,258672
0.07,265906
0.07,265907
0.07,269524
0.07,258673
0.07,258674
0.07,265908
0.07,269525
0.07,269526
0.02,258675
0.02,258676
0.02,269527
0.02,269528
0.08,273142
0.08,276758
0.06,273143
0.06,273144
0.06,276761
0.06,280378
0.06,280379
0.05,273145
0.05,273146
0.05,276762
0.05,276763
0.05,280380
0.05,280381
0.05,283997
0.05,283998
0.01,276767
0.01,280385
0.01,284001
0.01,284002
0.08,287616
0.08,287617
0.07,287618
0.07,287619
0.06,287620
0.02,294872
0.02,294873
0.02,294874
0.01,294875
0.01,294876
0.01,294877
0.01,291260
0.01,291261
0.01,294878
0.01,294879
0.01,287645
0.01,291262
0.01,291263
0.01,294880
0.01,294881
0.01,291400
0.01,295023
0.01,295024
0.01,295025
0.01,295026
0.01,295027
0.01,295028
0.01,287793
0.01,291410
0.01,291411
0.01,295029
0.01,295030
0.04,302098
0.04,302099
0.04,305717
0.04,309333
0.04,309334
0.02,298484
0.02,302100
0.02,302101
0.02,305718
0.02,305719
0.02,309335
0.02,309336
0.01,298485
0.01,302102
0.01,302103
0.01,305720
0.01,305721
0.01,309337
0.01,309338
0.01,298487
0.01,298488
0.01,302104
0.01,302105
0.01,302106
0.01,305722
0.01,305723
0.01,309339
0.01,309340
0.01,309341
0.01,298499
0.01,309492
0.01,305875
0.01,309493
0.01,309494
0.01,302258
0.01,302259
0.01,305876
0.01,305877
0.01,309495
0.07,316564
0.07,316565
0.07,320182
0.07,320183
0.07,323800
0.03,312949
0.03,312950
0.03,316566
0.03,316567
0.03,320184
0.03,320185
0.03,323801
0.03,323802
0.01,312951
0.01,312952
0.01,316568
0.01,316569
0.01,320186
0.01,320187
0.01,323803
0.01,323804
0.01,312961
0.01,312962
0.01,316579
0.01,316580
0.01,320196
0.01,320197
0.01,323814
0.01,323815
0.01,312963
0.01,312964
0.01,316581
0.01,316582
0.01,320198
0.01,320199
0.01,312965
0.01,316583
0.02,323957
0.02,316722
0.02,320340
0.02,323958
0.02,323959
0.02,316723
0.02,316724
0.02,320341
0.02,320342
0.02,320343
0.02,323960
0.02,323961
0.01,313108
0.01,316725
0.01,316726
0.01,320344
0.11,338270
0.08,338271
0.08,338272
0.06,327422
0.06,331038
0.06,331039
0.06,334655
0.06,334656
0.06,334657
0.06,338273
0.06,338274
0.01,327423
0.01,327424
0.01,331040
0.01,331041
0.01,334658
0.01,334659
0.01,338275
0.04,327425
0.04,327426
0.04,331042
0.04,331043
0.04,334660
0.04,334661
0.05,327427
0.05,327428
0.05,331044
0.05,331045
0.05,331046
0.05,334662
0.05,334663
0.03,327574
0.03,327575
0.03,334812
0.03,338429
0.03,338430
0.03,327576
0.03,327577
0.03,331194
0.03,331195
0.03,334813
0.03,334814
0.03,338431
0.03,338432
0.13,345505
0.09,341888
0.09,341889
0.09,345506
0.09,345507
0.09,349123
0.09,349124
0.1,341890
0.1,341891
0.1,341892
0.1,345508
0.1,345509
0.1,349125
0.11,341893
0.11,345510
0.05,345658
0.05,349276
