prob,cell_id
0.01,1352082
0.08,1370182
0.08,1370183
0.08,1370184
0.08,1373800
0.08,1373801
0.08,1373802
0.08,1377419
0.08,1377420
0.08,1381038
0.09,1391893
0.09,1395510
0.09,1395511
0.09,1399127
0.09,1399128
0.09,1402745
0.09,1402746
0.09,1402747
0.09,1406363
0.09,1406364
0.09,1406365
0.17,1413592
0.17,1413593
0.17,1417210
0.17,1417211
0.17,1420827
0.17,1420828
0.17,1420829
0.17,1424445
0.17,1424446
0.17,1424447
0.17,1428064
0.17,1428065
0.13,1413594
0.13,1413595
0.13,1413596
0.13,1413597
0.13,1417212
0.13,1417213
0.13,1417214
0.13,1417215
0.13,1420831
0.13,1420832
0.13,1420833
0.13,1424448
0.13,1428066
0.05,1409981
0.05,1409982
0.05,1409983
0.05,1413598
0.05,1413599
0.05,1413600
0.05,1413601
0.05,1417216
0.05,1417217
0.05,1417218
0.05,1417219
0.05,1420834
0.05,1420835
0.05,1420836
0.05,1424452
0.05,1424453
0.22,1442533
0.22,1442534
0.22,1446150
0.22,1446151
0.14,1431683
0.14,1435299
0.14,1435300
0.14,1435301
0.14,1438916
0.14,1438917
0.14,1438918
0.14,1446156
0.02,1446164
0.26,1457002
0.26,1460619
0.26,1460620
0.26,1464236
0.26,1464237
0.26,1464238
0.26,1467854
0.26,1467855
0.26,1467856
0.28,1449768
0.28,1449769
0.28,1453386
0.28,1453387
0.28,1457003
0.28,1457004
0.28,1457005
0.28,1460621
0.28,1460622
0.28,1460623
0.28,1460624
0.28,1464239
0.28,1464240
0.28,1464241
0.28,1464242
0.28,1467859
0.28,1467860
0.1,1449773
0.1,1449774
0.1,1453390
0.1,1453391
0.1,1453392
0.1,1457008
0.1,1457009
0.1,1457010
0.1,1460626
0.1,1460627
0.1,1460628
0.1,1464243
0.1,1464246
0.1,1467861
0.1,1467862
0.33,1471474
0.33,1485945
0.33,1485946
0.35,1471475
0.35,1471478
0.35,1475096
0.35,1478714
0.35,1482332
0.35,1485947
0.35,1485949
0.35,1485950
0.28,1471479
0.28,1471480
0.28,1475097
0.28,1475098
0.28,1478715
0.28,1482333
0.28,1482336
0.28,1485951
0.28,1485954
0.24,1471486
0.24,1475102
0.24,1475103
0.24,1478719
0.24,1478720
0.24,1478721
0.24,1478722
0.24,1482337
0.24,1482338
0.24,1482339
0.24,1482340
0.24,1485955
0.24,1485958
0.13,1471487
0.13,1471488
0.13,1471489
0.13,1475105
0.13,1475106
0.13,1475107
0.13,1475108
0.13,1478723
0.13,1478724
0.13,1478725
0.13,1482341
0.13,1485959
0.13,1485960
0.46,1489567
0.46,1489568
0.46,1493185
0.46,1493186
0.42,1489569
0.42,1489571
0.42,1489572
0.42,1493187
0.42,1493188
0.42,1493189
0.42,1496807
0.42,1496808
0.42,1500424
0.42,1500425
0.42,1500426
0.42,1504042
0.42,1504043
0.42,1504044
0.42,1507660
0.42,1507661
0.42,1507662
0.29,1489575
0.29,1489576
0.29,1493193
0.29,1493194
0.29,1496809
0.29,1496810
0.29,1496811
0.29,1496812
0.29,1500427
0.29,1500428
0.29,1500429
0.29,1500431
0.29,1504046
0.29,1504047
0.29,1504048
0.29,1504049
0.29,1507664
0.29,1507665
0.29,1507666
0.29,1507667
0.22,1489577
0.22,1489578
0.22,1489579
0.22,1489580
0.22,1489581
0.22,1493196
0.22,1493197
0.22,1493198
0.22,1493199
0.22,1496815
0.22,1496816
0.22,1496817
0.22,1500432
0.22,1500433
0.22,1500434
0.22,1500435
0.22,1504050
0.22,1504051
0.22,1504052
0.22,1504053
0.22,1507668
0.22,1507669
0.22,1507670
0.22,1507671
0.07,1518423
0.07,1518424
0.07,1522040
0.07,1522041
0.07,1522042
0.07,1525657
0.07,1525658
0.06,1511190
0.06,1511191
0.06,1514807
0.06,1514808
