prob,cell_id
0.06,3903801
0.06,3903802
0.06,3907418
0.06,3907419
0.06,3911035
0.06,3911036
0.06,3911037
0.06,3914653
0.06,3914654
0.06,3914655
0.06,3918270
0.06,3918271
0.06,3918272
0.06,3921888
0.06,3921889
0.06,3921890
0.06,3925507
0.07,3929125
0.07,3932742
0.07,3932743
0.07,3936360
0.07,3936361
0.07,3936362
0.07,3939978
0.07,3939979
0.07,3939980
0.07,3943596
0.07,3943597
0.07,3943598
0.07,3947215
0.05,3950833
0.05,3950834
0.05,3954450
0.05,3954451
0.05,3954452
0.05,3958069
0.05,3958070
0.05,3961686
0.05,3961687
0.05,3961688
0.05,3965304
0.05,3965305
0.05,3968922
0.05,3968923
0.03,4319836
0.03,4319837
0.03,4323453
0.03,4323454
0.03,4330689
0.03,4334306
0.03,4337923
0.02,4341540
0.02,4341541
0.02,4345158
0.02,4348775
0.02,4352392
0.02,4356009
0.02,4356010
0.02,4359626
0.02,4359627
0.04,4352393
0.09,4363243
0.09,4363244
0.09,4366860
0.09,4366861
0.09,4370478
0.09,4370479
0.09,4374095
0.09,4374096
0.09,4377713
0.09,4381330
0.09,4381331
0.08,4377714
0.16,4384948
0.16,4388565
0.16,4392182
0.16,4395800
0.16,4399417
0.16,4403033
0.16,4403034
0.12,4384949
0.12,4388566
0.12,4392183
0.12,4392184
0.12,4395801
0.12,4399418
0.18,4406650
0.18,4406651
0.18,4410267
0.18,4410268
0.18,4413884
0.18,4413885
0.18,4417501
0.18,4417502
0.18,4421118
0.18,4421119
0.18,4424736
0.18,4424737
0.23,4428354
0.23,4428355
0.23,4431971
0.23,4431972
0.23,4435588
0.23,4435589
0.23,4439206
0.23,4442823
0.23,4442824
0.23,4446440
0.23,4446441
0.28,4450057
0.28,4450058
0.28,4453674
0.28,4453675
0.28,4457291
0.28,4457292
0.28,4460908
0.28,4460909
0.28,4464525
0.28,4464526
0.28,4468142
0.28,4468143
0.31,4475376
0.31,4478993
0.31,4482610
0.31,4486227
0.31,4489845
0.34,4471759
0.34,4471760
0.34,4475377
0.34,4478994
0.34,4482611
0.34,4486228
0.34,4486229
0.34,4489846
0.39,4497079
0.39,4500696
0.39,4500697
0.39,4504313
0.39,4504314
0.39,4507930
0.39,4507931
0.39,4511547
0.39,4511548
0.39,4493463
0.39,4497080
0.39,4497081
0.43,4515165
0.43,4518782
0.43,4522399
0.43,4522400
0.43,4526016
0.43,4526017
0.43,4529633
0.43,4529634
0.43,4533250
0.43,4533251
0.49,4547717
0.49,4551335
0.49,4554952
0.5,4536867
0.5,4536868
0.5,4540484
0.5,4540485
0.5,4544101
0.5,4544102
0.5,4547718
0.5,4547719
0.5,4554953
0.54,4558569
0.54,4562187
0.54,4565804
0.54,4569421
0.54,4576656
0.55,4558570
0.55,4565805
0.55,4565806
0.55,4569422
0.55,4569423
0.55,4573040
0.55,4573041
0.55,4576658
0.58,4580273
0.59,4580275
0.59,4580276
0.59,4583892
0.59,4583893
0.59,4587509
0.59,4587510
0.59,4591127
0.59,4591128
0.59,4594744
0.59,4594745
0.63,4601978
0.63,4605594
0.63,4605595
0.63,4609211
0.63,4609212
0.63,4612828
0.63,4612829
0.63,4616445
0.63,4616446
0.6,4598361
0.6,4598362
0.6,4601979
0.6,4605596
0.6,4609213
0.61,4620062
0.61,4620063
0.61,4623680
0.61,4627297
0.61,4627298
0.61,4630914
0.61,4630915
0.61,4634532
0.61,4634533
0.61,4638149
0.61,4638150
0.59,4641767
0.59,4641768
0.59,4645384
0.59,4645385
0.59,4649001
0.59,4649002
0.59,4649003
0.59,4652619
0.59,4652620
0.59,4656237
0.59,4656238
0.59,4659854
0.59,4659855
0.58,4663472
0.58,4663473
0.58,4667089
0.58,4667090
0.58,4670707
0.58,4674324
0.58,4674325
0.58,4677942
0.58,4681559
0.58,4681560
0.56,4685177
0.56,4688794
0.56,4692411
0.56,4692412
0.56,4696029
0.56,4703264
0.49,4688795
0.49,4692413
0.49,4696030
0.49,4699647
0.49,4699648
0.49,4703265
0.7,4706881
0.7,4710499
0.7,4714116
0.7,4717733
0.7,4721350
0.7,4721351
0.68,4706882
0.68,4710500
0.68,4717734
0.66,4724966
0.66,4724967
0.66,4724968
0.66,4728583
0.66,4728584
0.66,4732201
0.66,4732202
0.66,4735818
0.66,4735819
0.66,4739436
0.66,4739437
0.66,4743053
0.66,4743054
0.67,4746671
0.67,4746672
0.67,4750288
0.67,4750289
0.67,4753905
0.67,4753906
0.67,4757521
0.67,4757522
0.67,4757523
0.67,4761139
0.67,4761140
0.67,4764756
0.67,4764757
0.64,4771990
0.64,4775607
0.64,4779225
0.64,4782842
0.64,4786459
0.64,4786460
0.68,4768373
0.68,4775608
0.62,4790076
0.62,4790077
0.62,4793694
0.62,4797311
0.62,4800928
0.62,4804545
0.62,4804546
0.6,4815395
0.6,4819012
0.6,4822629
0.6,4826246
0.6,4826247
0.58,4808162
0.58,4808163
0.58,4811778
0.58,4811779
0.58,4811780
0.58,4815396
0.58,4815397
0.58,4819013
0.58,4822630
0.35,4829863
0.35,4829864
0.35,4833480
0.35,4833481
0.35,4837098
0.35,4837099
0.35,4840715
0.35,4840716
0.35,4844332
0.35,4844333
0.35,4847949
0.35,4847950
0.59,4866034
0.33,4851566
0.33,4851567
0.33,4855183
0.33,4855184
0.33,4858801
0.33,4858802
0.33,4862418
0.33,4862419
0.33,4866035
0.33,4866036
0.82,4887735
0.41,4869653
0.41,4873270
0.8,4891351
0.8,4891352
0.8,4894969
0.8,4894970
0.8,4898586
0.8,4898587
0.8,4902203
0.8,4902204
0.8,4905820
0.8,4905821
0.8,4905822
0.8,4909438
0.8,4909439
0.33,4891353
0.33,4891354
0.33,4891355
0.33,4891356
0.33,4894971
0.33,4894972
0.33,4894973
0.33,4898588
0.33,4898589
0.33,4898590
0.98,4913055
0.98,4913056
0.98,4916673
0.98,4916674
0.98,4920290
0.98,4920291
0.98,4920292
0.98,4923908
0.98,4923909
0.98,4927526
0.98,4927527
0.51,4923910
0.51,4927528
1,4945610
0.87,4931144
0.87,4934762
0.87,4938379
0.87,4941993
0.87,4941994
0.87,4941995
0.87,4941996
0.87,4941997
0.87,4945611
0.87,4945612
0.87,4945613
0.87,4945614
0.87,4949228
0.87,4949229
0.87,4949230
0.87,4949231
0.87,4949232
0.64,4931145
0.64,4934763
0.64,4938380
0.64,4945615
0.64,4952846
0.64,4952847
0.64,4952848
0.64,4952849
0.64,4956465
0.64,4956466
0.64,4956467
0.64,4960083
0.64,4960084
0.64,4963702
0.64,4967319
0.64,4970937
0.76,4952850
0.76,4956468
0.76,4960085
0.76,4960086
0.76,4963703
0.76,4967320
0.76,4967321
0.76,4970938
0.76,4970939
0.87,4974555
0.87,4974556
0.87,4974557
0.87,4978173
0.87,4978174
0.87,4978175
0.87,4981790
0.87,4981791
0.87,4981792
0.87,4985408
0.87,4985409
0.87,4985410
0.87,4989025
0.87,4989026
0.87,4989027
0.83,4992642
0.83,4996259
0.83,4999876
0.83,4999877
