prob,cell_id
0.38,435966
0.36,435967
0.36,435968
0.36,435969
0.35,432353
0.35,432354
0.35,435970
0.35,435971
0.35,435972
0.35,435973
0.35,435974
0.34,432357
0.34,432358
0.34,432359
0.34,435975
0.34,435976
0.34,432360
0.34,435977
0.34,435978
0.34,435979
0.33,435983
0.33,435984
0.33,432367
0.33,432368
0.33,435985
0.33,435986
0.32,435987
0.32,435988
0.32,435989
0.32,435990
0.04,450419
0.21,450420
0.4,446809
0.4,450426
0.38,446810
0.38,446811
0.38,450427
0.38,450428
0.38,450429
0.36,439577
0.36,439578
0.36,439579
0.36,443195
0.36,443196
0.36,446812
0.36,446813
0.36,446814
0.36,450430
0.36,450431
0.34,439580
0.34,439581
0.34,443197
0.34,443198
0.34,443199
0.34,446815
0.34,446816
0.34,450432
0.34,450433
0.34,450434
0.31,439582
0.31,439583
0.31,439584
0.31,443200
0.31,443201
0.31,446817
0.31,446818
0.31,446819
0.31,450435
0.31,450436
0.29,439585
0.29,439586
0.29,443202
0.29,443203
0.29,443204
0.29,446820
0.29,446821
0.29,450437
0.29,450438
0.29,450439
0.29,439587
0.29,439588
0.29,439589
0.29,443205
0.29,443206
0.29,446822
0.29,446823
0.29,450440
0.28,439590
0.28,439591
0.28,443207
0.28,443208
0.28,443209
0.28,450443
0.28,450444
0.29,439592
0.29,439593
0.29,439594
0.29,443210
0.29,443211
0.29,446827
0.29,446828
0.29,446829
0.29,450445
0.29,450446
0.3,439595
0.3,439596
0.3,443212
0.3,443213
0.3,443214
0.3,446830
0.3,450447
0.3,450448
0.3,450449
0.31,439597
0.31,439598
0.31,439599
0.31,443215
0.31,443216
0.31,446832
0.31,446833
0.31,446834
0.31,450450
0.31,450451
0.3,439600
0.3,439601
0.3,443217
0.3,443218
0.3,443219
0.3,446835
0.3,446836
0.3,450452
0.3,450453
0.29,439605
0.29,439606
0.29,443222
0.29,443223
0.29,443224
0.29,446840
0.29,446841
0.29,450457
0.29,450458
0.29,450459
0.3,439607
0.3,439608
0.3,443225
0.3,443226
0.3,446842
0.3,439609
0.3,439610
0.3,439611
0.3,443227
0.3,443228
0.3,443229
0.3,446846
0.3,450463
0.3,443230
0.3,443231
0.3,446847
0.3,446848
0.3,446849
0.3,450465
0.3,450466
0.3,446850
0.3,446851
0.3,450467
0.3,450468
0.3,450469
0.3,450470
0.3,450471
0.42,468494
0.42,468496
0.4,464879
0.4,464880
0.4,464881
0.4,468497
0.4,468498
0.39,457648
0.39,457649
0.39,461264
0.39,461265
0.39,461266
0.39,464882
0.39,464883
0.39,468499
0.39,468500
0.39,468501
0.39,454034
0.39,457650
0.39,457651
0.39,461267
0.39,461268
0.39,464884
0.39,464885
0.39,464886
0.39,468502
0.39,468503
0.39,454035
0.39,454036
0.39,457653
0.39,461269
0.39,461270
0.39,461271
0.39,464887
0.39,464888
0.39,468504
0.39,468505
0.39,468506
0.38,461272
0.38,461273
0.38,461274
0.38,464889
0.38,464890
0.38,464891
0.38,468507
0.38,468508
0.37,457659
0.37,461275
0.37,461276
0.37,464892
0.37,464893
