prob,cell_id
0.17,1352082
0.28,1370182
0.28,1370183
0.28,1370184
0.28,1373800
0.28,1373801
0.28,1373802
0.28,1377419
0.28,1377420
0.28,1381038
0.3,1391893
0.3,1395510
0.3,1395511
0.3,1399127
0.3,1399128
0.3,1402745
0.3,1402746
0.3,1402747
0.3,1406363
0.3,1406364
0.3,1406365
0.38,1413592
0.38,1413593
0.38,1417210
0.38,1417211
0.38,1420827
0.38,1420828
0.38,1420829
0.38,1424445
0.38,1424446
0.38,1424447
0.38,1428064
0.38,1428065
0.35,1413594
0.35,1413595
0.35,1413596
0.35,1413597
0.35,1417212
0.35,1417213
0.35,1417214
0.35,1417215
0.35,1420831
0.35,1420832
0.35,1420833
0.35,1424448
0.35,1428066
0.05,1409981
0.05,1409982
0.05,1409983
0.05,1413598
0.05,1413599
0.05,1413600
0.05,1413601
0.05,1417216
0.05,1417217
0.05,1417218
0.05,1417219
0.05,1420834
0.05,1420835
0.05,1420836
0.05,1424452
0.05,1424453
0.44,1442533
0.44,1442534
0.44,1446150
0.44,1446151
0.35,1431683
0.35,1435299
0.35,1435300
0.35,1435301
0.35,1438916
0.35,1438917
0.35,1438918
0.35,1446156
0.12,1446164
0.5,1457002
0.5,1460619
0.5,1460620
0.5,1464236
0.5,1464237
0.5,1464238
0.5,1467854
0.5,1467855
0.5,1467856
0.52,1449768
0.52,1449769
0.52,1453386
0.52,1453387
0.52,1457003
0.52,1457004
0.52,1457005
0.52,1460621
0.52,1460622
0.52,1460623
0.52,1460624
0.52,1464239
0.52,1464240
0.52,1464241
0.52,1464242
0.52,1467859
0.52,1467860
0.31,1449773
0.31,1449774
0.31,1453390
0.31,1453391
0.31,1453392
0.31,1457008
0.31,1457009
0.31,1457010
0.31,1460626
0.31,1460627
0.31,1460628
0.31,1464243
0.31,1464246
0.31,1467861
0.31,1467862
0.02,1449775
0.02,1449776
0.02,1449777
0.02,1449778
0.02,1453394
0.02,1453395
0.02,1453396
0.02,1457013
0.02,1457014
0.02,1460629
0.02,1460630
0.02,1460631
0.02,1460632
0.02,1464247
0.02,1464248
0.02,1464249
0.02,1464250
0.02,1467867
0.02,1467868
0.12,1449781
0.12,1449782
0.12,1453397
0.12,1453398
0.12,1457015
0.12,1457016
0.12,1460633
0.12,1460634
0.12,1467869
0.08,1449784
0.08,1449785
0.08,1449786
0.08,1453404
0.05,1449787
0.05,1449788
0.05,1449789
0.05,1453405
0.05,1453406
0.05,1453407
0.05,1453408
0.05,1457024
0.05,1457025
0.05,1457026
