prob,cell_id
0.28,2025678
0.28,2025679
0.28,2029295
0.28,2029296
0.28,2032912
0.28,2032913
0.37,2155253
0.37,2155254
0.39,2184194
0.39,2184195
0.39,2187811
0.39,2187812
0.39,2191428
0.39,2191429
0.3,2202185
0.33,2209519
0.58,2206020
0.58,2209637
0.29,2368721
0.29,2368722
0.29,2372338
0.29,2372339
0.1,2375736
0.23,2390429
0.23,2390430
0.23,2394046
0.23,2394047
0.23,2394048
0.16,2397441
0.16,2411910
0.16,2415527
0.29,2397664
0.29,2404901
0.29,2408517
0.29,2408518
0.29,2408519
0.29,2412135
0.29,2412136
0.42,2423193
0.42,2423194
0.42,2426810
0.42,2426811
0.3,2444695
0.3,2444696
0.3,2448312
0.3,2448313
0.3,2448314
0.3,2451929
0.3,2451930
0.3,2451931
0.27,2509583
0.27,2516818
0.27,2520435
0.27,2520436
0.27,2524053
0.3,2509810
0.3,2509811
0.3,2513427
0.3,2513428
0.3,2517045
0.28,2527670
0.28,2531287
0.1,2567378
0.1,2567379
0.1,2567380
0.1,2567381
0.23,2549603
0.23,2553216
0.23,2553217
0.23,2553218
0.23,2556833
0.23,2556834
0.23,2556835
0.23,2564072
0.23,2567689
0.36,2553221
0.36,2556838
0.36,2556839
0.36,2560456
0.36,2560457
0.36,2564073
0.36,2564074
0.36,2567690
0.36,2567691
0.01,2571000
0.01,2571001
0.01,2571002
0.01,2571003
0.01,2574617
0.01,2574618
0.01,2574619
0.01,2574620
0.01,2578234
0.01,2578235
0.01,2578236
0.01,2581851
0.01,2581852
0.01,2581853
0.01,2585469
0.01,2585470
0.51,2571308
0.02,2592696
0.02,2592697
0.36,2614711
0.36,2614712
0.36,2614713
0.36,2618328
0.36,2618329
0.36,2618330
0.36,2621946
0.2,2629410
0.2,2633027
0.2,2633028
0.27,2629411
0.27,2633029
0.69,2657912
0.31,2661530
0.31,2665147
0.31,2672381
0.15,2672583
0.21,2715793
0.21,2715794
0.21,2719411
0.21,2719412
0.21,2719413
0.21,2723028
0.21,2723029
0.21,2723030
0.21,2723031
0.35,2734325
0.02,2763218
0.02,2763219
0.02,2766835
0.02,2766836
0.05,2770057
0.05,2770058
0.05,2773674
0.05,2773675
0.05,2773676
0.05,2777292
0.05,2777293
0.05,2780909
0.05,2780910
0.05,2780911
0.05,2784526
0.05,2784527
0.05,2784528
0.05,2788143
0.05,2788144
0.05,2788145
0.05,2788146
0.28,2770451
0.28,2770452
0.27,2770468
0.27,2774085
0.27,2774088
0.27,2774089
0.27,2777702
0.27,2777705
0.27,2777706
0.27,2781319
0.27,2781323
0.48,2774090
0.48,2777707
0.07,2824213
0.07,2824214
0.07,2827831
0.69,2827937
0.69,2831554
0.69,2831555
0.69,2835172
0.69,2835173
0.24,2821147
0.24,2821148
0.24,2824764
0.24,2824765
0.59,2849760
0.59,2853377
0.59,2853378
0.59,2853379
0.59,2856994
0.59,2856995
0.59,2856996
0.14,2838924
0.14,2842541
0.24,2846166
0.18,2842550
0.18,2846167
0.18,2849784
0.34,2842751
0.34,2842752
0.34,2846370
0.64,2860611
0.64,2860612
0.64,2860613
0.64,2864228
0.64,2864229
0.53,2867918
0.65,2878817
0.65,2878818
0.01,2882134
0.01,2885751
0.01,2889367
0.66,2900395
0.66,2896848
0.66,2900465
0.16,2889666
0.16,2889667
0.16,2893282
0.16,2893283
0.16,2893284
0.16,2896898
0.16,2896899
0.16,2896900
0.16,2896901
0.16,2900515
0.16,2900516
0.16,2900517
0.16,2900518
0.16,2900519
0.24,2900535
0.24,2900536
0.24,2900537
0.24,2900539
0.02,2911006
0.02,2914623
0.02,2918239
0.02,2918240
0.02,2921856
0.01,2918252
0.01,2918253
0.01,2918254
0.01,2921870
0.01,2921871
0.52,2911137
0.52,2914754
0.52,2921989
0.34,2903983
0.34,2907600
0.34,2907601
0.34,2911217
0.34,2911218
0.34,2914834
0.34,2914835
0.34,2922070
0.45,2904011
0.45,2907629
0.67,2907630
0.67,2911247
0.67,2914864
0.09,2918509
0.09,2918510
0.46,2918555
0.46,2922172
0.51,2922190
0.5,2904154
0.5,2904155
0.42,2925606
0.42,2932840
0.42,2936457
0.42,2936458
0.42,2940075
0.42,2943692
0.42,2943693
0.35,2943770
0.46,2932921
0.46,2936537
0.46,2936538
0.46,2936539
0.46,2940154
0.46,2940155
0.46,2940156
0.46,2943771
0.46,2943772
0.46,2943773
0.55,2943887
0.55,2943889
0.38,2940303
0.38,2943920
0.27,2940359
0.27,2940360
0.27,2943977
0.27,2943978
0.27,2943979
0.27,2943980
0.55,2947309
0.55,2947310
0.55,2950926
0.55,2950927
0.55,2954543
0.55,2954544
0.55,2958161
0.55,2961777
0.55,2961778
0.55,2965394
0.55,2965395
0.43,2947389
0.43,2947390
0.43,2951006
0.43,2951007
0.43,2954623
0.43,2954624
0.43,2958240
0.35,2954715
0.35,2954716
0.47,2958339
0.33,2947504
0.33,2947506
0.33,2951121
0.33,2951123
0.47,2954747
0.66,2954791
0.66,2958408
0.66,2958409
0.16,2947558
0.16,2947559
0.16,2947560
0.16,2947561
0.16,2947562
0.16,2951175
0.16,2951176
0.16,2951177
0.16,2951178
0.16,2951179
0.16,2954792
0.16,2954793
0.16,2954794
0.16,2954795
0.16,2954796
0.16,2958410
0.16,2958411
0.16,2958412
0.16,2958413
0.16,2962030
0.16,2962031
0.16,2965648
0.16,2969265
0.41,2954797
0.41,2958414
0.62,2965706
0.62,2965707
0.66,2965711
0.66,2969326
0.66,2969327
0.66,2969328
0.66,2969329
0.39,2972704
0.39,2972705
0.39,2972706
0.39,2976321
0.39,2976322
0.58,2983645
0.31,2976506
0.31,2976507
0.36,2976559
0.36,2980176
0.36,2983793
0.36,2983794
0.01,2994272
0.01,2994273
0.01,2994274
0.01,2994275
0.01,2994276
0.01,2997889
0.01,2997890
0.01,2997891
0.01,2997892
0.01,2997893
0.01,3001506
0.01,3001507
0.01,3001508
0.01,3001509
0.01,3001510
0.01,3005123
0.01,3005124
0.01,3005126
0.01,3005127
0.01,3008740
0.01,3008743
0.01,3008744
0.01,3012357
0.01,3012360
0.01,3012361
0.09,3001906
0.09,3001907
0.28,3016222
0.28,3016223
0.54,3034346
0.54,3034347
0.44,3016300
0.44,3019917
0.34,3034390
0.34,3034392
0.34,3034393
0.02,3052069
0.39,3038006
0.18,3038007
0.18,3038009
0.18,3038010
0.18,3041624
0.18,3041625
0.18,3041626
0.18,3045242
0.18,3045243
0.18,3048859
0.18,3048860
0.01,3261939
0.01,3261940
0.01,3261941
0.01,3261942
0.01,3261943
0.01,3265556
0.01,3265557
0.01,3265558
0.01,3265559
0.01,3265560
0.01,3269173
0.01,3269174
0.01,3261949
0.01,3261950
0.01,3261951
0.01,3261952
0.01,3261953
0.01,3265566
0.01,3265567
0.02,3301741
0.02,3301742
0.02,3301744
0.02,3301745
0.23,3663995
0.23,3663996
0.23,3663997
0.23,3663998
0.23,3667612
0.23,3667613
0.51,3696554
0.51,3700171
0.51,3700172
0.51,3703787
0.51,3703788
0.51,3703789
0.03,3718127
0.03,3718128
0.03,3721744
0.03,3721745
0.03,3721746
0.03,3725362
0.03,3725363
0.67,3747185
0.68,3768534
0.68,3772150
0.71,3761652
0.43,3775767
0.43,3779384
0.43,3783001
0.43,3786617
0.43,3790234
0.43,3793851
0.09,3779606
0.09,3783222
0.09,3783223
0.09,3786839
0.09,3790456
0.41,3779607
0.41,3783224
0.41,3786840
0.41,3786841
0.41,3790457
0.54,3794161
0.54,3794162
0.57,3794163
0.57,3794164
0.47,3797468
0.47,3801084
0.47,3804701
0.47,3808318
0.47,3811935
0.47,3815551
0.61,3797692
0.61,3797693
0.61,3797694
0.61,3801309
0.61,3801310
0.61,3801311
0.61,3804926
0.61,3804927
0.61,3804928
0.61,3808544
0.55,3797695
0.55,3801312
0.55,3804929
0.79,3808610
0.79,3808611
0.79,3808612
0.79,3808613
0.79,3808614
0.79,3812226
0.79,3812227
0.79,3812228
0.79,3812229
0.79,3812230
0.79,3815843
0.79,3815844
0.79,3815845
0.79,3815846
0.79,3815847
0.55,3808615
0.55,3812231
0.59,3797776
0.59,3797777
0.59,3797778
0.59,3801394
0.49,3797779
0.49,3797780
0.49,3797781
0.49,3797782
0.37,3819607
0.81,3826646
0.81,3826647
0.81,3830262
0.81,3830263
0.81,3830264
0.81,3833880
0.41,3837577
0.38,3837578
0.38,3837579
0.39,3837693
0.36,3848398
0.36,3852015
0.34,3841193
0.35,3841194
0.35,3841195
0.35,3841196
0.36,3880652
0.61,3862791
0.61,3866407
0.61,3866408
0.61,3870024
0.61,3870025
0.61,3873641
0.61,3873642
0.61,3877258
0.61,3877259
0.61,3880875
0.61,3880876
0.48,3880881
0.48,3880882
0.42,3873651
0.31,3866476
0.31,3870093
0.11,3902357
0.9,3884497
0.9,3884498
0.9,3884499
0.9,3884500
0.9,3888115
0.9,3888116
0.9,3891732
0.9,3891733
0.9,3895348
0.9,3895349
0.9,3898965
0.9,3898966
0.9,3902582
0.9,3902583
0.76,3888117
0.76,3888118
0.76,3888119
0.76,3891734
0.76,3891735
0.76,3891736
0.76,3895350
0.76,3895351
0.76,3895352
0.76,3898967
0.76,3898968
0.76,3898969
0.76,3902584
0.76,3902585
0.39,3910034
0.39,3910035
0.39,3913651
0.39,3913652
0.39,3913653
0.39,3917268
0.39,3917269
0.39,3917270
0.39,3920887
0.39,3920888
0.3,3913654
0.3,3917271
0.52,3924067
0.52,3927684
0.52,3927685
0.8,3906199
0.8,3909815
0.8,3909816
0.8,3913432
0.8,3913433
0.8,3917048
0.8,3917049
0.8,3920665
0.8,3920666
0.71,3906200
0.71,3909817
0.71,3913434
0.71,3913435
0.71,3917050
0.71,3917051
0.71,3920667
0.71,3920668
0.38,3924288
1,3931507
1,3931508
1,3935124
1,3935125
1,3938740
1,3938741
1,3938742
1,3942357
1,3942359
1,3945973
1,3945975
1,3945976
1,3945977
1,3949590
1,3949592
1,3949593
1,3949594
0.75,3945978
0.75,3945979
0.75,3945980
0.75,3949595
0.75,3949596
0.75,3949597
0.39,3945988
0.39,3945989
0.39,3949605
0.39,3949606
0.37,3967938
1,3953207
1,3953209
1,3953210
1,3953211
1,3956823
1,3956824
1,3956826
1,3956827
1,3960440
1,3960441
1,3964056
1,3964057
1,3964058
1,3967673
1,3967674
1,3971290
1,3971291
0.91,3953212
0.91,3953213
0.91,3956829
0.91,3956830
0.91,3960446
0.91,3960447
0.91,3964062
0.91,3964063
0.91,3967679
0.91,3967680
0.91,3971296
0.91,3971297
0.82,3960452
0.82,3960453
0.82,3960454
0.82,3964067
0.82,3964068
0.82,3964069
0.82,3964070
0.82,3967683
0.82,3967684
0.82,3967685
0.82,3967686
0.82,3967687
0.82,3971300
0.82,3971301
0.82,3971302
0.82,3971303
0.44,3953221
0.44,3953222
0.44,3953223
0.44,3956838
0.44,3956839
0.44,3956840
0.44,3960455
