prob,cell_id
0.11,1466132
0.11,1466133
0.11,1466134
0.11,1466135
0.07,1795159
0.07,1795160
0.07,1798775
0.15,1816854
0.23,1860362
0.23,1860363
0.23,1860364
0.23,1863978
0.23,1863979
0.23,1863980
0.23,1863981
0.23,1867595
0.23,1867596
0.23,1867597
0.09,1900008
0.09,1900009
0.09,1900010
0.09,1903625
0.09,1907241
0.09,1907242
0.09,1910858
0.09,1910859
0.09,1914474
0.09,1914475
0.09,1918091
0.79,1965038
0.79,1965039
0.79,1965040
0.79,1965041
0.79,1965042
0.79,1968655
0.79,1968656
0.79,1972271
0.79,1972272
0.79,1975888
0.39,1965046
0.99,1983116
0.99,1983117
0.99,1983118
0.99,1983119
0.99,1983120
0.99,1986733
0.99,1986734
0.99,1986735
0.99,1986736
0.96,1983121
0.96,1986737
0.12,2026488
0.12,2026489
0.12,2026490
0.12,2026491
0.12,2030104
0.12,2030105
0.12,2030106
0.12,2030107
0.12,2030108
0.12,2033721
0.12,2033722
0.12,2033723
0.12,2033724
0.12,2037337
0.12,2037338
0.12,2037339
0.12,2037340
0.12,2037341
0.37,2026492
0.37,2026493
0.37,2026494
0.37,2026495
0.37,2030109
0.37,2030110
0.37,2033725
0.37,2037342
0.47,2048141
0.47,2048142
0.47,2048143
0.47,2048144
0.47,2051757
0.47,2051758
0.47,2051759
0.47,2051760
0.82,2048145
0.82,2048146
0.65,2048163
0.99,2088072
0.34,2073613
0.34,2073614
0.34,2077230
0.34,2077231
0.34,2080846
0.34,2080847
0.34,2084463
0.34,2084464
0.34,2088080
0.34,2088081
0.41,2073615
0.41,2073616
0.41,2073617
0.41,2073618
0.41,2073619
0.41,2077232
0.41,2077233
0.41,2077234
0.41,2077235
0.41,2080848
0.41,2080849
0.41,2080850
0.41,2080851
0.41,2080852
0.41,2084465
0.41,2084466
0.41,2084467
0.41,2084468
0.41,2084469
0.41,2088082
0.41,2088083
0.41,2088084
0.41,2088085
0.09,2077236
0.09,2077237
0.09,2077238
0.09,2080853
0.09,2080854
0.09,2080855
0.09,2080856
0.09,2080857
0.09,2084470
0.09,2084471
0.09,2084472
0.09,2084473
0.09,2088086
0.09,2088087
0.09,2088088
0.09,2088089
0.09,2088090
1,2084474
1,2088091
1,2088092
1,2088093
1,2088094
1,2091689
1,2098922
1,2102539
1,2109772
1,2091696
1,2091697
1,2095314
1,2098931
1,2102547
1,2106164
1,2109781
0.69,2091698
0.69,2091699
0.69,2091700
0.69,2091701
0.69,2091702
0.69,2095315
0.69,2095316
0.69,2095317
0.69,2095318
0.69,2095319
0.69,2098932
0.69,2098933
0.69,2098934
0.69,2098935
0.69,2102548
0.69,2102549
0.69,2102550
0.69,2102551
0.69,2102552
0.69,2106165
0.69,2106166
0.69,2106167
0.69,2106168
0.69,2106169
0.69,2109782
0.69,2109783
0.69,2109784
0.69,2109785
0.52,2091703
0.52,2091704
0.52,2091705
0.52,2091706
0.52,2091707
0.52,2095320
0.52,2095321
0.52,2095322
0.52,2095323
0.52,2098936
0.52,2098937
0.52,2098938
0.52,2098939
0.52,2098940
0.52,2102553
0.52,2102554
0.52,2102555
0.52,2102556
0.52,2102557
0.52,2106170
0.52,2106171
0.52,2106172
0.52,2106173
0.52,2109786
0.52,2109787
0.52,2109788
0.29,2091708
0.29,2091709
0.29,2091710
0.29,2091711
0.29,2095324
0.29,2095325
0.29,2095326
0.29,2095327
0.29,2095328
0.29,2098941
0.29,2098942
0.29,2098943
0.29,2098944
0.29,2098945
0.29,2102558
0.29,2102559
0.29,2102560
0.29,2102561
0.29,2106174
0.29,2106175
0.29,2106176
0.29,2106177
0.29,2106178
0.29,2109791
0.29,2109792
0.29,2109793
0.29,2109794
0.29,2109795
0.2,2091712
0.2,2095329
0.2,2095330
0.2,2098946
0.2,2098947
0.2,2098948
0.2,2102562
0.2,2102563
0.2,2102564
0.2,2102565
0.2,2102566
0.2,2106179
0.2,2106180
0.2,2106181
0.2,2106182
0.2,2106183
0.2,2109796
0.2,2109797
0.2,2109798
0.2,2109799
0.08,2102567
0.08,2109800
0.08,2109801
1,2113389
1,2120622
1,2127855
1,2127863
1,2127864
1,2131480
1,2131481
1,2113400
1,2113401
1,2113402
1,2127865
1,2127866
1,2131482
1,2113408
1,2113409
1,2113410
