prob,cell_id
0.11,1489567
0.11,1489568
0.11,1493185
0.11,1493186
0.05,1489569
0.05,1489571
0.05,1489572
0.05,1493187
0.05,1493188
0.05,1493189
0.05,1496807
0.05,1496808
0.05,1500424
0.05,1500425
0.05,1500426
0.05,1504042
0.05,1504043
0.05,1504044
0.05,1507660
0.05,1507661
0.05,1507662
0.19,1518512
0.19,1522129
0.19,1522130
0.19,1525747
0.19,1525748
0.06,1511278
0.06,1511279
0.06,1511280
0.06,1514896
0.06,1514897
0.06,1518513
0.06,1518514
0.06,1525749
0.25,1529364
0.25,1529365
0.25,1529366
0.25,1532983
0.25,1532984
0.25,1536600
0.25,1536601
0.25,1536602
0.25,1540218
0.25,1540219
0.25,1540220
0.25,1543836
0.25,1543837
0.25,1543838
0.25,1547454
0.25,1547455
0.25,1547456
0.29,1551071
0.29,1551072
0.29,1551073
0.29,1554689
0.29,1554690
0.29,1554691
0.29,1554692
0.29,1558307
0.29,1558308
0.29,1558309
0.29,1558310
0.29,1561928
0.29,1565546
0.29,1569164
0.33,1572782
0.33,1576399
0.33,1576400
0.33,1580014
0.33,1580017
0.33,1580018
0.33,1583632
0.33,1583634
0.33,1583635
0.33,1583636
0.33,1587252
0.33,1587253
0.07,1605245
0.07,1608863
0.07,1608864
0.38,1608957
0.31,1590869
0.31,1590870
0.31,1590871
0.31,1594487
0.31,1594488
0.31,1594489
0.31,1598105
0.31,1598106
0.31,1601723
0.31,1605340
0.31,1608958
0.15,1612481
0.15,1612482
0.15,1616099
0.15,1616100
0.15,1619717
0.15,1619718
0.15,1623335
0.15,1623336
0.15,1623337
0.15,1626953
0.15,1626954
0.15,1626955
0.15,1630571
0.15,1630572
0.15,1630573
0.15,1630574
0.41,1616184
0.41,1619801
0.41,1619802
0.41,1623418
0.41,1623419
0.41,1623420
0.41,1627036
0.41,1627038
0.41,1630653
0.41,1630654
0.41,1630655
0.41,1616185
0.41,1616186
0.41,1619803
0.41,1619804
0.41,1623421
0.41,1627039
0.41,1627040
0.41,1630657
0.41,1630658
0.41,1630660
0.34,1612573
0.34,1612574
0.34,1612575
0.34,1616192
0.34,1616193
0.34,1619810
0.34,1619811
0.34,1623427
0.34,1623428
0.34,1623429
0.34,1627044
0.34,1627045
0.34,1627046
0.34,1630661
0.34,1630662
0.34,1630663
0.05,1612591
0.05,1612592
0.05,1616207
0.05,1616208
0.05,1616209
0.05,1616210
0.05,1619825
0.05,1619826
0.05,1619827
0.05,1619828
0.05,1623443
0.05,1623444
0.05,1623445
0.05,1623446
0.05,1627061
0.05,1627062
0.05,1627063
0.05,1630678
0.05,1630679
0.05,1630680
0.05,1630681
0.09,1612593
0.09,1612594
0.09,1616211
0.09,1616212
0.09,1619829
0.09,1619830
0.17,1634190
0.17,1634191
0.17,1634192
0.17,1637808
0.17,1637809
0.17,1641427
0.27,1637810
0.27,1637811
0.27,1641428
0.27,1641429
0.27,1645046
0.27,1645047
0.27,1645048
0.27,1648664
0.27,1648665
0.27,1648666
0.37,1648679
0.37,1648680
0.5,1637879
0.5,1641496
0.5,1645114
0.5,1648731
0.5,1648732
0.5,1645115
0.5,1645119
0.5,1648733
0.5,1648734
0.5,1648735
0.5,1648736
0.5,1648737
0.43,1634271
0.43,1634272
0.43,1634273
0.43,1634274
0.43,1637889
0.43,1637890
0.43,1637891
0.43,1637892
0.43,1641506
0.43,1641507
0.43,1641508
0.43,1641509
0.37,1634275
0.37,1634278
0.37,1637895
0.37,1641512
0.37,1641513
0.37,1645129
0.37,1645130
0.37,1648747
0.37,1648748
0.12,1634296
0.12,1634297
0.12,1634298
0.12,1634299
0.12,1637914
0.12,1637915
0.12,1637916
0.12,1641532
0.12,1641533
0.12,1641534
0.12,1645150
0.12,1645151
0.12,1645152
0.12,1648768
0.12,1648769
0.12,1648770
0.32,1652282
0.32,1652283
0.32,1652284
0.32,1655901
0.32,1655902
0.32,1655903
0.32,1659519
0.32,1659520
0.32,1659521
0.32,1663137
0.32,1663138
0.32,1663139
0.32,1666755
0.32,1666756
0.32,1670374
0.4,1666757
0.4,1670375
0.44,1652296
0.44,1652297
0.44,1652298
0.44,1655914
0.44,1655915
0.43,1663159
0.45,1666779
0.52,1652349
0.52,1652350
0.52,1655966
0.52,1655967
0.52,1655968
0.52,1659583
0.52,1659584
0.52,1663201
0.52,1663202
0.52,1663204
0.52,1666818
0.52,1666819
0.52,1666820
0.52,1666821
0.52,1666822
0.52,1670437
0.52,1670438
0.52,1670439
0.52,1670440
0.31,1652351
0.31,1652352
0.31,1652353
0.31,1652354
0.31,1655970
0.31,1655971
0.31,1655972
0.31,1659588
0.31,1659589
0.31,1663205
0.31,1663206
0.31,1666823
0.31,1666824
0.31,1670441
0.31,1670442
0.29,1666830
0.29,1670445
0.29,1670446
0.29,1670447
0.29,1670448
0.34,1655980
0.34,1655981
0.34,1659597
0.34,1659598
0.34,1659599
0.34,1663214
0.34,1663215
0.34,1663216
0.34,1666831
0.25,1652364
0.25,1652365
0.25,1655982
0.23,1652386
0.23,1652387
0.23,1656004
0.23,1656005
0.23,1659622
0.23,1663240
0.23,1666857
0.23,1666858
0.23,1670475
0.23,1670476
0.01,1673936
0.01,1673937
0.01,1673938
0.01,1673939
0.01,1673940
0.01,1677554
0.01,1677555
0.01,1677556
0.01,1677557
0.01,1681172
0.01,1681173
0.01,1681174
0.01,1681175
0.01,1684790
0.01,1684791
0.01,1684792
0.01,1684793
0.01,1688407
0.01,1688408
0.01,1688409
0.01,1688410
0.01,1688411
0.01,1692025
0.01,1692026
0.01,1692027
0.01,1692028
0.01,1692029
0.02,1677558
0.02,1681176
0.02,1684794
0.02,1688412
0.28,1673991
0.28,1673992
0.28,1677609
0.28,1677610
0.28,1681227
0.28,1681228
0.28,1684845
0.28,1688463
0.28,1692081
0.43,1673993
0.43,1677611
0.43,1681229
0.43,1681230
0.43,1684846
0.43,1684848
0.43,1688464
0.43,1692082
0.56,1684907
0.56,1688524
0.56,1692141
0.56,1692142
0.4,1674055
0.4,1674056
0.4,1677672
0.4,1677673
0.4,1677674
0.4,1677675
0.4,1681290
0.4,1681291
0.4,1684908
0.4,1688525
0.4,1688526
0.4,1692143
0.3,1674058
0.3,1674059
0.3,1674061
0.3,1674062
0.3,1677676
0.3,1677677
0.3,1677678
0.3,1677679
0.3,1681294
0.3,1681295
0.3,1681296
0.3,1681297
0.22,1674092
0.22,1677709
0.22,1677710
0.22,1681326
0.22,1681327
0.22,1681328
0.22,1684944
0.22,1684945
0.22,1688561
0.22,1688562
0.22,1688563
0.22,1692179
0.22,1692180
0.51,1674093
0.51,1677711
0.01,1695639
0.01,1695640
0.01,1695641
0.01,1695642
0.01,1699256
0.01,1699257
0.01,1699258
0.01,1699259
0.01,1699260
0.01,1702874
0.01,1702875
0.01,1702876
0.01,1702877
0.01,1706492
0.01,1706493
0.01,1706494
0.01,1706495
0.01,1710110
0.01,1710111
0.01,1710112
0.01,1710113
0.05,1695643
0.05,1695644
0.05,1695645
0.05,1695646
0.05,1699261
0.05,1699262
0.05,1699263
0.05,1699264
0.05,1702878
0.05,1702879
0.05,1702880
0.05,1702881
0.05,1702882
0.05,1706496
0.05,1706497
0.05,1706498
0.05,1706499
0.05,1710114
0.05,1710115
0.05,1710116
0.05,1710117
0.06,1695647
0.06,1699265
0.06,1702883
0.01,1695663
0.01,1695664
0.01,1699280
0.01,1699281
0.01,1699282
0.01,1702899
0.01,1706516
0.01,1706517
0.01,1710135
0.37,1695699
0.37,1699316
0.37,1699317
0.37,1702934
0.37,1706551
0.37,1706552
0.37,1710170
0.46,1695700
0.46,1702935
0.46,1706553
0.46,1706554
0.46,1710171
0.46,1710172
0.66,1706583
0.66,1710200
0.66,1710201
0.66,1695733
0.66,1695734
0.66,1699349
0.66,1699350
0.66,1699351
0.66,1699352
0.66,1702966
0.66,1702967
0.66,1702968
0.66,1702969
0.66,1706584
0.66,1706585
0.66,1706586
0.66,1706587
