prob,cell_id
0.38,479340
0.38,482957
0.26,497416
0.26,493801
0.26,497417
0.26,497418
0.26,497419
1,1387059
1,1387060
1,1387061
1,1397922
1,1401535
1,1401536
1,1401537
1,1401538
1,1405152
1,1405153
1,1405154
1,1405155
1,1394307
1,1394308
1,1394309
1,1397923
1,1397924
1,1397925
1,1397926
1,1401539
1,1401540
1,1401541
1,1401542
1,1401543
1,1405156
1,1405157
1,1405158
1,1405159
1,1405160
0.71,1394310
0.71,1394311
0.71,1397927
0.71,1397928
0.71,1397929
0.71,1397930
0.71,1401544
0.71,1401545
0.71,1401546
0.71,1401547
0.71,1405161
0.71,1405162
0.71,1405163
0.71,1405164
1,1401548
1,1405165
1,1405166
1,1405172
1,1401557
1,1405173
1,1405174
1,1405175
1,1405176
1,1405177
1,1405178
1,1405179
1,1405180
1,1405181
1,1405182
1,1405183
0.19,1430447
0.19,1430448
0.19,1430449
0.19,1434064
0.19,1434065
0.19,1434066
0.19,1437682
0.19,1437683
0.19,1441299
0.19,1441300
0.19,1444916
0.19,1444917
1,1556853
1,1556854
1,1556855
1,1560470
1,1560471
1,1560472
1,1564086
1,1564087
1,1564088
1,1567703
1,1567704
1,1567705
1,1564089
0.06,1549808
0.06,1553425
0.06,1557040
0.06,1557041
0.06,1557042
0.06,1560657
0.06,1560658
0.06,1560659
0.06,1564273
0.06,1564274
0.06,1564275
0.06,1564276
0.06,1567890
0.06,1567891
0.06,1567892
1,1571319
1,1571320
1,1571321
1,1571322
1,1574936
1,1574937
1,1574938
1,1574939
1,1582197
1,1582198
1,1585814
1,1585815
1,1582199
1,1585816
0.93,1571506
0.93,1575122
0.93,1578739
0.93,1582356
0.93,1585973
0.82,1600276
0.82,1600277
0.82,1603892
0.82,1603893
0.82,1603894
0.82,1603895
0.82,1607509
0.82,1607510
0.82,1607511
0.87,1589431
0.87,1589432
0.87,1596662
0.87,1596663
0.87,1596664
0.87,1600279
0.87,1600280
0.87,1600281
0.87,1600282
0.87,1603896
0.87,1603897
0.87,1603898
0.87,1603899
0.87,1607512
0.87,1607513
0.87,1607514
0.87,1607515
0.87,1607516
1,1589433
1,1596670
1,1600283
1,1603900
1,1603901
1,1603902
1,1607517
1,1607518
1,1607519
1,1593055
1,1596671
1,1596672
1,1596673
1,1596674
1,1600287
1,1600288
1,1600291
1,1603905
1,1603906
1,1603907
1,1607522
1,1607523
1,1607524
0.88,1603908
1,1593205
1,1593207
1,1596822
1,1596823
1,1596824
1,1600439
1,1600440
1,1600441
1,1604058
1,1611126
1,1611127
1,1611128
1,1614745
0.8,1611129
0.8,1611130
0.8,1611131
0.8,1611132
0.8,1611133
0.8,1614746
0.8,1614747
0.8,1614748
0.8,1614749
1,1614750
0.8,1611294
0.8,1611295
0.8,1611296
0.8,1614911
0.8,1614912
0.8,1614913
0.88,1632852
0.88,1632853
0.88,1632854
0.88,1632855
0.88,1636469
0.88,1636470
0.88,1636471
0.88,1636472
0.88,1640086
0.88,1640087
0.88,1640088
0.88,1640089
0.88,1643704
0.88,1643705
0.88,1643706
1,1632856
1,1632857
1,1632858
1,1632859
1,1636473
1,1636474
1,1636475
1,1636476
1,1640090
1,1640091
1,1640092
1,1640093
1,1643707
1,1643708
1,1643709
0.71,1669026
0.71,1669027
0.71,1669028
1,1658180
1,1661797
0.75,1665550
0.75,1669167
1,1672643
1,1672644
1,1672645
1,1676261
1,1672646
1,1676262
0.32,1687230
0.63,1672784
0.87,1672785
0.87,1672786
0.87,1672788
0.87,1672789
0.88,1672790
0.88,1672791
0.88,1672792
0.88,1672793
