prob,cell_id
1,2088072
1,2073613
1,2073614
1,2077230
1,2077231
1,2080846
1,2080847
1,2084463
1,2084464
1,2088080
1,2088081
0.13,2073615
0.13,2073616
0.13,2073617
0.13,2073618
0.13,2073619
0.13,2077232
0.13,2077233
0.13,2077234
0.13,2077235
0.13,2080848
0.13,2080849
0.13,2080850
0.13,2080851
0.13,2080852
0.13,2084465
0.13,2084466
0.13,2084467
0.13,2084468
0.13,2084469
0.13,2088082
0.13,2088083
0.13,2088084
0.13,2088085
0.28,2091687
0.28,2091688
0.28,2095305
0.28,2098921
0.28,2102538
0.28,2106155
0.28,2109771
1,2091689
1,2098922
1,2102539
1,2109772
1,2091696
1,2091697
1,2095314
1,2098931
1,2102547
1,2106164
1,2109781
0.35,2091698
0.35,2091699
0.35,2091700
0.35,2091701
0.35,2091702
0.35,2095315
0.35,2095316
0.35,2095317
0.35,2095318
0.35,2095319
0.35,2098932
0.35,2098933
0.35,2098934
0.35,2098935
0.35,2102548
0.35,2102549
0.35,2102550
0.35,2102551
0.35,2102552
0.35,2106165
0.35,2106166
0.35,2106167
0.35,2106168
0.35,2106169
0.35,2109782
0.35,2109783
0.35,2109784
0.35,2109785
0.11,2091703
0.11,2091704
0.11,2091705
0.11,2091706
0.11,2091707
0.11,2095320
0.11,2095321
0.11,2095322
0.11,2095323
0.11,2098936
0.11,2098937
0.11,2098938
0.11,2098939
0.11,2098940
0.11,2102553
0.11,2102554
0.11,2102555
0.11,2102556
0.11,2102557
0.11,2106170
0.11,2106171
0.11,2106172
0.11,2106173
0.11,2109786
0.11,2109787
0.11,2109788
0.83,2113388
0.83,2117004
0.83,2117005
0.83,2120621
0.83,2124237
0.83,2124238
0.83,2127854
0.83,2131470
0.83,2131471
1,2113389
1,2120622
1,2127855
1,2127863
1,2127864
1,2131480
1,2131481
1,2113400
1,2113401
1,2113402
1,2127865
1,2127866
1,2131482
0.48,2113408
0.48,2113409
0.48,2113410
0.48,2113411
0.48,2117026
0.48,2117027
0.48,2117028
0.48,2120644
0.48,2120645
0.48,2124261
0.48,2127878
0.48,2131495
0.1,2113412
0.1,2113413
0.1,2113414
0.1,2113415
0.1,2113416
0.1,2117029
0.1,2117030
0.1,2117031
0.1,2117033
0.1,2120646
0.1,2120647
0.1,2120648
0.1,2120649
0.1,2124262
0.1,2124263
0.1,2124264
0.1,2124265
0.1,2124266
0.1,2127879
0.1,2127880
0.1,2127881
0.1,2127882
0.1,2131496
0.1,2131497
0.1,2131498
0.1,2131499
0.03,2113417
0.03,2117034
0.03,2120650
0.57,2135087
0.57,2135088
0.57,2138703
0.57,2138704
0.57,2142320
0.57,2142321
0.57,2145936
0.57,2145937
0.57,2145938
0.57,2149552
0.57,2149553
0.57,2149554
0.57,2153168
0.57,2153169
0.57,2153170
0.57,2153171
1,2138705
0.92,2135095
0.92,2135096
0.92,2135097
0.92,2138712
0.92,2138713
0.92,2138714
0.92,2142328
0.92,2142329
0.92,2142330
0.92,2142331
0.92,2145944
0.92,2145945
0.92,2145946
0.92,2145947
0.92,2149561
0.92,2149562
0.92,2149563
0.92,2149564
0.92,2153178
0.92,2153179
0.92,2153180
0.92,2153181
0.73,2135098
0.73,2135099
0.73,2135100
0.73,2135101
0.73,2138715
0.73,2138716
0.73,2138717
0.73,2138718
0.73,2138719
0.73,2142332
0.73,2142333
0.73,2142334
0.73,2142335
0.73,2145948
0.73,2145949
0.73,2145950
0.73,2145951
0.73,2145952
0.73,2149565
0.73,2149566
0.73,2149567
0.73,2149568
0.73,2149569
0.73,2153182
0.73,2153183
0.73,2153184
0.73,2153185
0.76,2138720
0.76,2138723
0.76,2142336
0.76,2142337
0.76,2142338
0.76,2142339
0.76,2142340
0.76,2145953
0.76,2145954
0.76,2145955
0.76,2145956
0.76,2145957
0.76,2149570
0.76,2149571
0.76,2149572
0.76,2149573
0.76,2153186
0.76,2153187
0.76,2153188
0.76,2153189
0.76,2153190
0.7,2138724
0.7,2138725
0.7,2142341
0.7,2142342
0.7,2142343
0.7,2142344
0.7,2145958
0.7,2145959
0.7,2145960
0.7,2149574
0.7,2149575
0.7,2149576
0.7,2149577
0.7,2149578
0.7,2153191
0.7,2153192
0.7,2153193
0.7,2153194
0.7,2153195
0.48,2135112
0.48,2135113
0.48,2135114
0.48,2135115
0.48,2138730
0.48,2138731
0.48,2138732
0.3,2149585
0.3,2149586
0.3,2149587
0.3,2153201
0.3,2153202
0.3,2153203
0.3,2153204
1,2156785
1,2156786
1,2156787
1,2156788
1,2160401
1,2160402
1,2160403
1,2160404
1,2164017
1,2164018
1,2164019
1,2164020
1,2167634
1,2167635
1,2167636
1,2167637
1,2171251
1,2171252
1,2171253
1,2174868
1,2174869
1,2156795
1,2156796
1,2156797
1,2160412
1,2160413
1,2160414
1,2164030
1,2164031
1,2167646
1,2167647
1,2171263
1,2171264
1,2174880
1,2174881
0.57,2156798
0.57,2156799
0.57,2156800
0.57,2156801
0.57,2156802
0.57,2160415
0.57,2160416
0.57,2160417
0.57,2160418
0.57,2160419
0.57,2164032
0.57,2164033
0.57,2164034
0.57,2164035
0.57,2167648
0.57,2167649
0.57,2167650
0.57,2167651
0.57,2167652
0.57,2171265
