prob,cell_id
0.01,164734
0.01,164735
0.01,171973
0.01,164736
0.01,168356
0.01,171974
0.01,171975
0.01,168357
0.01,171976
0.01,164739
0.01,164740
0.01,168358
0.01,168359
0.01,171977
0.01,171978
0.01,164741
0.01,168360
0.01,171979
0.01,164742
0.01,164743
0.01,168361
0.01,168362
0.01,171980
0.01,171981
0.01,164744
0.01,168363
0.01,171982
0.01,182441
0.01,182442
0.01,178828
0.01,178829
0.01,182443
0.01,175215
0.01,175216
0.01,178830
0.01,182444
0.01,182445
0.01,175217
0.01,178831
0.01,178832
0.01,182446
0.04,182711
0.04,182712
0.03,182720
0.03,182721
0.02,175488
0.02,179105
0.02,182722
0.02,182723
0.02,175489
0.02,179106
0.02,179107
0.02,182724
0.02,182725
0.02,175490
0.02,179108
0.02,182726
0.02,179109
0.01,182730
0.01,182731
0.01,182732
0.01,182733
0.01,182734
0.01,175499
0.01,175500
0.01,182735
0.01,182736
0.01,179182
0.01,182799
0.01,182800
0.01,179183
0.01,182801
0.01,182802
0.01,179184
0.01,179185
0.01,182803
0.01,179186
0.01,182804
0.02,175569
0.02,179187
0.02,179188
0.02,182806
0.02,175570
0.02,175571
0.02,182807
0.02,182808
0.02,175572
0.02,179190
0.02,179191
0.02,182809
0.02,175573
0.02,175574
0.02,179192
0.02,182810
0.02,182811
0.02,175575
0.02,179193
0.02,179194
0.02,182812
0.02,182813
0.02,175576
0.02,175577
0.02,179195
0.02,179196
0.02,182814
0.02,175578
0.02,179197
0.02,175579
0.02,175580
0.02,179198
0.02,179199
0.02,182817
0.02,175581
0.02,179200
0.02,182818
0.02,182819
0.01,175582
0.01,175583
0.01,179201
0.01,179202
0.01,182820
0.01,175584
0.01,175585
0.01,179203
0.01,182821
0.01,175586
0.01,179204
0.01,179208
0.01,182826
0.01,182827
0.02,175591
0.02,179209
0.02,179210
0.02,182828
0.02,175592
0.02,179211
0.02,182829
0.02,182830
0.02,175593
0.02,175594
0.02,179212
0.02,179213
0.02,182831
0.02,175595
0.02,179214
0.02,182832
0.02,182833
0.02,175596
0.02,175597
0.02,179215
0.02,179216
0.02,182834
0.02,182835
0.02,175598
0.02,179217
0.02,182836
0.01,175599
0.01,175600
0.01,179218
0.01,179219
0.01,182837
0.01,182838
0.01,175601
0.01,179220
0.01,182839
0.01,175602
0.01,175603
0.01,179221
0.01,179222
0.01,182840
0.01,182841
0.01,175604
0.01,175605
0.01,179223
0.01,179224
0.01,182842
0.01,175606
0.01,179225
0.01,182843
0.01,182844
0.01,175607
0.01,175608
0.01,179226
0.01,179227
0.01,182845
0.01,182846
0.01,175609
0.01,182847
0.01,175610
0.01,175611
0.01,179229
0.01,175612
0.01,175613
0.01,175614
0.01,175615
0.01,182853
0.01,175616
0.01,175617
0.01,179235
0.01,179236
0.01,182854
0.01,182855
0.01,175618
0.01,179237
0.01,179238
0.01,182856
0.01,182857
0.01,179239
0.01,182858
0.01,179240
0.01,179241
0.01,182859
0.01,182860
0.01,179242
0.01,182861
0.01,179243
0.01,179244
0.01,182862
0.01,175625
