prob,cell_id
0.17,760434
0.17,760435
0.17,760436
0.17,764049
0.17,764050
0.17,764051
0.17,767664
0.17,767665
0.17,767666
0.17,771279
0.17,771280
0.17,771281
0.17,774894
0.17,774895
0.17,774896
0.19,760437
0.19,760438
0.19,760439
0.19,764052
0.19,764053
0.19,764054
0.19,767667
0.19,767668
0.19,767669
0.19,771282
0.19,771283
0.19,771284
0.19,774897
0.19,774898
0.19,774899
0.23,760440
0.23,760441
0.23,760442
0.23,764055
0.23,764056
0.23,764057
0.23,764058
0.23,767670
0.23,767671
0.23,771285
0.23,771286
0.23,771287
0.23,771288
0.23,774900
0.23,774901
0.23,774902
0.23,774903
0.25,760443
0.25,760444
0.25,760445
0.25,760446
0.25,764059
0.25,764060
0.25,764061
0.25,767674
0.25,767675
0.25,767676
0.25,771290
0.25,771291
0.25,774904
0.25,774905
0.25,774906
0.21,778509
0.21,778510
0.21,778511
0.21,782124
0.21,782125
0.21,782126
0.21,785739
0.21,785740
0.21,785741
0.21,789354
0.21,789355
0.21,789356
0.23,778512
0.23,778513
0.23,778514
0.23,782127
0.23,782128
0.23,782129
0.23,785742
0.23,785743
0.23,785744
0.23,785745
0.23,789357
0.23,789358
0.23,789359
0.23,789360
0.27,778515
0.27,778516
0.27,778517
0.27,778518
0.27,782130
0.27,782131
0.27,782132
0.27,782133
0.27,785746
0.27,785747
0.27,785748
0.27,789361
0.27,789362
0.27,789363
0.3,778519
0.3,778520
0.3,778521
0.3,782134
0.3,782135
0.3,782136
0.3,785749
0.3,785750
0.3,785751
0.3,789364
0.3,789365
0.3,778522
0.3,778523
0.3,778524
0.3,782137
0.3,782138
0.3,782139
0.3,785752
0.3,785753
0.27,778525
0.27,778526
0.27,778527
0.27,782140
0.27,782141
0.27,782142
0.13,778528
0.13,778529
0.13,778530
0.13,778531
0.13,782143
0.13,782144
0.13,782145
0.13,782146
0.13,785760
0.13,785761
0.21,792960
0.21,792961
0.21,792962
0.21,796574
0.21,796575
0.21,796576
0.21,796577
0.21,800190
0.21,800191
0.21,800192
0.21,803805
0.21,803806
0.21,803807
0.21,807420
0.21,807421
0.21,807422
0.24,792963
0.24,792964
0.24,792965
0.24,796578
0.24,796579
0.24,796580
0.24,800193
0.24,800194
0.24,800195
0.24,803808
0.24,803809
0.24,807423
0.25,792966
0.25,792967
0.25,792968
0.25,796581
0.25,796582
0.25,796583
0.25,800196
0.25,792969
0.25,792970
0.25,792971
0.25,796584
0.25,796585
0.25,796586
0.25,800202
0.26,792972
0.26,792973
0.26,792974
0.26,792975
0.26,796587
0.26,796588
0.26,796589
0.26,796590
0.26,800203
0.26,800204
0.26,800205
0.3,792976
0.3,792977
