prob,cell_id
0.01,576979
0.03,620379
0.03,623996
0.03,623997
0.04,631228
0.05,652924
0.05,656540
0.05,656541
0.03,652928
0.03,656544
0.03,656545
0.01,642079
0.01,642080
0.01,645696
0.01,645697
0.01,649312
0.01,649313
0.01,649314
0.01,652929
0.01,652930
0.01,652931
0.01,656546
0.01,656547
0.07,674618
0.07,674619
0.04,663770
0.04,663771
0.04,667386
0.04,667387
0.04,667388
0.04,671003
0.04,671004
0.04,671005
0.04,674620
0.04,674621
0.04,674622
0.01,660154
0.01,660155
0.01,660156
0.01,663772
0.01,663773
0.01,667389
0.01,667390
0.01,667391
0.01,671006
0.01,671007
0.01,671008
0.01,674623
0.01,674624
0.01,674625
0.01,678063
0.01,678064
0.01,681680
0.01,678065
0.01,678066
0.03,678070
0.03,678071
0.03,678072
0.03,678073
0.02,678074
0.02,678075
0.02,678076
0.02,681692
0.01,678077
0.01,678078
0.01,678079
0.06,689082
0.06,689083
0.06,689084
0.04,678235
0.04,678236
0.04,681852
0.04,681853
0.04,685468
0.04,685469
0.04,685470
0.04,689085
0.04,689086
0.04,689087
0.02,678237
0.02,678238
0.02,678239
0.02,681854
0.02,681855
0.02,681856
0.02,685471
0.02,685472
0.02,685473
0.02,689088
0.02,689089
0.02,689090
0.07,707158
0.06,703543
0.06,703544
0.06,707159
0.06,707160
0.06,707161
0.04,692694
0.04,692695
0.04,696310
0.04,696311
0.04,696312
0.04,699927
0.04,699928
0.04,699929
0.04,703545
0.04,703546
0.04,703547
0.04,707162
0.04,707163
0.04,707164
0.02,692696
0.02,692697
0.02,692698
0.02,696313
0.02,696314
0.02,696315
0.02,699930
0.02,699931
0.02,699932
0.02,699933
0.02,703548
0.02,703549
0.02,703550
0.02,707165
0.02,707167
0.02,692699
0.02,692700
0.02,692701
0.02,696316
0.02,696317
0.02,699934
0.02,699935
0.02,699936
0.02,703551
0.02,703552
0.02,703553
0.02,707168
0.02,707170
0.01,692702
0.01,692703
0.01,692704
0.01,699937
0.01,699938
0.01,699939
0.01,703554
0.01,707171
0.01,707172
0.06,718006
0.06,721622
0.06,721623
0.04,710774
0.04,710775
0.04,714390
0.04,714391
0.04,714392
0.04,718007
0.04,718008
0.04,718009
0.04,721624
0.04,721625
0.04,721626
0.03,710776
0.03,710777
0.03,710778
0.03,714393
0.03,714394
0.03,714395
0.03,718010
0.03,718011
0.03,718012
0.03,721627
0.03,721628
0.03,721629
0.02,710779
0.02,710780
0.02,710781
0.02,714396
0.02,714397
0.02,714398
0.02,718013
0.02,718015
0.02,721630
0.02,721631
0.01,710782
0.01,710783
0.01,710784
0.01,714401
0.01,718016
0.01,718018
0.01,721633
0.01,721635
0.02,725162
0.03,732471
0.03,736088
0.03,739705
0.04,725238
0.04,725239
0.04,725240
0.04,728855
0.04,728856
0.04,728857
0.04,732472
0.04,732473
0.04,732474
0.04,736089
0.04,736090
0.04,736091
0.04,739706
0.04,739707
0.04,739708
0.02,725241
0.02,725242
0.02,725243
0.02,728858
0.02,728859
0.02,728860
0.02,732475
0.02,732476
0.02,736092
0.02,736093
0.02,736094
0.02,739709
0.02,739710
0.02,739711
0.06,743250
0.01,743251
0.01,743252
0.01,743253
0.01,746868
0.01,746869
0.01,746870
0.01,743322
0.01,746939
0.01,750556
0.05,743323
0.05,743324
0.05,743325
0.05,746940
0.05,746941
0.05,746942
0.05,750557
0.05,750558
0.05,750559
0.05,754174
0.05,754175
0.05,754176
0.05,757791
0.05,757792
0.05,757793
0.03,743326
0.03,743327
0.03,743328
0.03,746943
0.03,746944
0.03,746945
0.03,750560
0.03,750561
0.03,750562
0.03,754177
0.03,754178
0.03,754179
0.03,754180
0.03,757794
0.03,757795
0.03,757796
0.03,757797
0.02,743329
0.02,743330
0.02,743331
0.02,746946
0.02,746947
0.02,754181
0.02,754182
0.02,754183
0.02,757798
0.02,757799
0.01,750569
0.01,754184
0.01,754185
0.01,754186
0.01,757802
0.01,757803
0.22,761369
0.22,764986
0.22,772220
0.22,775836
0.22,775837
0.2,764987
0.2,764989
0.2,768604
0.2,768605
0.2,768606
0.2,772221
0.2,772222
0.2,772223
0.2,775838
0.2,775839
0.2,775840
0.19,761373
0.19,761374
0.19,764990
0.19,764991
0.19,764992
0.19,768607
0.19,768608
0.19,768609
0.19,772224
0.19,772225
0.19,772226
0.19,775841
0.19,775842
0.19,775843
0.21,775845
0.05,761408
0.05,761409
0.05,761410
0.05,765025
0.05,765026
0.05,765027
0.05,765028
0.05,768643
0.05,768644
0.05,768645
0.05,772260
0.05,772261
0.05,772262
0.05,775877
0.05,775878
0.05,775879
0.03,761411
0.03,761412
0.03,761414
0.03,765029
0.03,765030
0.03,765031
0.03,768646
0.03,768647
0.03,768648
0.03,772263
0.03,772264
0.03,772265
0.03,775880
0.03,775881
0.03,775882
0.2,783068
0.2,786684
0.2,786685
0.2,790301
0.2,790302
0.15,779452
0.15,779453
0.15,779454
0.15,783069
0.15,783070
0.15,783071
0.15,786686
0.15,786687
0.15,786688
0.15,790305
0.14,779455
0.14,779456
0.14,779457
0.14,783072
0.14,783073
0.14,783074
0.14,786689
0.14,786690
0.14,786691
0.14,790306
0.14,790307
0.14,790308
0.17,779458
0.17,779459
0.17,779460
0.17,783075
0.17,783076
0.17,786692
0.17,790309
0.07,779495
0.07,779496
0.07,783112
0.07,783113
0.07,786730
0.07,790347
0.04,779497
0.04,779498
0.04,779499
0.04,783114
0.04,783115
