prob,cell_id
0.02,338270
0.04,345505
0.01,341888
0.01,341889
0.01,345506
0.01,345507
0.01,349123
0.01,349124
0.06,421601
0.04,421606
0.04,421607
0.03,421608
0.03,421609
0.03,421610
0.02,414376
0.02,417993
0.26,435966
0.26,435967
0.26,435968
0.26,435969
0.25,432353
0.25,432354
0.25,435970
0.25,435971
0.25,435972
0.25,435973
0.25,435974
0.24,432357
0.24,432358
0.24,432359
0.24,435975
0.24,435976
0.24,432360
0.24,435977
0.24,435978
0.24,435979
0.24,435983
0.24,435984
0.24,432367
0.24,432368
0.24,435985
0.24,435986
0.23,435987
0.23,435988
0.23,435989
0.23,435990
0.05,425219
0.05,425223
0.04,425224
0.04,425225
0.03,425226
0.03,425227
0.03,428844
0.01,439425
0.01,439426
0.01,443042
0.02,439427
0.29,450419
0.28,450420
0.27,446809
0.27,450426
0.26,446810
0.26,446811
0.26,450427
0.26,450428
0.26,450429
0.24,439577
0.24,439578
0.24,439579
0.24,443195
0.24,443196
0.24,446812
0.24,446813
0.24,446814
0.24,450430
0.24,450431
0.22,439580
0.22,439581
0.22,443197
0.22,443198
0.22,443199
0.22,446815
0.22,446816
0.22,450432
0.22,450433
0.22,450434
0.22,439582
0.22,439583
0.22,439584
0.22,443200
0.22,443201
0.22,446817
0.22,446818
0.22,446819
0.22,450435
0.22,450436
0.04,439590
0.04,439591
0.04,443207
0.04,443208
0.04,443209
0.04,450443
0.04,450444
0.21,439592
0.21,439593
0.21,439594
0.21,443210
0.21,443211
0.21,446827
0.21,446828
0.21,446829
0.21,450445
0.21,450446
0.22,439595
0.22,439596
0.22,443212
0.22,443213
0.22,443214
0.22,446830
0.22,450447
0.22,450448
0.22,450449
0.22,439597
0.22,439598
0.22,439599
0.22,443215
0.22,443216
0.22,446832
0.22,446833
0.22,446834
0.22,450450
0.22,450451
0.22,439600
0.22,439601
0.22,443217
0.22,443218
0.22,443219
0.22,446835
0.22,446836
0.22,450452
0.22,450453
0.21,439605
0.21,439606
0.21,443222
0.21,443223
0.21,443224
0.21,446840
0.21,446841
0.21,450457
0.21,450458
0.21,450459
0.21,439607
0.21,439608
0.21,443225
0.21,443226
0.21,446842
0.21,439609
0.21,439610
0.21,439611
0.21,443227
0.21,443228
0.21,443229
0.21,446846
0.21,450463
0.22,443230
0.22,443231
0.22,446847
0.22,446848
0.22,446849
0.22,450465
0.22,450466
0.22,446850
0.22,446851
0.22,450467
0.22,450468
0.22,450469
0.22,450470
0.22,450471
0.3,468493
0.29,468494
0.29,468496
0.27,464879
0.27,464880
0.27,464881
0.27,468497
0.27,468498
0.27,457648
0.27,457649
0.27,461264
0.27,461265
0.27,461266
0.27,464882
0.27,464883
0.27,468499
0.27,468500
0.27,468501
0.27,454034
0.27,457650
0.27,457651
0.27,461267
0.27,461268
0.27,464884
0.27,464885
0.27,464886
0.27,468502
0.27,468503
0.27,454035
0.27,454036
0.27,457653
0.27,461269
0.27,461270
0.27,461271
0.27,464887
0.27,464888
0.27,468504
0.27,468505
0.27,468506
0.25,461272
0.25,461273
0.25,461274
0.25,464889
0.25,464890
0.25,464891
0.25,468507
0.25,468508
0.23,457659
0.23,461275
0.23,461276
0.23,464892
0.23,464893
0.23,468509
0.23,468510
0.23,468511
0.22,454043
0.22,454044
0.22,457660
0.22,457661
0.22,461277
0.22,461278
0.22,461279
0.22,464894
0.22,464895
0.22,464896
0.22,468512
0.22,468513
0.22,454045
0.22,454046
0.22,457662
0.22,457663
0.22,457664
0.22,461280
0.22,461281
0.22,464897
0.22,464898
0.22,464899
0.22,468514
0.22,468515
0.22,468516
0.21,454047
0.21,454048
0.21,454049
0.21,457665
0.21,457666
0.21,461282
0.21,461283
0.21,461284
0.21,464900
0.21,464901
0.09,454060
0.09,454061
0.09,457677
0.09,457678
0.09,457679
0.09,461295
0.09,461296
0.09,464912
0.09,464913
0.1,454062
0.1,454063
0.1,457680
0.1,461297
0.03,454077
0.03,464930
0.03,464931
0.03,468549
0.2,454084
0.2,464935
0.2,464936
0.2,468553
0.2,468554
0.2,454085
0.2,454086
0.2,464937
0.2,464938
0.2,464939
0.2,468555
0.2,468556
0.21,454087
0.21,454088
0.21,454089
0.21,457706
0.21,461322
0.21,461323
0.21,461324
0.21,464940
0.21,454090
0.21,457707
0.21,457708
0.21,461325
0.21,468562
0.21,468564
0.21,468565
0.21,468566
0.21,468567
0.05,454145
0.05,454146
0.05,457764
0.04,454147
0.04,454148
0.04,457765
0.04,457766
0.01,468646
0.01,461412
0.01,465030
0.01,468647
0.01,468648
0.31,479340
0.31,482957
0.3,479341
0.3,479342
0.3,479343
0.3,482958
0.3,482959
0.3,482960
0.28,479344
0.28,479345
0.28,482961
0.28,482962
0.24,472112
0.24,472113
0.24,475729
0.24,475730
0.24,479346
0.24,479347
0.24,479348
0.24,482963
0.24,482964
0.24,482965
0.13,472119
0.13,472120
0.13,472121
0.13,475736
0.13,475737
0.13,475738
0.13,479354
0.13,479355
0.13,482971
0.13,482972
0.13,482973
0.21,472122
0.21,472123
0.21,475739
0.21,475740
0.21,475741
0.21,479356
0.21,479357
0.21,479358
0.21,482975
0.15,472170
0.15,472171
0.15,472172
0.15,475788
0.15,475789
0.15,479405
0.17,472173
0.17,472174
0.17,475790
0.17,475791
0.17,475792
0.17,479408
0.17,479409
0.19,472175
0.19,472176
0.19,472177
0.19,475793
0.19,475794
0.2,472178
0.2,472179
0.2,475795
0.2,475796
0.2,475797
0.2,479414
0.2,472180
0.2,472181
0.2,472182
0.2,475798
0.2,475799
0.2,479415
0.2,479416
0.2,479417
0.2,483035
0.2,472183
0.2,472184
0.2,475800
0.2,475801
0.2,475802
0.2,479418
0.2,479419
0.2,479420
0.2,483036
0.2,483037
0.2,472185
0.2,472186
0.2,472187
0.2,475803
0.2,475804
0.2,475805
0.2,479421
0.2,479422
0.2,483038
0.2,483039
0.2,483040
0.2,472188
0.2,475806
0.2,475807
0.2,479423
0.2,479424
0.2,483041
0.2,483042
0.2,483043
0.2,483044
0.06,479476
0.06,483092
0.06,483093
0.06,483094
0.03,479477
0.03,483095
0.33,497416
0.32,493801
0.32,497417
0.32,497418
0.32,497419
0.31,490185
0.31,490186
0.31,490187
0.31,493802
0.31,493803
0.31,493804
0.31,497420
0.31,497421
0.3,486570
0.3,486571
0.3,490188
0.3,490189
0.3,493805
0.3,497422
0.3,497423
0.3,497424
0.29,486574
0.29,486575
0.29,490191
0.29,490192
0.29,493808
0.29,493809
0.29,497425
0.29,497426
0.29,497427
0.04,486576
0.04,486577
0.04,490193
0.04,493810
0.04,493811
0.04,493812
0.04,497428
0.04,497429
0.18,486658
0.18,486659
0.18,486660
0.18,490277
0.18,490278
0.18,493895
0.18,497511
0.18,497512
0.18,497513
0.19,486661
0.19,486662
0.19,486663
0.19,490279
0.19,490280
0.19,493896
0.12,486664
0.12,486665
0.12,490281
0.12,490282
0.12,490283
0.18,486666
0.18,490284
0.18,490285
0.18,493903
0.18,490286
0.18,490287
0.18,490288
0.18,493904
0.18,493905
0.18,490289
0.18,490290
0.18,490291
0.18,493907
0.18,493908
0.18,490292
0.18,493909
0.18,493910
0.18,493911
0.18,497527
0.18,497528
0.18,497529
0.18,497530
0.18,497531
0.17,497532
0.01,486709
0.31,504648
0.31,508265
0.31,511882
0.3,501032
0.3,501033
0.3,504649
0.3,504650
0.3,504651
0.3,508266
0.3,508267
0.3,508268
0.3,511883
0.3,511884
0.3,511885
0.01,501034
0.01,501035
0.01,501036
0.01,504652
0.01,504653
0.01,508269
0.01,508270
0.01,508271
0.01,511886
0.01,511887
0.01,511888
0.21,501040
0.21,501041
0.21,504657
0.21,504658
0.21,504659
0.21,508274
0.21,508275
0.21,508276
0.21,511891
0.21,511892
0.21,511893
0.12,501150
0.12,501151
0.12,504767
0.12,504768
0.12,504769
0.12,508387
0.16,504770
0.16,504771
0.16,508388
0.16,508389
0.16,512007
0.15,508390
0.15,508391
0.15,512008
0.15,512009
0.15,512010
0.01,508408
0.01,512024
0.01,512025
0.01,512026
0.33,529960
0.33,529961
0.32,519112
0.32,522728
0.32,522729
0.32,526344
0.32,526345
0.32,526346
0.32,529962
0.32,529963
0.31,519113
0.31,519114
0.31,522730
0.31,522731
0.31,522732
0.31,526347
0.31,526348
0.31,526349
0.31,529964
0.31,529965
0.31,529966
0.31,515498
0.31,515499
0.31,515500
0.31,519115
0.31,519116
0.31,519117
0.31,522733
0.31,522734
0.31,526350
0.31,526351
0.31,526352
0.29,515501
0.29,515502
0.29,519118
0.29,519119
0.29,519120
0.29,522735
0.29,522736
0.29,522737
0.29,526353
0.29,526354
0.29,529971
0.24,515503
0.24,515504
0.24,515505
0.24,519121
0.24,519122
0.24,522738
0.24,522739
0.24,522740
0.24,526356
0.24,526357
0.24,529972
0.24,529973
0.24,529974
0.24,515506
0.24,515507
0.24,515508
0.24,519123
0.24,519124
0.24,519125
0.24,522741
0.24,522742
0.24,526358
0.24,526359
0.24,526360
0.24,529975
0.24,529976
0.24,529977
0.05,515514
0.05,515515
0.05,515516
0.05,519131
0.05,519132
0.05,519133
0.05,522749
0.05,522750
0.05,526367
0.05,515628
0.05,515629
0.05,515630
0.05,519246
0.05,519247
0.05,519248
0.05,522865
0.04,519249
0.04,522866
0.04,522867
0.04,522868
0.04,526485
0.04,526486
0.04,522869
0.04,522870
0.04,522871
0.04,526487
0.04,526488
0.04,530105
0.04,530106
0.04,522872
0.04,526489
0.04,526490
0.04,526491
0.04,530107
0.04,530108
0.04,530109
0.03,515641
0.03,526492
0.03,526493
0.03,526494
0.03,530110
0.03,530111
0.03,530112
0.34,544424
0.33,540810
0.33,544425
0.33,544426
0.32,533577
0.32,533578
0.32,537193
0.32,537194
0.32,537195
0.32,540811
0.32,540812
0.33,533579
0.33,533580
0.33,537196
0.32,540821
0.32,544437
0.32,544438
0.28,533587
0.28,533588
0.28,533589
0.28,537204
0.28,537205
0.28,537206
0.28,540822
0.28,540823
0.28,544439
0.28,544440
0.28,544441
0.36,548041
0.36,551658
0.36,548042
0.36,548043
0.35,551667
0.35,558901
0.33,548052
0.33,551669
0.33,551670
0.33,555286
0.33,555287
0.33,558902
0.33,558903
0.33,558904
0.29,548053
0.29,548054
0.29,548055
0.29,551671
0.29,551672
0.29,555288
0.29,555289
0.29,555290
0.29,558905
0.29,558906
0.29,558907
0.06,548056
0.06,548057
0.06,548058
0.06,551673
0.06,551674
0.06,551675
0.06,555291
0.06,555292
0.06,558908
0.06,558910
0.17,573166
0.17,576782
0.17,576783
0.16,573167
0.16,573168
0.16,573169
0.16,576784
0.16,576785
0.15,576786
0.15,576787
0.16,576789
0.16,573194
0.16,576810
0.16,576811
0.16,573195
0.16,576812
0.16,576819
0.16,573203
0.16,573204
0.16,573205
0.16,576820
0.16,576821
0.16,576822
0.16,573206
0.16,576823
0.16,576824
0.39,576979
0.37,573363
0.37,573364
0.37,573365
0.37,576980
0.37,576981
0.37,576982
0.34,566132
0.34,566133
0.34,569748
0.34,569749
0.34,569750
0.34,573366
0.34,573367
0.34,576983
0.34,576984
0.34,576985
0.27,562517
0.27,562518
0.27,566134
0.27,566135
0.27,566136
0.27,569751
0.27,569752
0.27,569753
0.27,573368
0.27,573369
0.27,573370
0.27,576986
0.27,576987
0.13,587627
0.13,591243
0.16,584011
0.16,584012
0.16,584013
0.16,587628
0.16,587629
0.16,587630
0.16,591244
0.16,591245
0.16,591246
0.14,580398
0.14,580399
0.14,584014
0.14,584015
0.14,584016
0.14,587631
0.14,587632
0.14,591247
0.14,591249
0.12,580400
0.12,580401
0.12,580402
0.12,584017
0.12,584018
0.12,584019
0.12,587633
0.12,587634
0.12,587635
0.12,591250
0.12,591251
0.12,591252
0.01,580403
0.01,580404
0.01,580405
0.01,584021
0.01,584022
0.01,591253
0.06,580406
0.06,580407
0.06,584023
0.06,584024
0.06,587639
0.06,587640
0.06,587641
0.06,591257
0.06,591258
0.15,584025
0.15,587642
0.15,591259
0.16,587647
0.16,587648
0.16,587649
0.16,591264
0.16,591265
0.16,591266
0.16,587650
0.16,591267
0.16,591269
0.15,584038
0.15,587653
0.15,587654
0.15,587655
0.15,591270
0.15,591271
0.15,591272
0.15,584039
0.15,584040
0.15,587656
0.15,587657
0.15,587658
0.15,591274
0.15,591275
0.14,584042
0.14,584043
0.14,587659
0.14,587660
0.14,587661
0.14,591276
0.15,580428
0.15,584045
0.15,587662
0.15,587663
0.15,587664
0.15,591279
0.15,591280
0.15,584048
0.15,584049
0.15,584050
0.15,587665
0.15,587666
0.15,591281
0.15,591282
0.15,580436
0.15,584052
0.15,584053
0.15,587667
0.15,587668
0.15,587669
0.15,591286
0.14,580440
0.14,580441
0.14,584057
0.14,584058
0.14,587675
0.14,580443
0.14,580444
0.14,584059
0.14,584060
0.14,584061
0.14,587676
0.14,587677
0.14,587678
0.14,591294
0.14,591295
0.15,580445
0.15,580446
0.15,580447
0.15,584062
0.15,584063
0.15,584064
0.15,587679
0.15,587680
0.15,591296
0.15,591297
0.15,580448
0.15,591298
0.38,587829
0.38,587830
0.38,587831
0.38,591446
0.38,591447
0.38,591448
0.35,580598
0.35,580599
0.35,584214
0.35,584215
0.35,584216
0.35,587832
0.35,587833
0.35,591449
0.35,591450
0.35,591451
0.31,580600
0.31,580601
0.31,580602
0.31,584217
0.31,584218
0.31,584219
0.31,587834
0.31,587835
0.31,587836
0.31,591452
0.31,591453
0.12,594857
0.12,598474
0.12,602090
0.12,605706
0.12,605707
0.16,594858
0.16,594859
0.16,594860
0.16,598475
0.16,598476
0.16,598477
0.16,602091
0.16,602092
0.16,602093
0.16,605708
0.16,605709
0.16,605710
0.15,594861
0.15,594862
0.15,594863
0.15,598478
0.15,598479
0.15,598480
0.15,602094
0.15,602095
0.15,602096
0.15,605711
0.15,605713
0.13,594875
0.13,594876
0.13,594877
0.13,598492
0.13,598493
0.13,602109
0.13,602110
0.13,605725
0.13,605726
0.13,605727
0.13,602111
0.13,602112
0.13,602113
0.13,605728
0.13,605729
0.13,605730
0.07,594881
0.07,598498
0.07,602114
0.07,602115
0.07,605731
0.07,605732
0.11,594914
0.11,598529
0.11,598530
0.11,598531
0.11,602146
0.11,602147
0.11,602148
0.13,594915
0.13,598532
0.13,598533
0.13,602149
0.13,602150
0.13,602151
0.13,605765
0.13,605766
0.13,605767
0.15,602152
0.15,605768
0.15,605769
0.15,605770
0.38,605913
0.38,605914
0.34,595064
0.34,595065
0.34,598680
0.34,598681
0.34,598682
0.34,602297
0.34,602298
0.34,602299
0.34,605915
0.34,605916
0.24,609323
0.24,609324
0.24,612939
0.24,612940
0.23,609325
0.23,609326
0.23,609327
0.23,612941
0.23,612942
0.23,612943
0.21,609328
0.21,609329
0.21,612944
0.21,612945
0.21,612946
0.21,616561
0.21,616562
0.21,616563
0.21,620178
0.21,620179
0.21,623796
0.09,609330
0.09,609331
0.09,609332
0.09,612947
0.09,612948
0.09,612949
0.09,616564
0.09,616565
0.09,616566
0.09,620181
0.09,623797
0.09,623798
0.09,623799
0.09,609386
0.09,609387
0.09,613002
0.09,613003
0.09,613004
0.09,616619
0.09,616620
0.09,616621
0.09,620235
0.09,620236
0.09,620237
0.09,623852
0.09,623853
0.09,623854
0.14,620238
0.14,623855
0.4,620379
0.4,623996
0.4,623997
0.37,609530
0.37,609531
0.37,613146
0.37,613147
0.37,613148
0.37,616763
0.37,616764
0.37,616765
0.37,620380
0.37,620381
0.37,620382
0.37,623998
0.37,623999
0.37,624000
0.28,627409
0.28,627410
0.28,631026
0.28,634643
0.25,627411
0.25,627412
0.25,627413
0.25,631027
0.25,631029
0.25,634644
0.25,634645
0.25,634646
0.24,627414
0.24,627415
0.24,631030
0.24,631031
0.24,631032
0.24,634647
0.24,634648
0.24,634649
0.06,627416
0.06,627418
0.06,631033
0.06,631034
0.06,631035
0.06,634650
0.06,634651
0.06,634652
0.06,638266
0.06,638267
0.06,638268
0.1,627468
0.1,631083
0.1,631085
0.1,634700
0.1,634701
0.1,634702
0.1,638316
0.1,638317
0.1,638318
0.14,627469
0.14,627470
0.14,627471
0.14,631086
0.14,631087
0.14,631088
0.14,634703
0.14,634704
0.14,638319
0.15,627472
0.15,638323
0.4,631228
