prob,cell_id
0.01,1082881
0.01,1082882
0.01,1082883
0.01,1082884
0.01,1086498
0.01,1086499
0.01,1086500
0.01,1090114
0.01,1090115
0.01,1093731
0.01,1097347
0.01,1097348
0.03,1104559
0.03,1104560
0.03,1108174
0.03,1108175
0.03,1108176
0.03,1108177
0.03,1111791
0.03,1111792
0.03,1115407
0.03,1115408
0.01,1100946
0.01,1100947
0.01,1100948
0.01,1104561
0.01,1104562
0.01,1104563
0.01,1104564
0.01,1108178
0.01,1108179
0.02,1100949
0.02,1100950
0.02,1100951
0.02,1104565
0.02,1104566
0.02,1104567
0.02,1104568
0.02,1108184
0.02,1111798
0.02,1111799
0.02,1111800
0.02,1111801
0.02,1115414
0.02,1115415
0.02,1115416
0.02,1115417
0.01,1100961
0.01,1100962
0.01,1100963
0.01,1104576
0.01,1104577
0.01,1104578
0.01,1104579
0.01,1108193
0.01,1108194
0.01,1108195
0.01,1108196
0.01,1111809
0.01,1111810
0.01,1111811
0.01,1111812
0.01,1115427
0.01,1115428
0.01,1100964
0.01,1100965
0.01,1104580
0.01,1104581
0.01,1115429
0.03,1119020
0.03,1119021
0.03,1119022
0.03,1122636
0.03,1122637
0.03,1126252
0.03,1126253
0.03,1126254
0.03,1129869
0.03,1129870
0.03,1129871
0.03,1133486
0.03,1133487
0.03,1133488
0.04,1126258
0.04,1119028
0.04,1119030
0.04,1122644
0.04,1122645
0.04,1122646
0.04,1126260
0.04,1126261
0.04,1126263
0.04,1133496
0.03,1119031
0.03,1119032
0.03,1119033
0.03,1119034
0.03,1122647
0.03,1122648
0.03,1122649
0.03,1122650
0.03,1126264
0.03,1126265
0.03,1126266
0.03,1126267
0.03,1129880
0.03,1129881
0.03,1129882
0.03,1133497
0.03,1133498
0.03,1133499
0.03,1119042
0.03,1119043
0.03,1119044
0.03,1119045
0.03,1122659
0.03,1122660
0.03,1122661
0.03,1126275
0.03,1126276
0.03,1126277
0.03,1126278
0.03,1129892
0.03,1129893
0.03,1129894
0.03,1133508
0.02,1119046
0.02,1122662
0.02,1126279
0.02,1129895
0.02,1129896
0.02,1137098
0.02,1137099
0.02,1137100
0.02,1140714
0.02,1140717
0.02,1144334
0.04,1137102
0.04,1137103
0.04,1140718
0.04,1137112
0.04,1140728
0.04,1140729
0.04,1144344
0.04,1144345
0.04,1147960
0.04,1147961
0.04,1151576
0.04,1151577
0.04,1151578
0.04,1155192
0.04,1155193
0.04,1155194
0.04,1144353
0.04,1147969
0.04,1151584
0.04,1151585
0.04,1155200
0.04,1155201
0.04,1155202
0.04,1137121
0.04,1137122
0.04,1137123
0.04,1140737
0.04,1140738
0.04,1140739
0.04,1144354
0.04,1144355
0.04,1147970
0.04,1147971
0.04,1147972
0.04,1147973
0.04,1151586
0.04,1151587
0.04,1151588
0.04,1151589
0.04,1155203
0.04,1155204
0.04,1155205
0.04,1155206
0.04,1144357
0.04,1144358
0.04,1144359
0.04,1147974
0.04,1147975
0.04,1147976
0.04,1151590
0.04,1151591
0.04,1151592
0.04,1151593
0.04,1155207
0.04,1155208
0.04,1155209
0.04,1155210
0.04,1155211
0.02,1158807
0.02,1162423
0.02,1166039
0.02,1166040
0.02,1169655
0.02,1169656
0.02,1173271
0.02,1173272
0.02,1173273
0.04,1158817
0.04,1158818
0.04,1162432
