prob,cell_id
0.22,1318502
0.22,1318503
0.22,1318504
0.22,1318505
0.22,1322119
0.22,1322120
0.22,1322121
0.22,1322122
0.22,1325736
0.22,1325737
0.22,1325738
0.22,1325739
0.22,1329353
0.22,1329354
0.22,1329355
0.22,1329356
0.93,1318506
0.93,1318507
0.93,1322123
0.93,1322124
0.93,1325740
0.93,1325741
0.93,1325742
0.93,1329357
0.93,1329358
0.42,1332970
0.42,1332971
0.42,1332972
0.42,1332973
0.42,1336587
0.42,1336588
0.42,1336589
0.42,1336590
0.42,1340204
0.42,1340205
0.42,1340206
0.42,1340207
0.42,1343821
0.42,1343822
0.42,1343823
0.42,1343824
0.42,1343825
0.42,1347439
0.42,1347440
0.42,1347441
0.42,1347442
1,1332974
1,1336591
1,1336592
1,1340208
1,1340209
1,1343826
1,1343827
1,1347443
1,1347444
0.92,1336597
0.92,1336598
0.92,1340214
0.92,1340215
0.92,1343831
0.92,1343832
0.92,1343833
0.92,1347447
0.92,1347448
0.92,1347449
0.92,1347450
0.96,1336599
0.96,1340216
0.96,1340217
0.96,1343834
0.96,1343835
0.96,1343836
0.96,1347451
0.96,1347452
0.96,1347453
1,1351060
1,1351061
1,1351062
1,1354677
1,1354678
1,1354679
1,1354680
1,1358294
1,1358295
1,1358296
1,1358297
1,1361911
1,1361912
1,1361913
1,1361914
1,1365528
1,1365529
1,1365530
1,1365531
1,1351064
1,1351065
1,1351066
1,1351067
1,1354681
1,1354682
1,1354683
1,1354684
1,1358298
1,1358299
1,1358300
1,1358301
1,1361915
1,1361916
1,1361917
1,1361918
1,1365532
1,1365533
1,1365534
1,1365535
1,1351068
1,1351069
1,1351070
1,1351071
1,1354685
1,1354686
1,1354687
1,1354688
1,1358302
1,1358303
1,1358304
1,1358305
1,1361919
1,1361920
1,1361921
1,1361922
1,1365536
1,1365537
1,1365538
1,1365539
1,1376338
1,1379954
1,1379955
1,1383570
1,1383571
1,1383572
1,1387187
1,1387188
0.87,1372722
0.87,1372723
0.87,1372724
0.87,1372725
0.87,1376339
0.87,1376340
0.87,1376341
0.87,1376342
0.87,1379956
0.88,1372726
0.88,1376343
0.88,1376344
0.88,1376345
0.88,1376346
0.88,1379961
0.88,1379962
0.88,1379963
0.88,1383580
1,1379964
1,1383581
1,1383582
1,1383583
1,1383584
1,1387199
1,1387200
1,1387201
0.49,1387202
0.49,1387203
1,1369153
1,1369154
1,1369155
1,1369156
1,1372771
1,1372772
1,1372773
1,1372774
1,1376388
1,1376389
1,1376390
1,1376391
1,1380005
1,1380006
1,1380007
1,1380008
1,1383623
1,1383624
1,1383625
1,1387241
1,1387242
1,1369157
1,1369158
1,1372775
1,1372776
1,1372777
1,1376392
1,1376393
1,1376394
1,1376395
1,1380009
1,1380010
1,1380011
1,1383626
1,1383627
1,1383628
1,1387243
1,1387244
1,1387245
1,1387246
0.29,1405238
0.29,1405239
1,1405262
1,1398031
1,1398032
1,1401647
1,1401648
1,1401649
1,1405263
1,1405264
1,1405265
1,1394418
1,1394419
1,1398033
1,1398034
1,1398035
1,1398036
1,1390803
1,1390804
1,1394420
1,1394421
1,1390819
1,1390820
1,1390821
1,1394436
1,1394437
1,1394438
1,1398053
1,1398054
1,1398055
1,1401671
1,1401672
1,1405288
1,1405289
1,1405290
0.76,1390841
0.76,1390842
0.76,1390843
0.76,1394460
1,1390844
1,1390845
1,1390846
1,1390847
1,1394461
1,1394462
1,1394463
1,1394464
1,1398078
1,1398079
1,1398080
1,1398081
1,1401697
1,1401698
1,1394465
1,1394466
1,1398082
1,1398083
1,1398084
1,1401699
1,1401700
1,1401701
1,1401702
1,1405316
1,1405317
1,1405318
1,1405319
1,1390859
1,1390860
1,1390861
1,1390862
1,1390863
1,1394477
1,1394478
1,1394479
1,1394480
1,1398096
1,1398097
1,1401715
1,1390864
1,1394481
1,1394482
1,1398098
1,1398099
1,1398100
1,1398101
1,1401716
1,1401717
1,1401718
1,1401719
1,1405333
1,1405334
1,1405335
1,1405336
1,1405339
1,1405340
0.26,1416083
0.26,1416084
0.26,1419699
0.26,1419700
0.26,1419701
0.26,1423316
0.26,1423317
0.26,1423318
0.26,1426932
0.26,1426933
0.26,1426934
0.26,1426935
0.53,1408853
0.53,1408854
0.53,1412469
0.53,1412470
0.53,1412471
0.53,1416085
0.53,1416086
0.53,1416087
0.53,1416088
0.53,1416089
0.53,1419702
0.53,1419703
0.53,1419704
0.53,1419705
0.53,1419706
0.53,1423319
0.53,1423320
0.53,1423321
0.53,1426936
0.99,1408864
0.99,1408865
0.99,1412481
0.99,1412482
0.99,1412483
0.99,1416098
0.99,1416099
0.99,1416100
0.99,1419715
0.99,1419716
0.99,1419717
0.99,1419718
0.99,1423333
0.99,1423334
0.99,1423335
1,1419719
1,1419720
1,1423336
1,1423337
1,1423338
1,1423339
1,1426953
1,1426954
1,1426955
1,1426956
1,1423340
1,1423341
1,1423342
1,1423343
1,1426957
1,1426958
1,1426959
1,1426960
0.91,1408879
0.91,1412494
0.91,1412495
0.91,1412496
0.91,1416110
0.91,1416111
0.91,1416112
0.91,1419727
0.91,1419728
0.91,1419729
0.91,1423344
0.91,1423345
0.91,1423346
0.91,1426961
0.88,1426984
0.88,1426985
0.9,1408904
0.9,1423370
0.9,1423371
0.9,1423372
0.9,1426986
0.9,1426987
0.9,1426988
0.9,1426989
1,1408905
