prob,cell_id
0.17,764046
0.17,764047
0.17,764048
0.17,767661
0.17,767662
0.17,767663
0.17,771278
0.17,774891
0.17,774892
0.17,774893
0.34,760434
0.34,760435
0.34,760436
0.34,764049
0.34,764050
0.34,764051
0.34,767664
0.34,767665
0.34,767666
0.34,771279
0.34,771280
0.34,771281
0.34,774894
0.34,774895
0.34,774896
0.35,760437
0.35,760438
0.35,760439
0.35,764052
0.35,764053
0.35,764054
0.35,767667
0.35,767668
0.35,767669
0.35,771282
0.35,771283
0.35,771284
0.35,774897
0.35,774898
0.35,774899
0.42,760440
0.42,760441
0.42,760442
0.42,764055
0.42,764056
0.42,764057
0.42,764058
0.42,767670
0.42,767671
0.42,771285
0.42,771286
0.42,771287
0.42,771288
0.42,774900
0.42,774901
0.42,774902
0.42,774903
0.56,760443
0.56,760444
0.56,760445
0.56,760446
0.56,764059
0.56,764060
0.56,764061
0.56,767674
0.56,767675
0.56,767676
0.56,771290
0.56,771291
0.56,774904
0.56,774905
0.56,774906
0.13,789353
0.5,778509
0.5,778510
0.5,778511
0.5,782124
0.5,782125
0.5,782126
0.5,785739
0.5,785740
0.5,785741
0.5,789354
0.5,789355
0.5,789356
0.4,778512
0.4,778513
0.4,778514
0.4,782127
0.4,782128
0.4,782129
0.4,785742
0.4,785743
0.4,785744
0.4,785745
0.4,789357
0.4,789358
0.4,789359
0.4,789360
0.47,778515
0.47,778516
0.47,778517
0.47,778518
0.47,782130
0.47,782131
0.47,782132
0.47,782133
0.47,785746
0.47,785747
0.47,785748
0.47,789361
0.47,789362
0.47,789363
0.54,778519
0.54,778520
0.54,778521
0.54,782134
0.54,782135
0.54,782136
0.54,785749
0.54,785750
0.54,785751
0.54,789364
0.54,789365
0.69,778522
0.69,778523
0.69,778524
0.69,782137
0.69,782138
0.69,782139
0.69,785752
0.69,785753
0.68,778525
0.68,778526
0.68,778527
0.68,782140
0.68,782141
0.68,782142
0.67,778528
0.67,778529
0.67,778530
0.67,778531
0.67,782143
0.67,782144
0.67,782145
0.67,782146
0.67,785760
0.67,785761
0.58,778532
0.58,778533
0.58,782147
0.58,782148
0.58,785762
0.58,785763
0.58,785764
0.58,789379
0.61,792960
0.61,792961
0.61,792962
0.61,796574
0.61,796575
0.61,796576
0.61,796577
0.61,800190
0.61,800191
0.61,800192
0.61,803805
0.61,803806
0.61,803807
0.61,807420
0.61,807421
0.61,807422
0.63,792963
0.63,792964
0.63,792965
0.63,796578
0.63,796579
0.63,796580
0.63,800193
0.63,800194
0.63,800195
0.63,803808
0.63,803809
0.63,807423
0.65,792966
0.65,792967
0.65,792968
0.65,796581
0.65,796582
0.65,796583
0.65,800196
0.59,792969
0.59,792970
0.59,792971
0.59,796584
0.59,796585
0.59,796586
0.59,800202
0.56,792972
0.56,792973
0.56,792974
0.56,792975
0.56,796587
0.56,796588
0.56,796589
0.56,796590
0.56,800203
0.56,800204
0.56,800205
0.57,792976
0.57,792977
0.57,792978
0.57,796591
0.57,796592
0.57,796593
0.57,800206
0.57,800207
0.57,800208
0.05,807442
0.67,807443
0.71,792992
0.71,792993
0.71,792994
0.71,796607
0.71,796608
0.71,796609
0.71,800224
0.72,792995
0.72,792996
0.72,792997
0.72,796610
0.72,796611
0.72,796612
0.72,800225
0.72,800226
0.72,800227
0.74,792998
0.74,792999
0.74,793000
0.74,793001
0.74,796613
0.65,793009
0.65,793010
0.73,793011
0.73,793012
0.73,793013
0.73,793014
0.73,796626
0.73,796627
0.73,796628
0.73,796629
0.73,800243
0.73,800244
0.73,793015
0.73,793016
0.73,796630
0.73,796631
0.73,800245
0.73,800246
0.73,800247
0.7,800252
0.7,800253
0.7,800254
0.7,803867
0.7,803868
0.7,803869
0.7,807484
0.68,793025
0.68,793026
0.68,793027
0.68,796639
0.68,796640
0.68,796641
0.68,796642
0.68,800255
0.68,800256
0.68,800257
0.68,803870
0.68,803871
0.68,803872
0.68,807485
0.68,807486
0.68,807487
0.51,811025
0.51,811026
0.51,814640
0.51,814642
0.51,818255
0.51,818256
0.51,818257
0.51,821870
0.51,821871
0.51,821872
0.51,825485
0.51,825486
0.51,825487
0.6,811029
0.6,811030
0.6,814643
0.6,814644
0.6,814645
0.6,814646
0.6,818258
0.6,818259
0.6,818260
0.6,818261
0.6,821873
0.6,821874
0.6,821875
0.57,811031
0.57,811032
0.57,811033
0.57,811034
0.57,814647
0.57,814648
0.57,814649
0.57,818262
0.72,811058
0.72,811059
0.72,814673
0.72,814674
0.72,814675
0.77,811102
0.77,811103
0.77,814718
0.76,814719
0.76,814720
0.76,818335
0.76,818336
0.76,821951
0.77,829187
0.77,829188
0.77,829189
0.77,832803
0.77,832804
0.77,836419
0.72,832805
0.72,836420
0.72,836421
0.72,840035
0.72,840036
0.72,840037
0.72,840038
0.72,843652
0.72,843653
0.67,829195
0.67,832810
0.67,840039
0.67,843654
0.58,829199
0.58,829201
0.58,829202
0.58,832815
0.58,832816
0.58,832817
0.58,836430
0.58,836431
0.58,836432
0.58,840045
0.58,840046
0.58,840047
0.58,840048
0.58,843662
0.58,843663
0.59,829206
0.59,829207
0.59,829208
0.59,832822
0.59,832823
0.59,832824
0.59,836437
0.59,836438
0.59,836439
0.59,840053
0.59,840054
0.59,843669
0.59,843670
0.44,847262
0.44,850877
0.76,847269
0.76,847270
0.76,847271
0.76,847272
0.76,850886
0.76,850887
0.7,847274
0.7,847275
0.7,850888
0.7,850889
0.7,850890
0.7,854503
0.7,854504
0.7,854505
0.7,854506
0.7,858119
0.7,858120
0.7,858121
0.7,861735
0.7,861736
0.63,847276
0.63,847278
0.63,850891
0.63,850892
0.63,850893
0.63,850894
0.63,854507
0.63,854508
0.63,854509
0.63,858122
0.63,858123
0.63,858124
0.63,861737
0.63,861738
0.63,861740
0.59,847279
0.59,847280
0.59,847281
0.59,847282
0.59,850895
0.59,850896
0.59,850897
0.59,854510
0.59,854511
0.59,854512
0.59,858127
0.59,858128
0.59,861741
0.59,861742
0.59,861743
0.6,847283
0.6,847284
0.6,847285
0.6,850898
0.6,850899
0.6,850900
0.6,854513
0.6,854514
0.6,854515
0.6,854516
0.6,858129
0.6,858130
0.6,858131
0.6,861744
0.58,847286
0.58,847287
0.58,847288
0.58,850901
0.58,850902
0.58,850903
0.58,850904
0.58,854517
0.58,854518
0.58,854519
0.58,858132
0.58,858133
0.58,858134
0.58,861747
0.58,861748
0.58,861749
0.47,847291
0.47,847292
0.47,850905
0.47,850906
0.47,850907
0.47,854520
0.47,854521
0.47,854522
0.47,858136
0.47,858137
0.47,858138
0.47,861751
0.47,861752
0.47,861753
0.79,865351
0.79,865352
0.79,868966
0.79,868967
0.74,865353
0.74,865354
0.74,865355
0.74,868968
0.74,868969
0.74,872583
0.74,872584
0.74,872585
0.74,876199
0.74,876200
0.74,876201
0.74,879815
0.74,879816
0.68,865357
0.68,865358
0.68,868971
0.68,872587
0.68,872588
0.68,872589
0.68,876202
0.68,876203
0.68,876204
0.68,879817
0.68,879818
0.68,879819
0.68,879820
0.63,865359
0.63,865361
0.63,865362
0.63,868975
0.63,868976
0.63,868977
0.63,872591
0.63,872592
0.63,876205
0.63,876206
0.63,879821
0.63,879822
0.63,879823
0.45,865363
0.45,865364
0.45,868978
0.45,868979
0.45,868980
0.45,872593
0.45,872594
0.45,872595
0.45,876209
0.45,876210
0.45,876211
0.45,879824
0.45,879825
0.45,879826
0.35,865366
0.35,865367
0.35,865368
0.35,868983
0.35,868984
0.35,872598
0.35,872599
0.35,879827
0.35,879828
0.35,879829
0.35,879830
0.32,865369
0.32,865370
0.32,865371
0.32,865372
0.32,868985
0.32,868986
0.32,868987
0.32,872600
0.32,872601
0.32,872602
0.32,876215
0.32,876216
0.32,876217
0.32,876218
0.32,879831
0.32,879832
0.32,879833
0.75,883433
0.75,883434
0.75,883435
0.75,887048
0.75,887049
0.75,887050
0.75,890663
0.75,890664
0.75,890665
0.75,890666
0.75,894279
0.75,894280
0.75,894281
0.68,883436
0.68,883437
0.68,883438
0.68,887054
0.68,890667
0.68,890668
0.68,894282
0.68,894283
0.46,883439
0.46,883440
0.46,883441
0.46,883442
0.46,887055
0.46,887056
0.46,887057
0.46,890670
0.46,890671
0.46,890672
0.46,890673
0.46,894286
0.46,894287
0.46,894288
0.42,883443
0.42,883444
0.42,883445
0.42,887058
0.42,887059
0.42,887060
0.42,887061
0.42,890674
0.42,890675
0.42,890676
0.42,894289
0.42,894290
0.42,894291
0.32,883446
0.32,883447
0.32,883448
0.32,883449
0.32,887062
0.32,887063
0.32,887064
0.32,890677
0.32,890678
0.32,890679
0.32,894292
0.32,894293
0.32,894294
0.32,894295
0.34,883450
0.34,883451
0.34,883452
0.34,887065
0.34,887066
0.34,887067
0.34,890680
0.34,890681
0.34,890682
0.34,894296
0.34,894297
0.34,894298
0.79,897894
0.79,897895
0.79,897896
0.79,897897
0.79,901511
0.79,901512
0.79,905127
0.79,908742
0.79,908743
0.79,912358
0.75,897898
0.75,897899
0.75,897900
0.75,901513
0.75,901514
0.75,905128
0.75,905129
0.75,905130
0.75,905131
0.75,908744
0.75,908745
0.75,908746
0.75,912359
0.75,912360
0.75,912361
0.75,912362
0.63,897902
0.63,897903
0.63,901517
0.63,901518
0.63,901519
0.63,905133
0.63,905134
0.63,908747
0.63,908748
0.63,908749
0.63,908750
0.63,912363
0.63,912364
0.63,912365
0.6,897904
0.6,897905
0.6,897906
0.6,897907
0.6,901520
0.6,901521
0.6,901522
0.6,905135
0.6,905136
0.6,905137
0.6,905138
0.6,908751
0.6,908752
0.6,908753
0.6,912366
0.6,912367
0.6,912368
0.6,912369
0.54,897908
0.54,901523
0.54,901524
0.54,905139
0.54,905140
0.54,905141
0.54,908754
0.54,908755
0.54,908756
0.54,912370
0.54,912371
0.54,912372
0.48,897911
0.48,897912
0.48,897913
0.48,897914
0.48,901528
0.48,901529
0.48,905142
0.48,905143
0.48,905144
0.48,905145
0.48,908758
0.48,908759
0.48,908760
0.48,912375
0.49,897915
0.49,897916
0.49,901530
0.49,901531
0.49,905146
0.49,905147
0.49,905148
0.49,908761
0.49,908762
0.49,908763
0.49,912376
0.49,912377
0.49,912378
0.49,912379
0.71,915978
0.71,915979
0.71,915980
0.71,919593
0.71,919594
0.71,919595
0.71,919596
0.71,923209
0.71,923210
0.71,923211
0.71,926825
0.71,926826
0.71,926827
0.66,915981
0.66,915982
0.66,915983
0.66,915984
0.66,919597
0.66,919598
0.66,919599
0.66,923212
0.66,923213
0.66,923214
0.66,923215
0.66,926828
0.66,926829
0.66,926830
0.66,930443
0.66,930444
0.66,930445
0.66,930446
0.64,915985
0.64,915986
0.64,915987
0.64,919600
0.64,919601
0.64,919602
0.64,919603
0.64,923216
0.64,923217
0.64,923218
0.64,926831
0.64,926832
0.64,926833
0.64,926834
0.64,930447
0.64,930448
0.64,930449
0.58,915988
0.58,915989
0.58,915990
0.58,915991
0.58,919604
0.58,919605
0.58,919606
0.58,923219
0.58,923220
0.58,923221
0.58,923222
0.58,926835
0.58,926837
0.58,930450
0.58,930451
0.58,930452
0.58,930453
0.59,915992
0.59,915993
0.59,915994
0.59,919607
0.59,919608
0.59,919609
0.59,919610
0.59,923223
0.59,923224
0.59,923225
0.59,926838
0.59,926839
0.59,926840
0.59,926841
0.59,930454
0.59,930455
0.59,930456
0.6,915995
0.6,915996
0.6,915997
0.6,919611
0.6,919612
0.6,919613
0.6,923226
0.6,923227
0.6,923228
0.6,923229
0.6,926842
0.6,926843
0.6,926844
0.6,930457
0.6,930458
0.6,930459
0.6,930460
0.7,934058
0.7,937673
0.76,934059
0.76,934060
0.76,934061
0.76,937674
0.76,937675
0.76,937676
0.76,937677
0.76,941290
0.76,941291
0.76,941292
0.61,934062
0.61,934063
0.61,934064
0.61,934065
0.61,937678
0.61,937679
0.61,937680
0.61,941293
0.61,941294
0.61,941295
0.61,941296
0.61,944909
0.61,944910
0.61,944911
0.61,948524
0.61,948525
0.61,948526
0.61,948527
0.5,934066
0.5,934067
0.5,934068
0.5,937681
0.5,937682
0.5,937683
0.5,941297
0.5,941298
0.5,941299
0.5,944912
0.5,944913
0.5,944915
0.5,948528
0.5,948529
0.5,948530
0.66,934070
0.66,934071
0.66,934072
0.66,937687
0.66,941303
0.66,944918
0.66,948531
0.66,948532
0.66,948533
0.66,948534
0.67,934073
0.67,934074
0.67,934075
0.67,937688
0.67,937689
0.67,937690
0.67,937691
0.67,941304
0.67,941305
0.67,941306
0.67,944919
0.67,944920
0.67,944921
0.67,944922
0.67,948535
0.67,948536
0.67,948537
0.76,934076
0.76,934077
0.76,934078
0.76,934079
0.76,937692
0.76,937693
0.76,937694
0.76,941307
0.76,941308
0.76,941309
0.76,941310
0.76,944923
0.76,944924
0.76,944925
0.76,948538
0.76,948539
0.76,948540
0.18,937706
0.18,941321
0.18,948552
0.18,948553
0.81,952140
0.81,952141
0.81,952142
0.81,955755
0.81,955756
0.81,955757
0.81,955758
0.81,959371
0.81,959372
0.81,959373
0.81,962987
0.81,962988
0.81,962989
0.79,952143
0.79,952144
0.79,952145
0.79,952146
0.79,955759
0.79,955760
0.79,955761
0.79,959374
0.79,959375
0.79,959376
0.79,959377
0.79,962990
0.79,962991
0.79,962992
0.79,966605
0.79,966606
0.79,966607
0.79,966608
0.8,952148
0.8,952149
0.8,955762
0.8,955765
0.8,959378
0.8,959379
0.8,962993
0.8,962994
0.8,962995
0.8,962996
0.8,966609
0.8,966610
0.8,966611
0.82,952150
0.82,952151
0.82,952152
0.82,952153
0.82,955766
0.82,955767
0.82,955768
0.82,959382
0.82,959383
0.82,959384
0.82,962998
0.82,962999
0.82,966612
0.82,966614
0.82,966615
0.83,952154
0.83,952155
0.83,952156
0.83,955769
0.83,955770
0.83,955771
0.83,955772
0.83,959385
0.83,959386
0.83,959387
0.83,963000
0.83,963001
0.83,963002
0.83,963003
0.83,966616
0.83,966617
0.83,966618
0.84,952157
0.84,952158
0.84,952159
0.84,952160
0.84,955773
0.84,955774
0.84,955775
0.84,959388
0.84,959389
0.84,959390
0.84,959391
0.84,963004
0.84,963005
0.84,963006
0.84,966619
0.84,966620
0.84,966621
0.84,966622
0.74,952161
0.74,952162
0.74,955776
0.74,955777
0.74,955778
0.74,959392
0.74,959393
0.74,959394
0.74,963007
0.74,963008
0.74,963009
0.74,963010
0.74,966623
0.74,966624
0.74,966625
0.72,952166
0.72,952167
0.72,955782
0.72,959395
0.72,959396
0.72,959397
0.72,959398
0.72,963012
0.72,963013
0.72,966627
0.72,966628
0.72,966629
0.77,952168
0.77,952169
0.77,952170
0.77,955783
0.77,955784
0.77,955785
0.77,955786
0.77,959399
0.77,959400
0.77,959401
0.77,963014
0.77,963015
0.77,963016
0.77,966630
0.77,966631
0.84,970220
0.84,973834
0.84,973835
0.84,977450
0.84,977451
0.8,970221
0.8,970222
0.8,970223
0.8,973836
0.8,973838
0.8,973839
0.8,977452
0.8,977454
0.8,981067
0.8,981068
0.8,970224
0.8,970225
0.8,970226
0.8,970227
0.8,973840
0.8,973841
0.8,973842
0.8,977455
0.8,977456
0.8,977457
0.8,977458
0.8,981071
0.8,981072
0.8,981073
0.8,984688
0.8,984689
0.82,970228
0.82,970229
0.82,970230
0.82,973843
0.82,973844
0.82,973846
0.82,977459
0.82,977460
0.82,977461
0.82,981074
0.82,981075
0.82,981076
0.82,981077
0.82,984690
0.85,970231
0.85,970232
0.85,970233
0.85,970234
0.85,973847
0.85,973848
0.85,973849
0.85,977462
0.85,977463
0.85,981078
0.85,981079
0.82,970235
0.82,970236
0.82,970237
0.82,973850
0.82,973851
0.82,973852
0.82,973853
0.82,977466
0.82,977467
0.82,977468
0.82,981082
0.82,981083
0.82,981084
0.82,984699
0.67,970238
0.67,970239
0.67,973854
0.67,973855
0.67,973856
0.67,977469
0.67,977470
0.67,977471
0.67,977472
0.67,981085
0.67,981086
0.67,981087
0.67,984700
0.67,984701
0.67,984702
0.67,984703
0.66,970242
0.66,970243
0.66,970244
0.66,973857
0.66,973858
0.66,973859
0.66,973860
0.66,977473
0.66,977474
0.66,977475
0.66,981088
0.66,981089
0.66,981090
0.66,981091
0.66,984704
0.66,984705
0.66,984707
0.81,970245
0.81,970246
0.81,970247
0.81,970248
0.81,973861
0.81,977476
0.81,984708
0.25,1002520
0.25,1002521
0.25,1002522
0.8,995530
0.8,995531
0.8,995532
0.8,999146
0.8,999147
0.8,1002761
0.8,1002762
0.8,1002763
0.78,995533
0.78,999148
0.78,999149
0.78,999150
0.78,999151
0.78,1002764
0.78,1002765
0.78,1002766
0.78,1002767
0.71,999152
0.71,999153
0.71,999154
0.71,999155
0.71,1002768
0.71,1002769
0.71,1002770
0.75,995542
0.75,995543
0.75,999156
0.75,999157
0.75,999158
0.75,1002771
0.75,1002772
0.75,1002773
0.75,1002774
0.86,988315
0.86,991931
0.86,995544
0.86,995545
0.86,995546
0.86,999159
0.86,999160
0.86,999161
0.86,999162
0.86,1002775
0.86,1002776
0.86,1002777
0.84,988316
0.84,988317
0.84,988318
0.84,988319
0.84,991932
0.84,991933
0.84,991934
0.84,995547
0.84,995548
0.84,995549
0.84,995550
0.84,999163
0.84,999164
0.84,999165
0.84,1002778
0.84,1002779
0.84,1002780
0.84,1002781
0.82,988320
0.82,988321
0.82,988322
0.82,991935
0.82,991936
0.82,991937
0.82,991938
0.82,995551
0.82,995552
0.82,995553
0.82,999166
0.82,999167
0.82,999168
0.82,999169
0.82,1002782
0.82,1002783
0.82,1002784
0.82,988323
0.82,995554
0.82,995555
0.82,995557
0.82,999170
0.82,999171
0.82,999172
0.82,1002785
0.82,1002786
0.23,1020585
0.23,1020586
0.23,1020587
0.23,1020588
0.23,1024200
0.23,1024201
0.23,1024202
0.23,1024203
0.26,1020589
0.26,1020590
0.26,1024204
0.26,1024205
0.26,1024206
0.26,1024207
0.32,1006132
0.32,1006133
0.32,1006134
0.32,1009747
0.32,1009748
0.32,1009749
0.32,1013363
0.32,1013364
0.32,1013365
0.32,1016977
0.32,1016978
0.32,1016979
0.32,1016980
0.32,1020592
0.32,1020593
0.32,1020594
0.32,1020595
0.32,1024208
0.32,1024209
0.32,1024210
0.4,1006149
0.4,1006150
0.4,1006151
0.92,1006376
0.92,1006377
0.92,1006378
0.92,1006379
0.92,1009992
0.92,1009993
0.92,1009994
0.92,1013608
0.92,1013609
0.92,1013610
0.92,1017225
0.92,1020840
0.92,1020841
0.89,1006381
0.89,1006382
0.89,1017226
0.89,1017228
0.89,1017229
0.89,1020842
0.89,1024457
0.89,1024458
0.89,1024459
0.8,1006383
0.8,1006385
0.8,1006386
0.8,1010000
0.8,1010001
0.8,1013614
0.8,1013615
0.8,1013616
0.8,1013617
0.8,1017230
0.8,1017231
0.8,1017232
0.8,1020845
0.8,1020846
0.8,1020847
0.8,1024464
0.77,1006387
0.77,1006388
0.77,1006389
0.77,1010002
0.77,1010003
0.77,1010004
0.77,1010005
0.77,1013618
0.77,1013619
0.77,1013620
0.77,1017233
0.77,1017234
0.77,1017235
0.77,1017236
0.77,1020849
0.77,1020850
0.77,1020851
0.77,1020852
0.77,1024465
0.77,1024466
0.77,1024467
0.89,1006390
0.89,1006391
0.89,1006392
0.89,1006393
0.89,1010006
0.89,1010007
0.89,1010008
0.89,1013621
0.89,1013622
0.89,1013623
0.89,1013624
0.89,1017237
0.89,1017238
0.89,1017239
