prob,cell_id
0.03,3104378
0.03,3104379
0.51,3205550
0.51,3209167
0.8,3216401
0.8,3216402
0.8,3216403
0.8,3220018
0.8,3220019
0.8,3220020
0.11,3230988
0.11,3234605
0.03,3227372
0.03,3227373
0.03,3227376
0.03,3230989
0.03,3230990
0.03,3230991
0.03,3230992
0.03,3230993
0.03,3234606
0.03,3234607
0.03,3234608
0.03,3234609
0.03,3234610
0.99,3248965
0.99,3248966
0.99,3252582
0.99,3252583
0.99,3256199
0.99,3256200
0.13,3238222
0.13,3241838
0.13,3241839
0.13,3245455
0.13,3245456
0.13,3249072
0.13,3252689
0.13,3252690
0.13,3256306
0.13,3256307
1,3274277
1,3277893
1,3277894
1,3270661
1,3270662
1,3274278
1,3274279
1,3274280
1,3277896
1,3277897
1,3259819
1,3263435
1,3263436
1,3267052
1,3267053
1,3270670
1,3263437
1,3263438
1,3267054
1,3267055
1,3270671
1,3263442
1,3267059
0.27,3259923
0.27,3259924
0.27,3263540
0.27,3263541
0.27,3267157
0.27,3267158
0.27,3270773
0.27,3270774
0.27,3270775
0.27,3274390
0.27,3274391
0.27,3274392
0.27,3278006
0.27,3278007
0.27,3278008
0.27,3278009
0.71,3281510
0.71,3281511
0.71,3285127
0.71,3285128
0.71,3288744
0.71,3288745
0.71,3292360
0.71,3292361
0.71,3292362
0.71,3295977
0.71,3295978
0.71,3299594
0.71,3299595
0.71,3299596
1,3281512
1,3281514
1,3281515
1,3285129
1,3285131
1,3285132
1,3288746
1,3288748
1,3288749
1,3292363
1,3292364
1,3292366
1,3292367
1,3295980
1,3295981
1,3295982
1,3295983
1,3295984
1,3299597
1,3299598
1,3299599
1,3299601
1,3285134
1,3285135
1,3285136
1,3285137
1,3288751
1,3288752
1,3288753
1,3288754
1,3288755
1,3292368
1,3292369
1,3292371
1,3292372
1,3295985
1,3295986
1,3295987
1,3295988
1,3295989
1,3299602
1,3299604
1,3299605
1,3299606
1,3295990
1,3295991
1,3299607
1,3299608
1,3299609
0.47,3296089
0.47,3299705
0.47,3299706
0.12,3281623
0.12,3281624
0.12,3281625
0.12,3285239
0.12,3285240
0.12,3285241
0.12,3288856
0.12,3288857
0.12,3288858
0.12,3292473
0.12,3296090
0.12,3299707
0.94,3303214
0.94,3303215
0.94,3303216
0.94,3303217
0.94,3303218
0.94,3306832
0.94,3306833
0.94,3306834
0.94,3306835
0.94,3310448
0.94,3310449
0.94,3310450
0.94,3310451
0.94,3314065
0.94,3321299
0.94,3321303
0.98,3303219
0.98,3303220
0.98,3303222
0.98,3303223
0.98,3306836
0.98,3306837
0.98,3306838
0.98,3306839
0.98,3306840
0.98,3310453
0.98,3310454
0.98,3310455
0.98,3310456
0.98,3310457
0.98,3314071
0.98,3314072
0.98,3314074
0.98,3317688
0.98,3317689
0.98,3321304
0.98,3321305
1,3303224
1,3303225
1,3303226
1,3303227
1,3306843
1,3306844
1,3310460
1,3310461
1,3314075
1,3314076
1,3314077
1,3314078
1,3314079
1,3317692
1,3317693
1,3317696
1,3303230
1,3310467
1,3314083
1,3314084
1,3317700
1,3317701
1,3321316
1,3321317
1,3321318
1,3306852
1,3306853
1,3310468
1,3310469
1,3310470
1,3314085
1,3314086
1,3314087
1,3317702
1,3317703
1,3317704
1,3321319
1,3321320
0.58,3303322
0.58,3303323
0.58,3306939
0.58,3306940
0.58,3310556
0.58,3310557
0.58,3314173
0.58,3314174
0.58,3317789
0.58,3317790
0.58,3317791
0.58,3321404
0.58,3321405
0.58,3321406
0.58,3321407
0.58,3321408
1,3324916
1,3324917
1,3324918
1,3324919
1,3324920
1,3328533
1,3328534
1,3328535
1,3328536
1,3328537
1,3324921
1,3324922
1,3328538
1,3328539
1,3332159
1,3335776
1,3339393
1,3343010
1,3332160
1,3332161
1,3335777
1,3335778
1,3339394
1,3339395
1,3339396
1,3343011
1,3324934
1,3324935
1,3328552
1,3332165
1,3332166
1,3339400
1,3339401
1,3339402
1,3339403
1,3343017
1,3343018
1,3343019
1,3343020
1,3324936
1,3324939
1,3328556
1,3332173
1,3335788
0.91,3335871
0.91,3339488
0.7,3325021
0.7,3325022
0.7,3328638
0.7,3332255
0.7,3332256
0.7,3335872
0.7,3335873
0.7,3335874
0.7,3339489
0.7,3339490
0.7,3339491
0.7,3343106
