prob,cell_id
0.02,338270
0.05,345505
0.01,341888
0.01,341889
0.01,345506
0.01,345507
0.01,349123
0.01,349124
0.08,421601
0.05,421606
0.05,421607
0.04,421608
0.04,421609
0.04,421610
0.04,414376
0.04,417993
0.33,435966
0.32,435967
0.32,435968
0.32,435969
0.31,432353
0.31,432354
0.31,435970
0.31,435971
0.31,435972
0.31,435973
0.31,435974
0.31,432357
0.31,432358
0.31,432359
0.31,435975
0.31,435976
0.31,432360
0.31,435977
0.31,435978
0.31,435979
0.3,435983
0.3,435984
0.3,432367
0.3,432368
0.3,435985
0.3,435986
0.29,435987
0.29,435988
0.29,435989
0.29,435990
0.07,425219
0.06,425223
0.05,425224
0.05,425225
0.04,425226
0.04,425227
0.04,428844
0.01,439425
0.01,439426
0.01,443042
0.03,439427
0.36,450419
0.36,450420
0.34,446809
0.34,450426
0.33,446810
0.33,446811
0.33,450427
0.33,450428
0.33,450429
0.32,439577
0.32,439578
0.32,439579
0.32,443195
0.32,443196
0.32,446812
0.32,446813
0.32,446814
0.32,450430
0.32,450431
0.3,439580
0.3,439581
0.3,443197
0.3,443198
0.3,443199
0.3,446815
0.3,446816
0.3,450432
0.3,450433
0.3,450434
0.29,439582
0.29,439583
0.29,439584
0.29,443200
0.29,443201
0.29,446817
0.29,446818
0.29,446819
0.29,450435
0.29,450436
0.26,439585
0.26,439586
0.26,443202
0.26,443203
0.26,443204
0.26,446820
0.26,446821
0.26,450437
0.26,450438
0.26,450439
0.27,439590
0.27,439591
0.27,443207
0.27,443208
0.27,443209
0.27,450443
0.27,450444
0.27,439592
0.27,439593
0.27,439594
0.27,443210
0.27,443211
0.27,446827
0.27,446828
0.27,446829
0.27,450445
0.27,450446
0.28,439595
0.28,439596
0.28,443212
0.28,443213
0.28,443214
0.28,446830
0.28,450447
0.28,450448
0.28,450449
0.28,439597
0.28,439598
0.28,439599
0.28,443215
0.28,443216
0.28,446832
0.28,446833
0.28,446834
0.28,450450
0.28,450451
0.28,439600
0.28,439601
0.28,443217
0.28,443218
0.28,443219
0.28,446835
0.28,446836
0.28,450452
0.28,450453
0.28,439605
0.28,439606
0.28,443222
0.28,443223
0.28,443224
0.28,446840
0.28,446841
0.28,450457
0.28,450458
0.28,450459
0.28,439607
0.28,439608
0.28,443225
0.28,443226
0.28,446842
0.28,439609
0.28,439610
0.28,439611
0.28,443227
0.28,443228
0.28,443229
0.28,446846
0.28,450463
0.28,443230
0.28,443231
0.28,446847
0.28,446848
0.28,446849
0.28,450465
0.28,450466
0.28,446850
0.28,446851
0.28,450467
0.28,450468
0.28,450469
0.28,450470
0.28,450471
0.38,468493
0.36,468494
0.36,468496
0.35,464879
0.35,464880
0.35,464881
0.35,468497
0.35,468498
0.34,457648
0.34,457649
0.34,461264
0.34,461265
0.34,461266
0.34,464882
0.34,464883
0.34,468499
0.34,468500
0.34,468501
0.34,454034
0.34,457650
0.34,457651
0.34,461267
0.34,461268
0.34,464884
0.34,464885
0.34,464886
0.34,468502
0.34,468503
0.34,454035
0.34,454036
0.34,457653
0.34,461269
0.34,461270
0.34,461271
0.34,464887
0.34,464888
0.34,468504
0.34,468505
0.34,468506
0.33,461272
0.33,461273
0.33,461274
0.33,464889
0.33,464890
0.33,464891
0.33,468507
0.33,468508
0.32,457659
0.32,461275
0.32,461276
0.32,464892
0.32,464893
0.32,468509
0.32,468510
0.32,468511
0.31,454043
0.31,454044
0.31,457660
0.31,457661
0.31,461277
0.31,461278
0.31,461279
0.31,464894
0.31,464895
0.31,464896
0.31,468512
0.31,468513
0.3,454045
0.3,454046
0.3,457662
0.3,457663
0.3,457664
0.3,461280
0.3,461281
0.3,464897
0.3,464898
0.3,464899
0.3,468514
0.3,468515
0.3,468516
0.28,454047
0.28,454048
0.28,454049
0.28,457665
0.28,457666
0.28,461282
0.28,461283
0.28,461284
0.28,464900
0.28,464901
0.02,454050
0.02,454051
0.02,457667
0.02,457668
0.02,457669
0.02,461285
0.02,461286
0.02,464902
0.02,464903
0.02,468519
0.02,468520
0.02,468521
0.23,454060
0.23,454061
0.23,457677
0.23,457678
0.23,457679
0.23,461295
0.23,461296
0.23,464912
0.23,464913
0.19,454062
0.19,454063
0.19,457680
0.19,461297
0.24,454077
0.24,464930
0.24,464931
0.24,468549
0.12,464932
0.12,464933
0.12,464934
0.12,468550
0.12,468551
0.12,468552
0.25,454084
0.25,464935
0.25,464936
0.25,468553
0.25,468554
0.26,454085
0.26,454086
0.26,464937
0.26,464938
0.26,464939
0.26,468555
0.26,468556
0.27,454087
0.27,454088
0.27,454089
0.27,457706
0.27,461322
0.27,461323
0.27,461324
0.27,464940
0.27,454090
0.27,457707
0.27,457708
0.27,461325
0.27,468562
0.27,468564
0.26,468565
0.26,468566
0.26,468567
0.08,454145
0.08,454146
0.08,457764
0.08,454147
0.08,454148
0.08,457765
0.08,457766
0.03,468646
0.02,461412
0.02,465030
0.02,468647
0.02,468648
0.01,457795
0.01,457796
0.01,457797
0.01,461413
0.01,461414
0.01,461415
0.01,465031
0.01,465032
0.01,465033
0.01,468649
0.01,468650
0.01,468651
0.39,479340
0.39,482957
0.38,479341
0.38,479342
0.38,479343
0.38,482958
0.38,482959
0.38,482960
0.35,479344
0.35,479345
0.35,482961
0.35,482962
0.33,472112
0.33,472113
0.33,475729
0.33,475730
0.33,479346
0.33,479347
0.33,479348
0.33,482963
0.33,482964
0.33,482965
0.29,472119
0.29,472120
0.29,472121
0.29,475736
0.29,475737
0.29,475738
0.29,479354
0.29,479355
0.29,482971
0.29,482972
0.29,482973
0.29,472122
0.29,472123
0.29,475739
0.29,475740
0.29,475741
0.29,479356
0.29,479357
0.29,479358
0.29,482975
0.08,472124
0.08,472125
0.08,472126
0.08,475742
0.08,475743
0.08,479359
0.08,482976
0.08,482977
0.08,482978
0.21,472170
0.21,472171
0.21,472172
0.21,475788
0.21,475789
0.21,479405
0.23,472173
0.23,472174
0.23,475790
0.23,475791
0.23,475792
0.23,479408
0.23,479409
0.24,472175
0.24,472176
0.24,472177
0.24,475793
0.24,475794
0.25,472178
0.25,472179
0.25,475795
0.25,475796
0.25,475797
0.25,479414
0.25,472180
0.25,472181
0.25,472182
0.25,475798
0.25,475799
0.25,479415
0.25,479416
0.25,479417
0.25,483035
0.25,472183
0.25,472184
0.25,475800
0.25,475801
0.25,475802
0.25,479418
0.25,479419
0.25,479420
0.25,483036
0.25,483037
0.25,472185
0.25,472186
0.25,472187
0.25,475803
0.25,475804
0.25,475805
0.25,479421
0.25,479422
0.25,483038
0.25,483039
0.25,483040
0.25,472188
0.25,475806
0.25,475807
0.25,479423
0.25,479424
0.25,483041
0.25,483042
0.25,483043
0.25,483044
0.09,479476
0.09,483092
0.09,483093
0.09,483094
0.08,479477
0.08,483095
0.02,479494
0.02,483110
0.02,483111
0.02,483112
0.01,472261
0.01,475877
0.01,475878
0.01,475879
0.01,479495
0.01,479496
0.01,479497
0.01,483113
0.01,483114
0.01,483115
0.42,497416
0.41,493801
0.41,497417
0.41,497418
0.41,497419
0.39,490185
0.39,490186
0.39,490187
0.39,493802
0.39,493803
0.39,493804
0.39,497420
0.39,497421
0.38,486570
0.38,486571
0.38,490188
0.38,490189
0.38,493805
0.38,497422
0.38,497423
0.38,497424
0.36,486574
0.36,486575
0.36,490191
0.36,490192
0.36,493808
0.36,493809
0.36,497425
0.36,497426
0.36,497427
0.35,486576
0.35,486577
0.35,490193
0.35,493810
0.35,493811
0.35,493812
0.35,497428
0.35,497429
0.07,486591
0.07,486592
0.07,490208
0.23,486658
0.23,486659
0.23,486660
0.23,490277
0.23,490278
0.23,493895
0.23,497511
0.23,497512
0.23,497513
0.24,486661
0.24,486662
0.24,486663
0.24,490279
0.24,490280
0.24,493896
0.24,486664
0.24,486665
0.24,490281
0.24,490282
0.24,490283
0.23,486666
0.23,490284
0.23,490285
0.23,493903
0.23,490286
0.23,490287
0.23,490288
0.23,493904
0.23,493905
0.23,490289
0.23,490290
0.23,490291
0.23,493907
0.23,493908
0.23,490292
0.23,493909
0.23,493910
0.23,493911
0.23,497527
0.23,497528
0.22,497529
0.22,497530
0.22,497531
0.21,497532
0.07,486709
0.04,486710
0.04,486711
0.04,486712
0.04,490328
0.04,490329
0.04,490330
0.04,493947
0.04,497563
0.04,497564
0.04,497565
0.04,486713
0.04,486714
0.04,490331
0.04,490332
0.04,493948
0.04,493949
0.04,493950
0.04,497566
0.04,497567
0.04,497568
0.04,490333
0.04,490334
0.04,490335
0.04,493951
0.04,493952
0.04,493953
0.04,497569
0.04,497570
0.03,490336
0.03,490337
0.03,493954
0.03,493955
0.03,497571
0.03,497572
0.03,497573
0.02,493956
0.02,493957
0.02,497574
0.02,497575
0.02,497576
0.01,486726
0.01,486727
0.01,490343
0.01,490344
0.01,490345
0.01,493962
0.01,493963
0.01,497581
0.4,504648
0.4,508265
0.4,511882
0.38,501032
0.38,501033
0.38,504649
0.38,504650
0.38,504651
0.38,508266
0.38,508267
0.38,508268
0.38,511883
0.38,511884
0.38,511885
0.36,501034
0.36,501035
0.36,501036
0.36,504652
0.36,504653
0.36,508269
0.36,508270
0.36,508271
0.36,511886
0.36,511887
0.36,511888
0.21,501037
0.21,501038
0.21,501039
0.21,504654
0.21,504656
0.21,508272
0.21,508273
0.21,511889
0.21,511890
0.36,501040
0.36,501041
0.36,504657
0.36,504658
0.36,504659
0.36,508274
0.36,508275
0.36,508276
0.36,511891
0.36,511892
0.36,511893
0.23,501042
0.23,501043
0.23,501044
0.23,504660
0.23,504661
0.23,508277
0.23,508278
0.23,511894
0.19,501045
0.19,501046
0.19,504662
0.19,504663
0.19,504664
0.19,508279
0.19,508280
0.19,508281
0.19,511897
0.15,501147
0.15,501148
0.15,501149
0.21,501150
0.21,501151
0.21,504767
0.21,504768
0.21,504769
0.21,508387
0.2,504770
0.2,504771
0.2,508388
0.2,508389
0.2,512007
0.2,508390
0.2,508391
0.2,512008
0.2,512009
0.2,512010
0.1,508408
0.1,512024
0.1,512025
0.1,512026
0.07,508409
0.07,508410
0.07,508411
