prob,cell_id
0.03,1442533
0.03,1442534
0.03,1446150
0.03,1446151
0.07,1457002
0.07,1460619
0.07,1460620
0.07,1464236
0.07,1464237
0.07,1464238
0.07,1467854
0.07,1467855
0.07,1467856
0.09,1449768
0.09,1449769
0.09,1453386
0.09,1453387
0.09,1457003
0.09,1457004
0.09,1457005
0.09,1460621
0.09,1460622
0.09,1460623
0.09,1460624
0.09,1464239
0.09,1464240
0.09,1464241
0.09,1464242
0.09,1467859
0.09,1467860
0.1,1471479
0.1,1471480
0.1,1475097
0.1,1475098
0.1,1478715
0.1,1482333
0.1,1482336
0.1,1485951
0.1,1485954
0.06,1471486
0.06,1475102
0.06,1475103
0.06,1478719
0.06,1478720
0.06,1478721
0.06,1478722
0.06,1482337
0.06,1482338
0.06,1482339
0.06,1482340
0.06,1485955
0.06,1485958
0.27,1489567
0.27,1489568
0.27,1493185
0.27,1493186
0.23,1489569
0.23,1489571
0.23,1489572
0.23,1493187
0.23,1493188
0.23,1493189
0.23,1496807
0.23,1496808
0.23,1500424
0.23,1500425
0.23,1500426
0.23,1504042
0.23,1504043
0.23,1504044
0.23,1507660
0.23,1507661
0.23,1507662
0.1,1489575
0.1,1489576
0.1,1493193
0.1,1493194
0.1,1496809
0.1,1496810
0.1,1496811
0.1,1496812
0.1,1500427
0.1,1500428
0.1,1500429
0.1,1500431
0.1,1504046
0.1,1504047
0.1,1504048
0.1,1504049
0.1,1507664
0.1,1507665
0.1,1507666
0.1,1507667
0.03,1489577
0.03,1489578
0.03,1489579
0.03,1489580
0.03,1489581
0.03,1493196
0.03,1493197
0.03,1493198
0.03,1493199
0.03,1496815
0.03,1496816
0.03,1496817
0.03,1500432
0.03,1500433
0.03,1500434
0.03,1500435
0.03,1504050
0.03,1504051
0.03,1504052
0.03,1504053
0.03,1507668
0.03,1507669
0.03,1507670
0.03,1507671
0.33,1518512
0.33,1522129
0.33,1522130
0.33,1525747
0.33,1525748
0.24,1511278
0.24,1511279
0.24,1511280
0.24,1514896
0.24,1514897
0.24,1518513
0.24,1518514
0.24,1525749
0.14,1511282
0.14,1511283
0.14,1511284
0.14,1511285
0.14,1514900
0.14,1514901
0.14,1514902
0.14,1514903
0.03,1511286
0.03,1511287
0.03,1511288
0.03,1511289
0.03,1514904
0.03,1514906
0.03,1514907
0.03,1518524
0.03,1518525
0.03,1522142
0.03,1522143
0.03,1525761
0.38,1529364
0.38,1529365
0.38,1529366
0.38,1532983
0.38,1532984
0.38,1536600
0.38,1536601
0.38,1536602
0.38,1540218
0.38,1540219
0.38,1540220
0.38,1543836
0.38,1543837
0.38,1543838
0.38,1547454
0.38,1547455
0.38,1547456
0.28,1529367
0.28,1532985
0.28,1536603
0.28,1540221
0.28,1543839
0.02,1529380
0.02,1529381
0.02,1529382
0.02,1532998
0.02,1532999
0.02,1533000
0.02,1533001
0.02,1536617
0.02,1536618
0.02,1536619
0.02,1540236
0.02,1540237
0.02,1543854
0.02,1543855
0.02,1547472
0.02,1547473
0.02,1550973
0.02,1550974
0.02,1550975
0.02,1554591
0.02,1554592
0.02,1558209
0.02,1561827
0.41,1551071
0.41,1551072
0.41,1551073
0.41,1554689
0.41,1554690
0.41,1554691
0.41,1554692
0.41,1558307
0.41,1558308
0.41,1558309
0.41,1558310
0.41,1561928
0.41,1565546
0.41,1569164
0.32,1554693
0.32,1558311
0.32,1561929
