prob,cell_id
0.15,439421
0.15,443038
0.15,446655
0.15,439422
0.15,439423
0.15,439424
0.15,443039
0.15,443040
0.15,443041
0.15,446656
0.18,439425
0.18,439426
0.18,443042
0.21,439427
0.32,450419
0.32,450420
0.57,446809
0.57,450426
0.38,446810
0.38,446811
0.38,450427
0.38,450428
0.38,450429
0.2,439577
0.2,439578
0.2,439579
0.2,443195
0.2,443196
0.2,446812
0.2,446813
0.2,446814
0.2,450430
0.2,450431
0.2,439580
0.2,439581
0.2,443197
0.2,443198
0.2,443199
0.2,446815
0.2,446816
0.2,450432
0.2,450433
0.2,450434
0.25,439582
0.25,439583
0.25,439584
0.25,443200
0.25,443201
0.25,446817
0.25,446818
0.25,446819
0.25,450435
0.25,450436
0.03,439585
0.03,439586
0.03,443202
0.03,443203
0.03,443204
0.03,446820
0.03,446821
0.03,450437
0.03,450438
0.03,450439
0.04,439590
0.04,439591
0.04,443207
0.04,443208
0.04,443209
0.04,450443
0.04,450444
0.15,439592
0.15,439593
0.15,439594
0.15,443210
0.15,443211
0.15,446827
0.15,446828
0.15,446829
0.15,450445
0.15,450446
0.23,439595
0.23,439596
0.23,443212
0.23,443213
0.23,443214
0.23,446830
0.23,450447
0.23,450448
0.23,450449
0.22,439597
0.22,439598
0.22,439599
0.22,443215
0.22,443216
0.22,446832
0.22,446833
0.22,446834
0.22,450450
0.22,450451
0.19,439600
0.19,439601
0.19,443217
0.19,443218
0.19,443219
0.19,446835
0.19,446836
0.19,450452
0.19,450453
0.14,439605
0.14,439606
0.14,443222
0.14,443223
0.14,443224
0.14,446840
0.14,446841
0.14,450457
0.14,450458
0.14,450459
0.13,439607
0.13,439608
0.13,443225
0.13,443226
0.13,446842
0.38,439609
0.38,439610
0.38,439611
0.38,443227
0.38,443228
0.38,443229
0.38,446846
0.38,450463
0.42,443230
0.42,443231
0.42,446847
0.42,446848
0.42,446849
0.42,450465
0.42,450466
0.4,446850
0.4,446851
0.4,450467
0.4,450468
0.4,450469
0.38,450470
0.38,450471
0.42,468493
0.44,468494
0.44,468496
0.25,464879
0.25,464880
0.25,464881
0.25,468497
0.25,468498
0.24,457648
0.24,457649
0.24,461264
0.24,461265
0.24,461266
0.24,464882
0.24,464883
0.24,468499
0.24,468500
0.24,468501
0.33,454034
0.33,457650
0.33,457651
0.33,461267
0.33,461268
0.33,464884
0.33,464885
0.33,464886
0.33,468502
0.33,468503
0.43,454035
0.43,454036
0.43,457653
0.43,461269
0.43,461270
0.43,461271
0.43,464887
0.43,464888
0.43,468504
0.43,468505
0.43,468506
0.34,461272
0.34,461273
0.34,461274
0.34,464889
0.34,464890
0.34,464891
0.34,468507
0.34,468508
0.38,457659
0.38,461275
0.38,461276
0.38,464892
0.38,464893
0.38,468509
0.38,468510
0.38,468511
0.56,454043
0.56,454044
0.56,457660
0.56,457661
0.56,461277
0.56,461278
0.56,461279
0.56,464894
0.56,464895
0.56,464896
0.56,468512
0.56,468513
0.32,454045
0.32,454046
0.32,457662
0.32,457663
0.32,457664
0.32,461280
0.32,461281
0.32,464897
0.32,464898
0.32,464899
0.32,468514
0.32,468515
0.32,468516
0.17,454047
0.17,454048
0.17,454049
0.17,457665
0.17,457666
0.17,461282
0.17,461283
0.17,461284
0.17,464900
0.17,464901
0.06,454060
0.06,454061
0.06,457677
0.06,457678
0.06,457679
0.06,461295
0.06,461296
0.06,464912
0.06,464913
0.07,454062
0.07,454063
0.07,457680
0.07,461297
0.04,454077
0.04,464930
0.04,464931
0.04,468549
0.2,454084
0.2,464935
0.2,464936
0.2,468553
0.2,468554
0.28,454085
0.28,454086
0.28,464937
0.28,464938
0.28,464939
0.28,468555
0.28,468556
0.3,454087
0.3,454088
0.3,454089
0.3,457706
0.3,461322
0.3,461323
0.3,461324
0.3,464940
0.32,454090
0.32,457707
0.32,457708
0.32,461325
0.32,468562
0.47,468564
0.33,468565
0.33,468566
0.33,468567
0.05,454145
0.05,454146
0.05,457764
0.04,454147
0.04,454148
0.04,457765
0.04,457766
0.01,468646
0.01,461412
0.01,465030
0.01,468647
0.01,468648
0.01,457795
0.01,457796
0.01,457797
0.01,461413
0.01,461414
0.01,461415
0.01,465031
0.01,465032
0.01,465033
0.01,468649
0.01,468650
0.01,468651
0.85,479340
0.85,482957
0.51,479341
0.51,479342
0.51,479343
0.51,482958
0.51,482959
0.51,482960
0.54,479344
0.54,479345
0.54,482961
0.54,482962
0.17,472112
0.17,472113
0.17,475729
0.17,475730
0.17,479346
0.17,479347
0.17,479348
0.17,482963
0.17,482964
0.17,482965
0.09,472119
0.09,472120
0.09,472121
0.09,475736
0.09,475737
0.09,475738
0.09,479354
0.09,479355
0.09,482971
0.09,482972
0.09,482973
0.11,472122
0.11,472123
0.11,475739
0.11,475740
0.11,475741
0.11,479356
0.11,479357
0.11,479358
0.11,482975
0.19,472170
0.19,472171
0.19,472172
0.19,475788
0.19,475789
0.19,479405
0.29,472173
0.29,472174
0.29,475790
0.29,475791
0.29,475792
0.29,479408
0.29,479409
0.3,472175
0.3,472176
0.3,472177
0.3,475793
0.3,475794
0.28,472178
0.28,472179
0.28,475795
0.28,475796
0.28,475797
0.28,479414
0.15,472180
0.15,472181
0.15,472182
0.15,475798
0.15,475799
0.15,479415
0.15,479416
0.15,479417
0.15,483035
0.13,472183
0.13,472184
0.13,475800
0.13,475801
0.13,475802
0.13,479418
0.13,479419
0.13,479420
0.13,483036
0.13,483037
0.23,472185
0.23,472186
0.23,472187
0.23,475803
0.23,475804
0.23,475805
0.23,479421
0.23,479422
0.23,483038
0.23,483039
0.23,483040
0.25,472188
0.25,475806
0.25,475807
0.25,479423
0.25,479424
0.25,483041
0.25,483042
0.26,483043
0.26,483044
0.05,479476
0.05,483092
0.05,483093
0.05,483094
0.03,479477
0.03,483095
0.01,479494
0.01,483110
0.01,483111
0.01,483112
0.01,472261
0.01,475877
0.01,475878
0.01,475879
0.01,479495
0.01,479496
0.01,479497
0.01,483113
0.01,483114
0.01,483115
0.01,486208
0.01,486209
0.01,486210
0.01,489824
0.01,489825
0.01,489826
0.01,493441
0.01,493442
0.02,486211
0.02,489827
0.02,489828
0.02,493443
0.02,493444
0.02,497059
0.01,486214
0.01,486215
0.01,489829
0.01,489830
0.01,489831
0.01,493445
0.9,497416
0.87,493801
0.87,497417
0.87,497418
0.87,497419
0.85,490185
0.85,490186
0.85,490187
0.85,493802
0.85,493803
0.85,493804
0.85,497420
0.85,497421
0.68,486570
0.68,486571
0.68,490188
0.68,490189
0.68,493805
0.68,497422
0.68,497423
0.68,497424
0.55,486574
0.55,486575
0.55,490191
0.55,490192
0.55,493808
0.55,493809
0.55,497425
0.55,497426
0.55,497427
0.05,486576
0.05,486577
0.05,490193
0.05,493810
0.05,493811
0.05,493812
0.05,497428
0.05,497429
0.18,486658
0.18,486659
0.18,486660
0.18,490277
0.18,490278
0.18,493895
0.18,497511
0.18,497512
0.18,497513
0.22,486661
0.22,486662
0.22,486663
0.22,490279
0.22,490280
0.22,493896
0.07,486664
0.07,486665
0.07,490281
0.07,490282
0.07,490283
0.12,486666
0.12,490284
0.12,490285
0.12,493903
0.12,490286
0.12,490287
0.12,490288
0.12,493904
0.12,493905
0.16,490289
0.16,490290
0.16,490291
0.16,493907
0.16,493908
0.17,490292
0.17,493909
0.17,493910
0.17,493911
0.17,497527
0.17,497528
0.16,497529
0.16,497530
0.16,497531
0.15,497532
0.02,486709
0.01,486710
0.01,486711
0.01,486712
0.01,490328
0.01,490329
0.01,490330
0.01,493947
0.01,497563
0.01,497564
0.01,497565
0.01,486713
0.01,486714
0.01,490331
0.01,490332
0.01,493948
0.01,493949
0.01,493950
0.01,497566
0.01,497567
0.01,497568
0.01,490333
0.01,490334
0.01,490335
0.01,493951
0.01,493952
0.01,493953
0.01,497569
0.01,497570
0.01,490336
0.01,490337
0.01,493954
0.01,493955
0.01,497571
0.01,497572
0.01,497573
0.01,493956
0.01,493957
0.01,497574
0.01,497575
0.01,497576
0.01,511522
0.01,500675
0.01,504292
0.01,504293
0.01,507907
0.01,507908
0.01,507909
0.01,511523
0.01,511524
0.01,511525
0.01,504294
0.01,504295
0.01,507910
0.01,507911
0.01,511526
0.01,511527
0.3,504648
0.3,508265
0.3,511882
0.26,501032
0.26,501033
0.26,504649
0.26,504650
0.26,504651
0.26,508266
0.26,508267
0.26,508268
0.26,511883
0.26,511884
0.26,511885
0.04,501034
0.04,501035
0.04,501036
0.04,504652
0.04,504653
0.04,508269
0.04,508270
0.04,508271
0.04,511886
0.04,511887
0.04,511888
0.01,501037
0.01,501038
0.01,501039
0.01,504654
0.01,504656
0.01,508272
0.01,508273
0.01,511889
0.01,511890
0.12,501040
0.12,501041
0.12,504657
0.12,504658
0.12,504659
0.12,508274
0.12,508275
0.12,508276
0.12,511891
0.12,511892
0.12,511893
0.02,501042
0.02,501043
0.02,501044
0.02,504660
0.02,504661
0.02,508277
0.02,508278
0.02,511894
0.01,501045
0.01,501046
0.01,504662
0.01,504663
0.01,504664
0.01,508279
0.01,508280
0.01,508281
0.01,511897
0.02,501147
0.02,501148
0.02,501149
0.07,501150
0.07,501151
0.07,504767
0.07,504768
0.07,504769
0.07,508387
0.09,504770
0.09,504771
0.09,508388
0.09,508389
0.09,512007
0.1,508390
0.1,508391
0.1,512008
0.1,512009
0.1,512010
0.02,508408
0.02,512024
0.02,512025
0.02,512026
0.01,508409
0.01,508410
0.01,508411
0.01,512027
0.01,512028
0.01,504794
0.01,504795
0.01,508412
0.01,508413
0.01,512029
0.01,512030
0.01,512031
0.27,529960
0.27,529961
0.25,519112
0.25,522728
0.25,522729
0.25,526344
0.25,526345
0.25,526346
0.25,529962
0.25,529963
0.25,519113
0.25,519114
0.25,522730
0.25,522731
0.25,522732
0.25,526347
0.25,526348
0.25,526349
0.25,529964
0.25,529965
0.25,529966
0.4,515498
0.4,515499
0.4,515500
0.4,519115
0.4,519116
0.4,519117
0.4,522733
0.4,522734
0.4,526350
0.4,526351
0.4,526352
0.5,515501
0.5,515502
0.5,519118
0.5,519119
0.5,519120
0.5,522735
0.5,522736
0.5,522737
0.5,526353
0.5,526354
0.5,529971
0.42,515503
0.42,515504
0.42,515505
0.42,519121
0.42,519122
0.42,522738
0.42,522739
0.42,522740
0.42,526356
0.42,526357
0.42,529972
0.42,529973
0.42,529974
0.48,515506
0.48,515507
0.48,515508
0.48,519123
0.48,519124
0.48,519125
0.48,522741
0.48,522742
0.48,526358
0.48,526359
0.48,526360
0.48,529975
0.48,529976
0.48,529977
0.02,515509
0.02,515510
0.02,519126
0.02,519127
0.02,519128
0.02,522743
0.02,522744
0.02,522745
0.02,526361
0.02,526362
0.02,529978
