prob,cell_id
0.02,652924
0.02,656540
0.02,656541
0.13,674618
0.13,674619
0.09,689082
0.09,689083
0.09,689084
0.1,703543
0.1,703544
0.1,707159
0.1,707160
0.1,707161
0.06,718006
0.06,721622
0.06,721623
0.05,710774
0.05,710775
0.05,714390
0.05,714391
0.05,714392
0.05,718007
0.05,718008
0.05,718009
0.05,721624
0.05,721625
0.05,721626
0.08,725238
0.08,725239
0.08,725240
0.08,728855
0.08,728856
0.08,728857
0.08,732472
0.08,732473
0.08,732474
0.08,736089
0.08,736090
0.08,736091
0.08,739706
0.08,739707
0.08,739708
0.17,743323
0.17,743324
0.17,743325
0.17,746940
0.17,746941
0.17,746942
0.17,750557
0.17,750558
0.17,750559
0.17,754174
0.17,754175
0.17,754176
0.17,757791
0.17,757792
0.17,757793
0.01,743326
0.01,743327
0.01,743328
0.01,746943
0.01,746944
0.01,746945
0.01,750560
0.01,750561
0.01,750562
0.01,754177
0.01,754178
0.01,754179
0.01,754180
0.01,757794
0.01,757795
0.01,757796
0.01,757797
0.58,761369
0.58,764986
0.58,772220
0.58,775836
0.58,775837
0.49,764987
0.49,764989
0.49,768604
0.49,768605
0.49,768606
0.49,772221
0.49,772222
0.49,772223
0.49,775838
0.49,775839
0.49,775840
0.49,761373
0.49,761374
0.49,764990
0.49,764991
0.49,764992
0.49,768607
0.49,768608
0.49,768609
0.49,772224
0.49,772225
0.49,772226
0.49,775841
0.49,775842
0.49,775843
0.26,761408
0.26,761409
0.26,761410
0.26,765025
0.26,765026
0.26,765027
0.26,765028
0.26,768643
0.26,768644
0.26,768645
0.26,772260
0.26,772261
0.26,772262
0.26,775877
0.26,775878
0.26,775879
0.1,761411
0.1,761412
0.1,761414
0.1,765029
0.1,765030
0.1,765031
0.1,768646
0.1,768647
0.1,768648
0.1,772263
0.1,772264
0.1,772265
0.1,775880
0.1,775881
0.1,775882
0.01,768649
0.01,768650
0.01,772266
0.01,772267
0.01,775883
0.01,775884
0.52,783068
0.52,786684
0.52,786685
0.52,790301
0.52,790302
0.34,779452
0.34,779453
0.34,779454
0.34,783069
0.34,783070
0.34,783071
0.34,786686
0.34,786687
0.34,786688
0.34,790305
0.29,779455
0.29,779456
0.29,779457
0.29,783072
0.29,783073
0.29,783074
0.29,786689
0.29,786690
0.29,786691
0.29,790306
0.29,790307
0.29,790308
0.39,779458
0.39,779459
0.39,779460
0.39,783075
0.39,783076
0.39,786692
0.39,790309
0.45,779495
0.45,779496
0.45,783112
0.45,783113
0.45,786730
0.45,790347
0.26,779497
0.26,779498
0.26,779499
0.26,783114
0.26,783115
0.26,786731
0.26,786732
0.26,786733
0.26,790348
0.26,790349
0.26,790350
0.18,779500
0.18,779501
0.18,783117
0.18,783118
0.18,786734
0.18,786735
0.18,786736
0.18,790351
0.18,790352
0.18,790353
0.13,779504
0.13,779505
0.13,783120
0.13,783121
0.13,783122
0.13,783123
0.13,786737
0.13,786738
0.13,786739
0.13,786740
0.13,790354
0.13,790355
0.13,790356
