prob,cell_id
0.04,450419
0.04,450420
0.12,468493
0.05,468494
0.05,468496
0.19,479340
0.19,482957
0.11,479341
0.11,479342
0.11,479343
0.11,482958
0.11,482959
0.11,482960
0.02,479344
0.02,479345
0.02,482961
0.02,482962
0.29,497416
0.24,493801
0.24,497417
0.24,497418
0.24,497419
0.17,490185
0.17,490186
0.17,490187
0.17,493802
0.17,493803
0.17,493804
0.17,497420
0.17,497421
0.11,486570
0.11,486571
0.11,490188
0.11,490189
0.11,493805
0.11,497422
0.11,497423
0.11,497424
0.06,486574
0.06,486575
0.06,490191
0.06,490192
0.06,493808
0.06,493809
0.06,497425
0.06,497426
0.06,497427
0.02,486576
0.02,486577
0.02,490193
0.02,493810
0.02,493811
0.02,493812
0.02,497428
0.02,497429
0.2,504648
0.2,508265
0.2,511882
0.11,501032
0.11,501033
0.11,504649
0.11,504650
0.11,504651
0.11,508266
0.11,508267
0.11,508268
0.11,511883
0.11,511884
0.11,511885
0.05,501034
0.05,501035
0.05,501036
0.05,504652
0.05,504653
0.05,508269
0.05,508270
0.05,508271
0.05,511886
0.05,511887
0.05,511888
0.03,501037
0.03,501038
0.03,501039
0.03,504654
0.03,504656
0.03,508272
0.03,508273
0.03,511889
0.03,511890
0.02,501040
0.02,501041
0.02,504657
0.02,504658
0.02,504659
0.02,508274
0.02,508275
0.02,508276
0.02,511891
0.02,511892
0.02,511893
0.27,529960
0.27,529961
0.22,519112
0.22,522728
0.22,522729
0.22,526344
0.22,526345
0.22,526346
0.22,529962
0.22,529963
0.19,519113
0.19,519114
0.19,522730
0.19,522731
0.19,522732
0.19,526347
0.19,526348
0.19,526349
0.19,529964
0.19,529965
0.19,529966
0.15,515498
0.15,515499
0.15,515500
0.15,519115
0.15,519116
0.15,519117
0.15,522733
0.15,522734
0.15,526350
0.15,526351
0.15,526352
0.11,515501
0.11,515502
0.11,519118
0.11,519119
0.11,519120
0.11,522735
0.11,522736
0.11,522737
0.11,526353
0.11,526354
0.11,529971
0.06,515503
0.06,515504
0.06,515505
0.06,519121
0.06,519122
0.06,522738
0.06,522739
0.06,522740
0.06,526356
0.06,526357
0.06,529972
0.06,529973
0.06,529974
0.02,515506
0.02,515507
0.02,515508
0.02,519123
0.02,519124
0.02,519125
0.02,522741
0.02,522742
0.02,526358
0.02,526359
0.02,526360
0.02,529975
0.02,529976
0.02,529977
0.36,544424
0.3,540810
0.3,544425
0.3,544426
0.26,533577
0.26,533578
0.26,537193
0.26,537194
0.26,537195
0.26,540811
0.26,540812
0.26,533579
0.26,533580
0.26,537196
0.24,540821
0.24,544437
0.24,544438
0.17,533587
0.17,533588
0.17,533589
0.17,537204
0.17,537205
0.17,537206
0.17,540822
0.17,540823
0.17,544439
0.17,544440
0.17,544441
