prob,cell_id
0.59,760440
0.59,760441
0.59,760442
0.59,764055
0.59,764056
0.59,764057
0.59,764058
0.59,767670
0.59,767671
0.59,771285
0.59,771286
0.59,771287
0.59,771288
0.59,774900
0.59,774901
0.59,774902
0.59,774903
0.11,934058
0.11,937673
0.06,995530
0.06,995531
0.06,995532
0.06,999146
0.06,999147
0.06,1002761
0.06,1002762
0.06,1002763
0.05,995533
0.05,999148
0.05,999149
0.05,999150
0.05,999151
0.05,1002764
0.05,1002765
0.05,1002766
0.05,1002767
0.12,999152
0.12,999153
0.12,999154
0.12,999155
0.12,1002768
0.12,1002769
0.12,1002770
0.13,1020584
0.13,1024199
0.09,1042262
0.09,1042263
0.15,1027830
0.01,1028090
0.01,1031706
0.01,1038934
0.01,1042550
1,1041148
1,1044764
1,1044765
1,1044766
1,1044767
1,1041149
1,1044768
1,1044769
1,1044770
0.76,1060330
0.42,1053103
0.42,1056715
0.42,1056718
0.42,1060331
0.42,1060332
0.42,1060333
0.53,1053104
0.53,1053105
0.53,1053106
0.53,1056719
0.53,1056720
0.53,1056721
0.53,1056722
0.53,1060335
0.53,1060336
0.53,1060337
0.05,1046174
0.05,1046175
0.05,1046176
0.05,1053406
0.05,1053407
0.05,1057023
0.05,1060638
1,1052014
1,1052015
1,1055631
1,1055632
1,1055633
1,1059250
1,1059251
1,1059252
1,1062869
1,1062870
1,1078366
1,1078367
1,1078368
1,1074755
1,1074756
1,1074757
1,1078370
1,1078371
1,1078372
1,1078373
1,1074758
1,1074759
1,1074760
1,1074761
1,1078374
1,1078375
1,1078376
0.06,1063922
0.06,1063923
0.06,1067538
0.06,1071151
0.06,1071152
0.06,1071153
0.06,1074766
0.06,1074767
0.06,1074768
0.06,1078381
0.06,1078382
0.06,1078383
0.06,1078384
0.75,1063924
0.75,1063925
0.75,1063926
0.75,1067539
0.75,1067540
0.75,1067541
0.75,1067542
0.75,1071154
0.75,1071155
0.75,1071156
0.75,1071157
0.75,1074769
0.75,1074770
0.75,1074771
0.75,1074772
0.75,1078385
0.75,1078386
0.75,1078387
0.08,1067543
0.08,1071158
0.08,1071159
0.08,1071160
0.08,1071161
0.08,1074773
0.08,1074774
0.08,1074775
0.08,1074776
0.08,1078388
0.08,1078389
0.08,1078390
0.08,1078391
0.81,1071162
0.81,1071163
0.81,1074777
0.81,1074778
0.81,1074779
0.81,1074780
0.81,1078392
0.81,1078393
0.81,1078394
0.81,1078395
0.31,1063936
0.31,1063937
0.31,1067551
0.31,1067552
0.31,1067553
0.31,1071167
0.31,1071168
0.31,1074781
0.31,1078396
0.31,1078397
0.82,1063938
0.82,1063939
0.82,1067554
0.82,1067555
0.82,1071169
0.82,1071170
0.82,1071171
0.82,1071172
0.23,1063947
0.23,1063948
0.23,1063949
0.09,1067859
0.09,1071475
0.09,1075091
0.09,1075092
0.09,1078706
0.09,1078707
0.09,1078708
0.01,1064255
0.01,1064256
0.01,1064257
0.01,1064258
0.01,1067873
0.48,1066482
0.48,1066483
0.48,1070100
0.48,1070101
0.48,1070102
0.64,1066501
0.64,1066502
0.64,1070119
0.64,1070120
0.6,1066503
0.6,1066504
0.6,1070121
0.13,1077368
0.13,1080987
0.13,1080988
0.91,1085582
0.91,1085583
0.91,1089197
0.91,1089198
0.91,1089199
0.91,1089200
0.91,1092814
0.91,1092815
0.91,1096427
0.91,1096428
0.91,1096429
0.91,1096430
0.21,1081970
0.21,1081971
0.21,1081972
0.21,1081973
0.21,1085587
0.21,1085588
0.21,1089201
0.21,1089202
0.21,1089203
0.21,1092816
0.21,1092818
0.21,1092819
0.21,1096431
0.21,1096433
0.21,1096434
0.34,1081981
0.34,1081982
0.34,1081983
0.34,1081984
0.34,1085597
0.34,1085598
0.34,1085599
0.34,1089212
0.34,1089213
0.34,1089214
0.34,1089215
0.34,1092827
0.34,1092828
0.34,1092829
0.34,1092830
0.34,1096442
0.34,1096443
0.34,1096444
0.34,1096445
0.29,1081989
0.29,1081990
0.29,1081991
0.29,1085604
0.29,1085605
0.29,1085607
0.29,1089219
0.29,1089220
0.29,1092834
0.44,1081992
0.44,1081993
0.44,1081994
0.44,1081995
0.57,1081996
0.57,1081997
0.57,1081998
0.57,1081999
0.67,1082006
0.91,1082007
0.91,1082008
0.91,1082009
0.78,1082321
0.67,1082322
0.67,1082323
1,1088222
0.12,1084608
0.12,1084609
0.12,1088226
0.12,1088227
0.12,1088228
0.12,1088229
0.12,1091848
0.8,1100046
0.8,1100047
0.29,1114878
0.29,1114879
0.29,1114880
0.29,1114881
0.25,1102716
0.25,1102717
0.25,1102718
0.25,1106335
0.07,1118493
0.07,1122108
0.07,1122109
0.07,1352082
0.08,1370182
0.08,1370183
0.08,1370184
0.08,1373800
0.08,1373801
0.08,1373802
0.08,1377419
0.08,1377420
0.08,1381038
0.09,1413592
0.09,1413593
0.09,1417210
0.09,1417211
0.09,1420827
0.09,1420828
0.09,1420829
0.09,1424445
0.09,1424446
0.09,1424447
0.09,1428064
0.09,1428065
0.08,1413594
0.08,1413595
0.08,1413596
0.08,1413597
0.08,1417212
0.08,1417213
0.08,1417214
0.08,1417215
0.08,1420831
0.08,1420832
0.08,1420833
0.08,1424448
0.08,1428066
0.2,1431683
0.2,1435299
0.2,1435300
0.2,1435301
0.2,1438916
0.2,1438917
0.2,1438918
0.2,1446156
0.12,1449768
0.12,1449769
0.12,1453386
0.12,1453387
0.12,1457003
0.12,1457004
0.12,1457005
0.12,1460621
0.12,1460622
0.12,1460623
0.12,1460624
0.12,1464239
0.12,1464240
0.12,1464241
0.12,1464242
0.12,1467859
0.12,1467860
0.02,1449773
0.02,1449774
0.02,1453390
0.02,1453391
0.02,1453392
0.02,1457008
0.02,1457009
0.02,1457010
0.02,1460626
0.02,1460627
0.02,1460628
0.02,1464243
0.02,1464246
0.02,1467861
0.02,1467862
0.19,1449781
0.19,1449782
0.19,1453397
0.19,1453398
0.19,1457015
0.19,1457016
0.19,1460633
0.19,1460634
0.19,1467869
0.24,1449784
0.24,1449785
0.24,1449786
0.24,1453404
0.27,1471479
0.27,1471480
0.27,1475097
0.27,1475098
0.27,1478715
0.27,1482333
0.27,1482336
0.27,1485951
0.27,1485954
0.15,1471486
0.15,1475102
0.15,1475103
0.15,1478719
0.15,1478720
0.15,1478721
0.15,1478722
0.15,1482337
0.15,1482338
0.15,1482339
0.15,1482340
0.15,1485955
0.15,1485958
0.33,1471487
0.33,1471488
0.33,1471489
0.33,1475105
0.33,1475106
0.33,1475107
0.33,1475108
0.33,1478723
0.33,1478724
0.33,1478725
0.33,1482341
0.33,1485959
0.33,1485960
0.17,1489569
0.17,1489571
0.17,1489572
0.17,1493187
0.17,1493188
0.17,1493189
0.17,1496807
0.17,1496808
0.17,1500424
0.17,1500425
0.17,1500426
0.17,1504042
0.17,1504043
0.17,1504044
0.17,1507660
0.17,1507661
0.17,1507662
0.01,1489575
0.01,1489576
0.01,1493193
0.01,1493194
0.01,1496809
0.01,1496810
0.01,1496811
0.01,1496812
0.01,1500427
0.01,1500428
0.01,1500429
0.01,1500431
0.01,1504046
0.01,1504047
0.01,1504048
0.01,1504049
0.01,1507664
0.01,1507665
0.01,1507666
0.01,1507667
0.05,1518423
0.05,1518424
0.05,1522040
0.05,1522041
0.05,1522042
0.05,1525657
0.05,1525658
0.28,1511278
0.28,1511279
0.28,1511280
0.28,1514896
0.28,1514897
0.28,1518513
0.28,1518514
0.28,1525749
0.27,1529364
0.27,1529365
0.27,1529366
0.27,1532983
0.27,1532984
0.27,1536600
0.27,1536601
0.27,1536602
0.27,1540218
0.27,1540219
0.27,1540220
0.27,1543836
0.27,1543837
0.27,1543838
0.27,1547454
0.27,1547455
0.27,1547456
0.32,1551071
0.32,1551072
0.32,1551073
0.32,1554689
0.32,1554690
0.32,1554691
0.32,1554692
0.32,1558307
0.32,1558308
0.32,1558309
0.32,1558310
0.32,1561928
0.32,1565546
0.32,1569164
0.22,1551092
0.22,1554710
0.22,1554711
0.22,1558328
0.22,1558329
0.22,1561946
0.22,1561947
0.22,1565564
0.22,1565565
0.22,1569182
0.22,1569183
0.06,1572676
0.06,1572677
0.06,1572678
0.06,1572679
0.06,1576294
0.06,1576295
0.06,1576296
0.06,1576297
0.06,1579912
0.06,1579913
0.06,1579914
0.06,1579915
0.06,1583530
0.06,1583531
0.06,1583532
0.06,1583533
0.06,1587149
0.06,1587150
0.06,1587151
0.27,1572782
0.27,1576399
0.27,1576400
0.27,1580014
0.27,1580017
0.27,1580018
0.27,1583632
0.27,1583634
0.27,1583635
0.27,1583636
0.27,1587252
0.27,1587253
0.31,1572800
0.31,1576418
0.31,1580036
0.31,1583654
0.07,1590770
0.07,1594388
0.07,1594389
0.07,1598005
0.07,1598006
0.07,1598007
0.07,1598008
0.07,1598009
0.07,1601624
0.07,1601625
0.07,1601626
0.07,1601627
0.07,1605243
0.07,1605244
0.07,1608862
0.5,1608957
0.04,1590869
0.04,1590870
0.04,1590871
0.04,1594487
0.04,1594488
0.04,1594489
0.04,1598105
0.04,1598106
0.04,1601723
0.04,1605340
0.04,1608958
0.41,1616184
0.41,1619801
0.41,1619802
0.41,1623418
0.41,1623419
0.41,1623420
0.41,1627036
0.41,1627038
0.41,1630653
0.41,1630654
0.41,1630655
0.41,1616185
0.41,1616186
0.41,1619803
0.41,1619804
0.41,1623421
0.41,1627039
0.41,1627040
0.41,1630657
0.41,1630658
0.41,1630660
0.05,1612593
0.05,1612594
0.05,1616211
0.05,1616212
0.05,1619829
0.05,1619830
0.49,1637879
0.49,1641496
0.49,1645114
0.49,1648731
0.49,1648732
0.48,1645115
0.48,1645119
0.48,1648733
0.48,1648734
0.48,1648735
0.48,1648736
0.48,1648737
0.04,1634271
0.04,1634272
0.04,1634273
0.04,1634274
0.04,1637889
0.04,1637890
0.04,1637891
0.04,1637892
0.04,1641506
0.04,1641507
0.04,1641508
0.04,1641509
0.27,1652282
0.27,1652283
0.27,1652284
0.27,1655901
0.27,1655902
0.27,1655903
0.27,1659519
0.27,1659520
0.27,1659521
0.27,1663137
0.27,1663138
0.27,1663139
0.27,1666755
0.27,1666756
0.27,1670374
0.05,1652349
0.05,1652350
0.05,1655966
0.05,1655967
0.05,1655968
0.05,1659583
0.05,1659584
0.05,1663201
0.05,1663202
0.05,1663204
0.05,1666818
0.05,1666819
0.05,1666820
0.05,1666821
0.05,1666822
0.05,1670437
0.05,1670438
0.05,1670439
0.05,1670440
0.63,1673993
0.63,1677611
0.63,1681229
0.63,1681230
0.63,1684846
0.63,1684848
0.63,1688464
0.63,1692082
0.41,1684907
0.41,1688524
0.41,1692141
0.41,1692142
0.6,1706583
0.6,1710200
0.6,1710201
0.43,1695733
0.43,1695734
0.43,1699349
0.43,1699350
0.43,1699351
0.43,1699352
0.43,1702966
0.43,1702967
0.43,1702968
0.43,1702969
0.43,1706584
0.43,1706585
0.43,1706586
0.43,1706587
0.43,1710202
0.43,1710203
0.6,1702970
0.52,1710227
0.45,1713789
0.45,1713790
0.45,1717407
0.45,1721024
0.45,1721025
0.45,1724642
0.45,1728260
0.45,1731878
0.23,1713818
0.23,1713819
0.23,1731906
0.23,1731907
0.23,1731908
0.15,1728295
0.15,1728296
0.15,1731913
0.15,1731914
0.15,1731915
0.15,1731916
0.47,1728301
0.47,1728302
0.47,1728303
0.47,1731917
0.47,1731918
0.47,1731919
0.59,1724686
0.59,1724687
0.59,1724688
0.59,1724689
0.59,1724690
0.59,1728304
0.59,1728305
0.59,1728306
0.59,1728307
0.35,1721073
0.35,1721074
0.35,1721075
0.35,1721076
0.35,1724691
0.35,1724692
0.35,1724693
0.35,1724694
0.35,1728310
0.35,1728311
0.35,1728312
0.35,1731927
0.35,1731928
0.35,1731929
0.35,1731930
0.06,1713844
0.06,1713845
0.06,1717462
0.06,1717463
0.06,1721080
0.06,1721081
0.06,1724698
0.06,1728313
0.06,1728314
0.06,1728315
0.06,1728316
0.06,1731931
0.06,1731932
0.06,1731933
0.03,1764436
0.03,1764437
0.03,1768053
0.03,1768054
0.03,1771670
0.03,1771671
0.03,1771672
0.25,1789846
0.4,1775377
0.4,1775378
0.4,1775379
0.4,1778995
0.4,1778996
0.4,1782612
0.4,1782613
0.4,1786230
0.4,1789847
0.4,1789850
0.4,1793467
0.4,1793468
0.47,1789851
0.47,1789852
0.47,1793469
0.56,1797079
0.56,1797080
0.74,1797085
0.74,1797086
0.74,1804321
0.74,1807938
0.74,1807939
0.74,1811555
0.74,1811556
0.98,1797087
0.98,1797088
0.98,1800704
0.98,1800705
0.98,1800706
0.98,1804322
0.98,1804323
0.2,1820088
0.2,1823704
0.2,1823705
0.2,1827321
0.1,1818744
0.1,1818746
0.1,1818747
0.1,1822362
0.1,1822363
0.1,1822364
0.1,1825979
0.1,1825980
0.1,1825981
0.1,1829597
0.1,1829598
0.38,1818756
0.44,1818757
0.44,1818758
0.44,1818759
0.44,1818760
0.44,1818761
0.44,1822376
0.44,1822377
1,1829647
1,1829648
1,1829649
1,1829650
1,1833265
1,1833266
1,1833267
1,1833268
1,1836883
1,1836884
1,1836885
0.07,1838180
0.07,1841797
0.07,1841798
0.07,1845413
0.07,1845414
0.07,1845415
1,1854871
1,1840403
1,1840404
