prob,cell_id
0.03,1413592
0.03,1413593
0.03,1417210
0.03,1417211
0.03,1420827
0.03,1420828
0.03,1420829
0.03,1424445
0.03,1424446
0.03,1424447
0.03,1428064
0.03,1428065
0.13,1442533
0.13,1442534
0.13,1446150
0.13,1446151
0.25,1457002
0.25,1460619
0.25,1460620
0.25,1464236
0.25,1464237
0.25,1464238
0.25,1467854
0.25,1467855
0.25,1467856
0.12,1449768
0.12,1449769
0.12,1453386
0.12,1453387
0.12,1457003
0.12,1457004
0.12,1457005
0.12,1460621
0.12,1460622
0.12,1460623
0.12,1460624
0.12,1464239
0.12,1464240
0.12,1464241
0.12,1464242
0.12,1467859
0.12,1467860
0.27,1471474
0.27,1485945
0.27,1485946
0.22,1471475
0.22,1471478
0.22,1475096
0.22,1478714
0.22,1482332
0.22,1485947
0.22,1485949
0.22,1485950
0.09,1489567
0.09,1489568
0.09,1493185
0.09,1493186
0.01,1489569
0.01,1489571
0.01,1489572
0.01,1493187
0.01,1493188
0.01,1493189
0.01,1496807
0.01,1496808
0.01,1500424
0.01,1500425
0.01,1500426
0.01,1504042
0.01,1504043
0.01,1504044
0.01,1507660
0.01,1507661
0.01,1507662
0.01,1489575
0.01,1489576
0.01,1493193
0.01,1493194
0.01,1496809
0.01,1496810
0.01,1496811
0.01,1496812
0.01,1500427
0.01,1500428
0.01,1500429
0.01,1500431
0.01,1504046
0.01,1504047
0.01,1504048
0.01,1504049
0.01,1507664
0.01,1507665
0.01,1507666
0.01,1507667
0.11,1674093
0.11,1677711
0.21,1713886
0.21,1713887
0.21,1713888
0.21,1717504
0.21,1717505
0.21,1717506
0.21,1717507
0.21,1721123
0.21,1721124
0.21,1721125
0.21,1724740
0.21,1724741
0.21,1724742
0.21,1728357
0.21,1728358
0.21,1728359
0.21,1728360
0.21,1731975
0.21,1731976
0.21,1731977
0.21,1731978
0.55,1728361
0.69,1735593
0.69,1735594
0.69,1735595
0.69,1739210
0.69,1739211
0.69,1739212
0.69,1739214
0.69,1742828
0.69,1742829
0.69,1746446
0.47,1757280
0.47,1757281
0.47,1760897
0.47,1760898
0.47,1760899
0.47,1764515
0.47,1764516
0.47,1768131
0.47,1768132
0.47,1768133
0.47,1771749
0.47,1771750
0.47,1771751
0.42,1757282
0.42,1757283
0.42,1757284
0.42,1760901
0.42,1760902
0.42,1764518
0.42,1764519
0.42,1768136
0.42,1768137
0.42,1768138
0.42,1768139
0.42,1771754
0.42,1771755
0.42,1771756
0.42,1771757
0.35,1757287
0.35,1757288
0.35,1760904
0.35,1760905
0.35,1760907
0.35,1760908
0.35,1764522
0.35,1764524
0.35,1764525
0.35,1768140
0.35,1768141
0.35,1768142
0.35,1768143
0.35,1771759
0.7,1757291
0.7,1757292
0.7,1757293
0.7,1757294
0.7,1760909
0.7,1760910
0.7,1760911
0.7,1760912
0.7,1764526
0.7,1768144
0.83,1757295
0.2,1793397
0.2,1793398
0.2,1793399
0.2,1793400
0.29,1786205
0.29,1789822
0.29,1789823
0.29,1793439
0.29,1793440
0.29,1793441
0.27,1775354
0.27,1775355
0.27,1775356
0.27,1775357
0.27,1778973
0.27,1778974
0.27,1782590
0.27,1782591
0.27,1782592
0.27,1786206
0.27,1786207
0.27,1786208
0.27,1786209
0.27,1786210
0.27,1789826
0.27,1789827
0.66,1775358
0.66,1775359
0.66,1775360
0.66,1778975
0.66,1778976
0.66,1782593
0.66,1782594
0.79,1775369
0.84,1789846
0.87,1775377
0.87,1775378
0.87,1775379
0.87,1778995
0.87,1778996
0.87,1782612
0.87,1782613
0.87,1786230
0.87,1789847
0.87,1789850
0.87,1793467
0.87,1793468
0.76,1789851
0.76,1789852
0.76,1793469
0.05,1796996
0.05,1807850
0.21,1797015
0.21,1797016
0.21,1797017
0.21,1797018
0.21,1797019
0.21,1800633
0.21,1800634
0.21,1800635
0.21,1800636
0.21,1804251
0.21,1804252
0.21,1804253
0.21,1804254
0.21,1807868
0.21,1807869
0.21,1807870
0.21,1807871
0.21,1807872
0.21,1811487
0.21,1811488
0.21,1811489
0.21,1811490
0.21,1815105
0.21,1815106
0.21,1815107
0.42,1797021
0.42,1797022
0.42,1797023
0.42,1800637
0.42,1800638
0.42,1800639
0.42,1800640
0.42,1800641
0.42,1804255
0.42,1804256
0.42,1804257
0.42,1804258
0.42,1804259
0.42,1807873
0.42,1807874
0.42,1807875
0.42,1807876
0.42,1811491
0.42,1811492
0.42,1811493
0.42,1811494
0.42,1815108
0.42,1815109
0.42,1815110
0.42,1815111
0.42,1815112
0.1,1797033
0.1,1815122
0.1,1815123
0.1,1815124
0.1,1815125
0.22,1811511
0.22,1811512
0.22,1815128
0.22,1815129
0.22,1815130
0.01,1797042
0.01,1797043
0.01,1797044
0.01,1797045
0.01,1800661
0.01,1800662
0.01,1800663
0.01,1804278
0.01,1804279
0.01,1804281
0.01,1807895
0.01,1807896
0.01,1807897
0.01,1811513
0.34,1797046
0.34,1797047
0.34,1800664
0.34,1800665
0.34,1804282
0.34,1804283
0.34,1804284
0.34,1804285
0.34,1807900
0.34,1807901
0.34,1807902
0.34,1807903
0.34,1811519
0.34,1811520
0.34,1811521
0.34,1815137
0.34,1815138
0.34,1815139
0.46,1807908
0.46,1811525
0.46,1815140
0.46,1815141
0.46,1815142
0.46,1815143
0.66,1797057
0.66,1797058
0.66,1800674
0.66,1800675
0.66,1804291
0.66,1804292
0.66,1807909
0.66,1811526
0.74,1797079
0.74,1797080
0.65,1797085
0.65,1797086
0.65,1804321
0.65,1807938
0.65,1807939
0.65,1811555
0.65,1811556
0.58,1797087
0.58,1797088
0.58,1800704
0.58,1800705
0.58,1800706
0.58,1804322
0.58,1804323
0.01,1818681
0.25,1825934
0.25,1829550
0.25,1829551
0.25,1833167
0.25,1836785
0.25,1836787
0.02,1818702
0.02,1818703
0.02,1822318
0.02,1822319
0.02,1822320
0.02,1825935
0.02,1825936
0.02,1825937
0.02,1825938
0.02,1829552
0.02,1829553
0.02,1829554
0.02,1829555
0.02,1829556
0.02,1833170
0.02,1833171
0.02,1833172
0.02,1833173
0.02,1833174
0.02,1836788
0.02,1836789
0.02,1836790
0.02,1836791
0.7,1818723
0.7,1818724
0.7,1822339
0.7,1822340
0.7,1822341
0.7,1822342
0.7,1822343
0.7,1825957
0.7,1825958
0.7,1825959
0.7,1825960
0.7,1825961
0.7,1829577
0.7,1829578
0.7,1833195
0.7,1833196
0.7,1836813
0.7,1836814
0.71,1818726
0.71,1818727
0.71,1818728
0.71,1818729
0.71,1822344
0.71,1822345
0.71,1822346
0.71,1822347
0.71,1825962
0.71,1825963
0.71,1825964
0.71,1825965
0.71,1829579
0.71,1829581
0.71,1829582
0.71,1829583
0.71,1833197
0.71,1833198
0.71,1833199
0.71,1833200
0.71,1836815
0.71,1836816
0.71,1836817
0.71,1836818
0.49,1818739
0.49,1822355
0.49,1822356
0.49,1825972
0.49,1825973
0.49,1829590
0.49,1829591
0.49,1833207
0.49,1833208
0.49,1836824
0.49,1836825
0.47,1818740
0.47,1818741
0.47,1818742
0.47,1818743
0.47,1822357
0.47,1822360
0.47,1822361
0.41,1818744
0.41,1818746
0.41,1818747
0.41,1822362
0.41,1822363
0.41,1822364
0.41,1825979
0.41,1825980
0.41,1825981
0.41,1829597
0.41,1829598
0.18,1818756
0.27,1818757
0.27,1818758
0.27,1818759
0.27,1818760
0.27,1818761
0.27,1822376
0.27,1822377
0.49,1829647
0.49,1829648
0.49,1829649
0.49,1829650
0.49,1833265
0.49,1833266
0.49,1833267
0.49,1833268
0.49,1836883
0.49,1836884
0.49,1836885
0.48,1854871
0.45,1840403
0.45,1840404
0.45,1844020
0.45,1844021
0.45,1844022
0.45,1847636
0.45,1847637
0.45,1847638
0.45,1847639
0.45,1847640
0.45,1851254
0.45,1851255
0.45,1851256
0.45,1851257
0.45,1851258
0.45,1854872
0.45,1854873
0.45,1854874
0.45,1854875
0.36,1840405
0.36,1840406
0.36,1840407
0.36,1840408
0.36,1840409
0.36,1844023
0.36,1844024
0.36,1844025
0.36,1844026
0.36,1844027
0.36,1847641
0.52,1840431
0.52,1844049
0.52,1847666
0.52,1847667
0.52,1851283
0.52,1851284
0.52,1851285
0.52,1854900
0.52,1854901
0.42,1840432
0.42,1840433
0.42,1840435
0.42,1840436
0.42,1844050
0.42,1844053
0.42,1844054
0.42,1847668
0.42,1847671
0.42,1851289
0.31,1840437
0.31,1840438
0.31,1840439
0.31,1844055
0.31,1844056
0.31,1844058
0.31,1847672
0.31,1847673
0.31,1847674
0.31,1847675
0.31,1847676
0.31,1851290
0.31,1851291
0.31,1851292
0.31,1851293
0.31,1851294
0.25,1840441
0.25,1840442
0.25,1844059
0.25,1844060
0.25,1847677
0.43,1876576
0.43,1876577
0.44,1858490
0.44,1858491
0.31,1858499
0.31,1858500
0.31,1858502
0.31,1862119
0.31,1862120
0.31,1865737
0.31,1869355
0.31,1872972
0.31,1872973
0.29,1858517
0.29,1858518
0.29,1858519
0.29,1862135
0.29,1862136
0.29,1865752
0.29,1865753
0.29,1865754
0.29,1869370
0.29,1869371
0.29,1872987
0.29,1872988
0.29,1876605
0.29,1876606
0.35,1858590
0.35,1858591
0.35,1858592
0.35,1862207
0.35,1862208
0.35,1862209
0.35,1880194
0.32,1883825
0.32,1883826
0.32,1887442
0.32,1887443
0.32,1887444
0.32,1891059
0.32,1891060
0.32,1891061
0.32,1894676
0.32,1894677
0.32,1898293
0.32,1898294
0.17,1891068
0.17,1891069
0.17,1894685
0.17,1894686
0.17,1894687
0.17,1898302
0.17,1898303
0.17,1898304
0.15,1880223
0.15,1883840
0.15,1883841
0.15,1887458
0.15,1887459
0.15,1891076
0.15,1891077
0.15,1898311
0.34,1880298
0.24,1916380
0.23,1905529
0.23,1905530
0.23,1909146
0.23,1909147
0.23,1912764
0.23,1916381
0.24,1901916
0.24,1901917
0.24,1901918
0.24,1901919
0.24,1905533
0.24,1905534
0.24,1905535
0.24,1909151
0.24,1909152
0.24,1912769
0.24,1912770
0.24,1912771
0.24,1912772
0.24,1916389
0.25,1901920
0.25,1901921
0.25,1901922
0.25,1905537
0.25,1905538
0.25,1905539
0.25,1905540
0.25,1909155
0.25,1909156
0.25,1909157
0.25,1912773
0.25,1912774
0.25,1912775
0.25,1916390
0.25,1916391
0.25,1916392
0.25,1916393
0.25,1916394
0.25,1920008
0.25,1920009
0.25,1920010
0.25,1920011
0.25,1920012
0.21,1901925
0.21,1901926
0.21,1901927
0.21,1901928
0.21,1905542
0.21,1905543
0.21,1905544
0.21,1905545
0.21,1909160
0.21,1909161
0.21,1909162
0.21,1912777
0.21,1912778
0.21,1916395
0.2,1905623
0.37,1902006
0.37,1902007
0.37,1905624
