prob,cell_id
0.01,1006911
0.01,1006912
0.01,1006913
0.01,1006914
0.01,1010528
0.01,1010529
0.01,1014144
0.01,1028602
0.01,1028603
0.01,1046714
0.01,1046715
0.01,1046716
0.01,1050330
0.01,1050331
0.01,1050332
0.01,1053946
0.01,1053947
0.01,1053948
0.01,1057563
0.01,1057564
0.01,1057565
0.01,1061179
0.01,1061180
0.01,1061181
0.01,1064796
0.01,1064797
0.01,1064798
0.01,1068412
0.01,1068413
0.01,1068414
0.01,1068415
0.01,1072030
0.01,1072031
0.01,1075646
0.01,1075647
0.01,1075648
0.01,1079261
0.01,1079262
0.01,1079263
0.01,1079264
0.01,1079265
0.01,1079266
0.01,1079267
0.06,1090106
0.06,1093721
0.06,1093722
0.06,1097337
0.06,1097338
0.06,1097339
0.04,1082877
0.04,1086492
0.04,1086493
0.04,1090107
0.04,1090108
0.04,1090109
0.04,1090110
0.04,1093723
0.04,1093724
0.04,1093725
0.04,1093726
0.04,1097340
0.04,1097341
0.04,1097342
0.04,1097343
0.03,1082878
0.03,1082879
0.03,1082880
0.03,1086494
0.03,1086495
0.03,1086496
0.03,1086497
0.03,1090111
0.03,1090112
0.03,1090113
0.03,1093727
0.03,1093728
0.03,1093729
0.03,1093730
0.03,1097344
0.03,1097345
0.03,1097346
0.02,1082881
0.02,1082882
0.02,1082883
0.02,1082884
0.02,1086498
0.02,1086499
0.02,1086500
0.02,1090114
0.02,1090115
0.02,1093731
0.02,1097347
0.02,1097348
0.14,1108172
0.14,1108173
0.14,1111788
0.14,1111789
0.14,1111790
0.14,1115403
0.14,1115404
0.14,1115405
0.14,1115406
0.15,1104559
0.15,1104560
0.15,1108174
0.15,1108175
0.15,1108176
0.15,1108177
0.15,1111791
0.15,1111792
0.15,1115407
0.15,1115408
0.13,1100946
0.13,1100947
0.13,1100948
0.13,1104561
0.13,1104562
0.13,1104563
0.13,1104564
0.13,1108178
0.13,1108179
0.07,1100949
0.07,1100950
0.07,1100951
0.07,1104565
0.07,1104566
0.07,1104567
0.07,1104568
0.07,1108184
0.07,1111798
0.07,1111799
0.07,1111800
0.07,1111801
0.07,1115414
0.07,1115415
0.07,1115416
0.07,1115417
0.09,1100952
0.09,1100953
0.09,1100954
0.09,1100955
0.09,1104569
0.09,1104570
0.09,1104571
0.09,1104572
0.09,1108185
0.09,1108186
0.09,1108187
0.09,1111802
0.09,1111803
0.09,1115418
0.09,1115419
0.08,1100956
0.08,1100957
0.08,1100958
0.08,1104575
0.08,1108192
0.08,1100961
0.08,1100962
0.08,1100963
0.08,1104576
0.08,1104577
0.08,1104578
0.08,1104579
0.08,1108193
0.08,1108194
0.08,1108195
0.08,1108196
0.08,1111809
0.08,1111810
0.08,1111811
0.08,1111812
0.08,1115427
0.08,1115428
0.05,1100964
0.05,1100965
0.05,1104580
0.05,1104581
0.05,1115429
0.17,1133481
0.17,1119019
0.17,1122635
0.17,1126250
0.17,1126251
0.17,1129865
0.17,1129866
0.17,1129867
0.17,1129868
0.17,1133482
0.17,1133483
0.17,1133484
0.18,1119020
0.18,1119021
0.18,1119022
0.18,1122636
0.18,1122637
0.18,1126252
0.18,1126253
0.18,1126254
0.18,1129869
0.18,1129870
0.18,1129871
0.18,1133486
0.18,1133487
0.18,1133488
0.01,1126258
0.03,1119028
0.03,1119030
0.03,1122644
0.03,1122645
0.03,1122646
0.03,1126260
0.03,1126261
0.03,1126263
0.03,1133496
0.05,1119031
0.05,1119032
0.05,1119033
0.05,1119034
0.05,1122647
0.05,1122648
0.05,1122649
0.05,1122650
0.05,1126264
0.05,1126265
0.05,1126266
0.05,1126267
0.05,1129880
0.05,1129881
0.05,1129882
0.05,1133497
0.05,1133498
0.05,1133499
0.13,1119035
0.13,1122651
0.11,1122657
0.11,1122658
0.11,1126273
0.11,1126274
0.11,1129890
0.11,1129891
0.11,1133505
0.11,1133506
0.11,1133507
0.1,1119042
0.1,1119043
0.1,1119044
0.1,1119045
0.1,1122659
0.1,1122660
0.1,1122661
0.1,1126275
0.1,1126276
0.1,1126277
0.1,1126278
0.1,1129892
0.1,1129893
0.1,1129894
0.1,1133508
0.08,1119046
0.08,1122662
0.08,1126279
0.08,1129895
0.08,1129896
0.03,1144277
0.03,1147892
0.03,1147893
0.03,1151508
0.03,1151509
0.03,1151510
0.03,1155123
0.03,1155124
0.03,1155125
0.03,1155126
0.05,1144278
0.05,1144281
0.05,1147894
0.05,1147895
0.05,1147896
0.05,1147897
0.05,1151511
0.05,1151512
0.05,1151513
0.05,1155127
0.05,1155128
0.07,1144282
0.07,1144283
0.07,1144284
0.07,1147898
0.07,1147899
0.07,1147900
0.07,1147901
0.07,1151514
0.07,1151515
0.07,1151516
0.12,1144285
0.12,1144286
0.12,1144287
0.12,1144288
0.12,1147902
0.12,1147903
0.12,1147904
0.12,1147905
0.12,1151519
0.15,1144289
0.15,1144290
0.15,1144291
0.15,1144292
0.15,1147906
0.15,1147907
0.15,1147908
0.15,1144293
0.15,1144294
0.15,1144295
0.15,1144296
0.15,1147909
0.15,1147910
0.15,1147911
0.15,1147912
0.15,1151526
0.15,1151527
0.15,1151528
0.15,1151529
0.15,1155142
0.15,1155143
0.15,1155144
0.15,1155145
0.16,1144297
0.16,1144298
0.16,1144299
0.16,1144300
0.16,1147913
0.16,1147914
0.16,1147915
0.16,1147916
0.16,1151530
0.16,1151531
0.16,1151532
0.16,1155147
0.2,1144302
0.2,1144303
0.2,1147917
0.2,1147918
0.2,1147919
0.2,1147920
0.2,1151533
0.2,1151534
0.2,1151535
0.2,1151536
0.23,1144304
0.23,1144305
0.23,1144306
0.23,1144307
0.23,1147921
0.23,1147922
0.23,1147923
0.23,1147924
0.23,1151537
0.23,1151538
0.23,1151539
0.23,1151540
0.22,1144308
0.22,1144309
0.22,1147925
0.22,1147926
0.22,1147927
0.22,1151541
0.22,1151542
0.22,1151543
0.22,1151544
0.22,1155160
0.22,1147928
0.22,1147929
0.22,1147930
0.22,1147931
0.22,1151545
0.22,1151546
0.22,1151547
0.22,1151548
0.22,1155161
0.22,1155162
0.22,1155163
0.22,1155164
0.21,1147932
0.21,1147933
