prob,cell_id
0.19,1390333
0.19,1390334
0.19,1393950
0.19,1397566
0.19,1397567
0.19,1401183
0.45,1408406
0.45,1408407
0.12,1408412
0.12,1412029
0.12,1412030
0.12,1412031
0.12,1415646
0.12,1415647
0.12,1419263
0.12,1422879
0.12,1422880
0.39,1487840
0.39,1487843
0.39,1491456
0.39,1491457
0.39,1495073
0.39,1498689
0.53,1527596
0.53,1527597
0.53,1531213
0.01,1549296
0.01,1549297
0.19,1755381
0.19,1755382
0.19,1755383
0.19,1755384
0.19,1755385
0.19,1758998
0.19,1758999
0.19,1759000
0.19,1759001
0.19,1762614
0.19,1762615
0.19,1762616
0.19,1762617
0.19,1762618
0.19,1766231
0.19,1766232
0.19,1766233
0.19,1769847
0.19,1769848
0.19,1769849
0.11,1773460
0.11,1773461
0.11,1773462
0.11,1773463
0.11,1777076
0.11,1777077
0.11,1777078
0.11,1777079
0.11,1777080
0.11,1780693
0.11,1780694
0.11,1780695
0.11,1780696
0.11,1784309
0.11,1784310
0.11,1784311
0.11,1784312
0.11,1784313
0.11,1787926
0.11,1787927
0.11,1787928
0.11,1791542
0.11,1791543
0.11,1791544
0.37,1773464
0.37,1780697
0.06,1795154
0.06,1795155
0.06,1795156
0.06,1795157
0.06,1795158
0.06,1798771
0.06,1798772
0.06,1798773
0.06,1798774
0.06,1802388
0.06,1802389
0.06,1802390
0.06,1806004
0.06,1806005
0.06,1806006
0.06,1806007
0.06,1809621
0.06,1809622
0.06,1813237
0.93,1795159
0.93,1795160
0.93,1798775
0.07,1816849
0.07,1816850
0.07,1816851
0.07,1816852
0.07,1816853
0.07,1820466
0.07,1820467
0.07,1820468
0.07,1824083
0.07,1824084
0.07,1827699
1,1816854
0.33,1838544
0.15,1856618
0.15,1856619
0.15,1856620
0.15,1860235
0.15,1860236
0.15,1863851
0.06,1860362
0.06,1860363
0.06,1860364
0.06,1863978
0.06,1863979
0.06,1863980
0.06,1863981
0.06,1867595
0.06,1867596
0.06,1867597
0.77,1878313
0.94,1900008
0.94,1900009
0.94,1900010
0.94,1903625
0.94,1907241
0.94,1907242
0.94,1910858
0.94,1910859
0.94,1914474
0.94,1914475
0.94,1918091
0.48,1965038
0.48,1965039
0.48,1965040
0.48,1965041
0.48,1965042
0.48,1968655
0.48,1968656
0.48,1972271
0.48,1972272
0.48,1975888
0.26,1965046
0.07,1965102
0.07,1965103
0.07,1965104
0.07,1968719
0.07,1968720
0.07,1968721
0.07,1972335
0.07,1972336
0.07,1972337
0.07,1975952
0.07,1975953
0.07,1975954
0.07,1979569
0.07,1979570
0.63,1983112
0.63,1983113
0.63,1983114
0.63,1983115
0.63,1986728
0.63,1986729
0.63,1986730
