prob,cell_id
0.1,760440
0.1,760441
0.1,760442
0.1,764055
0.1,764056
0.1,764057
0.1,764058
0.1,767670
0.1,767671
0.1,771285
0.1,771286
0.1,771287
0.1,771288
0.1,774900
0.1,774901
0.1,774902
0.1,774903
0.78,760443
0.78,760444
0.78,760445
0.78,760446
0.78,764059
0.78,764060
0.78,764061
0.78,767674
0.78,767675
0.78,767676
0.78,771290
0.78,771291
0.78,774904
0.78,774905
0.78,774906
0.05,760447
0.05,764062
0.05,764063
0.05,764064
0.05,767677
0.05,767678
0.05,767679
0.05,771292
0.05,771293
0.05,771294
0.05,774907
0.05,774908
0.05,774909
0.27,789348
0.27,789349
0.68,789353
0.69,778509
0.69,778510
0.69,778511
0.69,782124
0.69,782125
0.69,782126
0.69,785739
0.69,785740
0.69,785741
0.69,789354
0.69,789355
0.69,789356
0.09,778512
0.09,778513
0.09,778514
0.09,782127
0.09,782128
0.09,782129
0.09,785742
0.09,785743
0.09,785744
0.09,785745
0.09,789357
0.09,789358
0.09,789359
0.09,789360
0.45,778515
0.45,778516
0.45,778517
0.45,778518
0.45,782130
0.45,782131
0.45,782132
0.45,782133
0.45,785746
0.45,785747
0.45,785748
0.45,789361
0.45,789362
0.45,789363
0.8,778519
0.8,778520
0.8,778521
0.8,782134
0.8,782135
0.8,782136
0.8,785749
0.8,785750
0.8,785751
0.8,789364
0.8,789365
0.81,778522
0.81,778523
0.81,778524
0.81,782137
0.81,782138
0.81,782139
0.81,785752
0.81,785753
0.79,778525
0.79,778526
0.79,778527
0.79,782140
0.79,782141
0.79,782142
0.78,778528
0.78,778529
0.78,778530
0.78,778531
0.78,782143
0.78,782144
0.78,782145
0.78,782146
0.78,785760
0.78,785761
0.77,778532
0.77,778533
0.77,782147
0.77,782148
0.77,785762
0.77,785763
0.77,785764
0.77,789379
0.13,785765
0.13,785766
0.13,789380
0.13,789381
0.13,789382
0.07,800188
0.07,800189
0.07,803801
0.07,803802
0.07,803803
0.07,803804
0.07,807416
0.07,807417
0.07,807418
0.07,807419
0.68,792960
0.68,792961
0.68,792962
0.68,796574
0.68,796575
0.68,796576
0.68,796577
0.68,800190
0.68,800191
0.68,800192
0.68,803805
0.68,803806
0.68,803807
0.68,807420
0.68,807421
0.68,807422
0.72,792963
0.72,792964
0.72,792965
0.72,796578
0.72,796579
0.72,796580
0.72,800193
0.72,800194
0.72,800195
0.72,803808
0.72,803809
0.72,807423
0.74,792966
0.74,792967
0.74,792968
0.74,796581
0.74,796582
0.74,796583
0.74,800196
0.74,792969
0.74,792970
0.74,792971
0.74,796584
0.74,796585
