prob,cell_id
1,157147
1,160761
1,160762
0.54,157148
0.54,160763
1,157149
1,157150
1,160764
1,157151
1,160765
1,160766
1,157152
1,157153
1,160767
1,153539
1,153540
1,157154
1,160768
1,160769
1,153541
1,157155
1,157156
1,153542
1,157157
1,153543
1,153544
1,157158
1,153545
1,160775
1,153546
1,153547
1,157161
1,160776
1,153548
1,157162
1,157163
1,160777
1,160778
0.52,161124
0.57,157506
0.57,161125
0.65,157507
0.65,157508
0.65,161126
0.65,161127
0.62,153889
0.62,153890
0.62,157509
0.62,161128
0.27,153894
0.27,161132
0.27,161133
0.25,153895
0.41,161136
0.41,161137
0.1,157519
0.1,161138
0.08,153904
0.08,157523
0.08,157524
0.08,161142
0.08,161143
0.48,153905
0.48,153906
0.48,157525
0.48,161144
0.45,153907
0.45,157526
0.3,153908
0.67,164371
0.67,164372
0.67,167986
0.63,164373
0.63,167987
1,164374
1,164375
1,171603
1,171604
1,164376
1,167991
1,171605
1,164377
1,164378
1,167992
1,171606
1,171607
1,164379
1,167993
1,167994
1,171608
1,164380
1,164381
1,167995
1,171609
1,171610
0.5,164382
0.5,167996
0.5,167997
0.5,171611
0.5,171612
0.39,164383
0.39,164384
0.39,167998
0.39,171613
0.83,164385
0.83,167999
0.83,168000
0.83,171614
0.83,171615
0.85,164386
0.85,164387
0.85,168001
0.85,171616
1,168002
1,168003
1,171617
1,164390
1,168004
1,164391
1,168005
1,168006
1,171621
0.59,171960
0.54,168342
0.54,171961
0.61,168343
0.61,168344
0.61,171962
0.61,171963
0.29,168345
0.29,171964
0.42,168346
0.42,171965
0.29,164734
0.46,164735
0.46,171973
0.35,164736
0.35,168356
0.35,171974
0.35,171975
0.51,168357
0.51,171976
1,164739
1,164740
1,168358
1,168359
1,171977
1,171978
1,164741
1,168360
1,171979
1,164742
1,164743
1,168361
1,168362
1,171980
1,171981
1,164744
1,168363
1,171982
0.95,164745
0.95,164746
0.95,168364
0.95,168365
0.95,171983
0.95,171984
0.14,164747
0.14,168366
0.14,171985
0.94,164748
0.94,164749
0.94,168367
0.94,168368
0.94,171986
0.94,171987
0.06,164751
0.06,164752
0.06,168370
0.06,168371
0.16,164753
0.16,168372
0.16,171991
0.16,171992
0.17,164754
0.17,164755
0.17,168373
0.17,168374
0.17,171993
0.73,164756
0.73,168375
0.73,171994
0.73,171995
0.89,168376
0.89,168377
0.89,171996
0.97,168378
0.97,171997
0.97,171998
1,168379
1,172000
1,172001
1,168382
1,168383
1,172002
1,168384
1,172003
1,172004
0.96,168385
0.96,168386
0.89,164768
0.89,168387
0.89,172006
0.89,172007
0.8,164769
0.8,168388
0.8,168389
0.8,172008
1,182441
1,182442
1,178828
1,178829
1,182443
1,175215
1,175216
1,178830
1,182444
1,182445
0.67,175217
0.67,178831
0.67,178832
0.67,182446
0.98,175218
0.98,175219
0.98,178833
0.98,182447
0.98,182448
1,175220
1,178834
1,178835
1,182449
1,182450
1,175221
1,175222
1,178836
1,182451
0.92,175223
0.92,178837
0.92,178838
0.92,182452
1,175224
1,175225
1,178839
1,178840
0.02,175386
0.41,182711
0.41,182712
0.3,182732
0.29,182733
0.29,182734
1,179182
1,182799
1,182800
1,179183
1,182801
1,182802
0.25,179184
0.25,179185
0.25,182803
0.47,175570
0.47,175571
0.47,182807
0.47,182808
0.65,175572
0.65,179190
0.65,179191
0.65,182809
0.72,175573
0.72,175574
0.72,179192
0.72,182810
0.72,182811
1,175575
1,179193
1,179194
1,182812
1,182813
1,175576
1,175577
1,179195
1,179196
1,182814
0.97,175579
0.97,175580
0.97,179198
0.97,179199
0.97,182817
0.99,175581
0.99,179200
0.99,182818
0.99,182819
0.98,175582
0.98,175583
0.98,179201
0.98,179202
0.98,182820
1,175584
1,175585
1,179203
1,182821
1,175586
