prob,cell_id
0.09,1006376
0.09,1006377
0.09,1006378
0.09,1006379
0.09,1009992
0.09,1009993
0.09,1009994
0.09,1013608
0.09,1013609
0.09,1013610
0.09,1017225
0.09,1020840
0.09,1020841
0.04,1006381
0.04,1006382
0.04,1017226
0.04,1017228
0.04,1017229
0.04,1020842
0.04,1024457
0.04,1024458
0.04,1024459
0.02,1006383
0.02,1006385
0.02,1006386
0.02,1010000
0.02,1010001
0.02,1013614
0.02,1013615
0.02,1013616
0.02,1013617
0.02,1017230
0.02,1017231
0.02,1017232
0.02,1020845
0.02,1020846
0.02,1020847
0.02,1024464
0.05,1006387
0.05,1006388
0.05,1006389
0.05,1010002
0.05,1010003
0.05,1010004
0.05,1010005
0.05,1013618
0.05,1013619
0.05,1013620
0.05,1017233
0.05,1017234
0.05,1017235
0.05,1017236
0.05,1020849
0.05,1020850
0.05,1020851
0.05,1020852
0.05,1024465
0.05,1024466
0.05,1024467
0.04,1006390
0.04,1006391
0.04,1006392
0.04,1006393
0.04,1010006
0.04,1010007
0.04,1010008
0.04,1013621
0.04,1013622
0.04,1013623
0.04,1013624
0.04,1017237
0.04,1017238
0.04,1017239
0.04,1017240
0.04,1020853
0.04,1020854
0.04,1020855
0.04,1024468
0.04,1024469
0.04,1024470
0.04,1024471
0.01,1006394
0.01,1006395
0.01,1006396
0.01,1010009
0.01,1010010
0.01,1010011
0.01,1010012
0.01,1013625
0.01,1013627
0.01,1013628
0.01,1017242
0.01,1017243
0.01,1020856
0.01,1020857
0.01,1020858
0.01,1020859
0.01,1024473
0.01,1024474
0.01,1024475
0.11,1028073
0.11,1028074
0.11,1028075
0.11,1028076
0.11,1031689
0.11,1031690
0.11,1031691
0.11,1035305
0.11,1035306
0.11,1035307
0.11,1038921
0.11,1038922
0.11,1042538
0.1,1031692
0.1,1031693
0.1,1031695
0.1,1035308
0.1,1035309
0.1,1035310
0.1,1038923
0.1,1038924
0.1,1038925
0.1,1042539
0.1,1042540
0.1,1042541
0.1,1028080
0.1,1028081
0.1,1028082
0.1,1028083
0.1,1031696
0.1,1031697
0.1,1031698
0.1,1035311
0.1,1035312
0.1,1035313
0.1,1035314
0.1,1038927
0.1,1038928
0.1,1038929
0.1,1038930
0.1,1042543
0.1,1042544
0.1,1042545
0.08,1028084
0.08,1028085
0.08,1028086
0.08,1031699
0.08,1031700
0.08,1031701
0.08,1031702
0.08,1035315
0.08,1035316
0.08,1035317
0.08,1035318
0.08,1038931
0.08,1038932
0.08,1038933
0.08,1042546
0.08,1042547
0.08,1042548
0.08,1042549
0.05,1028090
0.05,1031706
0.05,1038934
0.05,1042550
0.02,1028091
0.02,1028092
0.02,1031707
0.02,1031708
0.02,1031709
0.02,1035323
0.02,1035324
0.02,1035325
0.02,1038939
0.02,1038940
0.02,1038941
0.02,1042556
0.02,1028098
0.02,1028099
0.02,1028100
0.02,1028101
0.02,1031714
0.02,1031715
0.02,1031716
0.02,1031717
0.02,1035330
0.02,1035331
0.02,1035332
0.02,1038945
0.02,1038946
0.02,1038947
0.02,1038948
0.02,1042561
0.02,1042562
0.02,1042563
0.02,1042564
0.13,1046155
0.13,1046156
0.13,1046157
0.13,1049771
0.13,1049772
0.13,1049773
0.13,1053387
0.13,1053388
0.13,1053389
0.13,1057004
0.11,1046158
0.11,1046159
0.11,1046160
0.11,1046161
0.11,1049774
0.11,1049775
0.11,1049776
0.11,1049777
0.11,1053390
0.11,1053391
0.11,1053392
0.11,1057005
0.11,1057006
0.11,1057007
0.11,1057008
0.11,1060621
0.11,1060622
0.11,1060623
0.11,1046162
0.11,1046163
0.11,1046164
0.11,1046165
0.11,1049778
0.11,1049779
0.11,1049780
0.11,1053393
0.11,1053394
0.11,1053395
0.11,1053396
0.11,1057009
0.11,1057010
0.11,1057011
0.11,1057012
0.11,1060624
0.11,1060625
0.11,1060626
0.14,1046166
0.14,1049781
0.14,1049782
0.14,1053397
0.08,1046174
0.08,1046175
0.08,1046176
0.08,1053406
0.08,1053407
0.08,1057023
0.08,1060638
0.05,1046177
0.05,1046178
0.05,1046179
0.05,1049792
0.05,1049793
0.05,1049794
0.05,1049795
0.05,1053408
0.05,1053409
0.05,1053410
0.05,1053411
0.05,1057024
0.05,1057025
0.05,1057026
0.05,1060639
0.05,1060640
0.05,1060641
0.05,1060642
0.07,1046180
0.07,1046181
0.07,1046182
0.07,1046183
0.07,1049796
0.07,1049797
0.07,1049798
0.07,1049799
0.07,1053412
0.07,1053413
0.07,1053414
0.07,1057027
0.07,1057028
0.07,1057029
0.07,1057030
0.07,1060643
0.07,1060644
0.07,1060645
0.07,1060646
0.08,1046184
0.08,1046185
0.08,1046186
0.08,1046187
0.08,1049800
0.08,1049801
0.08,1049802
0.08,1053415
0.08,1053416
0.08,1053417
0.08,1053418
0.08,1057031
0.08,1057032
0.08,1057033
0.08,1057034
0.08,1060647
0.08,1060648
0.08,1060649
0.15,1064238
0.15,1064239
0.15,1067854
0.15,1067855
0.14,1064240
0.14,1064241
0.14,1064242
0.14,1067856
0.14,1067857
0.14,1067858
0.14,1071471
0.14,1071472
0.14,1071473
0.14,1071474
0.14,1075088
0.14,1075089
0.14,1075090
0.14,1078704
0.14,1078705
0.19,1067859
0.19,1071475
0.19,1075091
0.19,1075092
0.19,1078706
0.19,1078707
0.19,1078708
0.17,1064255
0.17,1064256
0.17,1064257
0.17,1064258
0.17,1067873
0.15,1064259
0.15,1064260
0.15,1064261
0.15,1067874
0.15,1067875
0.15,1067876
0.15,1067877
0.15,1071491
0.15,1071492
0.15,1071493
0.15,1075108
0.15,1078723
0.15,1078724
0.13,1064262
0.13,1064263
0.13,1064264
0.13,1064265
0.13,1067878
0.13,1067879
0.13,1067880
0.13,1067881
0.13,1071494
0.13,1071495
0.13,1071496
0.13,1075109
0.13,1075110
0.13,1075111
0.13,1075112
0.13,1078725
0.13,1078726
0.13,1078727
0.13,1078728
0.1,1064266
0.1,1064267
0.1,1064269
0.1,1067882
0.1,1067883
0.1,1067884
0.1,1071497
0.1,1071498
0.1,1071499
0.1,1071500
0.1,1075113
0.1,1075114
0.1,1075115
0.1,1075116
0.1,1078729
0.1,1078730
0.1,1078731
0.16,1082321
0.2,1082322
0.2,1082323
0.15,1082341
0.15,1082342
0.15,1082343
0.15,1085956
0.15,1085957
0.15,1085958
0.15,1085959
0.15,1089573
0.15,1089574
0.15,1089575
0.15,1093189
0.15,1093190
0.15,1096805
0.15,1096806
0.1,1082344
0.1,1082345
0.1,1082346
0.1,1082347
0.1,1085960
0.1,1085961
0.1,1089576
0.1,1089577
0.1,1089578
0.1,1093191
0.1,1093192
0.1,1093194
0.1,1096807
0.1,1096808
0.1,1096809
0.1,1096810
0.17,1100421
0.17,1100422
0.09,1100423
0.09,1100424
0.09,1100425
0.09,1100426
0.09,1104039
0.09,1104040
0.09,1104041
0.09,1107654
0.09,1107655
0.09,1107656
0.09,1107657
0.09,1111271
0.09,1111272
0.09,1114887
0.09,1114888
0.09,1114889
0.04,1104042
0.04,1104043
0.04,1104044
0.04,1104045
0.04,1107658
0.04,1107659
0.04,1107660
0.04,1114890
0.26,1118493
0.26,1122108
0.26,1122109
0.22,1118494
0.22,1118495
0.22,1118496
0.22,1118497
0.22,1122110
0.22,1122111
0.22,1122112
0.22,1122113
0.22,1125726
0.22,1125727
0.22,1125728
0.15,1118498
0.15,1118499
0.15,1118500
0.15,1118501
0.15,1122114
0.15,1122115
0.15,1122116
0.15,1125729
0.15,1125730
0.15,1125731
0.15,1129345
0.15,1129346
0.15,1132961
0.15,1132962
0.02,1118502
0.02,1118503
0.02,1118504
0.02,1122117
0.02,1122118
0.02,1122119
0.02,1122120
0.02,1125735
0.02,1125736
0.02,1132966
0.02,1132967
0.26,1136578
0.26,1136579
0.26,1140195
0.26,1147427
0.12,1136580
0.12,1136581
0.12,1136582
0.12,1136583
0.12,1140196
0.12,1140197
0.12,1140199
0.12,1143812
0.12,1143813
0.12,1147428
0.12,1147429
0.12,1147430
0.12,1151043
0.12,1151044
0.12,1151045
0.12,1151046
0.12,1154659
0.12,1154660
0.12,1154661
0.12,1154662
0.05,1136584
0.05,1140200
0.05,1147431
0.05,1151047
0.05,1151048
0.05,1151049
0.05,1151050
0.05,1154663
0.05,1154664
0.05,1154665
0.22,1158279
0.22,1158280
0.22,1158281
0.22,1158282
0.22,1161895
0.22,1161896
0.22,1161897
0.22,1165512
0.22,1165513
0.22,1169129
0.1,1158283
0.1,1158284
0.1,1161898
0.1,1161899
0.1,1161900
0.1,1161901
0.1,1165514
0.1,1165515
0.1,1165516
0.1,1165517
0.1,1169130
0.1,1169131
0.1,1169132
0.1,1169133
0.1,1172746
0.1,1172747
0.1,1172748
0.1,1172749
0.25,1176362
0.25,1176363
0.25,1176364
0.25,1179979
0.25,1179980
0.25,1183595
0.25,1183596
0.25,1187212
0.11,1176365
0.11,1176366
0.11,1176367
0.11,1176368
0.11,1179981
0.11,1179982
0.11,1179983
0.11,1179984
0.11,1183597
0.11,1183598
0.11,1183599
0.11,1183600
0.11,1187213
0.11,1187214
0.11,1187215
0.11,1187216
0.11,1190830
0.11,1190831
0.11,1190832
0.13,1194448
0.13,1194449
0.13,1194450
0.13,1194451
0.13,1198065
0.13,1198067
0.13,1205297
0.13,1205298
0.13,1208914
0.01,1194452
0.01,1194453
0.01,1194454
0.01,1194455
0.01,1198068
0.01,1198069
0.01,1198070
0.01,1198071
0.01,1201685
0.01,1201686
0.01,1201687
0.01,1205302
0.01,1205303
0.01,1208919
0.08,1234231
0.08,1234232
0.08,1234233
0.08,1237848
0.08,1237849
0.08,1241464
0.08,1241465
0.08,1245081
0.08,1248696
0.08,1248697
