prob,cell_id
0.01,1028602
0.01,1028603
0.02,1046714
0.02,1046715
0.02,1046716
0.02,1050330
0.02,1050331
0.02,1050332
0.02,1053946
0.02,1053947
0.02,1053948
0.02,1057563
0.02,1057564
0.02,1057565
0.02,1061179
0.02,1061180
0.02,1061181
0.03,1064796
0.03,1064797
0.03,1064798
0.03,1068412
0.03,1068413
0.03,1068414
0.03,1068415
0.03,1072030
0.03,1072031
0.03,1075646
0.03,1075647
0.03,1075648
0.03,1079261
0.03,1079262
0.03,1079263
0.03,1079264
0.02,1079265
0.02,1079266
0.02,1079267
0.07,1090106
0.07,1093721
0.07,1093722
0.07,1097337
0.07,1097338
0.07,1097339
0.05,1082877
0.05,1086492
0.05,1086493
0.05,1090107
0.05,1090108
0.05,1090109
0.05,1090110
0.05,1093723
0.05,1093724
0.05,1093725
0.05,1093726
0.05,1097340
0.05,1097341
0.05,1097342
0.05,1097343
0.04,1082878
0.04,1082879
0.04,1082880
0.04,1086494
0.04,1086495
0.04,1086496
0.04,1086497
0.04,1090111
0.04,1090112
0.04,1090113
0.04,1093727
0.04,1093728
0.04,1093729
0.04,1093730
0.04,1097344
0.04,1097345
0.04,1097346
0.04,1082881
0.04,1082882
0.04,1082883
0.04,1082884
0.04,1086498
0.04,1086499
0.04,1086500
0.04,1090114
0.04,1090115
0.04,1093731
0.04,1097347
0.04,1097348
0.09,1108172
0.09,1108173
0.09,1111788
0.09,1111789
0.09,1111790
0.09,1115403
0.09,1115404
0.09,1115405
0.09,1115406
0.12,1104559
0.12,1104560
0.12,1108174
0.12,1108175
0.12,1108176
0.12,1108177
0.12,1111791
0.12,1111792
0.12,1115407
0.12,1115408
0.12,1100946
0.12,1100947
0.12,1100948
0.12,1104561
0.12,1104562
0.12,1104563
0.12,1104564
0.12,1108178
0.12,1108179
0.12,1100949
0.12,1100950
0.12,1100951
0.12,1104565
0.12,1104566
0.12,1104567
0.12,1104568
0.12,1108184
0.12,1111798
0.12,1111799
0.12,1111800
0.12,1111801
0.12,1115414
0.12,1115415
0.12,1115416
0.12,1115417
0.1,1100952
0.1,1100953
0.1,1100954
0.1,1100955
0.1,1104569
0.1,1104570
0.1,1104571
0.1,1104572
0.1,1108185
0.1,1108186
0.1,1108187
0.1,1111802
0.1,1111803
0.1,1115418
0.1,1115419
0.08,1100956
0.08,1100957
0.08,1100958
0.08,1104575
0.08,1108192
0.08,1100961
0.08,1100962
0.08,1100963
0.08,1104576
0.08,1104577
0.08,1104578
0.08,1104579
0.08,1108193
0.08,1108194
0.08,1108195
0.08,1108196
0.08,1111809
0.08,1111810
0.08,1111811
0.08,1111812
0.08,1115427
0.08,1115428
0.06,1100964
0.06,1100965
0.06,1104580
0.06,1104581
0.06,1115429
0.05,1133481
0.06,1119019
0.06,1122635
0.06,1126250
0.06,1126251
0.06,1129865
0.06,1129866
0.06,1129867
0.06,1129868
0.06,1133482
0.06,1133483
0.06,1133484
0.1,1119020
0.1,1119021
0.1,1119022
0.1,1122636
0.1,1122637
0.1,1126252
0.1,1126253
0.1,1126254
0.1,1129869
0.1,1129870
0.1,1129871
0.1,1133486
0.1,1133487
0.1,1133488
0.13,1119031
0.13,1119032
0.13,1119033
0.13,1119034
0.13,1122647
0.13,1122648
0.13,1122649
0.13,1122650
0.13,1126264
0.13,1126265
0.13,1126266
0.13,1126267
0.13,1129880
0.13,1129881
0.13,1129882
0.13,1133497
0.13,1133498
0.13,1133499
0.12,1119035
