prob,cell_id
0.01,1318506
0.01,1318507
0.01,1322123
0.01,1322124
0.01,1325740
0.01,1325741
0.01,1325742
0.01,1329357
0.01,1329358
0.07,1332970
0.07,1332971
0.07,1332972
0.07,1332973
0.07,1336587
0.07,1336588
0.07,1336589
0.07,1336590
0.07,1340204
0.07,1340205
0.07,1340206
0.07,1340207
0.07,1343821
0.07,1343822
0.07,1343823
0.07,1343824
0.07,1343825
0.07,1347439
0.07,1347440
0.07,1347441
0.07,1347442
0.43,1332974
0.43,1336591
0.43,1336592
0.43,1340208
0.43,1340209
0.43,1343826
0.43,1343827
0.43,1347443
0.43,1347444
0.51,1336597
0.51,1336598
0.51,1340214
0.51,1340215
0.51,1343831
0.51,1343832
0.51,1343833
0.51,1347447
0.51,1347448
0.51,1347449
0.51,1347450
0.49,1336599
0.49,1340216
0.49,1340217
0.49,1343834
0.49,1343835
0.49,1343836
0.49,1347451
0.49,1347452
0.49,1347453
0.45,1351056
0.45,1351057
0.45,1351058
0.45,1351059
0.45,1354673
0.45,1354674
0.45,1354675
0.45,1354676
0.45,1358290
0.45,1358291
0.45,1358292
0.45,1358293
0.45,1361907
0.45,1361908
0.45,1361909
0.45,1361910
0.45,1365524
0.45,1365525
0.45,1365526
0.45,1365527
1,1351060
1,1351061
1,1351062
1,1354677
1,1354678
1,1354679
1,1354680
1,1358294
1,1358295
1,1358296
1,1358297
1,1361911
1,1361912
1,1361913
1,1361914
1,1365528
1,1365529
1,1365530
1,1365531
0.92,1351064
0.92,1351065
0.92,1351066
0.92,1351067
0.92,1354681
0.92,1354682
0.92,1354683
0.92,1354684
0.92,1358298
0.92,1358299
0.92,1358300
0.92,1358301
0.92,1361915
0.92,1361916
0.92,1361917
0.92,1361918
0.92,1365532
0.92,1365533
0.92,1365534
0.92,1365535
0.61,1351068
0.61,1351069
0.61,1351070
0.61,1351071
0.61,1354685
0.61,1354686
0.61,1354687
0.61,1354688
0.61,1358302
0.61,1358303
0.61,1358304
0.61,1358305
0.61,1361919
0.61,1361920
0.61,1361921
0.61,1361922
0.61,1365536
0.61,1365537
0.61,1365538
0.61,1365539
1,1376338
1,1379954
1,1379955
1,1383570
1,1383571
1,1383572
1,1387187
1,1387188
0.92,1372722
0.92,1372723
0.92,1372724
0.92,1372725
0.92,1376339
0.92,1376340
0.92,1376341
0.92,1376342
0.92,1379956
0.94,1372726
0.94,1376343
0.94,1376344
0.94,1376345
0.94,1376346
0.94,1379961
0.94,1379962
0.94,1379963
0.94,1383580
0.53,1379964
0.53,1383581
0.53,1383582
0.53,1383583
0.53,1383584
0.53,1387199
0.53,1387200
0.53,1387201
1,1369141
1,1369142
1,1369143
1,1369144
1,1372758
1,1372759
1,1372760
1,1372761
1,1376375
1,1376376
1,1376377
1,1376378
1,1379993
1,1379994
1,1379995
1,1379996
1,1383610
1,1383611
1,1383612
1,1387227
1,1387228
1,1387229
1,1369145
1,1369146
1,1369147
1,1369148
1,1372762
1,1372763
1,1372764
1,1372765
1,1376379
1,1376380
1,1376381
1,1376382
1,1376383
1,1380000
1,1369149
1,1369150
1,1369151
1,1369152
1,1372766
1,1372767
1,1372768
1,1372769
1,1372770
1,1376384
1,1376385
1,1376386
1,1376387
1,1369153
1,1369154
1,1369155
1,1369156
1,1372771
1,1372772
1,1372773
1,1372774
1,1376388
1,1376389
1,1376390
1,1376391
1,1380005
1,1380006
1,1380007
1,1380008
1,1383623
1,1383624
1,1383625
1,1387241
1,1387242
1,1369157
1,1369158
1,1372775
1,1372776
1,1372777
1,1376392
1,1376393
1,1376394
1,1376395
1,1380009
1,1380010
1,1380011
1,1383626
1,1383627
1,1383628
1,1387243
1,1387244
1,1387245
1,1387246
1,1405262
0.99,1398031
0.99,1398032
0.99,1401647
0.99,1401648
0.99,1401649
0.99,1405263
0.99,1405264
0.99,1405265
0.99,1394418
0.99,1394419
0.99,1398033
0.99,1398034
0.99,1398035
0.99,1398036
0.99,1390803
0.99,1390804
0.99,1394420
0.99,1394421
1,1390817
1,1390818
1,1394435
1,1401670
1,1405287
1,1390819
1,1390820
1,1390821
1,1394436
1,1394437
1,1394438
1,1398053
1,1398054
1,1398055
1,1401671
1,1401672
1,1405288
1,1405289
1,1405290
0.01,1390841
0.01,1390842
0.01,1390843
0.01,1394460
0.96,1390844
0.96,1390845
0.96,1390846
0.96,1390847
0.96,1394461
0.96,1394462
0.96,1394463
0.96,1394464
0.96,1398078
0.96,1398079
0.96,1398080
0.96,1398081
0.96,1401697
0.96,1401698
1,1394465
1,1394466
1,1398082
1,1398083
1,1398084
1,1401699
1,1401700
1,1401701
1,1401702
1,1405316
1,1405317
1,1405318
1,1405319
1,1390859
1,1390860
1,1390861
1,1390862
1,1390863
1,1394477
1,1394478
1,1394479
1,1394480
1,1398096
1,1398097
1,1401715
1,1390864
1,1394481
1,1394482
1,1398098
1,1398099
1,1398100
1,1398101
1,1401716
1,1401717
1,1401718
1,1401719
1,1405333
1,1405334
1,1405335
1,1405336
0.3,1405339
0.3,1405340
0.16,1416083
0.16,1416084
0.16,1419699
0.16,1419700
0.16,1419701
0.16,1423316
0.16,1423317
0.16,1423318
0.16,1426932
0.16,1426933
0.16,1426934
0.16,1426935
0.3,1408853
0.3,1408854
0.3,1412469
0.3,1412470
0.3,1412471
0.3,1416085
0.3,1416086
0.3,1416087
0.3,1416088
0.3,1416089
0.3,1419702
0.3,1419703
0.3,1419704
0.3,1419705
0.3,1419706
0.3,1423319
0.3,1423320
0.3,1423321
0.3,1426936
0.57,1419719
0.57,1419720
0.57,1423336
0.57,1423337
0.57,1423338
0.57,1423339
0.57,1426953
0.57,1426954
0.57,1426955
0.57,1426956
1,1423340
1,1423341
1,1423342
1,1423343
1,1426957
1,1426958
1,1426959
1,1426960
0.96,1408879
0.96,1412494
0.96,1412495
0.96,1412496
0.96,1416110
0.96,1416111
0.96,1416112
0.96,1419727
0.96,1419728
0.96,1419729
0.96,1423344
0.96,1423345
0.96,1423346
0.96,1426961
0.94,1426984
0.94,1426985
0.96,1408904
0.96,1423370
0.96,1423371
0.96,1423372
0.96,1426986
0.96,1426987
0.96,1426988
0.96,1426989
1,1408905
1,1408906
1,1408907
1,1412523
1,1412524
1,1412525
1,1416141
1,1416142
1,1419758
1,1419759
1,1423376
1,1426993
0.72,1416143
0.72,1419760
0.72,1423377
0.72,1426994
1,1408934
1,1408935
1,1408936
1,1408937
1,1412551
1,1412552
1,1412553
1,1412554
1,1416169
1,1416170
1,1416171
1,1419786
1,1419787
1,1419788
1,1423404
1,1423405
1,1427021
1,1427022
1,1416172
1,1419789
1,1423406
1,1427023
1,1427024
0.98,1408952
0.98,1408953
0.98,1427037
0.98,1427039
0.9,1408954
0.9,1408955
0.9,1408956
0.9,1408957
0.9,1412571
0.9,1412572
0.9,1412573
0.9,1412574
0.9,1416189
0.9,1416190
0.9,1416191
0.9,1419807
0.9,1419808
0.9,1423422
0.9,1423423
0.9,1423424
0.9,1423425
0.9,1423426
0.9,1427040
0.9,1427041
0.9,1427042
0.9,1427043
0.72,1408958
0.72,1408959
0.72,1412575
0.72,1412576
0.72,1412577
0.72,1412578
0.72,1416192
0.72,1416193
0.72,1416194
0.72,1416195
0.72,1419809
0.72,1419810
0.72,1419811
0.72,1419812
0.72,1419813
0.72,1423427
0.72,1423428
0.72,1423429
0.72,1423430
0.72,1427044
0.72,1427045
0.72,1427046
0.72,1427047
0.82,1416196
0.82,1419814
0.82,1419815
0.82,1423431
0.82,1423432
0.82,1423433
0.82,1427048
0.82,1427049
0.82,1427050
0.82,1427051
0.28,1430549
0.28,1430550
0.28,1430551
0.28,1430552
0.28,1434166
0.28,1434167
0.28,1434168
0.28,1437783
0.28,1437784
0.28,1437785
0.28,1441400
0.28,1441401
0.28,1445017
0.28,1445018
0.28,1445019
0.28,1445020
1,1430575
1,1430576
1,1430577
1,1441447
1,1441448
1,1441449
1,1445064
1,1445065
1,1430601
1,1430602
1,1434218
1,1434219
1,1437833
1,1437834
1,1437835
1,1437836
1,1441450
1,1441452
1,1441453
1,1430603
1,1430605
1,1430606
1,1434220
1,1434223
1,1437837
1,1437840
1,1441454
1,1445071
1,1445072
0.92,1430610
0.92,1434224
0.92,1434225
0.92,1434226
0.92,1434227
0.92,1437841
0.92,1437842
0.92,1437843
0.92,1437844
0.92,1441458
0.92,1441459
0.92,1441460
0.92,1441461
0.92,1441462
0.92,1445075
0.92,1445076
1,1430611
1,1430612
1,1430613
1,1434228
1,1434229
1,1434230
1,1437845
1,1437846
1,1437847
1,1437848
1,1437849
1,1441465
1,1441466
1,1445083
1,1441467
1,1445084
1,1445085
0.67,1430639
0.67,1434256
0.67,1437873
0.67,1441491
1,1430640
1,1430641
1,1434257
1,1434258
1,1437874
1,1437875
1,1437876
1,1441492
1,1441493
1,1445109
1,1445110
1,1445111
1,1430656
0.91,1430657
0.91,1430658
0.85,1430661
0.85,1430662
0.85,1430663
0.85,1430664
0.85,1434278
0.85,1434279
0.85,1434280
0.85,1434281
0.85,1437895
0.85,1437897
0.85,1437898
0.85,1441514
0.85,1441515
0.83,1430665
0.83,1430666
0.83,1430667
0.83,1430668
0.83,1434282
0.83,1434283
0.83,1434284
0.83,1434285
0.83,1437899
0.83,1437901
0.83,1437902
0.83,1441519
0.68,1430669
0.68,1430670
0.68,1434286
0.68,1434287
0.68,1434288
0.68,1434289
0.68,1437903
0.68,1437904
0.68,1437905
0.68,1437906
0.68,1441520
0.68,1441521
0.68,1441522
0.68,1441523
0.68,1441524
0.68,1445141
1,1437907
1,1441525
1,1441526
1,1445142
1,1445143
1,1445144
0.55,1448635
0.55,1448636
0.55,1448637
0.55,1452252
0.55,1452253
0.55,1452254
0.55,1455870
0.55,1455871
0.55,1459486
0.55,1459487
0.55,1459488
0.55,1463103
0.55,1463104
0.55,1466721
0.55,1466722
1,1448680
1,1448681
1,1452297
1,1452298
1,1455914
1,1455915
1,1459531
1,1459532
1,1463148
1,1463149
1,1463150
1,1466765
1,1466766
1,1466767
0.24,1455922
0.24,1463156
0.24,1466773
0.94,1448688
0.94,1448689
0.94,1448692
0.94,1452305
0.94,1452306
0.94,1455923
0.94,1459540
0.94,1463157
0.94,1466774
0.91,1448693
0.91,1452310
0.91,1452311
0.91,1452312
0.91,1455928
0.91,1455929
0.92,1452316
0.92,1452317
0.92,1455933
0.92,1455934
1,1448701
1,1448702
1,1452318
1,1452319
1,1452320
1,1452321
1,1455935
1,1455936
1,1455938
1,1459553
1,1459555
1,1452322
1,1455939
1,1455940
1,1459556
1,1459557
1,1459558
1,1463174
1,1463175
1,1466792
1,1466793
1,1466794
1,1448727
1,1448728
1,1448729
1,1452345
1,1452346
1,1455963
1,1448730
1,1452347
1,1452348
1,1455964
1,1455965
1,1455966
1,1455967
1,1459581
1,1459582
1,1459583
1,1459584
1,1463200
1,1463201
1,1466817
1,1466818
1,1466819
1,1463202
1,1463206
1,1466820
1,1466821
1,1466822
1,1466823
1,1455974
1,1459591
1,1466824
1,1466825
1,1466826
1,1466827
1,1452361
1,1466828
1,1466829
0.83,1448760
0.83,1448761
0.83,1448762
0.83,1452378
0.83,1452379
0.93,1448763
0.93,1448764
0.93,1452380
0.93,1452381
0.93,1455997
0.93,1455998
0.93,1455999
0.93,1456000
0.93,1459616
0.93,1459617
0.93,1459618
0.93,1463234
0.93,1463235
0.93,1466852
0.98,1463236
0.98,1466853
0.98,1466854
0.59,1484800
1,1477570
1,1481185
1,1481186
1,1481187
1,1484801
1,1484802
1,1484803
0.97,1470338
0.97,1470339
0.97,1473954
0.97,1473955
0.97,1477571
0.97,1477572
1,1470382
1,1470383
1,1470384
1,1474000
1,1474001
1,1477617
1,1477618
1,1481234
1,1481235
1,1481236
1,1481237
1,1484852
1,1484853
1,1470390
1,1474007
1,1477624
1,1481240
1,1481241
1,1484857
1,1484858
0.93,1470391
1,1470410
1,1470411
1,1474028
1,1470412
1,1474029
1,1474030
1,1477647
1,1477648
1,1481264
1,1481265
1,1481266
1,1484882
1,1484883
1,1484884
1,1470437
1,1470438
1,1470439
1,1470440
1,1470441
1,1470442
1,1470443
1,1470444
1,1481295
1,1484912
1,1484913
1,1470445
1,1470446
1,1470447
1,1474063
1,1474064
1,1474065
1,1477680
1,1477681
1,1477682
1,1481296
1,1481297
1,1481298
1,1481299
1,1484914
1,1484915
1,1484916
1,1484917
0.84,1470469
0.43,1470470
0.43,1470471
0.43,1470472
0.43,1474088
0.43,1474089
0.43,1474090
0.43,1477707
0.43,1477708
0.43,1481324
0.43,1481325
0.43,1484941
0.43,1484942
0.57,1474091
0.57,1474092
0.57,1477709
0.57,1481326
0.57,1484943
0.07,1506489
0.31,1502874
0.31,1502875
0.31,1502876
0.31,1506490
0.31,1506491
0.31,1506492
0.78,1499260
0.78,1499261
0.78,1499262
0.78,1499263
0.78,1502877
0.78,1502878
0.78,1502879
0.78,1502880
1,1488415
1,1488416
1,1488417
1,1492032
1,1492033
1,1492034
1,1495647
1,1495648
1,1495649
1,1499264
1,1499265
1,1502881
1,1488418
1,1502933
1,1502934
1,1502935
1,1506550
1,1506551
1,1506552
1,1488469
1,1488470
1,1488471
1,1492088
1,1495705
1,1499322
1,1502939
1,1506553
1,1506555
1,1506556
1,1488472
1,1488473
1,1488474
1,1488475
1,1492089
1,1492090
1,1492091
1,1492092
1,1495706
1,1495707
1,1495708
1,1495709
1,1499323
1,1499324
1,1499325
1,1499326
1,1502940
1,1502941
1,1502943
1,1506561
1,1488476
1,1492093
1,1495710
1,1495711
1,1499327
1,1499328
1,1502944
1,1502945
1,1502946
1,1506562
1,1506563
1,1488500
1,1488501
1,1488502
1,1492118
1,1492119
1,1492120
1,1492121
1,1492122
1,1495738
1,1495739
1,1499355
1,1499356
0.99,1495741
0.99,1495742
0.99,1495743
0.99,1499357
0.99,1499358
0.99,1499359
0.99,1499360
0.99,1502974
0.99,1502975
0.99,1502977
0.95,1499361
0.95,1499362
0.95,1499363
0.95,1502978
0.95,1502979
0.95,1502980
0.95,1502981
0.95,1506597
0.95,1506598
0.99,1488531
0.99,1488532
0.99,1488533
0.99,1488534
0.99,1492148
0.99,1492149
0.99,1492150
0.99,1492151
0.99,1495766
0.99,1495767
0.99,1495768
0.92,1492152
0.92,1495769
0.92,1495770
0.92,1499386
0.92,1499387
0.92,1499388
0.92,1499389
0.92,1503005
0.92,1503006
0.85,1503007
0.85,1503008
0.85,1503009
0.85,1506625
0.85,1506626
0.85,1506627
0.62,1488558
0.62,1488559
0.62,1492175
0.62,1492176
0.62,1495792
0.62,1495793
0.62,1499410
0.62,1503027
0.62,1506644
0.62,1506645
0.17,1495794
0.17,1499411
0.17,1503028
0.63,1510107
1,1510166
1,1510167
1,1510168
1,1510169
1,1513784
1,1513785
1,1513786
1,1517400
1,1517401
1,1521017
1,1521018
1,1524634
1,1524635
1,1524636
1,1510170
1,1510171
1,1510172
1,1510173
1,1513787
1,1513788
1,1510179
1,1510180
1,1510181
1,1513796
1,1513797
1,1513798
1,1517414
1,1517415
1,1521031
1,1521032
1,1524649
1,1524650
0.89,1510206
0.89,1510207
0.89,1513823
0.89,1513824
0.9,1510208
0.9,1513828
0.9,1517445
0.87,1510215
0.87,1513829
0.87,1513833
0.87,1517446
0.87,1517448
0.87,1517449
0.87,1517450
0.87,1521065
0.87,1521066
0.87,1521067
0.85,1510216
0.85,1513834
0.85,1513835
0.85,1513836
0.85,1517451
0.85,1517452
0.85,1517453
0.85,1517454
0.85,1521070
0.85,1521071
0.85,1524686
0.85,1524687
0.85,1524688
0.93,1521072
0.93,1521073
0.93,1521074
0.93,1524689
0.93,1524690
0.93,1524691
0.93,1524692
0.8,1510243
0.8,1510244
0.8,1510245
0.8,1513862
0.83,1513863
0.83,1513864
0.83,1517480
0.83,1517481
0.83,1517482
0.83,1517483
0.83,1521099
0.83,1521100
0.83,1521101
0.83,1524718
0.81,1517484
0.81,1521102
0.81,1524719
0.81,1524720
0.85,1510261
0.85,1510262
0.85,1513877
0.85,1513878
0.85,1513879
0.85,1517494
0.85,1517495
0.85,1521112
0.85,1524729
0.85,1524730
0.78,1521142
0.78,1521143
0.78,1524758
0.78,1524759
0.78,1524760
0.56,1517532
0.56,1517533
0.56,1517534
0.56,1521149
0.56,1521150
0.56,1521151
0.56,1524767
0.56,1524768
0.24,1510303
0.24,1510304
0.24,1513920
0.24,1513921
0.24,1517535
0.24,1517536
0.24,1517537
0.24,1517538
0.24,1521152
0.24,1521153
0.24,1521155
0.24,1524769
0.24,1524773
1,1528187
1,1531804
1,1535420
1,1535421
1,1539036
1,1539037
1,1539038
1,1542653
1,1542654
1,1542655
1,1546269
1,1546270
1,1546271
1,1546272
1,1528188
1,1528189
1,1528190
1,1531805
1,1531806
1,1531807
1,1535422
1,1535423
1,1539039
1,1542656
1,1546276
1,1546295
1,1542684
1,1542685
1,1546300
1,1546301
1,1546302
1,1542686
1,1542687
1,1546303
1,1546304
1,1546305
1,1528252
1,1528253
1,1528254
1,1531870
1,1531871
1,1535488
1,1535489
1,1539105
1,1539106
1,1542722
1,1542723
1,1546338
1,1546339
1,1546340
0.98,1528266
0.98,1528267
0.98,1531882
0.98,1531883
0.98,1531884
0.98,1535499
0.98,1535500
0.98,1539116
0.98,1539117
0.98,1542733
0.98,1542734
0.98,1546351
0.76,1528309
0.76,1531926
0.76,1531927
0.76,1535543
0.76,1535544
0.76,1539159
0.76,1539160
0.76,1539161
0.76,1542778
0.81,1528310
0.81,1542779
0.81,1542780
0.81,1546397
0.81,1546398
0.81,1546399
0.87,1546400
0.87,1546401
0.7,1528326
0.7,1531943
0.7,1535559
0.7,1535560
0.7,1539176
0.7,1539177
0.7,1542792
0.7,1542793
0.7,1542794
0.7,1546409
0.7,1546410
0.72,1528327
0.72,1528328
0.72,1528329
0.72,1528330
0.72,1531944
0.72,1531945
0.72,1531946
0.72,1531947
0.72,1535563
0.72,1535564
0.72,1535565
0.72,1539182
0.73,1535566
0.73,1535567
0.73,1535568
0.73,1539183
0.73,1539184
0.73,1539185
0.73,1539186
0.73,1542802
0.73,1542803
0.73,1546420
0.77,1528336
0.77,1528337
0.77,1528338
0.77,1531954
0.77,1531955
0.77,1531956
0.77,1535572
0.77,1535573
0.77,1539190
0.77,1542804
0.77,1542808
0.77,1546421
0.77,1546425
0.78,1535574
0.78,1539191
0.78,1542809
0.78,1546426
0.81,1528346
0.81,1528347
0.81,1531963
0.81,1531964
0.81,1531965
0.81,1535580
0.81,1535581
0.81,1535582
0.81,1539198
0.81,1539199
0.81,1542816
0.89,1528348
0.89,1539200
0.89,1542817
0.89,1542818
0.89,1542819
0.89,1546435
0.89,1546436
0.89,1546437
0.47,1528374
0.47,1528375
0.47,1528376
0.47,1528377
0.47,1531991
0.47,1531992
0.47,1531993
0.47,1531994
0.47,1535609
0.47,1535610
0.47,1535611
0.47,1539225
0.47,1539226
0.47,1539227
0.47,1539228
0.47,1539229
0.47,1542842
0.47,1542843
0.47,1542844
0.47,1546460
0.47,1546461
0.85,1531995
0.85,1535612
0.85,1535613
0.85,1535616
0.85,1539230
0.85,1539231
0.85,1539232
0.85,1539233
0.85,1542848
0.85,1542849
0.85,1542850
0.85,1546465
0.85,1546466
0.85,1546467
0.8,1528385
0.8,1528386
0.8,1532002
0.8,1532003
0.8,1535618
0.8,1535619
0.8,1535620
0.8,1539234
0.8,1539235
0.8,1539236
0.8,1539237
0.8,1542851
0.8,1542852
0.8,1542853
0.8,1542854
0.8,1546468
0.8,1546469
0.8,1546470
0.8,1546471
0.54,1528387
0.54,1532004
0.54,1532005
0.54,1535621
0.54,1535622
0.54,1535623
0.54,1539238
0.54,1539239
0.54,1539240
0.54,1539241
0.54,1542855
0.54,1542856
0.54,1542857
0.54,1542858
0.54,1546472
0.54,1546473
0.54,1546474
0.54,1546475
1,1549885
1,1553501
1,1553502
1,1557118
1,1557119
1,1560734
1,1560735
1,1560736
1,1564351
1,1564352
1,1564353
1,1567967
1,1567968
1,1567969
1,1567970
1,1549886
1,1549887
1,1549888
1,1553503
1,1553504
1,1557120
1,1549891
1,1553507
1,1553508
1,1557124
1,1557125
0.91,1557140
0.91,1560756
0.91,1560757
0.91,1564373
0.91,1564374
0.91,1567990
0.91,1567991
0.94,1549909
0.94,1549910
0.94,1553525
0.94,1553526
0.94,1553527
0.94,1557141
0.94,1557142
0.94,1560758
0.94,1564376
0.94,1567992
0.94,1567993
0.94,1567994
0.96,1549911
0.96,1549912
0.96,1549913
0.96,1553528
0.96,1553529
0.96,1553530
0.96,1553531
0.96,1557146
0.96,1557147
0.96,1557148
0.96,1564382
0.96,1567998
0.96,1567999
0.96,1549917
0.96,1549918
0.96,1549919
0.96,1553534
0.96,1553535
0.96,1553536
0.96,1557149
0.96,1557150
0.96,1557151
0.96,1560766
0.96,1560767
0.96,1564383
0.96,1564384
0.96,1568000
0.96,1568001
1,1549921
1,1549922
1,1553537
1,1553538
1,1553539
1,1553540
1,1557154
1,1557155
1,1557156
1,1549955
1,1549956
1,1553572
1,1553573
1,1553574
1,1557190
1,1557191
1,1560807
1,1560808
1,1564425
1,1568041
1,1568042
0.52,1553575
0.52,1557192
0.52,1560809
1,1549967
1,1549968
1,1553585
1,1557201
1,1557202
1,1560818
1,1560819
1,1564435
1,1564436
1,1568052
1,1568053
0.62,1550014
0.62,1550015
0.62,1550016
0.62,1550017
0.62,1550018
0.62,1550019
0.62,1553635
0.62,1553636
0.62,1557253
0.62,1557254
0.62,1560870
0.62,1560871
0.62,1564487
0.62,1564488
0.62,1568105
0.62,1568106
0.7,1550026
0.7,1550027
0.7,1553643
0.7,1553644
0.7,1557260
0.7,1560877
0.7,1560878
0.7,1560879
0.7,1564494
0.7,1564495
0.7,1564496
0.7,1564497
0.7,1564498
0.7,1568114
0.7,1568115
0.71,1568116
0.74,1550037
0.74,1550038
0.74,1553655
0.76,1550039
0.76,1550042
0.76,1553656
0.76,1553657
0.76,1553658
0.76,1553659
0.76,1557273
0.76,1557274
0.76,1557275
0.76,1557276
0.69,1553667
0.69,1557285
0.67,1550053
0.67,1550054
0.67,1550055
0.67,1553668
0.67,1553669
0.67,1553670
0.67,1553671
0.67,1553672
0.67,1557286
0.67,1557287
0.67,1557288
0.67,1557289
0.67,1560903
0.67,1560904
0.67,1560905
0.67,1560906
0.67,1564520
0.67,1564521
0.67,1564522
0.67,1564523
0.67,1568139
0.67,1568140
0.83,1560907
0.83,1560908
0.83,1564524
0.83,1564525
0.83,1568141
0.83,1568142
0.83,1568143
0.97,1550077
0.97,1550078
0.97,1550079
0.97,1553695
0.97,1553696
0.97,1553697
0.97,1557313
0.97,1557314
0.97,1560931
0.97,1560932
0.97,1564548
0.97,1564549
0.97,1568166
1,1550083
1,1550084
1,1553701
1,1564550
1,1568167
1,1568168
1,1550085
1,1550086
1,1550087
1,1550088
1,1550089
1,1553702
1,1553703
1,1553704
1,1553705
1,1553706
0.93,1550090
0.93,1564559
0.93,1568176
0.96,1550097
0.96,1564566
0.96,1568183
0.57,1550098
0.57,1550099
0.57,1550100
0.57,1550101
0.57,1553715
0.57,1553716
0.57,1553717
0.57,1553718
0.57,1557332
0.57,1557333
0.57,1557334
0.57,1557335
0.57,1564567
0.57,1568184
0.57,1568185
0.19,1550102
0.19,1550103
0.19,1550104
0.19,1550105
0.19,1550106
0.19,1553719
0.19,1553720
0.19,1553721
0.19,1553722
0.19,1553723
0.19,1557338
0.19,1557339
0.19,1557340
0.12,1550107
0.12,1550108
0.12,1553724
0.12,1553725
0.12,1557341
0.12,1557342
0.12,1560958
0.12,1560959
0.12,1564575
0.12,1564576
0.12,1568192
0.12,1568193
0.12,1568194
0.12,1568195
0.12,1568196
0.04,1564581
0.04,1564582
0.04,1564583
0.04,1568197
0.04,1568198
0.04,1568199
0.04,1568200
1,1571584
1,1571585
1,1571586
1,1575201
1,1575202
1,1575203
1,1578819
1,1578820
1,1582436
1,1582437
1,1582438
1,1586053
1,1586054
1,1586055
0.94,1582449
0.94,1582450
0.94,1586066
0.94,1586067
0.87,1582451
0.87,1582452
0.87,1586068
0.87,1586069
0.87,1586070
0.82,1571607
0.82,1571608
0.82,1571609
0.82,1571610
0.82,1571611
0.82,1575227
0.82,1575228
0.82,1575229
0.82,1578845
0.82,1578846
0.82,1582463
0.82,1586080
0.86,1571615
0.86,1571616
0.86,1575230
0.86,1575231
0.86,1575232
0.86,1575233
0.86,1578847
0.86,1578848
0.86,1582464
0.86,1586081
1,1571658
1,1571659
1,1575275
1,1575276
1,1578891
1,1578892
1,1578893
1,1582508
1,1582509
1,1582510
1,1586125
1,1586126
1,1586127
1,1578898
1,1582511
1,1582515
1,1586128
1,1586132
1,1578899
1,1578900
1,1578901
1,1582516
1,1582517
1,1582518
1,1582519
1,1586133
1,1586134
1,1586135
1,1586136
1,1571669
1,1571670
1,1575286
1,1575287
1,1578903
1,1578904
1,1582520
1,1582521
1,1586137
0.61,1571723
0.61,1575340
0.61,1582575
0.61,1586192
0.72,1571724
0.72,1575341
0.72,1578958
0.72,1582576
0.72,1586193
0.68,1571733
0.68,1571734
0.68,1575350
0.68,1575351
0.68,1578967
0.68,1578968
0.68,1582585
0.68,1586202
0.68,1586203
0.55,1571756
0.55,1571757
0.55,1575374
0.55,1575375
0.52,1571758
0.52,1571759
0.52,1571760
0.52,1575376
0.52,1575377
0.52,1575378
0.52,1578993
0.52,1578994
0.52,1578995
0.52,1578996
0.52,1582610
0.52,1582611
0.52,1582613
0.74,1582614
0.74,1586231
0.74,1586232
0.74,1586233
0.74,1586234
0.81,1586235
0.81,1586236
1,1575400
1,1579016
1,1579017
1,1582634
1,1586252
0.99,1571784
0.99,1571785
0.99,1571786
0.99,1575401
0.99,1575402
0.99,1575403
0.99,1575404
0.99,1579018
0.99,1579019
0.99,1579020
0.99,1579021
0.99,1579022
0.99,1582635
0.99,1582636
0.99,1582637
0.99,1582638
0.99,1582639
0.99,1586253
0.99,1586254
0.99,1586255
0.99,1586256
1,1571792
1,1575408
1,1575409
1,1579023
1,1579024
1,1579025
1,1579026
1,1582640
1,1582641
1,1582642
1,1582643
1,1586257
1,1586258
1,1586259
1,1586260
1,1571793
1,1575410
1,1575411
1,1575412
1,1579027
1,1586261
1,1586262
1,1571800
1,1586265
1,1571801
1,1579038
1,1579039
1,1571809
1,1575425
1,1575426
1,1579042
1,1579043
1,1582659
1,1582660
1,1586276
1,1586277
1,1571810
1,1571811
1,1571812
1,1571813
1,1575427
1,1575428
1,1575429
1,1575430
1,1579044
1,1579045
1,1579046
1,1579047
1,1582662
1,1582663
1,1586278
1,1586279
1,1586282
0.91,1571814
0.91,1571815
0.91,1571816
0.91,1575431
0.91,1575432
0.91,1575433
0.91,1579048
0.91,1579049
0.91,1579050
0.91,1582665
0.91,1582666
0.91,1582667
0.91,1582668
0.91,1586283
0.91,1586284
0.91,1586285
1,1589671
1,1589672
1,1593288
1,1593289
1,1604140
1,1607755
1,1607756
1,1607757
1,1589673
1,1593290
1,1593291
1,1596907
1,1596908
1,1596909
1,1600524
1,1600525
1,1600526
1,1604141
1,1604142
0.82,1589682
0.82,1589683
0.82,1593299
0.82,1593300
0.82,1593301
0.82,1596916
0.82,1596917
0.82,1596918
0.82,1596919
0.82,1600535
