prob,cell_id
0.45,497416
1,1387059
1,1387060
1,1387061
0.51,1397922
0.51,1401535
0.51,1401536
0.51,1401537
0.51,1401538
0.51,1405152
0.51,1405153
0.51,1405154
0.51,1405155
0.75,1401548
0.75,1405165
0.75,1405166
1,1405172
0.81,1401557
0.81,1405173
0.81,1405174
0.81,1405175
0.81,1405176
0.9,1405177
0.9,1405178
0.9,1405179
0.9,1405180
0.54,1405181
0.54,1405182
0.54,1405183
1,1556853
1,1556854
1,1556855
1,1560470
1,1560471
1,1560472
1,1564086
1,1564087
1,1564088
1,1567703
1,1567704
1,1567705
1,1564089
0.77,1571319
0.77,1571320
0.77,1571321
0.77,1571322
0.77,1574936
0.77,1574937
0.77,1574938
0.77,1574939
1,1582197
1,1582198
1,1585814
1,1585815
1,1582199
1,1585816
0.11,1571506
0.11,1575122
0.11,1578739
0.11,1582356
0.11,1585973
0.48,1600276
0.48,1600277
0.48,1603892
0.48,1603893
0.48,1603894
0.48,1603895
0.48,1607509
0.48,1607510
0.48,1607511
0.31,1589431
0.31,1589432
0.31,1596662
0.31,1596663
0.31,1596664
0.31,1600279
0.31,1600280
0.31,1600281
0.31,1600282
0.31,1603896
0.31,1603897
0.31,1603898
0.31,1603899
0.31,1607512
0.31,1607513
0.31,1607514
0.31,1607515
0.31,1607516
1,1589433
1,1596670
1,1600283
1,1603900
1,1603901
1,1603902
1,1607517
1,1607518
1,1607519
1,1593055
1,1596671
1,1596672
1,1596673
1,1596674
1,1600287
1,1600288
1,1600291
1,1603905
1,1603906
1,1603907
1,1607522
1,1607523
1,1607524
0.84,1603908
0.25,1593205
0.25,1593207
0.25,1596822
0.25,1596823
0.25,1596824
0.25,1600439
0.25,1600440
0.25,1600441
0.25,1604058
1,1611126
1,1611127
1,1611128
1,1614745
1,1611129
1,1611130
1,1611131
1,1611132
1,1611133
1,1614746
1,1614747
1,1614748
1,1614749
1,1614750
0.01,1611294
0.01,1611295
0.01,1611296
0.01,1614911
0.01,1614912
0.01,1614913
0.68,1632852
0.68,1632853
0.68,1632854
0.68,1632855
0.68,1636469
0.68,1636470
0.68,1636471
0.68,1636472
0.68,1640086
0.68,1640087
0.68,1640088
0.68,1640089
0.68,1643704
0.68,1643705
0.68,1643706
1,1632856
1,1632857
1,1632858
1,1632859
1,1636473
1,1636474
1,1636475
1,1636476
1,1640090
1,1640091
1,1640092
1,1640093
1,1643707
1,1643708
1,1643709
1,1669026
1,1669027
1,1669028
0.99,1658180
0.99,1661797
0.5,1672643
0.5,1672644
0.5,1672645
0.5,1676261
0.47,1672646
0.47,1676262
0.01,2987830
0.06,3639109
0.06,3639110
0.02,3675294
0.02,3678911
0.06,3685823
0.06,3685824
0.06,3689440
0.06,3689441
0.06,3693058
0.06,3693059
0.03,3682521
0.03,3693373
0.03,3693374
0.03,3696990
0.03,3696991
0.03,3700607
0.03,3700608
0.05,3682526
0.05,3682527
0.05,3693375
0.05,3696992
0.05,3700609
0.02,3700619
0.05,3725719
0.05,3725720
0.05,3729336
0.05,3729337
0.05,3740189
0.05,3743806
0.05,3747424
0.05,3725937
0.05,3725938
0.05,3725939
0.05,3729555
0.08,3725941
0.08,3729558
0.08,3744028
0.08,3744029
0.08,3744030
0.08,3747645
0.08,3747646
0.08,3747647
0.05,3751262
0.05,3751263
0.05,3751264
0.01,3877534
0.01,3877535
0.01,3877536
0.01,3877537
0.05,3881147
0.05,3881148
0.05,3881149
0.05,3881150
0.05,3884765
0.05,3884766
0.05,3884767
0.05,3888383
0.05,3888384
0.05,3888385
0.05,3892001
0.05,3892002
0.05,3892003
0.05,3895619
0.05,3895620
0.09,3921199
0.09,3921200
0.09,3921201
0.09,3921202
0.09,3924816
0.09,3924817
0.09,3924818
0.09,3924819
0.12,3917586
0.12,3917587
0.12,3921203
0.12,3921204
0.12,3924820
0.12,3924821
0.11,3921212
0.11,3924828
0.11,3924829
0.11,3917596
0.11,3917597
0.11,3921213
0.11,3921214
0.11,3924830
0.11,3924831
0.1,3906780
0.1,3906781
0.1,3910397
0.1,3910398
0.1,3910399
0.1,3914014
0.1,3914015
0.02,3939262
0.02,3939263
0.02,3939264
0.02,3942879
0.02,3942880
0.02,3942881
0.02,3946498
0.04,3942884
0.04,3942885
0.04,3942886
0.04,3946502
0.04,3946503
0.04,3946504
0.07,3942887
0.07,3942888
0.07,3942889
0.07,3942890
0.07,3946505
0.07,3946506
0.07,3946507
0.07,3946508
0.07,3946509
0.12,3928434
0.11,3928444
0.11,3928445
0.11,3928446
0.11,3932061
