prob,cell_id
0.52,1632852
0.52,1632853
0.52,1632854
0.52,1632855
0.52,1636469
0.52,1636470
0.52,1636471
0.52,1636472
0.52,1640086
0.52,1640087
0.52,1640088
0.52,1640089
0.52,1643704
0.52,1643705
0.52,1643706
0.57,1632856
0.57,1632857
0.57,1632858
0.57,1632859
0.57,1636473
0.57,1636474
0.57,1636475
0.57,1636476
0.57,1640090
0.57,1640091
0.57,1640092
0.57,1640093
0.57,1643707
0.57,1643708
0.57,1643709
0.3,1632999
0.3,1633000
0.3,1636616
0.3,1636617
0.3,1640233
0.3,1640234
0.3,1643850
0.3,1643851
0.3,1647467
0.3,1647468
0.3,1634190
0.3,1634191
0.3,1634192
0.3,1637808
0.3,1637809
0.3,1641427
0.6,1637810
0.6,1637811
0.6,1641428
0.6,1641429
0.6,1645046
0.6,1645047
0.6,1645048
0.6,1648664
0.6,1648665
0.6,1648666
0.89,1648679
0.89,1648680
0.91,1648681
0.9,1637879
0.9,1641496
0.9,1645114
0.9,1648731
0.9,1648732
0.92,1645115
0.92,1645119
0.92,1648733
0.92,1648734
0.92,1648735
0.92,1648736
0.92,1648737
0.65,1634271
0.65,1634272
0.65,1634273
0.65,1634274
0.65,1637889
0.65,1637890
0.65,1637891
0.65,1637892
0.65,1641506
0.65,1641507
0.65,1641508
0.65,1641509
0.66,1634275
0.66,1634278
0.66,1637895
0.66,1641512
0.66,1641513
0.66,1645129
0.66,1645130
0.66,1648747
0.66,1648748
0.58,1634296
0.58,1634297
0.58,1634298
0.58,1634299
0.58,1637914
0.58,1637915
0.58,1637916
0.58,1641532
0.58,1641533
0.58,1641534
0.58,1645150
0.58,1645151
0.58,1645152
0.58,1648768
0.58,1648769
0.58,1648770
0.3,1669026
0.3,1669027
0.3,1669028
0.3,1658180
0.3,1661797
0.89,1665550
0.89,1669167
0.1,1651084
0.1,1651085
0.1,1654700
0.1,1654701
0.1,1654702
0.1,1658317
0.1,1658318
0.1,1661934
0.1,1661935
0.1,1665551
0.1,1665553
0.1,1665554
0.1,1665555
0.1,1669168
0.1,1669169
0.1,1669170
0.1,1669171
0.1,1669172
0.25,1652282
0.25,1652283
0.25,1652284
0.25,1655901
0.25,1655902
0.25,1655903
0.25,1659519
0.25,1659520
0.25,1659521
0.25,1663137
0.25,1663138
0.25,1663139
0.25,1666755
0.25,1666756
0.25,1670374
0.61,1666757
0.61,1670375
0.87,1652296
0.87,1652297
0.87,1652298
0.87,1655914
0.87,1655915
0.91,1663159
0.91,1666779
0.45,1652349
0.45,1652350
0.45,1655966
0.45,1655967
0.45,1655968
0.45,1659583
0.45,1659584
0.45,1663201
0.45,1663202
0.45,1663204
0.45,1666818
0.45,1666819
0.45,1666820
0.45,1666821
0.45,1666822
0.45,1670437
0.45,1670438
0.45,1670439
0.45,1670440
