prob,cell_id
0.32,1408406
0.32,1408407
0.01,1466132
0.01,1466133
0.01,1466134
0.01,1466135
0.12,1860362
0.12,1860363
0.12,1860364
0.12,1863978
0.12,1863979
0.12,1863980
0.12,1863981
0.12,1867595
0.12,1867596
0.12,1867597
0.57,1965038
0.57,1965039
0.57,1965040
0.57,1965041
0.57,1965042
0.57,1968655
0.57,1968656
0.57,1972271
0.57,1972272
0.57,1975888
0.62,1965046
0.72,1983116
0.72,1983117
0.72,1983118
0.72,1983119
0.72,1983120
0.72,1986733
0.72,1986734
0.72,1986735
0.72,1986736
0.97,1983121
0.97,1986737
0.79,2026488
0.79,2026489
0.79,2026490
0.79,2026491
0.79,2030104
0.79,2030105
0.79,2030106
0.79,2030107
0.79,2030108
0.79,2033721
0.79,2033722
0.79,2033723
0.79,2033724
0.79,2037337
0.79,2037338
0.79,2037339
0.79,2037340
0.79,2037341
1,2026492
1,2026493
1,2026494
1,2026495
1,2030109
1,2030110
1,2033725
1,2037342
0.89,2048141
0.89,2048142
0.89,2048143
0.89,2048144
0.89,2051757
0.89,2051758
0.89,2051759
0.89,2051760
0.89,2048145
0.89,2048146
0.76,2048163
1,2088072
1,2073613
1,2073614
1,2077230
1,2077231
1,2080846
1,2080847
1,2084463
1,2084464
1,2088080
1,2088081
0.62,2073615
0.62,2073616
0.62,2073617
0.62,2073618
0.62,2073619
0.62,2077232
0.62,2077233
0.62,2077234
0.62,2077235
0.62,2080848
0.62,2080849
0.62,2080850
0.62,2080851
0.62,2080852
0.62,2084465
0.62,2084466
0.62,2084467
0.62,2084468
0.62,2084469
0.62,2088082
0.62,2088083
0.62,2088084
0.62,2088085
0.85,2077236
0.85,2077237
0.85,2077238
0.85,2080853
0.85,2080854
0.85,2080855
0.85,2080856
0.85,2080857
0.85,2084470
0.85,2084471
0.85,2084472
0.85,2084473
0.85,2088086
0.85,2088087
0.85,2088088
0.85,2088089
0.85,2088090
1,2084474
1,2088091
1,2088092
1,2088093
1,2088094
1,2091689
1,2098922
1,2102539
1,2109772
1,2091696
1,2091697
1,2095314
1,2098931
1,2102547
1,2106164
1,2109781
0.71,2091698
0.71,2091699
0.71,2091700
0.71,2091701
0.71,2091702
0.71,2095315
0.71,2095316
0.71,2095317
0.71,2095318
0.71,2095319
0.71,2098932
0.71,2098933
0.71,2098934
0.71,2098935
0.71,2102548
0.71,2102549
0.71,2102550
0.71,2102551
0.71,2102552
0.71,2106165
0.71,2106166
0.71,2106167
0.71,2106168
0.71,2106169
0.71,2109782
0.71,2109783
0.71,2109784
0.71,2109785
0.75,2091703
0.75,2091704
0.75,2091705
0.75,2091706
0.75,2091707
0.75,2095320
0.75,2095321
0.75,2095322
0.75,2095323
0.75,2098936
0.75,2098937
0.75,2098938
0.75,2098939
0.75,2098940
0.75,2102553
0.75,2102554
0.75,2102555
0.75,2102556
0.75,2102557
0.75,2106170
0.75,2106171
0.75,2106172
0.75,2106173
0.75,2109786
0.75,2109787
0.75,2109788
0.75,2091708
0.75,2091709
0.75,2091710
0.75,2091711
0.75,2095324
0.75,2095325
0.75,2095326
0.75,2095327
0.75,2095328
0.75,2098941
0.75,2098942
0.75,2098943
0.75,2098944
0.75,2098945
0.75,2102558
0.75,2102559
0.75,2102560
0.75,2102561
0.75,2106174
0.75,2106175
0.75,2106176
0.75,2106177
0.75,2106178
0.75,2109791
0.75,2109792
0.75,2109793
0.75,2109794
0.75,2109795
0.85,2091712
0.85,2095329
0.85,2095330
0.85,2098946
0.85,2098947
0.85,2098948
0.85,2102562
0.85,2102563
0.85,2102564
0.85,2102565
0.85,2102566
0.85,2106179
0.85,2106180
0.85,2106181
0.85,2106182
0.85,2106183
0.85,2109796
0.85,2109797
0.85,2109798
0.85,2109799
0.29,2102567
0.29,2109800
0.29,2109801
1,2113389
1,2120622
1,2127855
1,2127863
1,2127864
1,2131480
1,2131481
1,2113400
1,2113401
1,2113402
1,2127865
1,2127866
1,2131482
1,2113408
1,2113409
1,2113410
1,2113411
1,2117026
1,2117027
1,2117028
1,2120644
1,2120645
1,2124261
1,2127878
1,2131495
0.79,2113412
0.79,2113413
0.79,2113414
0.79,2113415
0.79,2113416
0.79,2117029
0.79,2117030
0.79,2117031
0.79,2117033
0.79,2120646
0.79,2120647
0.79,2120648
0.79,2120649
0.79,2124262
0.79,2124263
0.79,2124264
0.79,2124265
0.79,2124266
0.79,2127879
0.79,2127880
0.79,2127881
0.79,2127882
0.79,2131496
0.79,2131497
0.79,2131498
0.79,2131499
1,2138705
0.64,2135095
0.64,2135096
0.64,2135097
0.64,2138712
0.64,2138713
0.64,2138714
0.64,2142328
0.64,2142329
0.64,2142330
0.64,2142331
0.64,2145944
0.64,2145945
0.64,2145946
0.64,2145947
0.64,2149561
0.64,2149562
0.64,2149563
0.64,2149564
0.64,2153178
0.64,2153179
0.64,2153180
0.64,2153181
0.71,2138720
0.71,2138723
0.71,2142336
0.71,2142337
0.71,2142338
0.71,2142339
0.71,2142340
0.71,2145953
0.71,2145954
0.71,2145955
0.71,2145956
0.71,2145957
0.71,2149570
0.71,2149571
0.71,2149572
0.71,2149573
0.71,2153186
0.71,2153187
0.71,2153188
0.71,2153189
0.71,2153190
0.86,2138724
0.86,2138725
0.86,2142341
0.86,2142342
0.86,2142343
0.86,2142344
0.86,2145958
0.86,2145959
0.86,2145960
0.86,2149574
0.86,2149575
0.86,2149576
0.86,2149577
0.86,2149578
0.86,2153191
0.86,2153192
0.86,2153193
0.86,2153194
0.86,2153195
0.35,2135112
0.35,2135113
0.35,2135114
0.35,2135115
0.35,2138730
0.35,2138731
0.35,2138732
0.02,2149585
0.02,2149586
0.02,2149587
0.02,2153201
0.02,2153202
0.02,2153203
0.02,2153204
1,2156629
1,2156630
1,2156631
1,2160245
1,2160246
1,2163862
1,2163863
1,2167479
1,2171095
1,2174712
0.74,2156785
0.74,2156786
0.74,2156787
0.74,2156788
0.74,2160401
0.74,2160402
0.74,2160403
0.74,2160404
0.74,2164017
0.74,2164018
0.74,2164019
0.74,2164020
0.74,2167634
0.74,2167635
0.74,2167636
0.74,2167637
0.74,2171251
0.74,2171252
0.74,2171253
0.74,2174868
0.74,2174869
1,2156795
1,2156796
1,2156797
1,2160412
1,2160413
1,2160414
1,2164030
1,2164031
1,2167646
1,2167647
1,2171263
1,2171264
1,2174880
1,2174881
0.29,2156808
0.29,2156809
0.29,2156810
0.29,2160425
0.29,2160426
0.29,2167658
0.29,2171274
0.29,2171275
0.29,2171277
0.29,2171278
0.29,2174891
0.29,2174892
0.29,2174894
0.29,2174895
0.82,2164049
0.82,2167664
0.82,2167665
0.82,2167666
0.82,2171279
0.82,2171280
0.82,2171281
0.82,2171282
0.82,2171283
0.82,2174896
0.82,2174897
0.82,2174898
0.82,2174899
0.82,2174900
0.9,2156818
0.9,2156819
0.9,2156820
0.9,2156821
0.9,2160435
0.9,2160436
0.9,2160437
0.9,2164050
0.9,2164051
0.9,2164052
0.9,2164053
0.9,2164054
0.9,2167667
0.9,2167668
0.9,2167669
0.9,2167670
0.9,2167671
0.9,2171284
0.9,2171285
0.9,2171286
0.9,2171287
