prob,cell_id
0.66,5781478
1,5788710
1,5785095
1,5785096
1,5788713
1,5788714
1,5792331
1,5785097
1,5785098
1,5785099
1,5788715
1,5788716
1,5788717
1,5792332
1,5792333
1,5792334
1,5792335
1,5785100
1,5785101
1,5785102
1,5788718
1,5788719
1,5788720
1,5792336
1,5792337
1,5792338
1,5795954
1,5795955
1,5788721
1,5788722
1,5788723
1,5792339
1,5792340
1,5792341
1,5795956
1,5795957
1,5795958
1,5795959
1,5788724
1,5788725
1,5792342
0.15,5803124
0.15,5806742
0.15,5817593
0.15,5817595
0.27,5803125
0.27,5803126
0.27,5803127
0.27,5806743
0.27,5806744
0.27,5806745
0.27,5810360
0.27,5810361
0.27,5810362
0.27,5810363
0.27,5813978
0.27,5813979
0.27,5817596
0.33,5803128
0.33,5803129
0.33,5803130
0.33,5806746
0.33,5806747
0.33,5806748
0.33,5810364
0.47,5803131
0.47,5806751
0.47,5810368
0.47,5810369
0.47,5813985
0.47,5813986
0.47,5813987
0.52,5803134
0.52,5803135
0.52,5806752
0.52,5810370
0.04,5835662
0.07,5835663
0.07,5835664
0.07,5835665
0.08,5832048
0.08,5832049
0.08,5832050
0.08,5835666
0.08,5835667
0.1,5832051
0.1,5832052
0.1,5832053
0.1,5832054
0.1,5835670
0.1,5835671
0.18,5835672
0.08,5850122
0.08,5850123
0.08,5850124
0.08,5846508
0.08,5846509
0.08,5850125
0.08,5850126
0.08,5850127
0.11,5839277
0.11,5842892
0.11,5842893
0.11,5842894
0.11,5842895
0.11,5846510
0.11,5846511
0.11,5846512
0.11,5850128
0.11,5850129
0.11,5850130
0.21,5839278
0.21,5839279
0.21,5839280
0.21,5842896
0.21,5842897
0.21,5842898
0.21,5846513
0.21,5846514
0.21,5846515
0.21,5850131
0.21,5850132
0.21,5850133
0.13,5839281
0.13,5839282
0.13,5839283
0.13,5842899
0.13,5842900
0.13,5842901
0.13,5846516
0.13,5846517
0.13,5846518
0.13,5846519
0.13,5850134
0.15,5839284
0.15,5839285
0.15,5839286
0.15,5842902
0.15,5842903
0.15,5842904
0.25,5839287
0.25,5839288
0.25,5839289
0.17,5868201
0.11,5864584
0.11,5864585
0.11,5864586
0.11,5868202
0.11,5868203
0.09,5857354
0.09,5860971
0.09,5860972
0.09,5864589
0.1,5853737
0.1,5853738
0.1,5853739
0.1,5857355
0.1,5857356
0.1,5857357
0.1,5860973
0.1,5860974
0.1,5860975
0.1,5864590
0.1,5864591
0.09,5853743
0.09,5853744
0.09,5853745
0.09,5857361
0.09,5857362
0.09,5857363
0.09,5860979
0.09,5860980
0.09,5860981
0.09,5864597
0.09,5868214
0.2,5853746
0.2,5853747
0.2,5853748
0.2,5857364
0.2,5857365
0.29,5853749
0.91,5868238
1,5868239
1,5868240
1,5868241
1,5868242
1,5868243
0.18,5871818
0.18,5871819
0.18,5875435
0.18,5875436
0.16,5871820
0.16,5875439
0.16,5875440
0.16,5879056
0.16,5879057
0.16,5879058
0.16,5882674
0.16,5882675
0.16,5882676
0.12,5875441
0.12,5875442
0.12,5879059
0.12,5879060
0.3,5871829
0.3,5871830
0.3,5871831
0.51,5882690
0.43,5879078
0.43,5879079
0.43,5882696
0.43,5882697
0.23,5879082
0.23,5882698
0.23,5882699
0.23,5882700
0.11,5879083
0.11,5879084
0.11,5879085
0.11,5882701
0.16,5875468
0.16,5875469
0.16,5875470
0.16,5879086
0.16,5879088
0.16,5882706
0.14,5871854
0.14,5871855
0.14,5871856
0.14,5875471
0.14,5875472
0.14,5875473
0.14,5879089
0.14,5879090
0.14,5879091
0.14,5882707
0.14,5882708
0.14,5882709
0.35,5871859
0.35,5875474
0.35,5875475
0.35,5875476
0.35,5879092
0.35,5882710
0.35,5882711
0.35,5882712
0.78,5871860
0.78,5871861
0.78,5871862
0.78,5875477
0.78,5875478
0.78,5875479
0.78,5875480
0.78,5879095
0.78,5879096
0.78,5879097
0.78,5882713
0.78,5882714
0.78,5882715
0.86,5871863
0.86,5875481
0.86,5875482
0.86,5875483
0.86,5879098
0.86,5879099
0.86,5879100
0.86,5882716
0.86,5882717
0.86,5882718
1,5875484
1,5879101
1,5882719
1,5882720
1,5882721
0.15,5897148
0.15,5900763
0.15,5900764
0.15,5900765
0.18,5889914
0.18,5889915
0.18,5893531
0.18,5893532
0.18,5893533
0.18,5897149
0.18,5897150
0.18,5897151
0.18,5900766
0.18,5900767
0.18,5900768
0.2,5893536
0.2,5897152
0.2,5897154
0.2,5900769
