prob,cell_id
0.33,1352082
0.42,1370182
0.42,1370183
0.42,1370184
0.42,1373800
0.42,1373801
0.42,1373802
0.42,1377419
0.42,1377420
0.42,1381038
0.45,1391893
0.45,1395510
0.45,1395511
0.45,1399127
0.45,1399128
0.45,1402745
0.45,1402746
0.45,1402747
0.45,1406363
0.45,1406364
0.45,1406365
0.5,1413592
0.5,1413593
0.5,1417210
0.5,1417211
0.5,1420827
0.5,1420828
0.5,1420829
0.5,1424445
0.5,1424446
0.5,1424447
0.5,1428064
0.5,1428065
0.47,1413594
0.47,1413595
0.47,1413596
0.47,1413597
0.47,1417212
0.47,1417213
0.47,1417214
0.47,1417215
0.47,1420831
0.47,1420832
0.47,1420833
0.47,1424448
0.47,1428066
0.13,1409981
0.13,1409982
0.13,1409983
0.13,1413598
0.13,1413599
0.13,1413600
0.13,1413601
0.13,1417216
0.13,1417217
0.13,1417218
0.13,1417219
0.13,1420834
0.13,1420835
0.13,1420836
0.13,1424452
0.13,1424453
0.55,1442533
0.55,1442534
0.55,1446150
0.55,1446151
0.47,1431683
0.47,1435299
0.47,1435300
0.47,1435301
0.47,1438916
0.47,1438917
0.47,1438918
0.47,1446156
0.36,1446164
0.59,1457002
0.59,1460619
0.59,1460620
0.59,1464236
0.59,1464237
0.59,1464238
0.59,1467854
0.59,1467855
0.59,1467856
0.61,1449768
0.61,1449769
0.61,1453386
0.61,1453387
0.61,1457003
0.61,1457004
0.61,1457005
0.61,1460621
0.61,1460622
0.61,1460623
0.61,1460624
0.61,1464239
0.61,1464240
0.61,1464241
0.61,1464242
0.61,1467859
0.61,1467860
0.45,1449773
0.45,1449774
0.45,1453390
0.45,1453391
0.45,1453392
0.45,1457008
0.45,1457009
0.45,1457010
0.45,1460626
0.45,1460627
0.45,1460628
0.45,1464243
0.45,1464246
0.45,1467861
0.45,1467862
0.3,1449781
0.3,1449782
0.3,1453397
0.3,1453398
0.3,1457015
0.3,1457016
0.3,1460633
0.3,1460634
0.3,1467869
0.26,1449784
0.26,1449785
0.26,1449786
0.26,1453404
0.24,1449787
0.24,1449788
0.24,1449789
0.24,1453405
0.24,1453406
0.24,1453407
0.24,1453408
0.24,1457024
0.24,1457025
0.24,1457026
0.24,1457027
0.24,1460643
0.24,1460644
0.24,1460645
0.24,1464263
0.66,1471474
0.66,1485945
0.66,1485946
0.68,1471475
0.68,1471478
0.68,1475096
0.68,1478714
0.68,1482332
0.68,1485947
0.68,1485949
0.68,1485950
0.61,1471479
0.61,1471480
0.61,1475097
0.61,1475098
0.61,1478715
0.61,1482333
0.61,1482336
0.61,1485951
0.61,1485954
0.57,1471486
0.57,1475102
0.57,1475103
0.57,1478719
0.57,1478720
0.57,1478721
0.57,1478722
0.57,1482337
0.57,1482338
0.57,1482339
0.57,1482340
0.57,1485955
0.57,1485958
0.46,1471487
0.46,1471488
0.46,1471489
0.46,1475105
0.46,1475106
0.46,1475107
0.46,1475108
0.46,1478723
0.46,1478724
0.46,1478725
0.46,1482341
0.46,1485959
0.46,1485960
0.79,1489567
0.79,1489568
0.79,1493185
0.79,1493186
0.75,1489569
0.75,1489571
0.75,1489572
0.75,1493187
0.75,1493188
0.75,1493189
0.75,1496807
0.75,1496808
0.75,1500424
0.75,1500425
0.75,1500426
0.75,1504042
0.75,1504043
0.75,1504044
0.75,1507660
0.75,1507661
0.75,1507662
0.62,1489575
0.62,1489576
0.62,1493193
0.62,1493194
0.62,1496809
0.62,1496810
0.62,1496811
0.62,1496812
0.62,1500427
0.62,1500428
0.62,1500429
0.62,1500431
0.62,1504046
0.62,1504047
0.62,1504048
0.62,1504049
0.62,1507664
0.62,1507665
0.62,1507666
0.62,1507667
0.4,1489577
0.4,1489578
0.4,1489579
0.4,1489580
0.4,1489581
0.4,1493196
0.4,1493197
0.4,1493198
0.4,1493199
0.4,1496815
0.4,1496816
0.4,1496817
0.4,1500432
0.4,1500433
0.4,1500434
0.4,1500435
0.4,1504050
0.4,1504051
0.4,1504052
0.4,1504053
0.4,1507668
0.4,1507669
0.4,1507670
0.4,1507671
0.4,1518423
0.4,1518424
0.4,1522040
0.4,1522041
0.4,1522042
0.4,1525657
0.4,1525658
0.39,1511190
0.39,1511191
0.39,1514807
0.39,1514808
0.39,1514809
0.39,1518425
0.39,1518426
0.85,1518512
0.85,1522129
0.85,1522130
0.85,1525747
0.85,1525748
0.76,1511278
0.76,1511279
0.76,1511280
0.76,1514896
0.76,1514897
0.76,1518513
0.76,1518514
0.76,1525749
0.47,1532891
0.47,1536507
0.47,1536508
0.47,1536509
0.47,1540124
0.47,1540125
0.47,1543742
0.47,1529274
0.47,1529275
0.47,1532892
0.47,1532893
0.9,1529364
0.9,1529365
0.9,1529366
0.9,1532983
0.9,1532984
0.9,1536600
0.9,1536601
0.9,1536602
0.9,1540218
0.9,1540219
0.9,1540220
0.9,1543836
0.9,1543837
0.9,1543838
0.9,1547454
0.9,1547455
0.9,1547456
0.53,1529380
0.53,1529381
0.53,1529382
0.53,1532998
0.53,1532999
0.53,1533000
0.53,1533001
0.53,1536617
0.53,1536618
0.53,1536619
0.53,1540236
0.53,1540237
0.53,1543854
0.53,1543855
0.53,1547472
0.53,1547473
0.52,1550972
